analysis,assumed_true_delta,assumed_true_harm,design,empirical_task_sd,interpretation,margin,maximum_events_allowed,n_audit,n_live,n_stop,probability
quality_noninferiority_empirical_delta,-0.0008903714918769612,,main_first_20,0.008568075346888629,conditional normal-approximation operating characteristic; not actual Main success probability,0.005,,130,70,,0.9997749523752116
quality_plus_count_joint_empirical_bootstrap,-0.0008903714918769612,,main_first_20,0.008568075346888629,"historical task-bootstrap for quality NI plus submission-count superiority only; excludes expert harm, replacement, availability and deployment shift",0.005,,130,70,,1.0
quality_noninferiority_empirical_delta,-0.0008903714918769612,,main_first_20,0.008568075346888629,conditional normal-approximation operating characteristic; not actual Main success probability,0.01,,130,70,,1.0
quality_plus_count_joint_empirical_bootstrap,-0.0008903714918769612,,main_first_20,0.008568075346888629,"historical task-bootstrap for quality NI plus submission-count superiority only; excludes expert harm, replacement, availability and deployment shift",0.01,,130,70,,1.0
quality_noninferiority_empirical_delta,-0.0008903714918769612,,main_first_20,0.008568075346888629,conditional normal-approximation operating characteristic; not actual Main success probability,0.0125,,130,70,,1.0
quality_plus_count_joint_empirical_bootstrap,-0.0008903714918769612,,main_first_20,0.008568075346888629,"historical task-bootstrap for quality NI plus submission-count superiority only; excludes expert harm, replacement, availability and deployment shift",0.0125,,130,70,,1.0
quality_noninferiority_empirical_delta,-0.0008903714918769612,,main_first_20,0.008568075346888629,conditional normal-approximation operating characteristic; not actual Main success probability,0.015,,130,70,,1.0
quality_plus_count_joint_empirical_bootstrap,-0.0008903714918769612,,main_first_20,0.008568075346888629,"historical task-bootstrap for quality NI plus submission-count superiority only; excludes expert harm, replacement, availability and deployment shift",0.015,,130,70,,1.0
submission_count_superiority,1.0624358974358974,,main_first_20,0.7832175990909599,conditional normal-approximation operating characteristic for frozen-geometry submission count only,,,130,70,,1.0
exact_5pct_safety_gate__audit_shadow,,0.005,main_first_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,0,130,70,82,0.6629680834613706
exact_5pct_safety_gate__audit_shadow,,0.01,main_first_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,0,130,70,82,0.43861750180991105
exact_5pct_safety_gate__audit_shadow,,0.015,main_first_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,0,130,70,82,0.289581558293511
exact_5pct_safety_gate__audit_shadow,,0.02,main_first_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,0,130,70,82,0.19078235561879212
exact_5pct_safety_gate__audit_shadow,,0.03,main_first_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,0,130,70,82,0.08227771268492463
exact_5pct_safety_gate__live_actual,,0.005,main_first_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,-1,130,70,44,0.0
exact_5pct_safety_gate__live_actual,,0.01,main_first_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,-1,130,70,44,0.0
exact_5pct_safety_gate__live_actual,,0.015,main_first_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,-1,130,70,44,0.0
exact_5pct_safety_gate__live_actual,,0.02,main_first_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,-1,130,70,44,0.0
exact_5pct_safety_gate__live_actual,,0.03,main_first_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,-1,130,70,44,0.0
exact_5pct_safety_gate__common_policy_combined,,0.005,main_first_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,2,130,70,126,0.9741805129863405
exact_5pct_safety_gate__common_policy_combined,,0.01,main_first_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,2,130,70,126,0.8670645822410963
exact_5pct_safety_gate__common_policy_combined,,0.015,main_first_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,2,130,70,126,0.7066499190879733
exact_5pct_safety_gate__common_policy_combined,,0.02,main_first_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,2,130,70,126,0.5373525070981363
exact_5pct_safety_gate__common_policy_combined,,0.03,main_first_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,2,130,70,126,0.2677289132651907
quality_noninferiority_empirical_delta,-0.0008903714918769612,,main_first_22,0.008568075346888629,conditional normal-approximation operating characteristic; not actual Main success probability,0.005,,143,77,,0.9999202357747016
quality_plus_count_joint_empirical_bootstrap,-0.0008903714918769612,,main_first_22,0.008568075346888629,"historical task-bootstrap for quality NI plus submission-count superiority only; excludes expert harm, replacement, availability and deployment shift",0.005,,143,77,,1.0
quality_noninferiority_empirical_delta,-0.0008903714918769612,,main_first_22,0.008568075346888629,conditional normal-approximation operating characteristic; not actual Main success probability,0.01,,143,77,,1.0
quality_plus_count_joint_empirical_bootstrap,-0.0008903714918769612,,main_first_22,0.008568075346888629,"historical task-bootstrap for quality NI plus submission-count superiority only; excludes expert harm, replacement, availability and deployment shift",0.01,,143,77,,1.0
quality_noninferiority_empirical_delta,-0.0008903714918769612,,main_first_22,0.008568075346888629,conditional normal-approximation operating characteristic; not actual Main success probability,0.0125,,143,77,,1.0
quality_plus_count_joint_empirical_bootstrap,-0.0008903714918769612,,main_first_22,0.008568075346888629,"historical task-bootstrap for quality NI plus submission-count superiority only; excludes expert harm, replacement, availability and deployment shift",0.0125,,143,77,,1.0
quality_noninferiority_empirical_delta,-0.0008903714918769612,,main_first_22,0.008568075346888629,conditional normal-approximation operating characteristic; not actual Main success probability,0.015,,143,77,,1.0
quality_plus_count_joint_empirical_bootstrap,-0.0008903714918769612,,main_first_22,0.008568075346888629,"historical task-bootstrap for quality NI plus submission-count superiority only; excludes expert harm, replacement, availability and deployment shift",0.015,,143,77,,1.0
submission_count_superiority,1.0624358974358974,,main_first_22,0.7832175990909599,conditional normal-approximation operating characteristic for frozen-geometry submission count only,,,143,77,,1.0
exact_5pct_safety_gate__audit_shadow,,0.005,main_first_22,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,0,143,77,90,0.6369088258938783
exact_5pct_safety_gate__audit_shadow,,0.01,main_first_22,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,0,143,77,90,0.40473197267832406
exact_5pct_safety_gate__audit_shadow,,0.015,main_first_22,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,0,143,77,90,0.25660241818317614
exact_5pct_safety_gate__audit_shadow,,0.02,main_first_22,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,0,143,77,90,0.1623105735215167
exact_5pct_safety_gate__audit_shadow,,0.03,main_first_22,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,0,143,77,90,0.06448461094653238
exact_5pct_safety_gate__live_actual,,0.005,main_first_22,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,-1,143,77,49,0.0
exact_5pct_safety_gate__live_actual,,0.01,main_first_22,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,-1,143,77,49,0.0
exact_5pct_safety_gate__live_actual,,0.015,main_first_22,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,-1,143,77,49,0.0
exact_5pct_safety_gate__live_actual,,0.02,main_first_22,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,-1,143,77,49,0.0
exact_5pct_safety_gate__live_actual,,0.03,main_first_22,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,-1,143,77,49,0.0
exact_5pct_safety_gate__common_policy_combined,,0.005,main_first_22,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,2,143,77,139,0.966858447264135
exact_5pct_safety_gate__common_policy_combined,,0.01,main_first_22,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,2,143,77,139,0.8366513063401104
exact_5pct_safety_gate__common_policy_combined,,0.015,main_first_22,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,2,143,77,139,0.6535137071755928
exact_5pct_safety_gate__common_policy_combined,,0.02,main_first_22,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,2,143,77,139,0.47234520093232546
exact_5pct_safety_gate__common_policy_combined,,0.03,main_first_22,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,2,143,77,139,0.20981249915829714
