image_id,condition,k,n_valid,reason
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,manual,8,3,fewer_than_two_unseen_people_at_this_k
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,4,4,fewer_than_two_unseen_people_at_this_k
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,6,4,fewer_than_two_unseen_people_at_this_k
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,8,4,fewer_than_two_unseen_people_at_this_k
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,manual,4,5,fewer_than_two_unseen_people_at_this_k
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,manual,6,5,fewer_than_two_unseen_people_at_this_k
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,manual,8,5,fewer_than_two_unseen_people_at_this_k
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,manual,6,6,fewer_than_two_unseen_people_at_this_k
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,manual,8,6,fewer_than_two_unseen_people_at_this_k
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,manual,4,5,fewer_than_two_unseen_people_at_this_k
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,manual,6,5,fewer_than_two_unseen_people_at_this_k
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,manual,8,5,fewer_than_two_unseen_people_at_this_k
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,manual,4,5,fewer_than_two_unseen_people_at_this_k
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,manual,6,5,fewer_than_two_unseen_people_at_this_k
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,manual,8,5,fewer_than_two_unseen_people_at_this_k
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,manual,2,2,fewer_than_two_unseen_people_at_this_k
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,manual,4,2,fewer_than_two_unseen_people_at_this_k
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,manual,6,2,fewer_than_two_unseen_people_at_this_k
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,manual,8,2,fewer_than_two_unseen_people_at_this_k
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,manual,2,2,fewer_than_two_unseen_people_at_this_k
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,manual,4,2,fewer_than_two_unseen_people_at_this_k
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,manual,6,2,fewer_than_two_unseen_people_at_this_k
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,manual,8,2,fewer_than_two_unseen_people_at_this_k
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,6,7,fewer_than_two_unseen_people_at_this_k
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,8,7,fewer_than_two_unseen_people_at_this_k
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,manual,4,5,fewer_than_two_unseen_people_at_this_k
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,manual,6,5,fewer_than_two_unseen_people_at_this_k
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,manual,8,5,fewer_than_two_unseen_people_at_this_k
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,manual,2,2,fewer_than_two_unseen_people_at_this_k
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,manual,4,2,fewer_than_two_unseen_people_at_this_k
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,manual,6,2,fewer_than_two_unseen_people_at_this_k
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,manual,8,2,fewer_than_two_unseen_people_at_this_k
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,manual,4,5,fewer_than_two_unseen_people_at_this_k
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,manual,6,5,fewer_than_two_unseen_people_at_this_k
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,manual,8,5,fewer_than_two_unseen_people_at_this_k
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,manual,4,5,fewer_than_two_unseen_people_at_this_k
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,manual,6,5,fewer_than_two_unseen_people_at_this_k
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,manual,8,5,fewer_than_two_unseen_people_at_this_k
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,manual,4,5,fewer_than_two_unseen_people_at_this_k
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,manual,6,5,fewer_than_two_unseen_people_at_this_k
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,manual,8,5,fewer_than_two_unseen_people_at_this_k
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,manual,4,5,fewer_than_two_unseen_people_at_this_k
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,manual,6,5,fewer_than_two_unseen_people_at_this_k
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,manual,8,5,fewer_than_two_unseen_people_at_this_k
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,manual,4,5,fewer_than_two_unseen_people_at_this_k
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,manual,6,5,fewer_than_two_unseen_people_at_this_k
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,manual,8,5,fewer_than_two_unseen_people_at_this_k
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,manual,4,5,fewer_than_two_unseen_people_at_this_k
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,manual,6,5,fewer_than_two_unseen_people_at_this_k
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,manual,8,5,fewer_than_two_unseen_people_at_this_k
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,manual,6,6,fewer_than_two_unseen_people_at_this_k
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,manual,8,6,fewer_than_two_unseen_people_at_this_k
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,manual,6,6,fewer_than_two_unseen_people_at_this_k
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,manual,8,6,fewer_than_two_unseen_people_at_this_k
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,manual,6,6,fewer_than_two_unseen_people_at_this_k
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,manual,8,6,fewer_than_two_unseen_people_at_this_k
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,manual,6,6,fewer_than_two_unseen_people_at_this_k
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,manual,8,6,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,manual,4,4,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,manual,6,4,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,manual,8,4,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,manual,2,2,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,manual,4,2,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,manual,6,2,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,manual,8,2,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,manual,2,2,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,manual,4,2,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,manual,6,2,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,manual,8,2,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_855bc326ad174253b57626daf123c608,manual,2,2,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_855bc326ad174253b57626daf123c608,manual,4,2,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_855bc326ad174253b57626daf123c608,manual,6,2,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_855bc326ad174253b57626daf123c608,manual,8,2,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,manual,2,2,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,manual,4,2,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,manual,6,2,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,manual,8,2,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,manual,2,2,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,manual,4,2,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,manual,6,2,fewer_than_two_unseen_people_at_this_k
jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,manual,8,2,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,manual,2,3,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,manual,4,3,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,manual,6,3,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,manual,8,3,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_1df105f34ccf4844877be7e8e2d90fad,manual,2,3,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_1df105f34ccf4844877be7e8e2d90fad,manual,4,3,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_1df105f34ccf4844877be7e8e2d90fad,manual,6,3,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_1df105f34ccf4844877be7e8e2d90fad,manual,8,3,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,6,6,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,8,6,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_4d7ce55eeb6643079aba3b10360de8d8,manual,2,2,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_4d7ce55eeb6643079aba3b10360de8d8,manual,4,2,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_4d7ce55eeb6643079aba3b10360de8d8,manual,6,2,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_4d7ce55eeb6643079aba3b10360de8d8,manual,8,2,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_5d3af9ad575b4be88587967ff8114c36,manual,2,2,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_5d3af9ad575b4be88587967ff8114c36,manual,4,2,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_5d3af9ad575b4be88587967ff8114c36,manual,6,2,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_5d3af9ad575b4be88587967ff8114c36,manual,8,2,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_67790605390f4d439c3c59395967ec84,manual,4,4,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_67790605390f4d439c3c59395967ec84,manual,6,4,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_67790605390f4d439c3c59395967ec84,manual,8,4,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_9f0e2562fcf447f5a7c5e44e85978148,manual,2,2,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_9f0e2562fcf447f5a7c5e44e85978148,manual,4,2,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_9f0e2562fcf447f5a7c5e44e85978148,manual,6,2,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_9f0e2562fcf447f5a7c5e44e85978148,manual,8,2,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,manual,4,4,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,manual,6,4,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,manual,8,4,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,manual,4,4,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,manual,6,4,fewer_than_two_unseen_people_at_this_k
jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,manual,8,4,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_0350fc96e88c4a52886d4eb50b2d52c6,manual,2,3,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_0350fc96e88c4a52886d4eb50b2d52c6,manual,4,3,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_0350fc96e88c4a52886d4eb50b2d52c6,manual,6,3,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_0350fc96e88c4a52886d4eb50b2d52c6,manual,8,3,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,manual,6,6,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,manual,8,6,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,manual,2,3,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,manual,4,3,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,manual,6,3,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,manual,8,3,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,manual,4,5,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,manual,6,5,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,manual,8,5,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_4fe4474e9bf9429ea92d202bdea4dce5,manual,2,2,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_4fe4474e9bf9429ea92d202bdea4dce5,manual,4,2,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_4fe4474e9bf9429ea92d202bdea4dce5,manual,6,2,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_4fe4474e9bf9429ea92d202bdea4dce5,manual,8,2,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_8caa90fc5528451f9e9f45634676499b,manual,2,2,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_8caa90fc5528451f9e9f45634676499b,manual,4,2,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_8caa90fc5528451f9e9f45634676499b,manual,6,2,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_8caa90fc5528451f9e9f45634676499b,manual,8,2,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_9c9bed9bf7d94ac0bcea18e3bf521930,manual,2,2,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_9c9bed9bf7d94ac0bcea18e3bf521930,manual,4,2,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_9c9bed9bf7d94ac0bcea18e3bf521930,manual,6,2,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_9c9bed9bf7d94ac0bcea18e3bf521930,manual,8,2,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_bc9ae89832854c19a69741f97291efad,manual,2,2,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_bc9ae89832854c19a69741f97291efad,manual,4,2,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_bc9ae89832854c19a69741f97291efad,manual,6,2,fewer_than_two_unseen_people_at_this_k
pRbA3pwrgk9_bc9ae89832854c19a69741f97291efad,manual,8,2,fewer_than_two_unseen_people_at_this_k
pa4otMbVnkk_270f6920ec0f48c391bca974b356bc3b,manual,2,2,fewer_than_two_unseen_people_at_this_k
pa4otMbVnkk_270f6920ec0f48c391bca974b356bc3b,manual,4,2,fewer_than_two_unseen_people_at_this_k
pa4otMbVnkk_270f6920ec0f48c391bca974b356bc3b,manual,6,2,fewer_than_two_unseen_people_at_this_k
pa4otMbVnkk_270f6920ec0f48c391bca974b356bc3b,manual,8,2,fewer_than_two_unseen_people_at_this_k
pa4otMbVnkk_447755d931aa401097d8c0952a22b17e,manual,2,2,fewer_than_two_unseen_people_at_this_k
pa4otMbVnkk_447755d931aa401097d8c0952a22b17e,manual,4,2,fewer_than_two_unseen_people_at_this_k
pa4otMbVnkk_447755d931aa401097d8c0952a22b17e,manual,6,2,fewer_than_two_unseen_people_at_this_k
pa4otMbVnkk_447755d931aa401097d8c0952a22b17e,manual,8,2,fewer_than_two_unseen_people_at_this_k
pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657,manual,2,3,fewer_than_two_unseen_people_at_this_k
pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657,manual,4,3,fewer_than_two_unseen_people_at_this_k
pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657,manual,6,3,fewer_than_two_unseen_people_at_this_k
pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657,manual,8,3,fewer_than_two_unseen_people_at_this_k
pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,manual,6,6,fewer_than_two_unseen_people_at_this_k
pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,manual,8,6,fewer_than_two_unseen_people_at_this_k
pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,manual,2,3,fewer_than_two_unseen_people_at_this_k
pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,manual,4,3,fewer_than_two_unseen_people_at_this_k
pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,manual,6,3,fewer_than_two_unseen_people_at_this_k
pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,manual,8,3,fewer_than_two_unseen_people_at_this_k
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,manual,4,5,fewer_than_two_unseen_people_at_this_k
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,manual,6,5,fewer_than_two_unseen_people_at_this_k
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,manual,8,5,fewer_than_two_unseen_people_at_this_k
q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,manual,4,5,fewer_than_two_unseen_people_at_this_k
q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,manual,6,5,fewer_than_two_unseen_people_at_this_k
q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,manual,8,5,fewer_than_two_unseen_people_at_this_k
q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,manual,2,3,fewer_than_two_unseen_people_at_this_k
