room_id,image_a,image_b,building,condition,n_a,n_b,same_scene,scene_a,doorway_a,floor_boundary_a,ceiling_boundary_a,corner_occlusion_a,connected_space_a,reflection_glass_a,low_contrast_a,scene_b,doorway_b,floor_boundary_b,ceiling_boundary_b,corner_occlusion_b,connected_space_b,reflection_glass_b,low_contrast_b,reference_geometry_error_a,reference_geometry_error_b,reference_geometry_error_delta,owner_valid_active_seconds_a,owner_valid_active_seconds_b,owner_valid_active_seconds_delta,point_count_disagreement_a,point_count_disagreement_b,point_count_disagreement_delta,within_topology_geometry_dispersion_a,within_topology_geometry_dispersion_b,within_topology_geometry_dispersion_delta,scope_non_normal_rate_a,scope_non_normal_rate_b,scope_non_normal_rate_delta,scope_entropy_a,scope_entropy_b,scope_entropy_delta,n_common_workers
supported_component:jtcxE69GiFV_c6baa663ada7439f9a409a86c7fd809b,jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,jtcxE69GiFV,manual,4,4,True,起居与休闲,否,partial,present,present,present,present,absent,起居与休闲,否,partial,present,present,present,present,absent,0.0769971620439,0.0783768373068,0.00137967526287,335,220.5,-114.5,0.666666666667,0.833333333333,0.166666666667,0.0597197416014,0.0362415159279,-0.0234782256735,0,0,0,-0,-0,0,2
supported_component:pRbA3pwrgk9_0dad4bd3fa7e4349a5325596c10d6fdf,pRbA3pwrgk9_0dad4bd3fa7e4349a5325596c10d6fdf,pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,pRbA3pwrgk9,manual,1,3,True,卧室,否,partial,present,present,present,unknown,absent,卧室,否,partial,present,present,present,present,absent,0.0215766901004,0.0339594632332,0.0123827731329,140,103,-37,,0,,,0.125805411163,,0,0,0,-0,-0,0,0
supported_component:pRbA3pwrgk9_0dad4bd3fa7e4349a5325596c10d6fdf,pRbA3pwrgk9_0dad4bd3fa7e4349a5325596c10d6fdf,pRbA3pwrgk9_4fe4474e9bf9429ea92d202bdea4dce5,pRbA3pwrgk9,manual,1,2,True,卧室,否,partial,present,present,present,unknown,absent,卧室,否,partial,present,present,present,unknown,absent,0.0215766901004,0.0381651378573,0.0165884477569,140,243,103,,0,,,0.0627597208637,,0,0,0,-0,-0,0,0
supported_component:pRbA3pwrgk9_0dad4bd3fa7e4349a5325596c10d6fdf,pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,pRbA3pwrgk9_4fe4474e9bf9429ea92d202bdea4dce5,pRbA3pwrgk9,manual,3,2,True,卧室,否,partial,present,present,present,present,absent,卧室,否,partial,present,present,present,unknown,absent,0.0339594632332,0.0381651378573,0.00420567462406,103,243,140,0,0,0,0.125805411163,0.0627597208637,-0.0630456902992,0,0,0,-0,-0,0,1
supported_component:pa4otMbVnkk_0e800fa7378b455a8054fbd02497fa6e,pa4otMbVnkk_eac7bdc24b24474ba38b8b0b5acd62f6,pa4otMbVnkk_f6005da79d2c43ba820db8124a4287d1,pa4otMbVnkk,manual,1,1,True,厨房与用餐,否,partial,present,present,present,present,absent,厨房与用餐,否,partial,present,present,present,present,absent,0.043441209429,0.0535879674924,0.0101467580634,154,81,-73,,,,,,,1,1,0,-0,-0,0,1
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,manual,5,24,True,卫浴,否,partial,present,present,present,present,absent,卫浴,否,partial,present,present,present,present,absent,0.13408968225,0.137759505474,0.00366982322399,226,166,-60,0.8,0.760869565217,-0.0391304347826,0.0689065641553,0.049401991035,-0.0195045731203,0.2,0.0833333333333,-0.116666666667,0.721928094887,0.413816850304,-0.308111244584,5
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,manual,5,24,True,卫浴,否,partial,present,present,present,present,absent,卫浴,否,partial,present,present,present,present,absent,0.13408968225,0.207819502937,0.0737298206862,226,180,-46,0.8,0.822510822511,0.0225108225108,0.0689065641553,0.126127869842,0.0572213056863,0.2,0.458333333333,0.258333333333,0.721928094887,1.39183577785,0.669907682967,5
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,manual,24,24,True,卫浴,否,partial,present,present,present,present,absent,卫浴,否,partial,present,present,present,present,absent,0.137759505474,0.207819502937,0.0700599974622,166,180,14,0.760869565217,0.822510822511,0.0616412572934,0.049401991035,0.126127869842,0.0767258788067,0.0833333333333,0.458333333333,0.375,0.413816850304,1.39183577785,0.97801892755,24
supported_component:rPc6DW4iMge_2c16cbd610cf4e1b92b2830f51c07e32,rPc6DW4iMge_4350d36797324601adba7351d09602d2,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,manual,5,24,True,通行与连接,否,present,present,absent,present,unknown,absent,通行与连接,否,present,present,absent,present,unknown,absent,0.0367360334154,0.0348444359823,-0.00189159743311,96,105,9,0,0.159420289855,0.159420289855,0.0258667891908,0.0388149909178,0.012948201727,0,0.0833333333333,0.0833333333333,-0,0.413816850304,0.413816850304,5
supported_component:uNb9QFRL6hY_00b4950b469b4520b29f895aa029419c,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,manual,5,23,True,起居与休闲,否,partial,partial,present,present,present,absent,起居与休闲,否,partial,partial,present,present,present,absent,0.0712140580942,0.11031038486,0.0390963267655,124,64,-60,0.4,0.624505928854,0.224505928854,0.0312724166825,0.0517752205726,0.0205028038901,0,0.0434782608696,0.0434782608696,-0,0.258018668665,0.258018668665,5
supported_component:uNb9QFRL6hY_14f2a8bc76f24d2ea495369bfde2f653,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,uNb9QFRL6hY,manual,6,24,True,通行与连接,否,present,present,absent,present,unknown,absent,通行与连接,否,present,present,absent,present,unknown,absent,0.202912911758,0.0482352666129,-0.154677645145,53,88,35,0,0.0833333333333,0.0833333333333,0.121583853278,0.0511936888724,-0.0703901644052,0.166666666667,0.0833333333333,-0.0833333333333,0.650022421648,0.497150183637,-0.152872238011,6
supported_component:wc2JMjhGNzB_02bbd23673904a6980dc0e22b11c6a35,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,manual,6,23,True,卫浴,否,partial,present,present,present,present,absent,卫浴,否,partial,present,present,present,present,absent,0.288310973512,0.231777864933,-0.0565331085793,258,160,-98,0.866666666667,0.810276679842,-0.0563899868248,0.120113155797,0.104060511475,-0.0160526443223,0.333333333333,0.260869565217,-0.0724637681159,1.25162916739,0.997626791896,-0.254002375491,6
supported_component:yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,yqstnuAEVhm,manual,6,5,True,起居与休闲,否,partial,present,present,present,present,absent,起居与休闲,否,partial,present,present,present,present,absent,0.11565116635,0.0761503746714,-0.0395007916783,108,316,208,0.933333333333,0.7,-0.233333333333,0,0.0844010701439,0.0844010701439,0.333333333333,0.6,0.266666666667,1.25162916739,1.92192809489,0.6702989275,1
supported_component:yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,yqstnuAEVhm,manual,6,24,True,起居与休闲,否,partial,present,present,present,present,absent,起居与休闲,否,partial,present,present,present,unknown,absent,0.11565116635,0.20497416166,0.0893229953106,108,289,181,0.933333333333,0.826086956522,-0.107246376812,0,0.123682529476,0.123682529476,0.333333333333,0.5,0.166666666667,1.25162916739,1.70914791703,0.457518749639,6
supported_component:yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,yqstnuAEVhm,manual,6,24,False,起居与休闲,否,partial,present,present,present,present,absent,卧室,否,partial,present,present,present,present,absent,0.11565116635,0.126661621917,0.0110104555677,108,144,36,0.933333333333,0.833333333333,-0.1,0,0.12539681599,0.12539681599,0.333333333333,0.375,0.0416666666667,1.25162916739,1.61170223254,0.360073065155,6
supported_component:yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,yqstnuAEVhm,manual,5,24,True,起居与休闲,否,partial,present,present,present,present,absent,起居与休闲,否,partial,present,present,present,unknown,absent,0.0761503746714,0.20497416166,0.128823786989,316,289,-27,0.7,0.826086956522,0.126086956522,0.0844010701439,0.123682529476,0.039281459332,0.6,0.5,-0.1,1.92192809489,1.70914791703,-0.21278017786,5
supported_component:yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,yqstnuAEVhm,manual,5,24,False,起居与休闲,否,partial,present,present,present,present,absent,卧室,否,partial,present,present,present,present,absent,0.0761503746714,0.126661621917,0.050511247246,316,144,-172,0.7,0.833333333333,0.133333333333,0.0844010701439,0.12539681599,0.0409957458459,0.6,0.375,-0.225,1.92192809489,1.61170223254,-0.310225862345,5
supported_component:yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,yqstnuAEVhm,manual,24,24,False,起居与休闲,否,partial,present,present,present,unknown,absent,卧室,否,partial,present,present,present,present,absent,0.20497416166,0.126661621917,-0.0783125397428,289,144,-145,0.826086956522,0.833333333333,0.00724637681159,0.123682529476,0.12539681599,0.00171428651392,0.5,0.375,-0.125,1.70914791703,1.61170223254,-0.0974456844849,24
supported_component:yqstnuAEVhm_96960ce9646a41e4bc183d75327fe1c1,yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm,manual,5,5,True,通行与连接,否,present,present,absent,present,present,absent,通行与连接,否,present,present,absent,present,present,absent,0.165258940084,0.0930126217178,-0.0722463183661,118,120.5,2.5,0.6,0.6,0,0.0233200922082,0.0392821437139,0.0159620515057,0.4,0.2,-0.2,0.970950594455,0.721928094887,-0.249022499567,0
supported_component:zsNo4HB9uLZ_38260e04f02546a6af3dcaf8689546a2,zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,zsNo4HB9uLZ_faad06c7cb2b4a6f9220e7f6f87c800b,zsNo4HB9uLZ,manual,4,2,True,卧室,否,partial,present,present,present,present,absent,卧室,否,partial,present,present,present,present,absent,,,,172.5,282.5,110,0.5,0,-0.5,0.0226984433182,0.0947293110381,0.0720308677199,0,0,0,-0,-0,0,0
