overlap_key,overlap_value,p1_tasks,calibration_tasks
image_id,UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,PreScreen_oos:609,Calibration_anchor:UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282
image_id,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,PreScreen_oos:526,Calibration_core:UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940
image_id,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,PreScreen_manual:555,Calibration_anchor:X7HyMhZNoso_987fd31155514f6facb131bd5c14881d
image_id,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,PreScreen_manual:696,Calibration_core:b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15
image_id,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,PreScreen_semi:568,Calibration_core:e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45
image_id,q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,PreScreen_oos:661,Calibration_core:q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb
image_id,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,PreScreen_manual:676,Calibration_core:q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4
image_id,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,PreScreen_manual:714,Calibration_core:rPc6DW4iMge_fbc169773c954580baea6d2798c0d486
image_id,uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,PreScreen_semi:477,Calibration_anchor:uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359
image_id,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,PreScreen_manual:550,Calibration_anchor:wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31
image_id,wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,PreScreen_semi:576,Calibration_core:wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3
image_id,x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,PreScreen_manual:670,Calibration_core:x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23
image_id,yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,PreScreen_oos:495,Calibration_core:yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5
image_id,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,PreScreen_manual:533,Calibration_core:yqstnuAEVhm_e3face7b2196414d95ed97151aa13058
image_id,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,PreScreen_manual:567,Calibration_anchor:yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5
title_stem,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,PreScreen_manual:630,Calibration_anchor:7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a
title_stem,UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,PreScreen_oos:609,Calibration_anchor:UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282
title_stem,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,PreScreen_oos:526,Calibration_core:UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940
title_stem,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,PreScreen_manual:555,Calibration_anchor:X7HyMhZNoso_987fd31155514f6facb131bd5c14881d
title_stem,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,PreScreen_manual:696,Calibration_core:b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15
title_stem,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,PreScreen_semi:568,Calibration_core:e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45
title_stem,q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,PreScreen_oos:661,Calibration_core:q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb
title_stem,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,PreScreen_manual:676,Calibration_core:q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4
title_stem,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,PreScreen_manual:714,Calibration_core:rPc6DW4iMge_fbc169773c954580baea6d2798c0d486
title_stem,uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,PreScreen_semi:477,Calibration_anchor:uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359
title_stem,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,PreScreen_manual:550,Calibration_anchor:wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31
title_stem,wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,PreScreen_semi:576,Calibration_core:wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3
title_stem,x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,PreScreen_manual:670,Calibration_core:x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23
title_stem,yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,PreScreen_oos:495,Calibration_core:yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5
title_stem,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,PreScreen_manual:533,Calibration_core:yqstnuAEVhm_e3face7b2196414d95ed97151aa13058
title_stem,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,PreScreen_manual:567,Calibration_anchor:yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5
image_stem,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,PreScreen_manual:630,Calibration_anchor:7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a
image_stem,UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,PreScreen_oos:609,Calibration_anchor:UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282
image_stem,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,PreScreen_oos:526,Calibration_core:UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940
image_stem,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,PreScreen_manual:555,Calibration_anchor:X7HyMhZNoso_987fd31155514f6facb131bd5c14881d
image_stem,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,PreScreen_manual:696,Calibration_core:b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15
image_stem,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,PreScreen_semi:568,Calibration_core:e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45
image_stem,q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,PreScreen_oos:661,Calibration_core:q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb
image_stem,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,PreScreen_manual:676,Calibration_core:q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4
image_stem,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,PreScreen_manual:714,Calibration_core:rPc6DW4iMge_fbc169773c954580baea6d2798c0d486
image_stem,uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,PreScreen_semi:477,Calibration_anchor:uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359
image_stem,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,PreScreen_manual:550,Calibration_anchor:wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31
image_stem,wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,PreScreen_semi:576,Calibration_core:wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3
image_stem,x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,PreScreen_manual:670,Calibration_core:x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23
image_stem,yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,PreScreen_oos:495,Calibration_core:yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5
image_stem,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,PreScreen_manual:533,Calibration_core:yqstnuAEVhm_e3face7b2196414d95ed97151aa13058
image_stem,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,PreScreen_manual:567,Calibration_anchor:yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5
