task_id,annotation_id,base_task_id,matched_registry_uid,dataset_group,annotator_id
549,149,wc2JMjhGNzB_431023d1f9fd40048ceee9214fd8464a,stage3_semiauto_test:81,SemiAuto_Test,1
552,152,e9zR4mvMWw7_2e52341d21b940b5b38a9e26c4cf4200,stage1_prescreen_manual:27,PreScreen_manual,1
556,156,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,stage1_prescreen_semi:2,PreScreen_semi,1
557,157,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,stage3_gold_manual:13,Gold_manual,1
561,159,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,stage3_validation_semi:32,Validation_semi,1
562,160,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,stage3_semiauto_test:100,SemiAuto_Test,1
563,161,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,stage1_prescreen_manual:14,PreScreen_manual,1
568,164,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,stage2_calibration_semi:8,Calibration_semi,1
569,165,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,stage3_semiauto_test:5,SemiAuto_Test,1
570,166,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,stage3_gold_manual:5,Gold_manual,1
571,167,B6ByNegPMKs_51623bde5d4a4550b2c34efe044a16dc,stage3_validation_semi:43,Validation_semi,1
572,168,wc2JMjhGNzB_77962388887942148ee65c2892600e02,stage3_validation_semi:39,Validation_semi,1
573,169,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,stage3_semiauto_test:29,SemiAuto_Test,1
579,172,7y3sRwLe3Va_9bbf903d50da4ffd9e5d1fb7c9f4d69b,stage3_semiauto_test:64,SemiAuto_Test,1
581,173,B6ByNegPMKs_f701cece31304e16a3faa7f225bfdaa8,stage1_prescreen_semi:17,PreScreen_semi,1
583,174,wc2JMjhGNzB_e6693f97b36545f7a76e03c3fe32ba8c,stage3_semiauto_test:47,SemiAuto_Test,1
584,175,7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187,stage0_pilot_manual:9,Pilot,1
585,176,e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,stage1_prescreen_semi:10,PreScreen_semi,1
586,177,wc2JMjhGNzB_1be9e528556447d0897d382ddd408766,stage1_prescreen_manual:19,PreScreen_manual,1
590,179,wc2JMjhGNzB_12757e972ea64bbfbeb14f7cf5ccaf8b,stage0_pilot_manual:5,Pilot,1
591,180,B6ByNegPMKs_53249ef8a94c4c40bd6f09c069e54d16,stage3_validation_semi:45,Validation_semi,1
599,183,B6ByNegPMKs_ce6c6753bebe462e804ec5a2fc8b0580,stage3_semiauto_test:87,SemiAuto_Test,1
601,184,B6ByNegPMKs_8a830452b3b449d08625f3d70bdd07b8,stage3_semiauto_test:70,SemiAuto_Test,1
605,186,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,stage1_prescreen_manual:30,PreScreen_manual,1
608,189,wc2JMjhGNzB_f741f370a16a403a8c758ff77be85a9c,stage3_semiauto_test:73,SemiAuto_Test,1
613,192,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,stage3_semiauto_test:48,SemiAuto_Test,1
615,193,uNb9QFRL6hY_28cd285e6d5545dda080d949bb00f1c0,stage3_gold_manual:18,Gold_manual,1
617,195,rPc6DW4iMge_e7f5cf7434824a0ab0b4cc060e863c9a,stage3_semiauto_test:52,SemiAuto_Test,1
619,196,e9zR4mvMWw7_184edf3d3a4d482dae288e4811945331,stage1_prescreen_manual:25,PreScreen_manual,1
623,198,B6ByNegPMKs_6f74372f4fbe4741b5388a6583284ad3,stage3_semiauto_test:80,SemiAuto_Test,1
624,199,wc2JMjhGNzB_a4188bbbe166473bb2ecf35bdcbec1f9,stage3_validation_semi:53,Validation_semi,1
632,204,uNb9QFRL6hY_2d80f7d125794c87aee34d9d46a78304,stage3_semiauto_test:16,SemiAuto_Test,1
633,205,rPc6DW4iMge_cabddb2506ee4bfcb2a1bcfa6625fe28,stage3_validation_semi:26,Validation_semi,1
636,207,X7HyMhZNoso_2bb4931911e4412cb51f6437a82c5b6c,stage3_validation_semi:33,Validation_semi,1
638,208,wc2JMjhGNzB_afdf0c43bc4f4daab702050ad1173e78,stage3_semiauto_test:35,SemiAuto_Test,1
640,209,uNb9QFRL6hY_9b675f28ab5f4345bf06ed5c77097426,stage3_gold_manual:10,Gold_manual,1
641,210,uNb9QFRL6hY_23ed105b1f0f48bbb6ec025df9d313e7,stage3_semiauto_test:92,SemiAuto_Test,1
645,213,wc2JMjhGNzB_479b5e13d201492086bb3b69be5b124d,stage1_prescreen_manual:17,PreScreen_manual,1
653,215,wc2JMjhGNzB_9d8a625f48194382a0bfb748b1126069,stage3_semiauto_test:61,SemiAuto_Test,1
654,216,yqstnuAEVhm_700c8b94ab594ac1910e650da9f93c18,stage0_pilot_manual:4,Pilot,1
655,217,q9vSo1VnCiC_b691f1462d2b4d2cbc501f676af8ca1f,stage0_pilot_manual:14,Pilot,1
658,219,uNb9QFRL6hY_dcbe971afee14c57beb3c76980ead77a,stage1_prescreen_semi:3,PreScreen_semi,1
660,220,yqstnuAEVhm_64ea2c01d6184c35a9575a3e585a9b75,stage3_validation_semi:10,Validation_semi,1
