stage,base_task_id,canonical_annotation_id,worker_id,canonical_geometry,consensus_status,consensus_medoid_annotation_id,source_artifact,source_sha256
P1,3055,1707cddacfb80ad2,10,"[[191.0,372.5],[194.0,166.5],[418.0,324.0],[421.0,203.0],[597.0,200.0],[597.0,327.0],[842.0,157.5],[845.5,378.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3055,97049183eb982350,11,"[[191.0,378.5],[200.5,174.0],[422.0,205.5],[422.0,327.0],[589.5,331.0],[594.5,203.0],[834.5,167.5],[839.0,377.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3055,d366bcd1ee684385,12,"[[177.5,377.5],[190.0,175.0],[421.5,208.5],[425.5,321.0],[588.0,325.5],[596.5,206.5],[819.5,187.5],[824.0,375.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3055,86c80ddc2433f7df,13,"[[191.0,372.5],[194.0,166.5],[418.0,324.0],[421.0,203.0],[597.0,200.0],[597.0,327.0],[842.0,160.0],[845.5,378.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3055,0fb974eb2f3144ee,14,"[[191.0,372.5],[194.0,166.5],[418.0,324.0],[421.0,203.0],[597.0,200.0],[597.0,327.0],[842.0,160.0],[845.5,378.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3055,b0116da2af71a4ec,15,"[[197.0,174.5],[197.0,372.5],[421.0,206.5],[423.0,326.5],[593.5,205.0],[593.5,324.5],[833.0,375.0],[837.5,163.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3055,2204ad06a7cf0671,17,"[[194.5,373.5],[200.0,172.5],[419.0,205.0],[422.5,328.5],[593.0,325.5],[595.0,202.0],[848.5,158.0],[848.5,376.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3055,6c11bfc31b800170,18,"[[196.0,169.0],[198.0,369.0],[421.5,319.0],[423.5,208.5],[590.0,317.0],[596.5,206.5],[840.5,377.5],[846.5,160.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3055,1ca216a593ef9439,19,"[[194.0,168.0],[214.5,374.5],[419.5,206.5],[419.5,319.5],[591.5,332.5],[595.5,201.5],[731.5,371.0],[732.5,176.0],[811.0,194.0],[812.5,376.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3055,8e684346a4358fa7,2,"[[196.0,169.0],[198.0,369.0],[421.5,319.0],[423.5,208.5],[590.0,317.0],[596.5,206.5],[840.5,377.5],[846.5,160.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3055,8432135564249be4,21,"[[197.0,174.5],[197.0,372.5],[421.0,206.5],[423.0,326.5],[594.5,206.0],[597.0,324.5],[833.0,375.0],[837.5,163.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3055,5e47fb68e3f9fb49,6,"[[194.5,373.5],[200.0,172.5],[419.0,205.0],[422.5,328.5],[593.0,325.5],[595.0,202.0],[848.5,158.0],[848.5,376.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3055,ae126ae09cc9ca1f,8,"[[198.0,173.5],[198.0,365.5],[425.0,207.0],[425.0,320.5],[597.0,205.0],[597.0,320.5],[830.0,163.5],[830.0,372.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3056,b56fb0f8553a75cf,1,"[[159.0,409.5],[161.0,149.0],[354.0,421.5],[356.0,159.0],[654.0,135.0],[660.0,421.5],[891.0,431.5],[893.0,133.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3056,418f3b1d89b36db3,10,"[[157.5,133.5],[160.5,427.0],[348.5,136.5],[348.5,418.0],[648.5,121.0],[654.5,433.0],[887.5,430.0],[893.5,130.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3056,c17faf5a48e89320,11,"[[162.5,137.0],[164.5,436.5],[350.5,420.5],[358.5,131.0],[653.5,426.5],[657.5,123.5],[892.5,125.0],[892.5,432.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3056,39b76bef6310a8de,12,"[[156.5,150.0],[156.5,396.5],[344.0,158.5],[344.0,409.0],[665.5,415.0],[667.5,152.0],[886.5,131.5],[890.5,423.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3056,e62338b4626f0c8a,13,"[[160.5,427.0],[163.0,154.5],[348.5,418.0],[351.0,144.5],[654.5,433.0],[656.5,137.0],[887.5,430.0],[896.5,138.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3056,0f472f196824d00e,14,"[[160.5,427.0],[163.0,154.5],[348.5,418.0],[351.0,144.5],[654.5,433.0],[656.5,137.0],[887.5,430.0],[896.5,138.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3056,3bb306297047e08a,15,"[[159.0,138.5],[160.5,426.0],[345.5,135.5],[350.0,420.0],[653.5,121.0],[655.0,427.5],[888.5,122.5],[888.5,433.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3056,9f011df25dac7cb9,17,"[[159.5,134.0],[162.5,415.0],[327.5,125.5],[329.5,425.5],[679.0,438.0],[681.5,107.0],[889.5,429.0],[892.0,121.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3056,2465e9f86fa1749d,18,"[[154.5,402.5],[156.5,139.5],[348.5,404.5],[354.5,135.5],[653.0,415.0],[661.0,131.5],[884.5,431.5],[892.5,125.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3056,d1ded26e80b45fc5,19,"[[158.0,146.5],[160.5,398.0],[344.0,149.0],[347.5,409.5],[460.5,319.5],[466.0,174.5],[569.5,356.5],[573.5,176.0],[650.5,149.0],[897.0,140.0],[922.5,431.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3056,e159a8e6dc000639,2,"[[160.5,152.5],[160.5,426.0],[351.5,151.5],[351.5,420.0],[649.5,141.0],[650.5,431.0],[892.0,133.5],[892.0,428.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3056,142dfc3f9b37cb3a,21,"[[160.5,426.0],[162.0,150.0],[348.5,147.5],[350.0,420.0],[655.0,137.0],[655.0,427.5],[891.0,138.5],[891.0,430.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3056,44e202efdaaa1086,6,"[[159.5,134.0],[162.5,415.0],[327.5,125.5],[329.5,425.5],[679.0,438.0],[681.5,107.0],[889.5,429.0],[892.0,121.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3056,07295986e75ee411,8,"[[160.5,154.5],[160.5,424.0],[354.5,154.5],[354.5,412.0],[654.5,142.5],[654.5,427.0],[893.5,142.5],[893.5,433.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3057,16f93817216fbedd,1,"[[220.5,318.0],[222.5,228.5],[290.5,322.0],[300.0,228.5],[755.5,248.5],[755.5,278.5],[777.5,278.5],[781.5,246.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3057,b17ba1384ab94447,10,"[[227.0,212.0],[230.0,303.0],[285.0,212.0],[285.0,300.0],[757.5,245.5],[760.5,272.5],[775.5,242.5],[775.5,272.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3057,3be1cfa09ff1f4a0,11,"[[232.0,305.0],[233.0,211.0],[285.5,305.0],[291.5,211.5],[762.0,247.0],[762.0,278.0],[775.0,248.0],[775.5,277.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3057,474404c2ac9d79ca,12,"[[225.0,306.5],[229.5,223.0],[290.0,221.0],[290.0,304.5],[757.0,238.0],[759.0,281.5],[780.0,233.5],[782.0,281.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3057,829002ca0158f88b,13,"[[227.0,212.0],[230.0,303.0],[285.0,212.0],[285.0,300.0],[758.0,277.0],[758.5,245.0],[777.0,276.5],[777.5,244.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3057,0d9906c4c8bb57f8,14,"[[227.0,212.0],[230.0,303.0],[285.0,212.0],[285.0,300.0],[758.0,277.0],[758.5,245.0],[777.0,276.5],[777.5,244.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3057,c9e70c42a286d3fc,15,"[[220.5,323.5],[226.5,198.5],[287.5,323.5],[288.0,201.0],[759.5,278.0],[760.0,243.0],[777.0,242.5],[778.5,277.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3057,f62e67027c50f0e4,17,"[[231.5,229.5],[231.5,307.0],[288.5,230.5],[288.5,306.5],[760.0,245.5],[760.0,276.0],[776.0,246.5],[776.0,276.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3057,9660d6b44da996d0,18,"[[238.0,290.0],[242.0,221.0],[290.0,294.0],[292.0,221.0],[757.0,242.0],[761.0,269.0],[778.0,240.0],[778.0,267.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3057,acbe8b7b71d168dc,19,"[[294.0,224.5],[294.0,322.0],[300.5,330.0],[303.0,215.5],[757.0,237.5],[761.0,276.0],[767.5,277.0],[772.5,240.0]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3057,662e08a9d9d5c8b2,2,"[[230.0,206.5],[230.0,307.5],[287.5,308.0],[288.0,208.5],[759.5,278.0],[760.0,243.0],[777.0,242.5],[778.5,277.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
P1,3057,80df86ca9dbee9d5,21,"[[220.5,323.5],[226.5,198.5],[287.5,323.5],[288.0,201.0],[759.5,278.0],[760.0,243.0],[777.0,242.5],[778.5,277.5]]",not_applicable_p1,not_applicable_p1,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,ac216312875fd79a72efe0141a4a5dc88c3b0618e9720efdffe4b30331f8776d
