evidence_id,metric_group,value,unit,denominator,definition,source_path,generator_path,verification_level,verification_detail,limitations,conflict_status,conflict_note
"active_time.task_adjusted_profile.median_seconds","task_adjusted_active_time_profile","122.99822909221061","seconds","n=22 estimated worker profiles","22 个 task-adjusted worker active-time profile 的中位数。","analysis_results/full_uncertainty_data_mining_20260821_v5/WORKER_FACT.CSV","tools/thesis_main/analysis/materialize_c1_rehearsal_audits.py; tools/thesis_main/analysis/materialize_paper_a_data_discovery.py; tools/thesis_main/analysis/full_uncertainty/materialize_full_uncertainty_data_mining_v5.py","recomputed","重读 26 行 worker profile，筛出 22 个 estimated 非空值后重算 N、median、q25、q75、min、max。","T_active_task_adjusted 是 log1p(seconds) 的 worker+runtime-task fixed-effect 模型在任务集合上标准化后再 expm1 回秒数，不是 raw median；仅代表当前任务和 roster；时间不是能力轴。24-worker 方差模型与 22-worker完整画像分布分母不同，不构成冲突。","none",""
"active_time.task_adjusted_profile.q25_seconds","task_adjusted_active_time_profile","65.39522110388631","seconds","n=22 estimated worker profiles","22 个 profile 的 25% 分位数（线性分位数）。","analysis_results/full_uncertainty_data_mining_20260821_v5/WORKER_FACT.CSV","tools/thesis_main/analysis/materialize_c1_rehearsal_audits.py; tools/thesis_main/analysis/materialize_paper_a_data_discovery.py; tools/thesis_main/analysis/full_uncertainty/materialize_full_uncertainty_data_mining_v5.py","recomputed","重读 26 行 worker profile，筛出 22 个 estimated 非空值后重算 N、median、q25、q75、min、max。","T_active_task_adjusted 是 log1p(seconds) 的 worker+runtime-task fixed-effect 模型在任务集合上标准化后再 expm1 回秒数，不是 raw median；仅代表当前任务和 roster；时间不是能力轴。24-worker 方差模型与 22-worker完整画像分布分母不同，不构成冲突。","none",""
"active_time.task_adjusted_profile.q75_seconds","task_adjusted_active_time_profile","165.08266069607197","seconds","n=22 estimated worker profiles","22 个 profile 的 75% 分位数（线性分位数）。","analysis_results/full_uncertainty_data_mining_20260821_v5/WORKER_FACT.CSV","tools/thesis_main/analysis/materialize_c1_rehearsal_audits.py; tools/thesis_main/analysis/materialize_paper_a_data_discovery.py; tools/thesis_main/analysis/full_uncertainty/materialize_full_uncertainty_data_mining_v5.py","recomputed","重读 26 行 worker profile，筛出 22 个 estimated 非空值后重算 N、median、q25、q75、min、max。","T_active_task_adjusted 是 log1p(seconds) 的 worker+runtime-task fixed-effect 模型在任务集合上标准化后再 expm1 回秒数，不是 raw median；仅代表当前任务和 roster；时间不是能力轴。24-worker 方差模型与 22-worker完整画像分布分母不同，不构成冲突。","none",""
"active_time.task_adjusted_profile.min_seconds","task_adjusted_active_time_profile","11.048526481439602","seconds","n=22 estimated worker profiles","22 个 profile 的最小值。","analysis_results/full_uncertainty_data_mining_20260821_v5/WORKER_FACT.CSV","tools/thesis_main/analysis/materialize_c1_rehearsal_audits.py; tools/thesis_main/analysis/materialize_paper_a_data_discovery.py; tools/thesis_main/analysis/full_uncertainty/materialize_full_uncertainty_data_mining_v5.py","recomputed","重读 26 行 worker profile，筛出 22 个 estimated 非空值后重算 N、median、q25、q75、min、max。","T_active_task_adjusted 是 log1p(seconds) 的 worker+runtime-task fixed-effect 模型在任务集合上标准化后再 expm1 回秒数，不是 raw median；仅代表当前任务和 roster；时间不是能力轴。24-worker 方差模型与 22-worker完整画像分布分母不同，不构成冲突。","none",""
"active_time.task_adjusted_profile.max_seconds","task_adjusted_active_time_profile","401.78660803850784","seconds","n=22 estimated worker profiles","22 个 profile 的最大值。","analysis_results/full_uncertainty_data_mining_20260821_v5/WORKER_FACT.CSV","tools/thesis_main/analysis/materialize_c1_rehearsal_audits.py; tools/thesis_main/analysis/materialize_paper_a_data_discovery.py; tools/thesis_main/analysis/full_uncertainty/materialize_full_uncertainty_data_mining_v5.py","recomputed","重读 26 行 worker profile，筛出 22 个 estimated 非空值后重算 N、median、q25、q75、min、max。","T_active_task_adjusted 是 log1p(seconds) 的 worker+runtime-task fixed-effect 模型在任务集合上标准化后再 expm1 回秒数，不是 raw median；仅代表当前任务和 roster；时间不是能力轴。24-worker 方差模型与 22-worker完整画像分布分母不同，不构成冲突。","none",""
"rarefaction.continuous_abs_error_le_0_03.k3","dense_manual_rarefaction_continuous_recovery","0.521547619047619","probability","42 main_p1_c1_dense42 task-image cells; 1000 without-replacement subsamples per cell; full strict-valid support=23–26","跨 42 图平均 P(|D(k)-D(full)|≤0.03)，k=3；D=mean pairwise (1-wall-region mask IoU)。","analysis_results/rq1_stratified_uncertainty_20260827_v1/dense_rarefaction_by_task_k.csv","tools/thesis_main/analysis/analyze_rq1_stratified_uncertainty_20260827.py","recomputed","筛 dense_role=main_p1_c1_dense42，按 k 对 task-level probability_abs_error_le_0_03 等权求均值。","目标是当前有限历史 strict-valid roster 的 full-sample 值，不外推新 worker；不含 invalid risk；42 图为高密度选择集，不代表自然 prevalence。","none",""
"rarefaction.continuous_abs_error_le_0_03.k5","dense_manual_rarefaction_continuous_recovery","0.647547619047619","probability","42 main_p1_c1_dense42 task-image cells; 1000 without-replacement subsamples per cell; full strict-valid support=23–26","跨 42 图平均 P(|D(k)-D(full)|≤0.03)，k=5；D=mean pairwise (1-wall-region mask IoU)。","analysis_results/rq1_stratified_uncertainty_20260827_v1/dense_rarefaction_by_task_k.csv","tools/thesis_main/analysis/analyze_rq1_stratified_uncertainty_20260827.py","recomputed","筛 dense_role=main_p1_c1_dense42，按 k 对 task-level probability_abs_error_le_0_03 等权求均值。","目标是当前有限历史 strict-valid roster 的 full-sample 值，不外推新 worker；不含 invalid risk；42 图为高密度选择集，不代表自然 prevalence。","none",""
"rarefaction.continuous_abs_error_le_0_03.k8","dense_manual_rarefaction_continuous_recovery","0.7506666666666666","probability","42 main_p1_c1_dense42 task-image cells; 1000 without-replacement subsamples per cell; full strict-valid support=23–26","跨 42 图平均 P(|D(k)-D(full)|≤0.03)，k=8；D=mean pairwise (1-wall-region mask IoU)。","analysis_results/rq1_stratified_uncertainty_20260827_v1/dense_rarefaction_by_task_k.csv","tools/thesis_main/analysis/analyze_rq1_stratified_uncertainty_20260827.py","recomputed","筛 dense_role=main_p1_c1_dense42，按 k 对 task-level probability_abs_error_le_0_03 等权求均值。","目标是当前有限历史 strict-valid roster 的 full-sample 值，不外推新 worker；不含 invalid risk；42 图为高密度选择集，不代表自然 prevalence。","none",""
"rarefaction.continuous_abs_error_le_0_03.k10","dense_manual_rarefaction_continuous_recovery","0.804","probability","42 main_p1_c1_dense42 task-image cells; 1000 without-replacement subsamples per cell; full strict-valid support=23–26","跨 42 图平均 P(|D(k)-D(full)|≤0.03)，k=10；D=mean pairwise (1-wall-region mask IoU)。","analysis_results/rq1_stratified_uncertainty_20260827_v1/dense_rarefaction_by_task_k.csv","tools/thesis_main/analysis/analyze_rq1_stratified_uncertainty_20260827.py","recomputed","筛 dense_role=main_p1_c1_dense42，按 k 对 task-level probability_abs_error_le_0_03 等权求均值。","目标是当前有限历史 strict-valid roster 的 full-sample 值，不外推新 worker；不含 invalid risk；42 图为高密度选择集，不代表自然 prevalence。","none",""
"rarefaction.continuous_abs_error_le_0_03.k12","dense_manual_rarefaction_continuous_recovery","0.843095238095238","probability","42 main_p1_c1_dense42 task-image cells; 1000 without-replacement subsamples per cell; full strict-valid support=23–26","跨 42 图平均 P(|D(k)-D(full)|≤0.03)，k=12；D=mean pairwise (1-wall-region mask IoU)。","analysis_results/rq1_stratified_uncertainty_20260827_v1/dense_rarefaction_by_task_k.csv","tools/thesis_main/analysis/analyze_rq1_stratified_uncertainty_20260827.py","recomputed","筛 dense_role=main_p1_c1_dense42，按 k 对 task-level probability_abs_error_le_0_03 等权求均值。","目标是当前有限历史 strict-valid roster 的 full-sample 值，不外推新 worker；不含 invalid risk；42 图为高密度选择集，不代表自然 prevalence。","none",""
"rarefaction.continuous_abs_error_le_0_03.k15","dense_manual_rarefaction_continuous_recovery","0.909142857142857","probability","42 main_p1_c1_dense42 task-image cells; 1000 without-replacement subsamples per cell; full strict-valid support=23–26","跨 42 图平均 P(|D(k)-D(full)|≤0.03)，k=15；D=mean pairwise (1-wall-region mask IoU)。","analysis_results/rq1_stratified_uncertainty_20260827_v1/dense_rarefaction_by_task_k.csv","tools/thesis_main/analysis/analyze_rq1_stratified_uncertainty_20260827.py","recomputed","筛 dense_role=main_p1_c1_dense42，按 k 对 task-level probability_abs_error_le_0_03 等权求均值。","目标是当前有限历史 strict-valid roster 的 full-sample 值，不外推新 worker；不含 invalid risk；42 图为高密度选择集，不代表自然 prevalence。","none",""
"rarefaction.continuous_abs_error_le_0_03.k20","dense_manual_rarefaction_continuous_recovery","0.9780476190476192","probability","42 main_p1_c1_dense42 task-image cells; 1000 without-replacement subsamples per cell; full strict-valid support=23–26","跨 42 图平均 P(|D(k)-D(full)|≤0.03)，k=20；D=mean pairwise (1-wall-region mask IoU)。","analysis_results/rq1_stratified_uncertainty_20260827_v1/dense_rarefaction_by_task_k.csv","tools/thesis_main/analysis/analyze_rq1_stratified_uncertainty_20260827.py","recomputed","筛 dense_role=main_p1_c1_dense42，按 k 对 task-level probability_abs_error_le_0_03 等权求均值。","目标是当前有限历史 strict-valid roster 的 full-sample 值，不外推新 worker；不含 invalid risk；42 图为高密度选择集，不代表自然 prevalence。","none",""
"rarefaction.cardinality_diversity_detection.k3","dense_manual_rarefaction_cardinality_detection","0.529108108108108","probability","37 of 42 full-cardinality-diverse task-image cells; 1000 without-replacement subsamples per cell","full roster 确有多种 vertical-boundary cardinality 时，k=3 子样本观察到至少两种 cardinality 的 task-equal 平均概率。","analysis_results/rq1_stratified_uncertainty_20260827_v1/dense_rarefaction_by_task_k.csv","tools/thesis_main/analysis/analyze_rq1_stratified_uncertainty_20260827.py","recomputed","筛 dense_role=main_p1_c1_dense42 且 full_cardinality_diverse=true，按 k 等权求均值。","只检测垂直边界数量多样性，不是完整拓扑、多峰合理性或少数模式正确性；条件分母 37；有限 roster 与 strict-valid 边界同上。","none",""
"rarefaction.cardinality_diversity_detection.k5","dense_manual_rarefaction_cardinality_detection","0.6338378378378378","probability","37 of 42 full-cardinality-diverse task-image cells; 1000 without-replacement subsamples per cell","full roster 确有多种 vertical-boundary cardinality 时，k=5 子样本观察到至少两种 cardinality 的 task-equal 平均概率。","analysis_results/rq1_stratified_uncertainty_20260827_v1/dense_rarefaction_by_task_k.csv","tools/thesis_main/analysis/analyze_rq1_stratified_uncertainty_20260827.py","recomputed","筛 dense_role=main_p1_c1_dense42 且 full_cardinality_diverse=true，按 k 等权求均值。","只检测垂直边界数量多样性，不是完整拓扑、多峰合理性或少数模式正确性；条件分母 37；有限 roster 与 strict-valid 边界同上。","none",""
"rarefaction.cardinality_diversity_detection.k8","dense_manual_rarefaction_cardinality_detection","0.7305945945945946","probability","37 of 42 full-cardinality-diverse task-image cells; 1000 without-replacement subsamples per cell","full roster 确有多种 vertical-boundary cardinality 时，k=8 子样本观察到至少两种 cardinality 的 task-equal 平均概率。","analysis_results/rq1_stratified_uncertainty_20260827_v1/dense_rarefaction_by_task_k.csv","tools/thesis_main/analysis/analyze_rq1_stratified_uncertainty_20260827.py","recomputed","筛 dense_role=main_p1_c1_dense42 且 full_cardinality_diverse=true，按 k 等权求均值。","只检测垂直边界数量多样性，不是完整拓扑、多峰合理性或少数模式正确性；条件分母 37；有限 roster 与 strict-valid 边界同上。","none",""
"rarefaction.cardinality_diversity_detection.k10","dense_manual_rarefaction_cardinality_detection","0.7822162162162162","probability","37 of 42 full-cardinality-diverse task-image cells; 1000 without-replacement subsamples per cell","full roster 确有多种 vertical-boundary cardinality 时，k=10 子样本观察到至少两种 cardinality 的 task-equal 平均概率。","analysis_results/rq1_stratified_uncertainty_20260827_v1/dense_rarefaction_by_task_k.csv","tools/thesis_main/analysis/analyze_rq1_stratified_uncertainty_20260827.py","recomputed","筛 dense_role=main_p1_c1_dense42 且 full_cardinality_diverse=true，按 k 等权求均值。","只检测垂直边界数量多样性，不是完整拓扑、多峰合理性或少数模式正确性；条件分母 37；有限 roster 与 strict-valid 边界同上。","none",""
"rarefaction.cardinality_diversity_detection.k12","dense_manual_rarefaction_cardinality_detection","0.8265945945945946","probability","37 of 42 full-cardinality-diverse task-image cells; 1000 without-replacement subsamples per cell","full roster 确有多种 vertical-boundary cardinality 时，k=12 子样本观察到至少两种 cardinality 的 task-equal 平均概率。","analysis_results/rq1_stratified_uncertainty_20260827_v1/dense_rarefaction_by_task_k.csv","tools/thesis_main/analysis/analyze_rq1_stratified_uncertainty_20260827.py","recomputed","筛 dense_role=main_p1_c1_dense42 且 full_cardinality_diverse=true，按 k 等权求均值。","只检测垂直边界数量多样性，不是完整拓扑、多峰合理性或少数模式正确性；条件分母 37；有限 roster 与 strict-valid 边界同上。","none",""
"rarefaction.cardinality_diversity_detection.k15","dense_manual_rarefaction_cardinality_detection","0.8815675675675676","probability","37 of 42 full-cardinality-diverse task-image cells; 1000 without-replacement subsamples per cell","full roster 确有多种 vertical-boundary cardinality 时，k=15 子样本观察到至少两种 cardinality 的 task-equal 平均概率。","analysis_results/rq1_stratified_uncertainty_20260827_v1/dense_rarefaction_by_task_k.csv","tools/thesis_main/analysis/analyze_rq1_stratified_uncertainty_20260827.py","recomputed","筛 dense_role=main_p1_c1_dense42 且 full_cardinality_diverse=true，按 k 等权求均值。","只检测垂直边界数量多样性，不是完整拓扑、多峰合理性或少数模式正确性；条件分母 37；有限 roster 与 strict-valid 边界同上。","none",""
"rarefaction.cardinality_diversity_detection.k20","dense_manual_rarefaction_cardinality_detection","0.9543513513513513","probability","37 of 42 full-cardinality-diverse task-image cells; 1000 without-replacement subsamples per cell","full roster 确有多种 vertical-boundary cardinality 时，k=20 子样本观察到至少两种 cardinality 的 task-equal 平均概率。","analysis_results/rq1_stratified_uncertainty_20260827_v1/dense_rarefaction_by_task_k.csv","tools/thesis_main/analysis/analyze_rq1_stratified_uncertainty_20260827.py","recomputed","筛 dense_role=main_p1_c1_dense42 且 full_cardinality_diverse=true，按 k 等权求均值。","只检测垂直边界数量多样性，不是完整拓扑、多峰合理性或少数模式正确性；条件分母 37；有限 roster 与 strict-valid 边界同上。","none",""
"worker_cluster.max_silhouette","worker_exploratory_clustering","0.2005161466812476","silhouette","20 current workers; 10 features; 8 candidate method-k configurations (Ward/GMM-diag × k=2..5)","全部候选中最高 silhouette；Ward k=3，cluster sizes=9;9;2。","analysis_results/uncertainty_threshold_anchoring_worker_types_20260823/WORKER_CLUSTERING_DIAGNOSTICS_CURRENT20.csv","tools/thesis_main/analysis/full_uncertainty/analyze_threshold_anchoring_worker_types_20260823.py","recomputed","重算 diagnostics 表中 silhouette 最大值并核对 method、k、n_workers、n_features、cluster_sizes。","探索性同样本择优；特征含中位数插补与 robust scaling，proposal 支持稀疏；0.201 很低，不支持稳定离散 worker taxonomy。","none",""
"worker_cluster.split_half_ari.evaluable_n","worker_cluster_split_half_stability","154","repeats","300 planned repeats; 20 current workers; chosen Ward k=3","300 次 task split-half 中成功计算 ARI 的次数。","analysis_results/uncertainty_threshold_anchoring_worker_types_20260823/WORKER_CLUSTER_SPLIT_HALF_STABILITY.csv","tools/thesis_main/analysis/full_uncertainty/analyze_threshold_anchoring_worker_types_20260823.py","recomputed","重读 300 行；对 154 个非空 ARI 重算 count、median、q25、q75，并核对 146 个 not_evaluable。","146/300 不可评估本身显示稀疏特征不稳定；task split-half 不是 worker test-retest；k=3 来自 full-data 探索性 silhouette 选择。","none",""
"worker_cluster.split_half_ari.not_evaluable_n","worker_cluster_split_half_stability","146","repeats","300 planned repeats; 20 current workers; chosen Ward k=3","300 次中因半样本特征支持/变异不足或聚类失败而不可评估的次数。","analysis_results/uncertainty_threshold_anchoring_worker_types_20260823/WORKER_CLUSTER_SPLIT_HALF_STABILITY.csv","tools/thesis_main/analysis/full_uncertainty/analyze_threshold_anchoring_worker_types_20260823.py","recomputed","重读 300 行；对 154 个非空 ARI 重算 count、median、q25、q75，并核对 146 个 not_evaluable。","146/300 不可评估本身显示稀疏特征不稳定；task split-half 不是 worker test-retest；k=3 来自 full-data 探索性 silhouette 选择。","none",""
"worker_cluster.split_half_ari.median","worker_cluster_split_half_stability","0.12024559893473132","ARI","154 evaluable of 300 repeats; 20 current workers; chosen Ward k=3","154 个可评估 ARI 的中位数。","analysis_results/uncertainty_threshold_anchoring_worker_types_20260823/WORKER_CLUSTER_SPLIT_HALF_STABILITY.csv","tools/thesis_main/analysis/full_uncertainty/analyze_threshold_anchoring_worker_types_20260823.py","recomputed","重读 300 行；对 154 个非空 ARI 重算 count、median、q25、q75，并核对 146 个 not_evaluable。","146/300 不可评估本身显示稀疏特征不稳定；task split-half 不是 worker test-retest；k=3 来自 full-data 探索性 silhouette 选择。","none",""
"worker_cluster.split_half_ari.q25","worker_cluster_split_half_stability","0.0110235968605077","ARI","154 evaluable of 300 repeats; 20 current workers; chosen Ward k=3","154 个可评估 ARI 的 25% 分位数。","analysis_results/uncertainty_threshold_anchoring_worker_types_20260823/WORKER_CLUSTER_SPLIT_HALF_STABILITY.csv","tools/thesis_main/analysis/full_uncertainty/analyze_threshold_anchoring_worker_types_20260823.py","recomputed","重读 300 行；对 154 个非空 ARI 重算 count、median、q25、q75，并核对 146 个 not_evaluable。","146/300 不可评估本身显示稀疏特征不稳定；task split-half 不是 worker test-retest；k=3 来自 full-data 探索性 silhouette 选择。","none",""
"worker_cluster.split_half_ari.q75","worker_cluster_split_half_stability","0.26553709362997807","ARI","154 evaluable of 300 repeats; 20 current workers; chosen Ward k=3","154 个可评估 ARI 的 75% 分位数。","analysis_results/uncertainty_threshold_anchoring_worker_types_20260823/WORKER_CLUSTER_SPLIT_HALF_STABILITY.csv","tools/thesis_main/analysis/full_uncertainty/analyze_threshold_anchoring_worker_types_20260823.py","recomputed","重读 300 行；对 154 个非空 ARI 重算 count、median、q25、q75，并核对 146 个 not_evaluable。","146/300 不可评估本身显示稀疏特征不稳定；task split-half 不是 worker test-retest；k=3 来自 full-data 探索性 silhouette 选择。","none",""
