group_code,image_id,building,number,path,split,main_visual_space,expected_annotation_extent,ambiguity_and_information,n_people_any,n_people_unassisted,n_people_manual_included,n_people_model_assisted,n_current20_manual,n_current20_any_seen,n_current20_no_record,max_current20_without_reusing_seen_nonmanual,naive_historical_topup_to20,nominal_current20_topup,n_current20_seen_nonmanual,current20_manual_workers,current20_no_record_workers,current20_seen_nonmanual_workers,coarse_type,coarse_label_provenance,boundary_label,user_doorway_group_codes,group_codes,exposure_interpretation
G237,yqstnuAEVhm_2b3fb4746d414cc6a31729b222ed79b2,yqstnuAEVhm,5,data/mp3d_layout/test/img/yqstnuAEVhm_2b3fb4746d414cc6a31729b222ed79b2.png,test,正式餐厅,长餐桌、嵌入展示壁柜、窗墙及多个门洞,桌椅遮墙脚，客厅和书房通过不同门洞出现,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,厨房与用餐,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G237;G239,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G237,yqstnuAEVhm_4ab11dce32f346b2becac29e0ac6e526,yqstnuAEVhm,10,data/mp3d_layout/test/img/yqstnuAEVhm_4ab11dce32f346b2becac29e0ac6e526.png,test,正式餐厅,长餐桌、嵌入展示壁柜、窗墙及多个门洞,桌椅遮墙脚，客厅和书房通过不同门洞出现,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,厨房与用餐,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G237,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G237,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,26,data/mp3d_layout/test/img/yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599.png,test,正式餐厅,长餐桌、嵌入展示壁柜、窗墙及多个门洞,桌椅遮墙脚，客厅和书房通过不同门洞出现,26,26,25,0,20,20,0,20,0,0,0,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,,厨房与用餐,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G237,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G165,rPc6DW4iMge_0226db0c3fd24410bbf3db5e6d4b24fe,rPc6DW4iMge,2,data/mp3d_layout/test/img/rPc6DW4iMge_0226db0c3fd24410bbf3db5e6d4b24fe.png,test,黑床头卧室,两窗、衣柜门、卫浴门围合,床柜遮挡墙脚但主体完整,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G165,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G165,rPc6DW4iMge_7316bf706e0d46368334c0c989210e09,rPc6DW4iMge,14,data/mp3d_layout/test/img/rPc6DW4iMge_7316bf706e0d46368334c0c989210e09.png,test,黑床头卧室柜侧,床、双窗、卫浴门及衣柜门,柜床遮挡与02相近,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G165,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G165,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,15,data/mp3d_layout/test/img/rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd.png,test,黑床头卧室窗侧,双窗床区及衣柜门围合,更近窗但主卧室范围完整,23,23,23,0,20,20,0,20,0,0,0,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G165,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G200,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,70,data/mp3d_layout/test/img/uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384.png,test,主套间另一衣帽室,抽屉层板、鞋格及门围合,固定柜列数可辨，对面柜室不合入,26,26,25,0,20,20,0,20,0,0,0,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,,储藏与家务辅助,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G182;G200,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G200,uNb9QFRL6hY_dba77340b24340be9c7242cba42f1e28,uNb9QFRL6hY,74,data/mp3d_layout/test/img/uNb9QFRL6hY_dba77340b24340be9c7242cba42f1e28.png,test,主套间另一衣帽室柜前,多组固定柜与鞋格围合,近柜，柜体贴墙信息与70一致,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,储藏与家务辅助,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G200,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G036,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,33,data/mp3d_layout/test/img/B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993.png,test,红管走廊为主,相机所在这段走道及其可见转角；不是整层所有连通廊道或玻璃后的房间,近处玻璃/门框及透过玻璃的其他空间可能影响范围识别；顶面梁管不能直接等同布局墙界。,26,26,25,0,20,20,0,20,0,0,0,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G035;G036,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G036,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,37,data/mp3d_layout/test/img/B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37.png,test,红管走廊为主,相机所在这段走道及其可见转角；不是整层所有连通廊道或玻璃后的房间,近处玻璃/门框及透过玻璃的其他空间可能影响范围识别；顶面梁管不能直接等同布局墙界。,10,6,6,4,5,8,12,17,14,15,3,13;28;29;34;35,1;2;6;11;12;15;17;30;31;32;33;36,8;10;37,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G036,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G057,VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,VFuaQ6m2Qom,1,data/mp3d_layout/valid/img/VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a.png,valid,中央椭圆浴缸主卫,双洗手台、玻璃淋浴及法式窗围合,两侧小厕位开口、镜面与淋浴玻璃,2,2,2,0,2,2,18,20,18,18,0,30;31,1;2;6;8;10;11;12;13;15;17;28;29;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G057;G058,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G057,VFuaQ6m2Qom_24d1e0ee55a542b68d600b81eae4f4d4,VFuaQ6m2Qom,2,data/mp3d_layout/valid/img/VFuaQ6m2Qom_24d1e0ee55a542b68d600b81eae4f4d4.png,valid,主卫近法式窗,01主卫围合,门外木地板过道次要,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G057,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G057,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom,4,data/mp3d_layout/valid/img/VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85.png,valid,主卫浴缸窗侧,01主卫围合,玻璃及厕位开口,7,7,7,0,7,7,13,20,13,13,0,10;17;30;31;32;33;34,1;2;6;8;11;12;13;15;28;29;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G057,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G057,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,7,data/mp3d_layout/valid/img/VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d.png,valid,主卫近淋浴,01主卫围合,淋浴玻璃及两侧厕位更显著,20,20,19,0,19,20,0,19,1,1,1,1;2;6;8;10;11;12;13;15;17;29;30;31;32;33;34;35;36;37,,28,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G057,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G057,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,VFuaQ6m2Qom,10,data/mp3d_layout/valid/img/VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8.png,valid,主卫洗手台侧,01主卫围合,近台面镜面遮挡,5,5,5,0,5,5,15,20,15,15,0,11;30;31;35;37,1;2;6;8;10;12;13;15;17;28;29;32;33;34;36,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G057,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G057,VFuaQ6m2Qom_f75a440593bb4140b899730917096859,VFuaQ6m2Qom,11,data/mp3d_layout/valid/img/VFuaQ6m2Qom_f75a440593bb4140b899730917096859.png,valid,主卫近入口,主卫与门外过道可见范围,开门洞较突出，主卫仍完整,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,近交界暂不归入,,G057,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G197,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,47,data/mp3d_layout/test/img/uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5.png,test,小浴室内部,窄高镜台、中央窗与淋浴厕位,窗外暗墙；台上花仅辅助，固定设施为主,26,26,26,0,20,20,0,20,0,0,0,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,,卫浴,user_reviewed_disagreement_subset,暂不归入,,G194;G197,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G197,uNb9QFRL6hY_dcb326d4bb9b4a5f8d7e565ec32bce8e,uNb9QFRL6hY,75,data/mp3d_layout/test/img/uNb9QFRL6hY_dcb326d4bb9b4a5f8d7e565ec32bce8e.png,test,小浴室内部,窄高镜、长窗及淋浴厕位,窗外暗墙与树反射，柜台石纹可对照,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G197,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G202,wc2JMjhGNzB_02bbd23673904a6980dc0e22b11c6a35,wc2JMjhGNzB,2,data/mp3d_layout/test/img/wc2JMjhGNzB_02bbd23673904a6980dc0e22b11c6a35.png,test,黑金地面主卫,浴缸、双梳妆区及玻璃淋浴外主卫围合,镜面、浴缸遮挡与淋浴隔断是共享信息条件。,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G202,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G202,wc2JMjhGNzB_479b5e13d201492086bb3b69be5b124d,wc2JMjhGNzB,25,data/mp3d_layout/test/img/wc2JMjhGNzB_479b5e13d201492086bb3b69be5b124d.png,test,主卫另一梳妆侧,与02同一浴缸、梳妆、淋浴外主卫,镜面和淋浴边界共同存在，设施遮挡随视点改变。,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G202,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G202,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,wc2JMjhGNzB,26,data/mp3d_layout/test/img/wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd.png,test,主卫与附属长廊连接开口旁,主卫及长廊均近距离可见，范围可有两种解释,长廊延伸信息突出，与主卫中央视点不等价；不修改人工交界结果。,6,6,6,0,5,5,15,20,14,15,0,13;28;29;34;35,1;2;6;8;10;11;12;15;17;30;31;32;33;36;37,,卫浴,user_reviewed_disagreement_subset,近交界暂不归入,,G202,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G202,wc2JMjhGNzB_aeb3199e10354e45a4884bb185c03257,wc2JMjhGNzB,51,data/mp3d_layout/test/img/wc2JMjhGNzB_aeb3199e10354e45a4884bb185c03257.png,test,主卫浴缸侧,与02同一主卫主要围合,镜面、浴缸、玻璃隔断共享，窗台与柜后墙角需推断。,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G202,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
G202,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,53,data/mp3d_layout/test/img/wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6.png,test,主卫独立坐便间门旁,主卫与独立坐便小间均近景可见,坐便间围合及玻璃淋浴近景使范围信息与主卫中央不同。,23,23,23,0,20,20,0,20,0,0,0,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,近交界暂不归入,,G202,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
