image_id,building,number,path,split,main_visual_space,expected_annotation_extent,ambiguity_and_information,n_people_any,n_people_unassisted,n_people_manual_included,n_people_model_assisted,n_current20_manual,n_current20_any_seen,n_current20_no_record,max_current20_without_reusing_seen_nonmanual,naive_historical_topup_to20,nominal_current20_topup,n_current20_seen_nonmanual,current20_manual_workers,current20_no_record_workers,current20_seen_nonmanual_workers,coarse_type,coarse_label_provenance,boundary_label,user_doorway_group_codes,group_codes,exposure_interpretation
2t7WUuJeko7_8d51f41d9ce04dfdaae944da9c6d3847,2t7WUuJeko7,11,data/mp3d_layout/valid/img/2t7WUuJeko7_8d51f41d9ce04dfdaae944da9c6d3847.png,valid,花纹墙纸卧室全体,与01相同卧室围合,凹墙及床体相互位置匹配；视点差别较小,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G001,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
2t7WUuJeko7_9039d42e4ef4406fa57a2fbd2daba6cf,2t7WUuJeko7,12,data/mp3d_layout/valid/img/2t7WUuJeko7_9039d42e4ef4406fa57a2fbd2daba6cf.png,valid,条纹墙纸卧室,与09相同卧室围合,靠近床边、窗口，局部遮挡比例改变,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G005,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,13,data/mp3d_layout/valid/img/2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a.png,valid,花纹墙纸卧室床与帘封凹口,与01同一卧室及凹口边界,视点靠床，床体遮挡更明显，帘封位置可能有范围解释,1,1,1,0,1,1,19,20,19,19,0,11,1;2;6;8;10;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G001,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
2t7WUuJeko7_a3297c84260041288c5c38c0d1aa0a9a,2t7WUuJeko7,14,data/mp3d_layout/valid/img/2t7WUuJeko7_a3297c84260041288c5c38c0d1aa0a9a.png,valid,花纹墙纸卧室床区,与01同一卧室围合,朝房间相反方向，门窗及凸凹墙仍可对应,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G001,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
2t7WUuJeko7_b72b7b78675f429a9f382a44e551cffc,2t7WUuJeko7,15,data/mp3d_layout/valid/img/2t7WUuJeko7_b72b7b78675f429a9f382a44e551cffc.png,valid,独立浴缸与洗手盆浴室,与08同一狭长浴室围合,浴缸、白柜及墙脚遮挡相近,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G004,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
2t7WUuJeko7_cc34e9176bfe47ebb23c58c165203134,2t7WUuJeko7,16,data/mp3d_layout/valid/img/2t7WUuJeko7_cc34e9176bfe47ebb23c58c165203134.png,valid,浴室洗手盆及尽端白柜,与08同一浴室围合,靠白柜一端，但浴缸、窗口及高水箱均连续可见,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G004,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
2t7WUuJeko7_edc7b2c25f054ce8992ae3fb66e80881,2t7WUuJeko7,17,data/mp3d_layout/valid/img/2t7WUuJeko7_edc7b2c25f054ce8992ae3fb66e80881.png,valid,老式炉灶所在厨房,与02同一厨房围合,较贴近炉灶，设备遮挡与外餐室开口比例改变,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,厨房与用餐,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G002,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,7y3sRwLe3Va,1,data/mp3d_layout/test/img/7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09.png,test,双盆与尽端淋浴卫浴,白墙双盆、厕位、尽端淋浴围合,厕位及淋浴有局部墙体遮挡；与05、23固定结构不同,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G006;G007,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,7y3sRwLe3Va,2,data/mp3d_layout/test/img/7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44.png,test,洗衣凹室及外侧入口,洗衣凹室或连同外侧过渡区，存在范围选择,用户B01交界候选原决定保留；外门与洗衣柜分属凹室两侧,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,,prior_discussion,,,G008,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,3,data/mp3d_layout/test/img/7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.png,test,岛台厨房,岛台外围厨房，连通起居侧范围可能有解释,岛台遮住墙脚；不用宽开口自动扩成整个客餐厨研究组,5,5,5,0,4,4,16,20,15,16,0,6;10;28;30,1;2;8;11;12;13;15;17;29;31;32;33;34;35;36;37,,开放复合空间,user_reviewed_disagreement_subset,暂不归入,,G009;G010;G011,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,4,data/mp3d_layout/test/img/7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.png,test,带外门的过渡小间,外门、双柜门围合的入口过渡区,洗衣凹室门后可见，与空卧室15不同,26,26,25,0,20,20,0,20,0,0,0,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G008;G012,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76,7y3sRwLe3Va,5,data/mp3d_layout/test/img/7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76.png,test,独立浴缸主卫,大窗、浴缸、淋浴及洗漱台主体围合,独立厕间和衣帽间门后不是自动纳入的同一范围,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G006,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,7y3sRwLe3Va,6,data/mp3d_layout/test/img/7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9.png,test,卧室门外公共走廊,双门柜及多个卧室开门之间公共通道,门后卧室各自有围合，不合并为卧室,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,G013,G013,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,7y3sRwLe3Va,7,data/mp3d_layout/test/img/7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73.png,test,岛台厨房另一侧,与03相同岛台厨房,侧门与高柜较近，柜体遮挡相近,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,开放复合空间,user_reviewed_disagreement_subset,暂不归入,,G009,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,8,data/mp3d_layout/test/img/7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce.png,test,楼梯挑空侧的上层平台,栏杆内侧可站立的平台与连通走道,楼梯洞和下层不可当作同一地面,26,26,25,0,20,20,0,20,0,0,0,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G014,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,7y3sRwLe3Va,9,data/mp3d_layout/test/img/7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040.png,test,壁炉沙发起居区,起居围合及与厨房/楼梯开口的范围选择,靠沙发后、楼梯口，外侧走道信息较显著,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,开放复合空间,user_reviewed_disagreement_subset,暂不归入,,G015,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e,7y3sRwLe3Va,10,data/mp3d_layout/test/img/7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e.png,test,空置瓷砖房与长廊门口,空置房或外长廊两种范围,保留人工交界候选；原图不足证明与20是同一段标注空间,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,开放复合空间,user_reviewed_disagreement_subset,交界候选,,,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861,7y3sRwLe3Va,11,data/mp3d_layout/test/img/7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861.png,test,壁炉沙发起居区,壁炉、后院门窗及客厅围合,沙发遮挡墙脚，厨房在宽开口之后,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,开放复合空间,user_reviewed_disagreement_subset,暂不归入,,G010;G015,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,12,data/mp3d_layout/test/img/7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09.png,test,挑空楼梯旁上层平台,与17同一栏杆平台,靠侧房门，侧走廊比例更大,26,26,25,0,20,20,0,20,0,0,0,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G014,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,13,data/mp3d_layout/test/img/7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456.png,test,卧室门外公共走廊,与06同一公共通道,固定双柜门对应；不同卧室门后信息改变,26,0,0,26,0,20,0,0,20,20,20,,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G013,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a,7y3sRwLe3Va,14,data/mp3d_layout/test/img/7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a.png,test,施工中设备门外短通道,设备间门与外门之间通道,杂物遮挡墙脚；设备间不是通道本体,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G016,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187,7y3sRwLe3Va,15,data/mp3d_layout/test/img/7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187.png,test,空置带窗房间,独立有窗空房及衣柜处边界,缺少家具不能确认用途，门外施工通道次要,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,无法判断,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G012,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_9bbf903d50da4ffd9e5d1fb7c9f4d69b,7y3sRwLe3Va,16,data/mp3d_layout/test/img/7y3sRwLe3Va_9bbf903d50da4ffd9e5d1fb7c9f4d69b.png,test,壁炉沙发起居区,与11同一起居围合,厨房及侧房开口可见；整体仍客厅为主,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,开放复合空间,user_reviewed_disagreement_subset,暂不归入,,G015,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,17,data/mp3d_layout/test/img/7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e.png,test,楼梯挑空栏杆平台,三盏吊灯、高窗对面的上层平台,楼梯洞、下层、两边走道需要范围解释,5,5,5,0,5,5,15,20,15,15,0,6;10;11;17;33,1;2;8;12;13;15;28;29;30;31;32;34;35;36;37,,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G014,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,18,data/mp3d_layout/test/img/7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e.png,test,长餐桌区及厨房开口,餐桌区域与厨房的开口范围,用户认为头顶门框且难标；保留为预期范围歧义，不推断实测分歧,6,6,6,0,5,5,15,20,14,15,0,12;13;30;31;35,1;2;6;8;10;11;15;17;28;29;32;33;34;36;37,,开放复合空间,user_reviewed_disagreement_subset,交界候选,,G011,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,19,data/mp3d_layout/test/img/7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f.png,test,壁炉沙发起居区靠厨房一端,起居主体，旁侧厨房完整度增加,跨客厅厨房的范围可比性比11更不确定,10,6,6,4,4,8,12,16,14,16,4,8;31;32;34,1;2;10;12;13;15;17;28;29;30;35;37,6;11;33;36,开放复合空间,user_reviewed_disagreement_subset,暂不归入,,G015,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_af5f1942b4374015823bd32e31b31c64,7y3sRwLe3Va,20,data/mp3d_layout/test/img/7y3sRwLe3Va_af5f1942b4374015823bd32e31b31c64.png,test,施工中长廊,长墙、多房门及卫生间门外通道,各门后空间与廊本体需区分，未找到可靠直接对应,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,21,data/mp3d_layout/test/img/7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3.png,test,卧室睡眠区与照片墙入口,卧室主体及其L形入口,原评论一个拐角拍两个地方；睡眠区在宽开口后完整呈现,9,5,5,4,5,9,11,16,15,15,4,1;2;33;34;37,6;11;12;13;17;28;29;30;31;32;36,8;10;15;35,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G017,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,22,data/mp3d_layout/test/img/7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e.png,test,楼梯挑空正面平台,与17同一栏杆平台,栏杆、吊灯与高窗对应，楼梯洞解释相似,5,5,5,0,5,5,15,20,15,15,0,11;15;28;29;36,1;2;6;8;10;12;13;17;30;31;32;33;34;35;37,,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G014,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,23,data/mp3d_layout/test/img/7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b.png,test,嵌入浴缸大窗卫浴,窗下嵌入浴缸、厕位与双镜洗漱台围合,与01淋浴、05独立浴缸格局不同,5,5,5,0,5,5,15,20,15,15,0,1;2;12;29;36,6;8;10;11;13;15;17;28;30;31;32;33;34;35;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G007,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_dd83fb40a2e14ac99de9fe9bcfaf44df,7y3sRwLe3Va,24,data/mp3d_layout/test/img/7y3sRwLe3Va_dd83fb40a2e14ac99de9fe9bcfaf44df.png,test,衣帽间门口及套间入口,衣帽间或照片墙入口的范围选择,原评论主空间看不清；未将其强行归成卧室内部,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,储藏与家务辅助,ai_or_legacy_not_personally_reviewed_this_round,交界候选,,G017,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_dfe1f8e8b58d4da49f0c73516e7a4b67,7y3sRwLe3Va,25,data/mp3d_layout/test/img/7y3sRwLe3Va_dfe1f8e8b58d4da49f0c73516e7a4b67.png,test,照片墙套间入口及衣帽间开门,入口区域、衣帽间或卧室三个可见范围,与21共享入口结构，但床区不再为主要呈现空间,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G017,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,26,data/mp3d_layout/test/img/7y3sRwLe3Va_fdab6422162e49db822a37178ab70481.png,test,施工中外门及设备门外短通道,与14同一设备门外通道,视点转向外门，施工杂物遮挡相同一侧,5,5,5,0,5,5,15,20,15,15,0,15;31;32;34;37,1;2;6;8;10;11;12;13;17;28;29;30;33;35;36,,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G016,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
B6ByNegPMKs_02e18ec4d4f94d2eb4407346c822dee2,B6ByNegPMKs,1,data/mp3d_layout/test/img/B6ByNegPMKs_02e18ec4d4f94d2eb4407346c822dee2.png,test,玻璃办公室外走道为主,相机所在这段走道及其可见转角；不是整层所有连通廊道或玻璃后的房间,近处玻璃/门框及透过玻璃的其他空间可能影响范围识别；顶面梁管不能直接等同布局墙界。,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
B6ByNegPMKs_0e5ba44387774783903fea2a1b8f53dd,B6ByNegPMKs,2,data/mp3d_layout/test/img/B6ByNegPMKs_0e5ba44387774783903fea2a1b8f53dd.png,test,会议室外走道为主,相机所在这段走道及其可见转角；不是整层所有连通廊道或玻璃后的房间,近处玻璃/门框及透过玻璃的其他空间可能影响范围识别；顶面梁管不能直接等同布局墙界。,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G018,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
B6ByNegPMKs_0f8e559bf8d4427ba275e63aba46e3e5,B6ByNegPMKs,3,data/mp3d_layout/test/img/B6ByNegPMKs_0f8e559bf8d4427ba275e63aba46e3e5.png,test,办公室外转折平台为主,相机所在这段走道及其可见转角；不是整层所有连通廊道或玻璃后的房间,近处玻璃/门框及透过玻璃的其他空间可能影响范围识别；顶面梁管不能直接等同布局墙界。,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G019,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
B6ByNegPMKs_1bf33cdff9a54d65a9be6889eb912fb5,B6ByNegPMKs,4,data/mp3d_layout/test/img/B6ByNegPMKs_1bf33cdff9a54d65a9be6889eb912fb5.png,test,大会议室为主,本会议室桌区、实墙与玻璃墙内侧围合；玻璃后空间另辨,桌椅遮挡墙脚；共同可见玻璃隔断，难度仅作原图预期，尚无实测。,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,工作与学习,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G020,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
