candidate_id,building,n_images,numbers,image_ids,manual_counts,n_manual_ge19,n_manual_ge5,low_candidate,review_state,raw_decision,difficulty_similarity,physical_same_supported,comparable_for_prediction,oos_pending,outcome_exposure,issue_tags,selection_hold_reasons
G025,B6ByNegPMKs,2,9;36,B6ByNegPMKs_3ed1f9b2f3c341d68c6d42895f56f7f9;B6ByNegPMKs_c36b46ddcadf4896a2aa0abca657f33d,0;0,0,0,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G032,B6ByNegPMKs,2,25;39,B6ByNegPMKs_8b4e1e0ada214ee68dc9e0350cbad884;B6ByNegPMKs_ce6c6753bebe462e804ec5a2fc8b0580,0;0,0,0,True,explicit_confirmed,基础候选,预期相近,True,True,False,False,图像扭曲,
G036,B6ByNegPMKs,2,33;37,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993;B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,25;6,1,2,True,explicit_confirmed,优先候选,可能出现小幅歧义,True,True,False,False,闭合方式歧义,
G042,S9hNv5qa7GM,3,2;14;22,S9hNv5qa7GM_181c56d99ddd42ba8d4be09dbb135381;S9hNv5qa7GM_b14dbfea048449aa8b8934cbf491a10a;S9hNv5qa7GM_ed7387d968874f4bbe512395b64405af,0;0;0,0,0,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G046,S9hNv5qa7GM,3,5;12;21,S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee;S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02;S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,2;2;3,0,0,True,explicit_confirmed,基础候选,可能出现小幅歧义,True,True,False,False,拐角遗漏,
G047,S9hNv5qa7GM,5,6;10;15;17;19,S9hNv5qa7GM_3c496aedd9d645a5b8d7a7b1b53f0636;S9hNv5qa7GM_674b3b6705604a4c8b89182edee11e54;S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf;S9hNv5qa7GM_dbcf0a37c275473094e1160770291679;S9hNv5qa7GM_e5e6c99e38014827b50ad33cd22e3c9d,0;0;20;0;0,1,1,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G057,VFuaQ6m2Qom,6,1;2;4;7;10;11,VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a;VFuaQ6m2Qom_24d1e0ee55a542b68d600b81eae4f4d4;VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85;VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d;VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8;VFuaQ6m2Qom_f75a440593bb4140b899730917096859,2;0;7;19;5;0,1,3,True,explicit_confirmed,优先候选,可能出现小幅歧义,True,True,False,True,细节取舍,
G059,VFuaQ6m2Qom,3,3;5;6,VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e;VFuaQ6m2Qom_8a4ee4cfaba847cc8e68500039c9a916;VFuaQ6m2Qom_93510fabb581438887c1d3e65093b7ae,2;0;0,0,0,True,explicit_confirmed,优先候选,可能出现小幅歧义,True,True,False,False,,
G063,X7HyMhZNoso,4,2;21;22;25,X7HyMhZNoso_0e0c08b705704f80b5f31c2bd3a40583;X7HyMhZNoso_e40ff9839f0b4a35a25e9dc16d391ae4;X7HyMhZNoso_e9ae19c83e6243dd81b7213ba5f8c329;X7HyMhZNoso_f03d055128104fd486151e54c9e4a32a,0;0;0;0,0,0,True,viewed_per_user_statement,优先候选,预期相近,True,True,False,False,,
G067,X7HyMhZNoso,2,5;26,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a;X7HyMhZNoso_f59aa4dda2024d88ac3f9b22331b475b,0;0,0,0,True,viewed_per_user_statement,优先候选,可能出现小幅歧义,True,True,False,False,,
G068,X7HyMhZNoso,4,8;11;12;23,X7HyMhZNoso_2bb4931911e4412cb51f6437a82c5b6c;X7HyMhZNoso_445ae0203f294b5c9889505576e37998;X7HyMhZNoso_84cc1504051f4b1c9492dfab5dce84f9;X7HyMhZNoso_ecda3dd2f5a44ac3a7b365de9e13c09b,0;0;0;0,0,0,True,viewed_per_user_statement,优先候选,预期相近,True,True,False,False,,
G071,X7HyMhZNoso,2,10;24,X7HyMhZNoso_3cafb1bfb9084df995fff71810d7693f;X7HyMhZNoso_efaff409ffad4b05ba2777dbadd554f6,0;0,0,0,True,viewed_per_user_statement,优先候选,预期相近,True,True,False,False,,
G076,Z6MFQCViBuw,2,1;7,Z6MFQCViBuw_099d792dbfb2402ca355fd7ed860128f;Z6MFQCViBuw_80cd596c480c4f72a7457433b862d179,0;0,0,0,True,viewed_per_user_statement,优先候选,预期相近,True,True,False,False,,
G078,Z6MFQCViBuw,4,2;5;8;9,Z6MFQCViBuw_2008e72476f84104858e908beeac0193;Z6MFQCViBuw_543e6efcc1e24215b18c4060255a9719;Z6MFQCViBuw_bc4ec1f735f3446aa4b56165d9508b45;Z6MFQCViBuw_d9913cc77dc14f17b7228ac8de469b06,5;0;0;0,0,1,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G080,ZMojNkEp431,2,1;2,ZMojNkEp431_1223ee164fc040c0bd13c366f7a22059;ZMojNkEp431_f1bb3acca4ed4aada739514b1f2a44bd,0;0,0,0,True,viewed_per_user_statement,优先候选,可能出现小幅歧义,True,True,False,False,光影干扰;拐角遗漏,
G081,b8cTxDM8gDG,2,3;16,b8cTxDM8gDG_184a9b92b85840d88bf5793da9aa9cba;b8cTxDM8gDG_ddc9afa8e031453abd45c783fbfeb4aa,0;0,0,0,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G083,b8cTxDM8gDG,2,5;12,b8cTxDM8gDG_3638da5864ab4d2aa722479d9efa8b71;b8cTxDM8gDG_bd2d16e81707455eacd72cda7eb5d3d5,0;0,0,0,True,explicit_confirmed,优先候选,可能出现小幅歧义,True,True,False,False,,
G089,e9zR4mvMWw7,3,2;32;36,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945;e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a;e9zR4mvMWw7_d88c41884dc24efbb5c1b7dcf97998e9,6;0;0,0,1,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G090,e9zR4mvMWw7,7,3;7;8;11;28;26;15,e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8;e9zR4mvMWw7_192fb2a16486430a96b34dffc2e8cbbc;e9zR4mvMWw7_1cbe7276fcee411c8695f5f11ac45eb5;e9zR4mvMWw7_1f8ee74dbb254dff85771776279eae94;e9zR4mvMWw7_891cb55a08dd4aea9ee76656f6b4850d;e9zR4mvMWw7_83347153d2184d33869626c6c83318f9;e9zR4mvMWw7_2e52341d21b940b5b38a9e26c4cf4200,0;0;0;0;0;0;0,0,0,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G091,e9zR4mvMWw7,3,4;18;35,e9zR4mvMWw7_16eb46a968384060821cb59d0e04f4dd;e9zR4mvMWw7_4984fc9f1fdf4ff7887430f71b9ae392;e9zR4mvMWw7_cd47116ee6264bc691811409bf779f34,0;0;0,0,0,True,viewed_per_user_statement,优先候选,预期相近,True,True,False,False,,
G092,e9zR4mvMWw7,2,6;9,e9zR4mvMWw7_18653fa3d6ba4f82889237201ee07d11;e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,0;6,0,1,True,explicit_discussion,基础候选,可能出现小幅歧义,True,True,False,False,范围歧义,
G094,e9zR4mvMWw7,2,10;27,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76;e9zR4mvMWw7_8783add8825d4ecf8eb1f2af3c22b8df,0;0,0,0,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G099,e9zR4mvMWw7,3,20;34;37,e9zR4mvMWw7_511976eee78f42e6858dcb7845a44777;e9zR4mvMWw7_c904c55a5d0e420bbd6e4e030b9fe5b4;e9zR4mvMWw7_f624a40d100144e696a39abe258ee090,0;0;0,0,0,True,explicit_confirmed,基础候选,可能出现小幅歧义,True,True,False,False,,
G104,jh4fc5c5qoQ,3,3;11;13,jh4fc5c5qoQ_3182b6eba9ce405f9e1c0af86cc6b862;jh4fc5c5qoQ_97739a403b984dcd8253741a073b18dd;jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c,0;0;1,0,0,True,explicit_confirmed,基础候选,可能出现小幅歧义,True,True,False,False,,
G106,jh4fc5c5qoQ,3,5;8;15,jh4fc5c5qoQ_45b6596b2c8f4336b7293cfd6d910492;jh4fc5c5qoQ_755d110c2ed84d76be11ad56ae00b53f;jh4fc5c5qoQ_d6d4416592a0483691a1ed7d3b336a1a,0;0;0,0,0,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G108,jh4fc5c5qoQ,2,6;12,jh4fc5c5qoQ_5ce75bcca20d46a8adba099e08a36c8e;jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,0;2,0,0,True,explicit_discussion,基础候选,可能出现小幅歧义,True,True,False,False,难标,
G109,jtcxE69GiFV,5,1;5;17;20;33,jtcxE69GiFV_001ad2ad14234e06b2d996d71bb96fc4;jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037;jtcxE69GiFV_6723e18211d244f8b17ced91aae64d99;jtcxE69GiFV_87e96c5b923840bc8276d949ff157948;jtcxE69GiFV_fb7f2438518243b180ae78cf1e2737e3,0;6;1;0;0,0,1,True,viewed_per_user_statement,基础候选,可能出现小幅歧义,True,True,False,True,难标;模型引导可能,
G110,jtcxE69GiFV,3,3;8;24,jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040;jtcxE69GiFV_3a61b286f9574cebb27cce0efa211bd0;jtcxE69GiFV_aaa3143c2ccb4ba4b51a472b48f5e260,3;0;0,0,0,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G117,jtcxE69GiFV,3,25;26;28,jtcxE69GiFV_c6baa663ada7439f9a409a86c7fd809b;jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1;jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,0;4;4,0,0,True,explicit_discussion,基础候选,可能出现小幅歧义,True,True,False,True,拐角遗漏;细节取舍,
G125,pRbA3pwrgk9,2,5;12,pRbA3pwrgk9_16beb21e65a84850a509972190038d0e;pRbA3pwrgk9_8caa90fc5528451f9e9f45634676499b,2;2,0,0,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G127,pRbA3pwrgk9,3,9;19;20,pRbA3pwrgk9_3851376d4f84494ebdc080b34ddc0f5e;pRbA3pwrgk9_ec8f8c12b70e4969ae24adb7031d9312;pRbA3pwrgk9_ecd2d3d74f1244a19bab0131ca065c26,0;0;0,0,0,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G130,pa4otMbVnkk,5,2;13;20;42;44,pa4otMbVnkk_0e800fa7378b455a8054fbd02497fa6e;pa4otMbVnkk_5cd7afbe84aa4a13a13b45c369e39731;pa4otMbVnkk_78863f388bfc4e419e5d3454f1fecf3f;pa4otMbVnkk_eac7bdc24b24474ba38b8b0b5acd62f6;pa4otMbVnkk_f6005da79d2c43ba820db8124a4287d1,0;0;0;1;1,0,0,True,explicit_confirmed,基础候选,预期相近,True,True,False,False,,
G132,pa4otMbVnkk,3,4;30;32,pa4otMbVnkk_25659e521aac49daadb7762ba87cb2b6;pa4otMbVnkk_915273ca375f43be9306ce29b7724c46;pa4otMbVnkk_a1243ae1c9e7407794464678be846819,0;0;0,0,0,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G134,pa4otMbVnkk,2,5;47,pa4otMbVnkk_270f6920ec0f48c391bca974b356bc3b;pa4otMbVnkk_faa9b3c493a541d5bcaae52f760b6807,2;0,0,0,True,explicit_confirmed,优先候选,可能出现小幅歧义,True,True,False,False,信息缺失,
G138,pa4otMbVnkk,4,9;26;39;49,pa4otMbVnkk_447755d931aa401097d8c0952a22b17e;pa4otMbVnkk_88c758f7e35244fd8f5693913f329805;pa4otMbVnkk_d0777438896f4ba59dc36ba96ebb003f;pa4otMbVnkk_fd3034fe3cf6425ea2810f42656766cf,2;0;0;0,0,0,True,explicit_confirmed,优先候选,可能出现小幅歧义,True,True,False,False,图像扭曲;点位困难,
G141,pa4otMbVnkk,6,17;23;25;29;37;41,pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a;pa4otMbVnkk_82f4e9ccd0ef4351a3d814f1222b03cc;pa4otMbVnkk_867c64cd8f474949bcd87100dc18c2d4;pa4otMbVnkk_8d9a72e210cd480a897945c465e5cade;pa4otMbVnkk_b8245307c038459a9df432be2341ec27;pa4otMbVnkk_e976f604378648b3bd1d1ed1e9638294,3;0;0;0;0;0,0,0,True,explicit_confirmed,基础候选,可能出现小幅歧义,True,True,False,False,凸墙细节,
G165,rPc6DW4iMge,3,2;14;15,rPc6DW4iMge_0226db0c3fd24410bbf3db5e6d4b24fe;rPc6DW4iMge_7316bf706e0d46368334c0c989210e09;rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,0;0;23,1,1,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G168,rPc6DW4iMge,2,8;10,rPc6DW4iMge_1b4824ffdfc44d08aa648e90241289e4;rPc6DW4iMge_2264f5b2a6e8450ab090e278ea8d1e0a,0;0,0,0,True,viewed_per_user_statement,优先候选,可能出现小幅歧义,True,True,False,False,,
G170,rPc6DW4iMge,2,11;19,rPc6DW4iMge_2aef8931ed104272873cbc52701eb2ad;rPc6DW4iMge_cabddb2506ee4bfcb2a1bcfa6625fe28,0;0,0,0,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G174,uNb9QFRL6hY,3,28;44;80,uNb9QFRL6hY_5fc8f0e230eb49eca81fdfb0398d824b;uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13;uNb9QFRL6hY_e39b52c7eedc4d859fca7888cab531ae,0;5;0,0,1,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G178,uNb9QFRL6hY,7,7;14;48;72;78;79;87,uNb9QFRL6hY_104d12b732794414a42edd37ac554bff;uNb9QFRL6hY_23ed105b1f0f48bbb6ec025df9d313e7;uNb9QFRL6hY_9b675f28ab5f4345bf06ed5c77097426;uNb9QFRL6hY_d5c47aa99b274a67b305aa601234f1f1;uNb9QFRL6hY_e0b8950793b447bd8b9f916e98e849d1;uNb9QFRL6hY_e24473d2b8a24568b89c1c4c2a4a9bf1;uNb9QFRL6hY_fd411e4f6035431593833d9d0beb4d32,0;0;0;0;0;0;0,0,0,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G192,uNb9QFRL6hY,3,33;54;84,uNb9QFRL6hY_6a99c723d40b429e96a29c8ce7532d1d;uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3;uNb9QFRL6hY_f8acfc899a4c49ddad71fdfcfd899b2f,0;6;0,0,1,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G195,uNb9QFRL6hY,2,35;62,uNb9QFRL6hY_6ba3c5669ef04b178b0a5de90249257b;uNb9QFRL6hY_bbaa68601ebf4aeba9d8b311413cfc13,0;0,0,0,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G197,uNb9QFRL6hY,2,47;75,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5;uNb9QFRL6hY_dcb326d4bb9b4a5f8d7e565ec32bce8e,26;0,1,1,True,viewed_per_user_statement,基础候选,可能出现小幅歧义,True,True,False,True,误导性视角,
G199,uNb9QFRL6hY,2,64;85,uNb9QFRL6hY_bccfe89cf0b24f4c9d2afee19c342117;uNb9QFRL6hY_fcba704f80a04361842c0fdcb776becc,0;0,0,0,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G200,uNb9QFRL6hY,2,70;74,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384;uNb9QFRL6hY_dba77340b24340be9c7242cba42f1e28,25;0,1,1,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G201,wc2JMjhGNzB,6,1;16;23;27;30;32,wc2JMjhGNzB_026ce91a981c4de3bb9fd2daeb99ec2b;wc2JMjhGNzB_25dffb87de434b119296fc0a02ede607;wc2JMjhGNzB_40ea4145b9e946aab5d56de3ce179c8e;wc2JMjhGNzB_48a93a3b61354385b30974c248c11ef2;wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d;wc2JMjhGNzB_5b34120ed9c24e47a673426ea7ea7a07,0;0;0;0;6;0,0,1,True,explicit_discussion,基础候选,可能出现小幅歧义,True,True,False,True,高难度;凸墙细节;遗漏,
G202,wc2JMjhGNzB,5,2;25;26;51;53,wc2JMjhGNzB_02bbd23673904a6980dc0e22b11c6a35;wc2JMjhGNzB_479b5e13d201492086bb3b69be5b124d;wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd;wc2JMjhGNzB_aeb3199e10354e45a4884bb185c03257;wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,0;0;6;0;23,1,2,True,explicit_discussion,基础候选,可能出现小幅歧义,True,True,False,False,高难度;大歧义,
G205,wc2JMjhGNzB,5,3;22;29;54;61,wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee;wc2JMjhGNzB_3a035012369c4eb58295238d946fbc66;wc2JMjhGNzB_52ed6a0219e84a0bb6db8037ae700366;wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc;wc2JMjhGNzB_e6693f97b36545f7a76e03c3fe32ba8c,5;0;0;5;0,0,2,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G207,wc2JMjhGNzB,4,4;15;40;45,wc2JMjhGNzB_05e7fcde7a00435ebba65933c1758dde;wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31;wc2JMjhGNzB_77962388887942148ee65c2892600e02;wc2JMjhGNzB_8e093e32e55c4a5dbf453b5e2bf2b24c,0;24;0;0,1,1,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G222,wc2JMjhGNzB,4,18;38;57;65,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c;wc2JMjhGNzB_72cf693eb66c4a8a8062080763f50a09;wc2JMjhGNzB_d5138c0f63414e1fb5147c9436968940;wc2JMjhGNzB_eae0ac9f6c5b4764a91c789f14a8c2eb,0;0;0;0,0,0,True,viewed_per_user_statement,优先候选,预期相近,True,True,False,False,,
G225,wc2JMjhGNzB,4,31;47;55;63,wc2JMjhGNzB_5b147d7f689a410baca131f29c8a9515;wc2JMjhGNzB_964c4d82ac6c428bb3dc3325ad8c7ec9;wc2JMjhGNzB_c7e4c175f9b347cf9256fa7e291f26d9;wc2JMjhGNzB_e9899e516c784fe3b8e78354ba4d49c4,0;0;0;0,0,0,True,explicit_confirmed,基础候选,可能出现小幅歧义,True,True,False,False,凸墙细节;遗漏,
G228,wc2JMjhGNzB,2,48;50,wc2JMjhGNzB_99bcf51aef0947b6898bb8114219d730;wc2JMjhGNzB_a4188bbbe166473bb2ecf35bdcbec1f9,0;0,0,0,True,viewed_per_user_statement,优先候选,预期相近,True,True,False,False,,
G234,x8F5xyUWy9e,4,2;6;7;8,x8F5xyUWy9e_2669f5ba693c4e729d7d2c4f3fa0a077;x8F5xyUWy9e_61dabfb7fecf4f328ad300a6f4b96037;x8F5xyUWy9e_9077f8ffceb943808934837db41e5616;x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,0;0;0;5,0,1,True,viewed_per_user_statement,优先候选,预期相近,True,True,False,False,,
G235,x8F5xyUWy9e,4,3;4;5;11,x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6;x8F5xyUWy9e_46b120dde4004bf9ada90cf967c0585b;x8F5xyUWy9e_59d9c66f57b14062a49e17e8f1da2151;x8F5xyUWy9e_c66bbecc057b41a8bb2eaa76c6f072a2,5;0;0;0,0,1,True,viewed_per_user_statement,基础候选,可能出现小幅歧义,True,True,False,True,拐角遗漏,
G237,yqstnuAEVhm,4,2;5;10;26,yqstnuAEVhm_19e4188fa39244378481dcdb18c42dbe;yqstnuAEVhm_2b3fb4746d414cc6a31729b222ed79b2;yqstnuAEVhm_4ab11dce32f346b2becac29e0ac6e526;yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,0;0;0;25,1,1,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G249,yqstnuAEVhm,2,12;36,yqstnuAEVhm_6440d94be92546fdab587df78fbea28b;yqstnuAEVhm_fc84c67a0ffd49cf8ffdc32df703bc86,0;0,0,0,True,viewed_per_user_statement,基础候选,可能出现小幅歧义,True,True,False,False,难标,
G259,zsNo4HB9uLZ,2,10;14,zsNo4HB9uLZ_7d1391357299496cbb82840960d05a66;zsNo4HB9uLZ_b5f873817a0b4b60b8447e96b0b4e955,0;0,0,0,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
G260,zsNo4HB9uLZ,2,11;15,zsNo4HB9uLZ_935e0f6088a54fba87990835d1997d9a;zsNo4HB9uLZ_b6ca0cc195da4688ba67fa53f0345b98,2;0,0,0,True,explicit_confirmed,优先候选,预期相近,True,True,False,False,,
