stage,stage_zh,grouping,group_value,condition,condition_zh,base_task_id,worker_id,building_id,n,missing,rate,jeffreys_lower,jeffreys_upper,missing_definition
C1,校准一阶段,condition,manual,manual,纯人工,,,,674,67,0.09940652818991098,0.07853469086255234,0.12370888783146229,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,,,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,,,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,,,6,1,0.16666666666666666,0.018620127119442168,0.5580567736092483,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,,,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,,,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,,,9,1,0.1111111111111111,0.012264087621619449,0.4144692774405326,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,,,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,,,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,,,11,4,0.36363636363636365,0.13731996759408108,0.6520077283697078,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,,,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,,,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,,,23,2,0.08695652173913043,0.01851461345234932,0.25078726951779257,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,,,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,,,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,,,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,,,9,1,0.1111111111111111,0.012264087621619449,0.4144692774405326,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,,,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,,,9,0,0.0,5.3064053418492834e-05,0.23761009863290306,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,,,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,,,10,2,0.2,0.044059413552630794,0.502774496439993,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,,,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,,,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,,,b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,,,6,1,0.16666666666666666,0.018620127119442168,0.5580567736092483,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,,,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,,,6,1,0.16666666666666666,0.018620127119442168,0.5580567736092483,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,,,e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,,,6,1,0.16666666666666666,0.018620127119442168,0.5580567736092483,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,,,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,,,6,1,0.16666666666666666,0.018620127119442168,0.5580567736092483,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,,,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,,,9,1,0.1111111111111111,0.012264087621619449,0.4144692774405326,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,,,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,,,5,1,0.2,0.02251276599915512,0.6286264006319943,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,,,q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,,,5,1,0.2,0.02251276599915512,0.6286264006319943,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,,,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,,,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,,,10,1,0.1,0.011011673763161133,0.3813147710666164,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,,,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,,,10,1,0.1,0.011011673763161133,0.3813147710666164,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,,,q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,,,6,1,0.16666666666666666,0.018620127119442168,0.5580567736092483,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,,,q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,,,5,1,0.2,0.02251276599915512,0.6286264006319943,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,,,q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,,,q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,,,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,,,23,2,0.08695652173913043,0.01851461345234932,0.25078726951779257,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,,,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,,,5,1,0.2,0.02251276599915512,0.6286264006319943,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,rPc6DW4iMge_4350d36797324601adba7351d09602d2,,,rPc6DW4iMge_4350d36797324601adba7351d09602d2,,,5,1,0.2,0.02251276599915512,0.6286264006319943,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,,,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,,,23,2,0.08695652173913043,0.01851461345234932,0.25078726951779257,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,,,rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,,,6,1,0.16666666666666666,0.018620127119442168,0.5580567736092483,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,,,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,,,23,2,0.08695652173913043,0.01851461345234932,0.25078726951779257,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,,,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,,,23,2,0.08695652173913043,0.01851461345234932,0.25078726951779257,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,,,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,,,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,,,uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,,,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,,,10,1,0.1,0.011011673763161133,0.3813147710666164,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,,,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,,,9,1,0.1111111111111111,0.012264087621619449,0.4144692774405326,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,,,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,,,10,1,0.1,0.011011673763161133,0.3813147710666164,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,,,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,,,23,3,0.13043478260869565,0.03814675538033274,0.3086623662204163,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,,,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,,,23,2,0.08695652173913043,0.01851461345234932,0.25078726951779257,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,,,uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,,,6,1,0.16666666666666666,0.018620127119442168,0.5580567736092483,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,,,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,,,10,1,0.1,0.011011673763161133,0.3813147710666164,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,,,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,,,23,2,0.08695652173913043,0.01851461345234932,0.25078726951779257,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,,,uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,,,uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,,,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,,,10,3,0.3,0.09269459393815316,0.6058183181486713,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,,,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,,,9,0,0.0,5.3064053418492834e-05,0.23761009863290306,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,,,uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,,,5,1,0.2,0.02251276599915512,0.6286264006319943,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,,,uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,,,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,,,5,1,0.2,0.02251276599915512,0.6286264006319943,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,,,wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,,,5,1,0.2,0.02251276599915512,0.6286264006319943,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,,,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,,,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,,,6,1,0.16666666666666666,0.018620127119442168,0.5580567736092483,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,,,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,,,10,2,0.2,0.044059413552630794,0.502774496439993,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,,,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,,,12,4,0.3333333333333333,0.12453732145214938,0.6124361034423771,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,,,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,,,23,2,0.08695652173913043,0.01851461345234932,0.25078726951779257,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,,,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,,,9,0,0.0,5.3064053418492834e-05,0.23761009863290306,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,,,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,,,23,3,0.13043478260869565,0.03814675538033274,0.3086623662204163,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,,,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,,,9,1,0.1111111111111111,0.012264087621619449,0.4144692774405326,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,x8F5xyUWy9e_1be9a97aada84e4795f64583ac0e3b76,,,x8F5xyUWy9e_1be9a97aada84e4795f64583ac0e3b76,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,,,x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,,,x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,,,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,,,10,1,0.1,0.011011673763161133,0.3813147710666164,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,,,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,,,23,2,0.08695652173913043,0.01851461345234932,0.25078726951779257,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,,,yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,,,6,1,0.16666666666666666,0.018620127119442168,0.5580567736092483,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,,,yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,,,6,1,0.16666666666666666,0.018620127119442168,0.5580567736092483,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,yqstnuAEVhm_4642492bb42d40debb1a3bad0ea7a24f,,,yqstnuAEVhm_4642492bb42d40debb1a3bad0ea7a24f,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,,,yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,,,6,1,0.16666666666666666,0.018620127119442168,0.5580567736092483,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,,,yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,,,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,,,23,2,0.08695652173913043,0.01851461345234932,0.25078726951779257,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,,,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,,,9,1,0.1111111111111111,0.012264087621619449,0.4144692774405326,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,,,yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,1,,,,1,,36,3,0.08333333333333333,0.02403239533016452,0.20598140804610582,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,10,,,,10,,33,1,0.030303030303030304,0.0032893296226160764,0.13302367281783567,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,11,,,,11,,33,0,0.0,1.4767430104586657e-05,0.07275870531262561,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,12,,,,12,,32,0,0.0,1.5225304324521486e-05,0.07492776342928388,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,13,,,,13,,33,0,0.0,1.4767430104586657e-05,0.07275870531262561,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,14,,,,14,,32,32,1.0,0.9250722365707161,0.9999847746956755,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,15,,,,15,,33,0,0.0,1.4767430104586657e-05,0.07275870531262561,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,17,,,,17,,32,0,0.0,1.5225304324521486e-05,0.07492776342928388,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,18,,,,18,,32,0,0.0,1.5225304324521486e-05,0.07492776342928388,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,2,,,,2,,33,0,0.0,1.4767430104586657e-05,0.07275870531262561,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,27,,,,27,,33,0,0.0,1.4767430104586657e-05,0.07275870531262561,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,28,,,,28,,33,0,0.0,1.4767430104586657e-05,0.07275870531262561,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,29,,,,29,,33,2,0.06060606060606061,0.012807314608238592,0.1805092338514461,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,30,,,,30,,33,0,0.0,1.4767430104586657e-05,0.07275870531262561,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,31,,,,31,,39,6,0.15384615384615385,0.06686665272896954,0.2899140626415873,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,32,,,,32,,34,0,0.0,1.4336290671557153e-05,0.07071163067902099,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,33,,,,33,,33,0,0.0,1.4767430104586657e-05,0.07275870531262561,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,34,,,,34,,52,35,0.6730769230769231,0.5389324882382387,0.788550942038943,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,35,,,,35,,32,0,0.0,1.5225304324521486e-05,0.07492776342928388,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,36,,,,36,,32,0,0.0,1.5225304324521486e-05,0.07492776342928388,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,37,,,,37,,33,0,0.0,1.4767430104586657e-05,0.07275870531262561,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,6,,,,6,,32,0,0.0,1.5225304324521486e-05,0.07492776342928388,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,worker,8,,,,8,,32,0,0.0,1.5225304324521486e-05,0.07492776342928388,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,building,7y3sRwLe3Va,,,,,7y3sRwLe3Va,50,4,0.08,0.027607090992212275,0.17906614961801381,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,building,B6ByNegPMKs,,,,,B6ByNegPMKs,44,3,0.06818181818181818,0.019576420376777728,0.17090241869108955,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,building,UwV83HsGsw3,,,,,UwV83HsGsw3,58,7,0.1206896551724138,0.05564081763687147,0.2223989571439582,active_time_measurement_class=missing; no lead-time backfill
