stage,stage_zh,base_task_id,building_id,metric,manual_task_median_seconds,semi_task_median_seconds,semi_minus_manual_seconds,semi_to_manual_ratio,analysis_unit
C1,校准一阶段,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY,active_time,34.0,93.0,59.0,2.735294117647059,task_within_stage_condition_medians
C1,校准一阶段,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY,active_time,134.5,87.0,-47.5,0.6468401486988847,task_within_stage_condition_medians
C1,校准一阶段,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,uNb9QFRL6hY,active_time,152.0,189.0,37.0,1.243421052631579,task_within_stage_condition_medians
C1,校准一阶段,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,wc2JMjhGNzB,active_time,227.0,59.0,-168.0,0.2599118942731278,task_within_stage_condition_medians
C1,校准一阶段,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,wc2JMjhGNzB,active_time,86.0,72.0,-14.0,0.8372093023255814,task_within_stage_condition_medians
C1,校准一阶段,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,active_time,137.0,99.0,-38.0,0.7226277372262774,task_within_stage_condition_medians
C1,校准一阶段,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,wc2JMjhGNzB,active_time,88.5,77.5,-11.0,0.8757062146892656,task_within_stage_condition_medians
C1,校准一阶段,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,yqstnuAEVhm,active_time,116.0,75.0,-41.0,0.646551724137931,task_within_stage_condition_medians
C1,校准一阶段,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm,active_time,120.5,67.5,-53.0,0.5601659751037344,task_within_stage_condition_medians
C1,校准一阶段,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,lead_time,89.28450000000001,114.948,25.663499999999985,1.2874351091174838,task_within_stage_condition_medians
C1,校准一阶段,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,lead_time,203.601,360.4195,156.81849999999997,1.7702246059695186,task_within_stage_condition_medians
C1,校准一阶段,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,lead_time,209.938,25.631,-184.307,0.1220884261067553,task_within_stage_condition_medians
C1,校准一阶段,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,lead_time,399.209,53.6755,-345.5335,0.1344546340388117,task_within_stage_condition_medians
C1,校准一阶段,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,lead_time,187.042,105.457,-81.58500000000001,0.5638145443269426,task_within_stage_condition_medians
C1,校准一阶段,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,lead_time,126.866,203.516,76.65000000000002,1.604180789179134,task_within_stage_condition_medians
C1,校准一阶段,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,lead_time,56.435,298.962,242.527,5.297457251705501,task_within_stage_condition_medians
C1,校准一阶段,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,lead_time,207.73,69.19800000000001,-138.53199999999998,0.3331151013334618,task_within_stage_condition_medians
C1,校准一阶段,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,lead_time,142.85500000000002,24.52,-118.33500000000002,0.1716425746386195,task_within_stage_condition_medians
C1,校准一阶段,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,lead_time,98.52,73.245,-25.27499999999999,0.7434531059683314,task_within_stage_condition_medians
C1,校准一阶段,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,lead_time,229.378,240.477,11.09899999999999,1.048387378039742,task_within_stage_condition_medians
C1,校准一阶段,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,lead_time,80.4,112.8255,32.4255,1.4033022388059702,task_within_stage_condition_medians
C1,校准一阶段,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC,lead_time,180.084,59.7,-120.384,0.3315119610848271,task_within_stage_condition_medians
C1,校准一阶段,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY,lead_time,45.7605,47.911,2.150500000000001,1.0469946788168836,task_within_stage_condition_medians
C1,校准一阶段,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY,lead_time,109.822,92.6315,-17.1905,0.8434694323541732,task_within_stage_condition_medians
C1,校准一阶段,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,lead_time,210.72,122.688,-88.032,0.5822323462414579,task_within_stage_condition_medians
C1,校准一阶段,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY,lead_time,24.7475,91.683,66.93549999999999,3.7047378523083134,task_within_stage_condition_medians
C1,校准一阶段,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY,lead_time,190.432,57.551,-132.88099999999997,0.3022128633843052,task_within_stage_condition_medians
C1,校准一阶段,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,uNb9QFRL6hY,lead_time,153.963,195.1065,41.14350000000002,1.2672297889752735,task_within_stage_condition_medians
C1,校准一阶段,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,wc2JMjhGNzB,lead_time,173.191,68.126,-105.065,0.3933576225092528,task_within_stage_condition_medians
C1,校准一阶段,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,wc2JMjhGNzB,lead_time,84.5,56.904,-27.596,0.6734201183431953,task_within_stage_condition_medians
C1,校准一阶段,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,lead_time,231.014,126.259,-104.755,0.546542633779771,task_within_stage_condition_medians
C1,校准一阶段,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,wc2JMjhGNzB,lead_time,107.826,80.2495,-27.5765,0.7442499953628995,task_within_stage_condition_medians
C1,校准一阶段,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,yqstnuAEVhm,lead_time,120.144,68.911,-51.233,0.5735700492742043,task_within_stage_condition_medians
C1,校准一阶段,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm,lead_time,166.91,93.074,-73.836,0.5576298604038105,task_within_stage_condition_medians
