k,h,maximum_TV,epsilon,share_check_automatically_satisfied
24,5,0.172413793103,0.2,True
25,1,0.0384615384615,0.05,True
25,1,0.0384615384615,0.1,True
25,1,0.0384615384615,0.2,True
25,2,0.0740740740741,0.05,False
25,2,0.0740740740741,0.1,True
25,2,0.0740740740741,0.2,True
25,3,0.107142857143,0.05,False
25,3,0.107142857143,0.1,False
25,3,0.107142857143,0.2,True
25,5,0.166666666667,0.05,False
25,5,0.166666666667,0.1,False
25,5,0.166666666667,0.2,True
26,1,0.037037037037,0.05,True
26,1,0.037037037037,0.1,True
26,1,0.037037037037,0.2,True
26,2,0.0714285714286,0.05,False
26,2,0.0714285714286,0.1,True
26,2,0.0714285714286,0.2,True
26,3,0.103448275862,0.05,False
26,3,0.103448275862,0.1,False
26,3,0.103448275862,0.2,True
26,5,0.161290322581,0.05,False
26,5,0.161290322581,0.1,False
26,5,0.161290322581,0.2,True
27,1,0.0357142857143,0.05,True
27,1,0.0357142857143,0.1,True
27,1,0.0357142857143,0.2,True
27,2,0.0689655172414,0.05,False
27,2,0.0689655172414,0.1,True
27,2,0.0689655172414,0.2,True
27,3,0.1,0.05,False
27,3,0.1,0.1,True
27,3,0.1,0.2,True
27,5,0.15625,0.05,False
27,5,0.15625,0.1,False
27,5,0.15625,0.2,True
28,1,0.0344827586207,0.05,True
28,1,0.0344827586207,0.1,True
28,1,0.0344827586207,0.2,True
28,2,0.0666666666667,0.05,False
28,2,0.0666666666667,0.1,True
28,2,0.0666666666667,0.2,True
28,3,0.0967741935484,0.05,False
28,3,0.0967741935484,0.1,True
28,3,0.0967741935484,0.2,True
28,5,0.151515151515,0.05,False
28,5,0.151515151515,0.1,False
28,5,0.151515151515,0.2,True
29,1,0.0333333333333,0.05,True
29,1,0.0333333333333,0.1,True
29,1,0.0333333333333,0.2,True
29,2,0.0645161290323,0.05,False
29,2,0.0645161290323,0.1,True
29,2,0.0645161290323,0.2,True
29,3,0.09375,0.05,False
29,3,0.09375,0.1,True
29,3,0.09375,0.2,True
29,5,0.147058823529,0.05,False
29,5,0.147058823529,0.1,False
29,5,0.147058823529,0.2,True
30,1,0.0322580645161,0.05,True
30,1,0.0322580645161,0.1,True
30,1,0.0322580645161,0.2,True
30,2,0.0625,0.05,False
30,2,0.0625,0.1,True
30,2,0.0625,0.2,True
30,3,0.0909090909091,0.05,False
30,3,0.0909090909091,0.1,True
30,3,0.0909090909091,0.2,True
30,5,0.142857142857,0.05,False
30,5,0.142857142857,0.1,False
30,5,0.142857142857,0.2,True
31,1,0.03125,0.05,True
31,1,0.03125,0.1,True
31,1,0.03125,0.2,True
31,2,0.0606060606061,0.05,False
31,2,0.0606060606061,0.1,True
31,2,0.0606060606061,0.2,True
31,3,0.0882352941176,0.05,False
31,3,0.0882352941176,0.1,True
31,3,0.0882352941176,0.2,True
31,5,0.138888888889,0.05,False
31,5,0.138888888889,0.1,False
31,5,0.138888888889,0.2,True
32,1,0.030303030303,0.05,True
32,1,0.030303030303,0.1,True
32,1,0.030303030303,0.2,True
32,2,0.0588235294118,0.05,False
32,2,0.0588235294118,0.1,True
32,2,0.0588235294118,0.2,True
32,3,0.0857142857143,0.05,False
32,3,0.0857142857143,0.1,True
32,3,0.0857142857143,0.2,True
32,5,0.135135135135,0.05,False
32,5,0.135135135135,0.1,False
32,5,0.135135135135,0.2,True
33,1,0.0294117647059,0.05,True
33,1,0.0294117647059,0.1,True
33,1,0.0294117647059,0.2,True
33,2,0.0571428571429,0.05,False
33,2,0.0571428571429,0.1,True
33,2,0.0571428571429,0.2,True
33,3,0.0833333333333,0.05,False
33,3,0.0833333333333,0.1,True
33,3,0.0833333333333,0.2,True
33,5,0.131578947368,0.05,False
33,5,0.131578947368,0.1,False
33,5,0.131578947368,0.2,True
34,1,0.0285714285714,0.05,True
34,1,0.0285714285714,0.1,True
34,1,0.0285714285714,0.2,True
34,2,0.0555555555556,0.05,False
34,2,0.0555555555556,0.1,True
34,2,0.0555555555556,0.2,True
34,3,0.0810810810811,0.05,False
34,3,0.0810810810811,0.1,True
34,3,0.0810810810811,0.2,True
34,5,0.128205128205,0.05,False
34,5,0.128205128205,0.1,False
34,5,0.128205128205,0.2,True
35,1,0.0277777777778,0.05,True
35,1,0.0277777777778,0.1,True
35,1,0.0277777777778,0.2,True
35,2,0.0540540540541,0.05,False
35,2,0.0540540540541,0.1,True
35,2,0.0540540540541,0.2,True
35,3,0.0789473684211,0.05,False
35,3,0.0789473684211,0.1,True
35,3,0.0789473684211,0.2,True
35,5,0.125,0.05,False
35,5,0.125,0.1,False
35,5,0.125,0.2,True
36,1,0.027027027027,0.05,True
36,1,0.027027027027,0.1,True
36,1,0.027027027027,0.2,True
36,2,0.0526315789474,0.05,False
36,2,0.0526315789474,0.1,True
36,2,0.0526315789474,0.2,True
36,3,0.0769230769231,0.05,False
36,3,0.0769230769231,0.1,True
36,3,0.0769230769231,0.2,True
36,5,0.121951219512,0.05,False
36,5,0.121951219512,0.1,False
36,5,0.121951219512,0.2,True
37,1,0.0263157894737,0.05,True
37,1,0.0263157894737,0.1,True
37,1,0.0263157894737,0.2,True
37,2,0.0512820512821,0.05,False
37,2,0.0512820512821,0.1,True
37,2,0.0512820512821,0.2,True
37,3,0.075,0.05,False
37,3,0.075,0.1,True
37,3,0.075,0.2,True
37,5,0.119047619048,0.05,False
37,5,0.119047619048,0.1,False
37,5,0.119047619048,0.2,True
38,1,0.025641025641,0.05,True
38,1,0.025641025641,0.1,True
38,1,0.025641025641,0.2,True
38,2,0.05,0.05,True
38,2,0.05,0.1,True
38,2,0.05,0.2,True
38,3,0.0731707317073,0.05,False
38,3,0.0731707317073,0.1,True
38,3,0.0731707317073,0.2,True
38,5,0.116279069767,0.05,False
38,5,0.116279069767,0.1,False
38,5,0.116279069767,0.2,True
39,1,0.025,0.05,True
39,1,0.025,0.1,True
39,1,0.025,0.2,True
39,2,0.0487804878049,0.05,True
39,2,0.0487804878049,0.1,True
39,2,0.0487804878049,0.2,True
39,3,0.0714285714286,0.05,False
39,3,0.0714285714286,0.1,True
39,3,0.0714285714286,0.2,True
39,5,0.113636363636,0.05,False
39,5,0.113636363636,0.1,False
39,5,0.113636363636,0.2,True
40,1,0.0243902439024,0.05,True
40,1,0.0243902439024,0.1,True
40,1,0.0243902439024,0.2,True
40,2,0.047619047619,0.05,True
40,2,0.047619047619,0.1,True
40,2,0.047619047619,0.2,True
40,3,0.0697674418605,0.05,False
40,3,0.0697674418605,0.1,True
40,3,0.0697674418605,0.2,True
40,5,0.111111111111,0.05,False
40,5,0.111111111111,0.1,False
40,5,0.111111111111,0.2,True
41,1,0.0238095238095,0.05,True
41,1,0.0238095238095,0.1,True
41,1,0.0238095238095,0.2,True
41,2,0.046511627907,0.05,True
41,2,0.046511627907,0.1,True
41,2,0.046511627907,0.2,True
41,3,0.0681818181818,0.05,False
41,3,0.0681818181818,0.1,True
41,3,0.0681818181818,0.2,True
41,5,0.108695652174,0.05,False
41,5,0.108695652174,0.1,False
41,5,0.108695652174,0.2,True
42,1,0.0232558139535,0.05,True
42,1,0.0232558139535,0.1,True
42,1,0.0232558139535,0.2,True
42,2,0.0454545454545,0.05,True
42,2,0.0454545454545,0.1,True
42,2,0.0454545454545,0.2,True
42,3,0.0666666666667,0.05,False
42,3,0.0666666666667,0.1,True
42,3,0.0666666666667,0.2,True
42,5,0.106382978723,0.05,False
42,5,0.106382978723,0.1,False
42,5,0.106382978723,0.2,True
43,1,0.0227272727273,0.05,True
43,1,0.0227272727273,0.1,True
43,1,0.0227272727273,0.2,True
43,2,0.0444444444444,0.05,True
43,2,0.0444444444444,0.1,True
43,2,0.0444444444444,0.2,True
43,3,0.0652173913043,0.05,False
43,3,0.0652173913043,0.1,True
43,3,0.0652173913043,0.2,True
43,5,0.104166666667,0.05,False
43,5,0.104166666667,0.1,False
43,5,0.104166666667,0.2,True
44,1,0.0222222222222,0.05,True
44,1,0.0222222222222,0.1,True
44,1,0.0222222222222,0.2,True
44,2,0.0434782608696,0.05,True
44,2,0.0434782608696,0.1,True
44,2,0.0434782608696,0.2,True
44,3,0.063829787234,0.05,False
44,3,0.063829787234,0.1,True
44,3,0.063829787234,0.2,True
44,5,0.102040816327,0.05,False
44,5,0.102040816327,0.1,False
44,5,0.102040816327,0.2,True
45,1,0.0217391304348,0.05,True
45,1,0.0217391304348,0.1,True
45,1,0.0217391304348,0.2,True
45,2,0.0425531914894,0.05,True
45,2,0.0425531914894,0.1,True
45,2,0.0425531914894,0.2,True
45,3,0.0625,0.05,False
45,3,0.0625,0.1,True
45,3,0.0625,0.2,True
45,5,0.1,0.05,False
45,5,0.1,0.1,True
45,5,0.1,0.2,True
46,1,0.0212765957447,0.05,True
46,1,0.0212765957447,0.1,True
46,1,0.0212765957447,0.2,True
46,2,0.0416666666667,0.05,True
46,2,0.0416666666667,0.1,True
46,2,0.0416666666667,0.2,True
46,3,0.0612244897959,0.05,False
46,3,0.0612244897959,0.1,True
46,3,0.0612244897959,0.2,True
46,5,0.0980392156863,0.05,False
46,5,0.0980392156863,0.1,True
46,5,0.0980392156863,0.2,True
47,1,0.0208333333333,0.05,True
47,1,0.0208333333333,0.1,True
47,1,0.0208333333333,0.2,True
47,2,0.0408163265306,0.05,True
47,2,0.0408163265306,0.1,True
47,2,0.0408163265306,0.2,True
47,3,0.06,0.05,False
47,3,0.06,0.1,True
47,3,0.06,0.2,True
47,5,0.0961538461538,0.05,False
47,5,0.0961538461538,0.1,True
47,5,0.0961538461538,0.2,True
48,1,0.0204081632653,0.05,True
48,1,0.0204081632653,0.1,True
48,1,0.0204081632653,0.2,True
48,2,0.04,0.05,True
48,2,0.04,0.1,True
48,2,0.04,0.2,True
48,3,0.0588235294118,0.05,False
48,3,0.0588235294118,0.1,True
48,3,0.0588235294118,0.2,True
48,5,0.0943396226415,0.05,False
48,5,0.0943396226415,0.1,True
48,5,0.0943396226415,0.2,True
49,1,0.02,0.05,True
49,1,0.02,0.1,True
49,1,0.02,0.2,True
49,2,0.0392156862745,0.05,True
49,2,0.0392156862745,0.1,True
49,2,0.0392156862745,0.2,True
49,3,0.0576923076923,0.05,False
49,3,0.0576923076923,0.1,True
49,3,0.0576923076923,0.2,True
49,5,0.0925925925926,0.05,False
49,5,0.0925925925926,0.1,True
49,5,0.0925925925926,0.2,True
50,1,0.0196078431373,0.05,True
50,1,0.0196078431373,0.1,True
50,1,0.0196078431373,0.2,True
50,2,0.0384615384615,0.05,True
50,2,0.0384615384615,0.1,True
50,2,0.0384615384615,0.2,True
50,3,0.0566037735849,0.05,False
50,3,0.0566037735849,0.1,True
50,3,0.0566037735849,0.2,True
50,5,0.0909090909091,0.05,False
50,5,0.0909090909091,0.1,True
50,5,0.0909090909091,0.2,True
