image_id,building_id,n_A,n_B,common_recipe_k2_4_6
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,10,10,True
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,3,2,False
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,3,2,False
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,2,3,False
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,Z6MFQCViBuw,4,1,False
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,b8cTxDM8gDG,2,2,False
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,b8cTxDM8gDG,0,4,False
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,e9zR4mvMWw7,2,3,False
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,e9zR4mvMWw7,1,3,False
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,e9zR4mvMWw7,4,2,False
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,10,10,True
jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,jh4fc5c5qoQ,2,2,False
jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,jh4fc5c5qoQ,1,1,False
jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,jh4fc5c5qoQ,1,1,False
jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c,jh4fc5c5qoQ,0,1,False
jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,jtcxE69GiFV,1,2,False
jtcxE69GiFV_1df105f34ccf4844877be7e8e2d90fad,jtcxE69GiFV,2,1,False
jtcxE69GiFV_3fb4bb890d7f4964b496a46db647e72a,jtcxE69GiFV,0,1,False
jtcxE69GiFV_44661972414d44fabc0799f237e4d7f0,jtcxE69GiFV,0,1,False
jtcxE69GiFV_4d7ce55eeb6643079aba3b10360de8d8,jtcxE69GiFV,1,1,False
jtcxE69GiFV_539fb3f6f19b442285b593628a8ce14e,jtcxE69GiFV,1,0,False
jtcxE69GiFV_5d3af9ad575b4be88587967ff8114c36,jtcxE69GiFV,2,0,False
jtcxE69GiFV_6723e18211d244f8b17ced91aae64d99,jtcxE69GiFV,1,0,False
jtcxE69GiFV_67790605390f4d439c3c59395967ec84,jtcxE69GiFV,2,2,False
jtcxE69GiFV_9f0e2562fcf447f5a7c5e44e85978148,jtcxE69GiFV,2,0,False
jtcxE69GiFV_a197694b62d249968f88ae32a1b49d10,jtcxE69GiFV,1,0,False
jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,jtcxE69GiFV,3,1,False
jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,jtcxE69GiFV,2,2,False
jtcxE69GiFV_f473cf5a09a64090acec3bfe8fccaacd,jtcxE69GiFV,1,0,False
jtcxE69GiFV_f4dc4040df5a4f038dd2b35f2bb65266,jtcxE69GiFV,1,0,False
pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,pRbA3pwrgk9,3,3,False
pRbA3pwrgk9_0dad4bd3fa7e4349a5325596c10d6fdf,pRbA3pwrgk9,0,1,False
pRbA3pwrgk9_16beb21e65a84850a509972190038d0e,pRbA3pwrgk9,1,1,False
pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,pRbA3pwrgk9,1,2,False
pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,pRbA3pwrgk9,3,2,False
pRbA3pwrgk9_4fe4474e9bf9429ea92d202bdea4dce5,pRbA3pwrgk9,1,1,False
pRbA3pwrgk9_8caa90fc5528451f9e9f45634676499b,pRbA3pwrgk9,1,1,False
pRbA3pwrgk9_9c9bed9bf7d94ac0bcea18e3bf521930,pRbA3pwrgk9,0,2,False
pa4otMbVnkk_270f6920ec0f48c391bca974b356bc3b,pa4otMbVnkk,1,1,False
pa4otMbVnkk_3ad5d0784b1442b6a728bb7dec3d50e0,pa4otMbVnkk,1,0,False
pa4otMbVnkk_447755d931aa401097d8c0952a22b17e,pa4otMbVnkk,2,0,False
pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657,pa4otMbVnkk,1,2,False
pa4otMbVnkk_4fbdfc08c934474ea9a04977f9081d0e,pa4otMbVnkk,0,1,False
pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,pa4otMbVnkk,2,4,False
pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,pa4otMbVnkk,1,2,False
pa4otMbVnkk_64ba4f267872432abdcb00af002649d5,pa4otMbVnkk,1,0,False
pa4otMbVnkk_eac7bdc24b24474ba38b8b0b5acd62f6,pa4otMbVnkk,0,1,False
pa4otMbVnkk_f6005da79d2c43ba820db8124a4287d1,pa4otMbVnkk,0,1,False
pa4otMbVnkk_fc4ee7e59f32491d9817b3a9a5b5e9b1,pa4otMbVnkk,0,1,False
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,2,3,False
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,10,10,True
q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC,2,3,False
q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,q9vSo1VnCiC,1,2,False
q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,q9vSo1VnCiC,4,1,False
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,2,2,False
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,10,10,True
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC,1,3,False
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,10,10,True
q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,q9vSo1VnCiC,0,4,False
q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,q9vSo1VnCiC,3,2,False
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,10,10,True
q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,q9vSo1VnCiC,2,2,False
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,10,10,True
rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,3,2,False
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,10,10,True
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,10,10,True
rPc6DW4iMge_4350d36797324601adba7351d09602d2,rPc6DW4iMge,2,3,False
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,10,10,True
rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,rPc6DW4iMge,1,3,False
rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,10,10,True
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,9,10,True
uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,uNb9QFRL6hY,10,10,True
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,10,10,True
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,uNb9QFRL6hY,10,10,True
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY,10,10,True
uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,uNb9QFRL6hY,3,2,False
uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,uNb9QFRL6hY,2,2,False
uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,uNb9QFRL6hY,1,3,False
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY,3,2,False
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,1,3,False
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,10,10,True
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,10,10,True
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY,10,10,True
uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,uNb9QFRL6hY,1,3,False
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY,2,2,False
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,uNb9QFRL6hY,10,10,True
uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,uNb9QFRL6hY,10,10,True
uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,uNb9QFRL6hY,10,10,True
uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,uNb9QFRL6hY,4,1,False
uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,uNb9QFRL6hY,3,2,False
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY,3,2,False
uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,uNb9QFRL6hY,3,2,False
uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,10,10,True
uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,uNb9QFRL6hY,3,2,False
uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,uNb9QFRL6hY,2,3,False
wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,wc2JMjhGNzB,2,3,False
wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,wc2JMjhGNzB,1,3,False
wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB,10,10,True
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,wc2JMjhGNzB,4,2,False
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,wc2JMjhGNzB,4,2,False
wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,10,10,True
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,4,1,False
wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,wc2JMjhGNzB,10,10,True
wc2JMjhGNzB_dda6efcba51c40de8552408953719515,wc2JMjhGNzB,10,10,True
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,wc2JMjhGNzB,3,2,False
x8F5xyUWy9e_1be9a97aada84e4795f64583ac0e3b76,x8F5xyUWy9e,1,3,False
x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,x8F5xyUWy9e,3,2,False
x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,x8F5xyUWy9e,10,10,True
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,yqstnuAEVhm,2,3,False
yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,yqstnuAEVhm,0,4,False
yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,yqstnuAEVhm,2,2,False
yqstnuAEVhm_4642492bb42d40debb1a3bad0ea7a24f,yqstnuAEVhm,4,1,False
yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm,1,3,False
yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,yqstnuAEVhm,2,2,False
yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,yqstnuAEVhm,10,10,True
yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,10,10,True
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm,2,3,False
yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,yqstnuAEVhm,3,2,False
yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,yqstnuAEVhm,10,10,True
yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,yqstnuAEVhm,10,10,True
yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,yqstnuAEVhm,10,10,True
zsNo4HB9uLZ_2caadd7bc71c43d5ad10f4e7f10a3455,zsNo4HB9uLZ,0,1,False
zsNo4HB9uLZ_65eefaf93e6249908e6389eb4eabf0f5,zsNo4HB9uLZ,2,2,False
zsNo4HB9uLZ_935e0f6088a54fba87990835d1997d9a,zsNo4HB9uLZ,1,1,False
zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,zsNo4HB9uLZ,3,1,False
zsNo4HB9uLZ_faad06c7cb2b4a6f9220e7f6f87c800b,zsNo4HB9uLZ,1,1,False
