gt_inner_id,base_task_id,hohonet_test_png_exists,hohonet_test_png_size,hohonet_test_png_sha16,hohonet_img_v_jpg_exists,hohonet_img_v_jpg_size,hohonet_img_v_jpg_sha16,bilayout_png_exists,bilayout_png_size,bilayout_png_sha16,png_vs_bilayout_mean_abs_rgb_resized,png_vs_bilayout_rms_abs_rgb_resized,png_vs_bilayout_any_pixel_changed,jpg_vs_bilayout_mean_abs_rgb,jpg_vs_bilayout_rms_abs_rgb,jpg_vs_bilayout_any_pixel_changed
12,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,True,2048x1024,bdf425702aee4d28,True,1024x512,e915d4c06e53d311,True,1024x512,6290597310ead8a6,1.320,3.536,1,2.171,4.249,1
13,B6ByNegPMKs_b5dcbc0109a344a281d8ae467ccf3fc2,True,2048x1024,0b179c8f280be745,True,1024x512,e407c93a08b2d20c,True,1024x512,32b3c85d4539adba,0.750,2.036,1,1.587,2.971,1
14,wc2JMjhGNzB_074ac1d681e3415081b89cf582e1e995,True,2048x1024,67cbaab03178ddff,True,1024x512,2cca97d8b611e0ca,True,1024x512,14b0c08b09dee392,1.457,4.620,1,2.195,5.382,1
15,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,True,2048x1024,9d6c7e36c5d7f4c0,True,1024x512,71d1d52c5a1324d2,True,1024x512,bf8c8a27c2dfe844,1.749,4.393,1,2.734,5.309,1
16,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,True,2048x1024,e5162befa5cdb8d1,True,1024x512,9745297eed30c473,True,1024x512,9adaa84fac341378,2.125,5.815,1,2.984,6.636,1
17,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,True,2048x1024,265a87f465ef2229,True,1024x512,90c5d2bd68628a37,True,1024x512,5e0fa03cfb8f716f,50.772,70.468,1,50.923,70.659,1
18,uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,True,2048x1024,94710902a0fa6f5f,True,1024x512,e635547a1123ac31,True,1024x512,6aea759d8e1da7bd,1.885,5.252,1,2.527,5.918,1
19,uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,True,2048x1024,9c3c1ff0c4474cac,True,1024x512,7230d9df7007eb20,True,1024x512,c069f1f0fb036d0c,4.279,11.088,1,4.722,11.704,1
20,q9vSo1VnCiC_5deeec8cee844e6e9899bfff35b06f5d,True,2048x1024,bb132e8781ebb841,True,1024x512,1ef0fdfb3cf321a2,True,1024x512,2910af63ac040524,3.546,8.978,1,4.085,9.580,1
21,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,True,2048x1024,5d4679a46a711325,True,1024x512,0385a6a1ee60bba3,True,1024x512,d13f5fc920ae7d36,0.600,1.566,1,1.368,2.468,1
22,e9zR4mvMWw7_0977162f6d4e47f7b3764379ba68d8db,True,2048x1024,d986bb713d6d1719,True,1024x512,21f5d2953a248f11,True,1024x512,822c92ce56438ba5,3.599,9.935,1,4.175,10.770,1
23,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,True,2048x1024,39051ba3bacb964b,True,1024x512,2d77e1b5e0fc5797,True,1024x512,25c823c67f500413,1.077,3.254,1,1.909,4.035,1
24,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,True,2048x1024,fc22e595c551c873,True,1024x512,3b6a0c0ee2efe0ff,True,1024x512,24bb94710d8cffef,6.144,16.291,1,6.477,16.771,1
25,rPc6DW4iMge_0a84204ae666476f97095e784a772323,True,2048x1024,0b3a82a65e3576c0,True,1024x512,ede7ade2bf7f3406,True,1024x512,80b1089164d9a7fb,5.852,15.809,1,6.176,16.279,1
26,X7HyMhZNoso_a59d092e0c50479089a85c2b36dd6d20,True,2048x1024,40080b5d23a3b80a,True,1024x512,61ec96990ccf489e,True,1024x512,a9722539daab596d,2.437,8.081,1,2.921,8.576,1
27,wc2JMjhGNzB_6e491bc8576345bda3cdde9ab216b7be,True,2048x1024,1f2a45058267c3ca,True,1024x512,23540c1003d06791,True,1024x512,8c5a379a347076f8,1.671,3.638,1,2.626,4.630,1
28,wc2JMjhGNzB_ea42bf32a1984ae399c9f96d9b62b635,True,2048x1024,ae8f11f8c9e3bf60,True,1024x512,17061bdfc21fa059,True,1024x512,9d512c1478751f6f,1.718,4.413,1,2.499,5.182,1
29,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,True,2048x1024,0723be9ed4d062e5,True,1024x512,f44498b45927f422,True,1024x512,5f1cee86cb0b557d,2.399,7.716,1,2.974,8.404,1
30,UwV83HsGsw3_a497aa9041fd41b3b5e6f3cab0849f98,True,2048x1024,5b37b1d7db199029,True,1024x512,602fd6d314d07e13,True,1024x512,50eebc1f0d8db0a3,1.916,5.277,1,2.549,5.862,1
31,wc2JMjhGNzB_2880c0784aa0462a8070b30416752de6,True,2048x1024,b415b0d20837743f,True,1024x512,1e7f3fccb04b8a8a,True,1024x512,245371dd17116694,1.712,3.726,1,2.724,4.854,1
32,e9zR4mvMWw7_1f8ee74dbb254dff85771776279eae94,True,2048x1024,06c75747b9ed27d6,True,1024x512,e882be32ea248ab8,True,1024x512,9cd069d9608d8a03,0.434,1.137,1,1.286,2.189,1
33,uNb9QFRL6hY_26b3b14f6ce047489259ab14d131122d,True,2048x1024,15e8e21692167f4e,True,1024x512,9b52580cb8592320,True,1024x512,bfde8a800a304d56,0.981,2.639,1,1.603,3.178,1
34,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,True,2048x1024,614f55a200de74b7,True,1024x512,03969a59e362672b,True,1024x512,50dc5cc10c96399f,2.221,6.854,1,2.808,7.498,1
35,e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,True,2048x1024,4af3a553347c33b9,True,1024x512,d8e2350de4a0bde2,True,1024x512,9302c5ae2b38abc4,3.147,8.490,1,3.586,9.052,1
36,B6ByNegPMKs_c36b46ddcadf4896a2aa0abca657f33d,True,2048x1024,f78bbe4ad21c581d,True,1024x512,40132cc3b76d1bee,True,1024x512,7e4fc690b1b7d977,1.891,4.851,1,2.577,5.428,1
37,yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,True,2048x1024,765af9db9b75726c,True,1024x512,d355b3051e386b7d,True,1024x512,04b9978d14076374,3.073,9.917,1,3.777,10.665,1
38,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,True,2048x1024,5c2a2bed7e8d6896,True,1024x512,716db9214da36e62,True,1024x512,ed7cd93fd55fde01,1.650,5.631,1,2.196,6.158,1
39,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,True,2048x1024,76989bb1e7c7debb,True,1024x512,b38b5db6848b4f3b,True,1024x512,86ac89d5e795b604,0.946,2.918,1,1.478,3.391,1
40,b8cTxDM8gDG_d38c4ae95f5b4640a2696b923b80d1f4,True,2048x1024,e54e373d0cb56b02,True,1024x512,f1d65253a239cb9a,True,1024x512,751923f5ac5cc5fd,1.190,3.423,1,2.055,4.312,1
41,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,True,2048x1024,7a0d5ac47a424bd4,True,1024x512,626d3e972cba94a8,True,1024x512,c00879aa25ada076,1.501,3.547,1,2.719,4.850,1
42,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,True,2048x1024,d0ded9aae541ddab,True,1024x512,61d873f87cf8faf3,True,1024x512,cd072cfa0b001fb4,2.335,4.333,1,3.943,6.144,1
43,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,True,2048x1024,5505a4a02cab4438,True,1024x512,b26952490c11f8c4,True,1024x512,b9c573c1ed953d0b,0.760,2.277,1,1.365,2.843,1
44,uNb9QFRL6hY_dcb326d4bb9b4a5f8d7e565ec32bce8e,True,2048x1024,189d01db2862a4e8,True,1024x512,bc7cdd931ab9d8eb,True,1024x512,6249e4c96ba02a73,0.675,1.747,1,1.462,2.593,1
45,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,True,2048x1024,ca85115d8b856d2a,True,1024x512,ec966bfd680439ab,True,1024x512,be34110708590c7a,1.257,3.704,1,1.954,4.327,1
46,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,True,2048x1024,e378999b3d2460cb,True,1024x512,af89808ef52ae6e5,True,1024x512,ffd89d3e9522c68a,2.140,4.901,1,3.174,5.948,1
47,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,True,2048x1024,c56fadb04a2a8537,True,1024x512,e23a0e02cfa83fc7,True,1024x512,09857f4db7752d6c,2.591,7.835,1,3.325,8.665,1
48,B6ByNegPMKs_3ed1f9b2f3c341d68c6d42895f56f7f9,True,2048x1024,2b1e9c468daa11bb,True,1024x512,551ff88e0c0f0b05,True,1024x512,5ca6a37f4fe6b20c,1.283,3.524,1,2.089,4.301,1
49,wc2JMjhGNzB_c7e4c175f9b347cf9256fa7e291f26d9,True,2048x1024,02ecb1ba0ec8864f,True,1024x512,83aeb882b659a219,True,1024x512,93861a2de4a7a330,4.589,11.197,1,5.133,12.005,1
50,Z6MFQCViBuw_80cd596c480c4f72a7457433b862d179,True,2048x1024,4d9e2642fc40c01c,True,1024x512,7df7ce1f3a2e57da,True,1024x512,58b1f27393fcba85,8.494,16.276,1,9.628,17.927,1
51,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,True,2048x1024,a2dbfa8cd1f73ea2,True,1024x512,f91ff72ccfae7255,True,1024x512,4b66e877854ce6ac,1.469,3.153,1,2.468,4.277,1
52,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,True,2048x1024,5106675408ef64ec,True,1024x512,2b88123cc5e1e716,True,1024x512,cc15fa8c056c2424,1.232,4.252,1,1.959,4.866,1
53,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,True,2048x1024,98d0c1af1e3401a0,True,1024x512,577ee28803b86d5e,True,1024x512,0cffd92c05d88ba7,0.722,1.951,1,1.530,2.832,1
54,B6ByNegPMKs_8b4e1e0ada214ee68dc9e0350cbad884,True,2048x1024,ff0a167c02fff128,True,1024x512,019e94404aa655be,True,1024x512,528eb59f7a0e4462,5.192,12.957,1,5.883,13.887,1
55,B6ByNegPMKs_2a1bc1a10d7b45ad902e09cd71767fd9,True,2048x1024,8aabdc019a71523c,True,1024x512,87b8c2b8906ee914,True,1024x512,8c35b58c3f576d8a,2.098,6.989,1,2.668,7.599,1
56,wc2JMjhGNzB_649ef3674e0f4e7c9eac67f94d237573,True,2048x1024,152124ac2d5da76d,True,1024x512,6f00221a81fa0bda,True,1024x512,325543de9120c1e7,2.108,5.683,1,2.981,6.564,1
57,uNb9QFRL6hY_e8fcf8c5bd324655a25186117151ccbd,True,2048x1024,dfce7f6d8c7e4997,True,1024x512,d9a7b62467fb5e4b,True,1024x512,bff3289b97d61e1c,1.358,4.718,1,1.955,5.291,1
58,B6ByNegPMKs_8c414a8052c844b4bcd5dc3fadde7f8c,True,2048x1024,91c90e4aede60969,True,1024x512,123343ed8d4dc92b,True,1024x512,cc9e2d815740f720,0.635,1.626,1,1.562,2.692,1
59,uNb9QFRL6hY_2ed0e171a7c34f17a85363923a26ab98,True,2048x1024,4f3f2f68418c499a,True,1024x512,9b5fbc70ac962b5b,True,1024x512,222f435bfe93d8fe,3.348,9.497,1,3.901,10.211,1
60,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,True,2048x1024,661936d8b1516f96,True,1024x512,0a4cecaa6e0d4fb6,True,1024x512,a32e7e97001848c5,1.165,3.468,1,1.820,4.095,1
61,q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,True,2048x1024,3a513618f8f80be5,True,1024x512,bc99662e1783e26d,True,1024x512,c630297306b75436,6.260,16.801,1,6.627,17.279,1
62,B6ByNegPMKs_e5567bd5fa2d4fde8a6b9f15e3274a7e,True,2048x1024,587c765aaa3e4801,True,1024x512,1e7388fb752d4ea3,True,1024x512,815c201e13f2467c,0.999,2.777,1,1.840,3.601,1
63,e9zR4mvMWw7_4984fc9f1fdf4ff7887430f71b9ae392,True,2048x1024,9b64ad1c7d154e6f,True,1024x512,1d484b91c2cd0087,True,1024x512,79b4a7baa71359d8,4.952,15.391,1,5.285,15.870,1
64,uNb9QFRL6hY_84722e58b32f4646acc12614994f835b,True,2048x1024,d41731cb3a5d2793,True,1024x512,8257e64cf22fa94c,True,1024x512,3cc204551fc22957,2.273,6.044,1,3.103,6.836,1
65,wc2JMjhGNzB_d5138c0f63414e1fb5147c9436968940,True,2048x1024,14b5374e35818a08,True,1024x512,550373806226668f,True,1024x512,b28237d230c45a8d,4.708,12.334,1,5.475,13.341,1
66,B6ByNegPMKs_dbc3c79b1ce74d209239b1572bd249bb,True,2048x1024,5526c98bc04eeab5,True,1024x512,d215faeb36448b6f,True,1024x512,2ed12b0f40228dad,0.953,2.557,1,1.788,3.373,1
67,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,True,2048x1024,7e1f04d061e5ed25,True,1024x512,9128d4a50a36683a,True,1024x512,edcab58ad29f69bb,1.693,5.039,1,2.450,5.806,1
68,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,True,2048x1024,490c97f1c4a30313,True,1024x512,4de7d14193515fca,True,1024x512,bc911e1f3ffaaccf,4.674,13.439,1,5.213,14.310,1
69,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,True,2048x1024,d1ecca5344fce9ec,True,1024x512,8185c8f4d98fa221,True,1024x512,066fedbd8f61ee23,7.707,15.075,1,8.898,16.701,1
70,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,True,2048x1024,81db0c3de1d70802,True,1024x512,3fd1f2a99b42eac4,True,1024x512,ab926a2f9d71cbc7,1.946,4.984,1,3.019,6.114,1
71,UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,True,2048x1024,d6b46b2439515d34,True,1024x512,c819e959891f8b6b,True,1024x512,5bbd5b7543d5d814,1.754,6.346,1,2.298,6.927,1
72,q9vSo1VnCiC_46281f6c32544ffe90e6d88f539c4232,True,2048x1024,b393847e14470d42,True,1024x512,c96c365af57bfc5e,True,1024x512,aeaeefd8abdee9f9,1.835,4.611,1,2.701,5.460,1
73,B6ByNegPMKs_6ef1007d4f8641cfa4102b27787f0210,True,2048x1024,1ac53c8b3a997a54,True,1024x512,885411271640fc0c,True,1024x512,85e3e3bfaec1fa40,0.834,2.152,1,1.830,3.347,1
74,uNb9QFRL6hY_fd411e4f6035431593833d9d0beb4d32,True,2048x1024,258b6c1320678d7c,True,1024x512,58bbd595c1d48931,True,1024x512,334b8eaa2f9e3f35,9.548,22.442,1,9.883,22.933,1
75,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,True,2048x1024,2e3f746cb2927622,True,1024x512,129472eb6f0309b6,True,1024x512,b1a62b6c14e3296c,5.709,15.830,1,6.045,16.315,1
76,uNb9QFRL6hY_b73ae36f994747e196380b1cb71cf407,True,2048x1024,210e50f6cd5dcf01,True,1024x512,2549a61006fa64ca,True,1024x512,14ba6ff767278c91,2.478,6.458,1,3.343,7.340,1
77,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,True,2048x1024,d4822da82e67bea7,True,1024x512,0de5df15e321b8ab,True,1024x512,f2c50a0505f426cb,0.970,2.589,1,1.798,3.445,1
78,UwV83HsGsw3_cfd92c05e31846e89144f7b2bb8e59a8,True,2048x1024,4c146166e3e9cecc,True,1024x512,e6ec02d2a48481fa,True,1024x512,3271c6cb05e20a81,0.690,1.754,1,1.590,2.765,1
79,q9vSo1VnCiC_a6560bae311a403a9bfe94e4c1c645f4,True,2048x1024,88e30ebb5b73d024,True,1024x512,0cd43c348dd2bb93,True,1024x512,cf346975b23154f6,0.962,2.552,1,2.070,3.764,1
80,uNb9QFRL6hY_930b1d9018914ff6858fac08e204de26,True,2048x1024,1c30bee0a55f66db,True,1024x512,eb440bd4d1c1f20f,True,1024x512,d77a8e96cee3bb71,2.282,6.767,1,2.861,7.415,1
81,yqstnuAEVhm_f2eeae1a36f14f6cb7b934efd9becb4d,True,2048x1024,177f07c450f42572,True,1024x512,a371a149412e22ac,True,1024x512,63e5fd554a86f3b4,4.967,13.804,1,5.677,14.707,1
82,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,True,2048x1024,b2a49656043f3858,True,1024x512,27af4bedc94e07bb,True,1024x512,fbe5170317c82df5,1.518,4.822,1,2.056,5.445,1
83,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,True,2048x1024,4f0964c682285a8c,True,1024x512,a0c8dc28f244dd9b,True,1024x512,a10d851d72989477,0.989,2.670,1,1.855,3.598,1
84,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,True,2048x1024,8bcbfc5e5f95c3ab,True,1024x512,c74493c94f532866,True,1024x512,c1ab702fa8e9d0c6,1.449,3.492,1,2.429,4.549,1
85,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,True,2048x1024,1fb2397c1b45212d,True,1024x512,74a2a85d2b3859ac,True,1024x512,9395d08e977107fb,0.789,1.771,1,1.810,2.900,1
86,uNb9QFRL6hY_bccfe89cf0b24f4c9d2afee19c342117,True,2048x1024,123282fc8d9eafb6,True,1024x512,d70de1149a339811,True,1024x512,9980cf8a20f189d2,0.776,2.018,1,1.708,3.151,1
87,wc2JMjhGNzB_872459df29ef4f158108fbfcb3225090,True,2048x1024,fdd447800458ae4f,True,1024x512,20ac8dda1ac3333c,True,1024x512,c13ab433c995d6aa,2.284,6.600,1,3.230,7.556,1
88,b8cTxDM8gDG_d6f573aa1add4621af53ba492838ff45,True,2048x1024,097c21e98cf344c8,True,1024x512,27589b6d42c96b44,True,1024x512,30eec9d977b76c66,0.859,2.125,1,1.658,3.040,1
89,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,True,2048x1024,69a900542e2b861c,True,1024x512,5982648f9f77400a,True,1024x512,486cd461a9a910a1,7.270,19.917,1,7.507,20.388,1
90,b8cTxDM8gDG_dcbdda428eb846a586886b87d9552d0e,True,2048x1024,d1e461bc6946734c,True,1024x512,4b172d4fd438e1c8,True,1024x512,737b43172638aa49,1.736,5.089,1,2.483,5.778,1
91,wc2JMjhGNzB_431023d1f9fd40048ceee9214fd8464a,True,2048x1024,a8f2c8ab7a819473,True,1024x512,aa60cb0a27a25d1f,True,1024x512,5cb1abadfa0a1763,1.449,3.471,1,2.134,4.187,1
92,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,True,2048x1024,fa3e1cbbae7cda7f,True,1024x512,d677ec55ef9281e7,True,1024x512,4bbe2bd176b9c2f8,4.168,12.648,1,4.559,13.150,1
93,uNb9QFRL6hY_dba77340b24340be9c7242cba42f1e28,True,2048x1024,5727d7d461371bd0,True,1024x512,116db9927a9f3799,True,1024x512,73a1b8aa7fb02ede,0.675,1.719,1,1.351,2.402,1
94,e9zR4mvMWw7_2e52341d21b940b5b38a9e26c4cf4200,True,2048x1024,e0cef070a05d89c4,True,1024x512,55ed5adfa3104217,True,1024x512,81ef54a29b413b57,3.364,9.805,1,3.756,10.353,1
95,B6ByNegPMKs_8b1abc1b47784d758b9ec1e079160475,True,2048x1024,c4f356f38b0fa8dc,True,1024x512,82c4a78e5461b05f,True,1024x512,52267d0b1102f01f,0.751,2.046,1,1.646,2.950,1
96,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,True,2048x1024,44a0e111538963a7,True,1024x512,c81fae256eb939b3,True,1024x512,94978b3ca5ed8d98,0.586,1.496,1,1.403,2.368,1
97,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,True,2048x1024,731180641faf5a05,True,1024x512,617abb56d0903e19,True,1024x512,869dded3d019d2d3,1.501,4.045,1,2.162,4.694,1
98,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,True,2048x1024,c86cf47320d7fc2e,True,1024x512,b6bf219b1438ffcd,True,1024x512,617d0b8a18227ff2,1.025,3.093,1,1.934,3.980,1
99,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,True,2048x1024,2ac64f7df413cc54,True,1024x512,1443a15fd2a935d6,True,1024x512,7586963ab70d87ad,4.085,11.618,1,4.479,12.226,1
100,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,True,2048x1024,70c1141a13684e23,True,1024x512,1ecdfab59dbdf679,True,1024x512,35d2b2218ba22036,1.192,4.151,1,1.759,4.638,1
101,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,True,2048x1024,009a20152b4da4dd,True,1024x512,64e2739646fb7766,True,1024x512,d510a2ab3021be97,1.803,5.448,1,2.363,5.992,1
102,X7HyMhZNoso_215ab480f5084ac992c0d0e6b3e82268,True,2048x1024,65813b3507bccb8d,True,1024x512,907304ad0806ab0b,True,1024x512,221db03be93287da,1.549,4.323,1,2.284,5.084,1
103,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,True,2048x1024,b9a5a46d552415ee,True,1024x512,091cf91d7b471c25,True,1024x512,b9cdd73fbcde7f71,2.308,7.826,1,2.846,8.377,1
104,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,True,2048x1024,fa931495abde8daf,True,1024x512,b8c087f0e7a1d277,True,1024x512,9c69a5abdfaab8f4,1.170,2.752,1,2.332,3.999,1
105,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,True,2048x1024,50faba7448fa7df9,True,1024x512,18d887f2a95ce2f9,True,1024x512,737dd209d1eacb55,1.371,4.299,1,1.985,4.776,1
106,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,True,2048x1024,f1242b5a00217fdc,True,1024x512,f54ad918e5712a74,True,1024x512,5f6208f4e973d5de,1.286,3.952,1,1.873,4.482,1
107,wc2JMjhGNzB_eae0ac9f6c5b4764a91c789f14a8c2eb,True,2048x1024,b1537394fe8fa449,True,1024x512,8ef797d70dc56a31,True,1024x512,146520097f4d328d,0.812,1.975,1,1.915,3.451,1
108,q9vSo1VnCiC_bac003e7f0294457905fb183c34ef2bf,True,2048x1024,bc1c9005e5e9b5a3,True,1024x512,4711f367f2f2fb41,True,1024x512,790591033776a785,1.702,4.722,1,2.616,5.618,1
109,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,True,2048x1024,3a5c9b72010ed957,True,1024x512,7be96372ada820e3,True,1024x512,1254a40df62111d0,1.175,3.790,1,1.923,4.527,1
110,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,True,2048x1024,b0699f5ff25cd67d,True,1024x512,9b3954b37565650c,True,1024x512,9717856e8b180dfc,2.425,8.256,1,2.993,8.981,1
111,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,True,2048x1024,e693c6198545262c,True,1024x512,ad9d207929c15265,True,1024x512,a8405a45c94eb093,0.479,1.392,1,1.207,2.156,1
112,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,True,2048x1024,eaffbfbd5c30c96b,True,1024x512,0250e698497aa710,True,1024x512,61845dca3a5becaa,0.981,2.649,1,1.835,3.526,1
113,B6ByNegPMKs_51623bde5d4a4550b2c34efe044a16dc,True,2048x1024,d7206e3320a76b0b,True,1024x512,773b96e700899829,True,1024x512,cb724324c07b9354,0.620,1.523,1,1.524,2.624,1
114,wc2JMjhGNzB_77962388887942148ee65c2892600e02,True,2048x1024,28177b6b1a061182,True,1024x512,83b580f1c1df6a75,True,1024x512,2a7e68c209681f8b,2.717,8.408,1,3.265,8.994,1
115,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,True,2048x1024,a77b13c645c5ba4a,True,1024x512,645c741072f405ea,True,1024x512,2ab9e2a5d9f19b29,5.299,15.931,1,5.655,16.440,1
116,wc2JMjhGNzB_e7d38d204e374f6b8300c5a559a768e9,True,2048x1024,55e01e697d637a48,True,1024x512,768a9fa7adbeee16,True,1024x512,d87df35dfe4a6ea6,1.564,3.002,1,2.638,4.260,1
117,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,True,2048x1024,ba4bffbf9fd2b119,True,1024x512,3cf772923e163359,True,1024x512,ac52330c67e4a209,0.528,1.533,1,1.230,2.263,1
118,wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,True,2048x1024,ccad5fe01445cc2f,True,1024x512,f0a5fd3f00a41ef0,True,1024x512,805b71421da6ac0c,1.466,4.842,1,2.164,5.533,1
119,wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,True,2048x1024,2ac6067c74b2720e,True,1024x512,8dba1c08d92b77e2,True,1024x512,ff3e0e201a6a601a,1.200,3.461,1,2.140,4.442,1
