image_id,in_current_adopted_pool,historical_unassisted_submitters,historical_geometry_workers,historical_semi_workers,after_required_workers
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,False,5,5,0,5
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,False,6,6,0,6
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,False,5,5,0,5
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,False,20,20,0,20
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,False,1,1,0,1
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,False,2,2,0,2
S9hNv5qa7GM_3c496aedd9d645a5b8d7a7b1b53f0636,True,0,0,0,8
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,False,4,4,0,4
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,False,1,1,0,1
S9hNv5qa7GM_674b3b6705604a4c8b89182edee11e54,True,0,0,0,8
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,False,2,2,0,2
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,True,20,20,0,20
S9hNv5qa7GM_dbcf0a37c275473094e1160770291679,True,0,0,0,8
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,False,2,2,0,2
S9hNv5qa7GM_e5e6c99e38014827b50ad33cd22e3c9d,True,0,0,0,8
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,False,1,1,0,1
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,False,3,3,0,3
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,False,5,4,4,4
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,False,5,5,0,5
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,False,24,24,0,24
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,False,24,24,0,24
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,False,24,24,0,24
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,24,24,0,24
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,False,7,6,4,6
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,False,5,5,0,5
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,False,23,23,0,23
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,False,5,5,0,5
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,False,24,24,0,24
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,True,2,2,0,2
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,False,2,2,0,2
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,True,7,7,0,7
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,True,20,19,0,19
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,True,5,5,0,5
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,False,2,2,0,2
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,False,0,0,24,0
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,False,5,5,0,5
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,False,24,24,0,24
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,False,5,5,4,5
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,True,5,5,4,5
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,False,5,5,5,5
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,False,5,5,0,5
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,False,0,0,24,0
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,False,24,24,0,24
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,False,0,0,24,0
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,False,5,5,0,5
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,False,6,6,0,6
b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,False,24,24,0,24
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,False,6,6,0,6
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,True,0,0,24,0
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,False,6,6,0,6
e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,False,0,0,24,0
e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,False,0,0,24,0
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,False,6,6,0,6
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,False,24,24,0,24
e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,False,0,0,24,0
e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,False,0,0,24,0
jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,False,4,4,0,4
jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,False,2,2,0,2
jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,False,2,2,0,2
jh4fc5c5qoQ_855bc326ad174253b57626daf123c608,False,2,2,0,2
jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,False,2,2,0,2
jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c,False,1,1,0,1
jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,False,2,2,0,2
jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,False,3,3,0,3
jtcxE69GiFV_1df105f34ccf4844877be7e8e2d90fad,False,3,3,0,3
jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,True,6,6,0,6
jtcxE69GiFV_3fb4bb890d7f4964b496a46db647e72a,False,1,1,0,1
jtcxE69GiFV_44661972414d44fabc0799f237e4d7f0,False,1,1,0,1
jtcxE69GiFV_4d7ce55eeb6643079aba3b10360de8d8,False,2,2,0,2
jtcxE69GiFV_539fb3f6f19b442285b593628a8ce14e,False,1,1,0,1
jtcxE69GiFV_5d3af9ad575b4be88587967ff8114c36,False,2,2,0,2
jtcxE69GiFV_6723e18211d244f8b17ced91aae64d99,True,1,1,0,1
jtcxE69GiFV_67790605390f4d439c3c59395967ec84,False,4,4,0,4
jtcxE69GiFV_9f0e2562fcf447f5a7c5e44e85978148,False,2,2,0,2
jtcxE69GiFV_a197694b62d249968f88ae32a1b49d10,False,1,1,0,1
jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,False,4,4,0,4
jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,False,4,4,0,4
jtcxE69GiFV_f473cf5a09a64090acec3bfe8fccaacd,False,1,1,0,1
jtcxE69GiFV_f4dc4040df5a4f038dd2b35f2bb65266,False,1,1,0,1
pRbA3pwrgk9_0350fc96e88c4a52886d4eb50b2d52c6,False,3,3,0,3
pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,False,6,6,0,6
pRbA3pwrgk9_0dad4bd3fa7e4349a5325596c10d6fdf,False,1,1,0,1
pRbA3pwrgk9_16beb21e65a84850a509972190038d0e,False,2,2,0,2
pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,False,3,3,0,3
pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,False,5,5,0,5
pRbA3pwrgk9_4fe4474e9bf9429ea92d202bdea4dce5,False,2,2,0,2
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,False,20,20,0,20
pRbA3pwrgk9_8caa90fc5528451f9e9f45634676499b,False,2,2,0,2
pRbA3pwrgk9_9c9bed9bf7d94ac0bcea18e3bf521930,False,2,2,0,2
pRbA3pwrgk9_bc9ae89832854c19a69741f97291efad,False,2,2,0,2
pa4otMbVnkk_270f6920ec0f48c391bca974b356bc3b,False,2,2,0,2
pa4otMbVnkk_3ad5d0784b1442b6a728bb7dec3d50e0,False,1,1,0,1
pa4otMbVnkk_447755d931aa401097d8c0952a22b17e,False,2,2,0,2
pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657,False,3,3,0,3
pa4otMbVnkk_4fbdfc08c934474ea9a04977f9081d0e,False,1,1,0,1
pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,False,6,6,0,6
pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,True,3,3,0,3
pa4otMbVnkk_64ba4f267872432abdcb00af002649d5,False,1,1,0,1
pa4otMbVnkk_eac7bdc24b24474ba38b8b0b5acd62f6,False,1,1,0,1
pa4otMbVnkk_f6005da79d2c43ba820db8124a4287d1,False,1,1,0,1
pa4otMbVnkk_fc4ee7e59f32491d9817b3a9a5b5e9b1,False,1,1,0,1
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,False,5,5,4,5
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,False,24,24,0,24
q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,False,5,5,0,5
q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,False,5,3,0,3
q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,False,24,24,0,24
q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,False,5,5,0,5
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,False,6,6,4,6
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,False,24,24,0,24
q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103,False,0,0,24,0
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,False,5,5,5,5
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,False,24,24,0,24
q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,False,6,6,0,6
q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,False,5,5,0,5
q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,False,5,5,0,5
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,False,24,24,0,24
q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,False,5,5,0,5
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,False,23,23,0,23
rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,False,5,5,0,5
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,False,24,24,0,24
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,False,24,24,0,24
rPc6DW4iMge_4350d36797324601adba7351d09602d2,False,5,5,0,5
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,True,23,23,0,23
rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,False,6,6,0,6
rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,False,0,0,24,0
rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,False,24,24,0,24
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,False,24,22,0,22
uNb9QFRL6hY_00b4950b469b4520b29f895aa029419c,True,0,0,0,15
uNb9QFRL6hY_05285f9bc0234526bf0f6362679e38d0,True,0,0,0,15
uNb9QFRL6hY_068fb0d52d01455c96fa23659c373bf8,True,0,0,0,15
uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,False,24,24,0,24
uNb9QFRL6hY_104d12b732794414a42edd37ac554bff,True,0,0,0,12
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,True,23,23,0,23
uNb9QFRL6hY_13a430466eb64e2087e7fb5acde7a398,True,0,0,0,15
uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f,True,0,0,0,15
uNb9QFRL6hY_23ed105b1f0f48bbb6ec025df9d313e7,True,0,0,0,12
uNb9QFRL6hY_2ed0e171a7c34f17a85363923a26ab98,True,0,0,0,19
uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562,True,0,0,0,15
uNb9QFRL6hY_3450b3accb584493bf13be8e9554dbea,True,0,0,0,15
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,False,24,24,0,24
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,False,23,23,0,23
uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,True,5,5,0,19
uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,True,5,5,0,20
uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,False,5,5,0,5
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,False,6,6,4,6
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,True,5,5,4,15
uNb9QFRL6hY_76ba70b55bde4313939a4a0cd78a49d3,True,0,0,0,19
uNb9QFRL6hY_84722e58b32f4646acc12614994f835b,True,0,0,0,15
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,False,5,5,5,5
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,True,23,23,0,23
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,True,24,24,0,24
uNb9QFRL6hY_9b675f28ab5f4345bf06ed5c77097426,True,0,0,0,12
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,True,23,23,0,23
uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,False,6,6,0,6
uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,False,24,24,0,24
uNb9QFRL6hY_a728d2eef41b449f82357899de802dd3,True,0,0,0,15
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,False,6,6,4,6
uNb9QFRL6hY_ab84a27288034713b2c24e41b31acc78,True,0,0,0,15
uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,False,0,0,24,0
uNb9QFRL6hY_b73ae36f994747e196380b1cb71cf407,True,0,0,0,15
uNb9QFRL6hY_b98c9460586e4f138658181461df9f51,True,0,0,0,19
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,True,23,23,0,23
uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,False,24,24,0,24
uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,True,24,24,0,24
uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,True,5,5,0,20
uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,True,5,5,0,15
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,True,5,5,5,15
uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,False,5,5,4,5
uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,False,24,24,0,24
uNb9QFRL6hY_d5c47aa99b274a67b305aa601234f1f1,True,0,0,0,12
uNb9QFRL6hY_e0b8950793b447bd8b9f916e98e849d1,True,0,0,0,12
uNb9QFRL6hY_e24473d2b8a24568b89c1c4c2a4a9bf1,True,0,0,0,12
uNb9QFRL6hY_e8fcf8c5bd324655a25186117151ccbd,True,0,0,0,15
uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,False,5,5,0,5
uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,False,5,5,0,5
uNb9QFRL6hY_fd10460fd2bc4c52af84e36e89357269,True,0,0,0,15
uNb9QFRL6hY_fd411e4f6035431593833d9d0beb4d32,True,0,0,0,12
uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,True,5,5,0,19
wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,True,5,5,0,5
wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,False,5,5,0,5
wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,True,24,24,0,24
wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,False,0,0,24,0
wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,False,0,0,24,0
wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,True,6,6,0,6
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,False,6,6,4,6
wc2JMjhGNzB_77962388887942148ee65c2892600e02,True,0,0,24,0
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,False,7,7,5,7
wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,True,23,23,0,23
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,True,5,5,4,5
wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,False,0,0,24,0
wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,False,24,24,0,24
wc2JMjhGNzB_dda6efcba51c40de8552408953719515,False,23,23,0,23
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,False,5,5,4,5
x8F5xyUWy9e_1be9a97aada84e4795f64583ac0e3b76,False,5,5,0,5
x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,False,5,5,0,5
x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,False,5,5,0,5
x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,False,24,24,0,24
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,False,5,5,5,5
yqstnuAEVhm_19e4188fa39244378481dcdb18c42dbe,True,0,0,0,8
yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,False,23,23,0,23
yqstnuAEVhm_2b3fb4746d414cc6a31729b222ed79b2,True,0,0,0,8
yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,False,6,6,0,6
yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,False,6,6,0,6
yqstnuAEVhm_4642492bb42d40debb1a3bad0ea7a24f,False,5,5,0,5
yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,False,6,6,0,6
yqstnuAEVhm_4ab11dce32f346b2becac29e0ac6e526,True,0,0,0,8
yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,False,24,24,0,24
yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,False,5,5,0,5
yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,False,23,23,0,23
yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,True,24,24,0,24
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,False,5,5,4,5
yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,False,5,5,0,5
yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,False,24,24,0,24
yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,False,24,24,0,24
yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,False,24,24,0,24
zsNo4HB9uLZ_2caadd7bc71c43d5ad10f4e7f10a3455,False,1,1,0,1
zsNo4HB9uLZ_4c0aab63a4434cf4878e6f5b3ce9a70b,False,4,4,0,4
zsNo4HB9uLZ_65eefaf93e6249908e6389eb4eabf0f5,False,4,4,0,4
zsNo4HB9uLZ_935e0f6088a54fba87990835d1997d9a,False,2,2,0,2
zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,False,4,4,0,4
zsNo4HB9uLZ_faad06c7cb2b4a6f9220e7f6f87c800b,False,2,2,0,2
