image_id,condition,trigger,value,question,canonical_ids,worker_ids,adjudication_status
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,manual,hidden geometry outside allowed seed/model candidates,0.5909090909090908,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,082bd5bd0d332eff07b8|a690aad05af6d8488499|7fbd8554bc67ef1d9922|72e0b2778d6bcbe5f372|5202c07d7c7cca9f9a9c|fd2b9ddb998c002ab336|08f1b4079da5db271b3b|79d3df588918a13a39ab|5a20c53ba5d16b5d61ff|6a2c67c582a5a000346d|c1f355e3e5a3282d2f96|f89e3a22cc555d4c398a|7f0a5c531957fa7e0f4c|ae6d60e1ea8424ce2357|fe979654519d4ecd7854|677314e72434fc9329f2|e340e9ff963b2aad6120|02902e88ff88b1d2db71|b170b2106a06bcf632e1,W001|W002|W006|W008|W010|W011|W013|W015|W017|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,oos_geometry,hidden geometry outside allowed seed/model candidates,0.5666666666666667,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,f21c670566821ce7|073cc94b42351b56|7fb0a95bc36104b2|1e1b8c35465d660f|41e737f6263bbfeb|38910f3666756937|20d050e0b509265b|8e34950e31c52b48|508134982b91e8e9|e65fb66189e53aac|8487d3e12302f924|721a520d404a0fa2|3215104ad30d7a69|ce40f36eeedc9a01|1b879ed2a0ea3317|206017d68554e4ce|fa7addab96927ce3|07747ea3bdc5ada7|db489e7008420f6d|b3c8f9e27d75e1bb|3c003832cc2ac4bd|55864e5d3184dff1|2e83f114eec9c41b,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W029|W030|W031|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,oos_geometry,hidden geometry outside allowed seed/model candidates,0.5625,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,a95a266f291df244|302e82d117f96466|a1cf0e0701983318|e355ede0b8b5901b|b612f84b4f35345d|71640fc7f46c27a2|fe952ee7e370f555|66d1573179cf952a|b450be5b8a67bfb8|07302c287d4b5090|d02768af49547bb8|a75d738ce1b5070a|10226aeae3f84a35|3c0d8e75dd7d264b|4f42032dc8e4d665|4fc74fddb88c2f79|c683a325ea5ee59a|df388ca29d6f7cfd|6b1072abb5dd916d|1a361af7443afe0c|d5317a10c026bfe9|f16402f852e68871|d936055bdc90a99f|b73a313e28bc8976,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,hidden geometry outside allowed seed/model candidates,0.5,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,1870bb9b73b8e731|dc2410f47b0ae7f6|62350f1ba1f6f629|ced04aaa4e1efa7e|95c53ad8a5a96289|255bcfbc04e42564|9e238cb62af7d82e|dcf84084e2f4a4bf|85ae90c2f81b66df|c345eac5108fcf77|db928628d69b3f0a|4785d000f2625c42|e5a17929a8d3ddab|03e01729807e10b2|8cd45265d79ac735|f7889df0393772a8|42cd5a13d2ad90e1|8044ecb0849dfec0|31ba2b8e12c0dae4|8ada6a2e55916c35|5dec5e1874a7a054|b66bb9496c68e5be|9f069c3bb68abdf2|60bba1fdafe4c9bd,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,manual,hidden geometry outside allowed seed/model candidates,0.46875,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,b33e480dcb1ae10b|0284f20459ae4153|fb86982f536c3aaa|bdf5345d612260f9|dd6888e3ad2e47c0|fce565e3270fad1f|c9a58758edb18890|b49af842e8a9a5d6|886e3f4cfcd0e0b8|352ec6e68a3da904|f659d3608c54a9ef|fbc606f95f59c132|384c1de2ec90820f|98e8fe358da56c8f|bf2aab73a5aed79f|a819fde1949e375b|9589363fea90baba|3e9e6ac471e7da2a|e07cd54978722b1e|9cab10e73212c27f|d5f398bdf9e24194|3266c87d109f70bf|1863472107c00fbd|abff623d76a69986,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,hidden geometry outside allowed seed/model candidates,0.4375,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,9e9998c2efb5ea77|27f4ffac099bc05b|305e3cb3e8b1c4f1|823b2c9be72218a8|4a5ea8f6ba8ecaab|1a1637b695381c15|f40efaca8c5d3bf1|27682bb9932ff2bb|8aa86d5f3b887423|847ff1091d8cc648|2794795e8c4e927b|174759c006c73ec0|1e50979e05536fe2|8f36de747d064c9d|7ee02e1cd0fa5351|10bc0a8001ac87ac|da2dc314ea17aad4|463c2a33c219cce3|5d1661993b2e0edc|b2e9ff3491b30070|0dbe8bc50012ed82|44aaf075e056aa2a|064662f606e21c49|3b866803d4a350a2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,hidden geometry outside allowed seed/model candidates,0.43333333333333335,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,a800c13498de5044|2cb026abc8f06cca|075417b5f26b1723|bf182260d97e72b4|82fb1dbda549df08|b2e72f1eccfff1ce|a3ab6a5900bc68ec|0425a943a10eec7b|58c295ccb812be32|27dbf5c9cdf792b8|3aa0bf741c4b39c3|bf04983c0e9d6481|c16f76b61a0c2732|1c503eddee825845|4646bfc46dc3b9ce|bba1f0de8ac71831|925ff212fc8d9104|32eaa5e855ae90ee|628f11c0e0520639|ffa6a35684824582|7ed4383a08375303|81feb0e35cc60306|f227fac3913dbc27,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036,not_reviewed_by_assistant
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,manual,hidden geometry outside allowed seed/model candidates,0.4,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,0306cba337eb984110ee|1849bc7fd397907c0fdc|d17d0b2e584b2292c1f1|b2371fd8992b71f8f26a|3a99de3022bf33efda0d|f74c671037152e7b23be|aa07e998c7330ad3d3eb|95008ded416834561a81|c52bd6458bd9b8699533|c72ac2a665cd5a8025ca|c5c73b69124bd4813ab3|8f59ffff972415042eba|266064e3bd9d27c4efda|8f2f8f8bfdaec3360646|c7aeb60e2d3b55c2a7dc|597362d2aa07f7db8a02|aaa2559a6db59dcb28a0|81cd8395dbe20dc23478|02946d1a59a1cfe17aef|cd7adf8eb45b561bc952|f26a8da3bc451c32cde9|f765bc60ba41307a048f|354632cf039452bb7976,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,hidden geometry outside allowed seed/model candidates,0.34375,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,b21b9e1bc1f9748c|f6296e82c056709c|b17159a624da813a|aba9b1487cd9adfb|dd75ae13e342b2e4|5945adbef25e9e2d|4b34ab7cdc3ff32b|ee2a23d20aaa38a2|a10636e431b96e35|8f3e2abc0f04f753|f8530b0e7a20bef6|202d1d9063738999|c9f042d8c21ca99b|c6f141b411336076|5429d9e5ae4acde8|ad6812c23b79784a|1c1e863ffcab5dcb|a55a92a57a48a087|89af3c23558522cb|3bd7cc7151dff5c8|45579518b52a9571|a81657f0ac5d7807|a2615a25ae6631e5|4fbebe49572a79a5,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,semi,hidden geometry outside allowed seed/model candidates,0.3125,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,d2965a4546dd5bd3|39008f0fe7a1d27b|1260b5763825ac73|3e32b8564185e9c7|62376c3351699bc6|b49eaa7455fb1edf|9ae9084968b32229|517e0e79ed73ad98|c9609d6092bb0730|5c8fc29a99324dd7|db6e2e902a7635ad|0a435ae2b35d25c7|ffdffd1443b1cef9|ea4ba198f1b90c5a|afda73e02ce84841|7129ad7e523aa525|3c2427034d519a1a|3b710fb59e47c8d6|1aaa93ec5fa02d67|0225fd516c992f7f|b1ac17483ad1c04e|33a4dc1fd6be1bdd|ca291f0b645de9fa|2ac783e03ad61d1a,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,hidden geometry outside allowed seed/model candidates,0.29999999999999993,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,16f93817216fbedd|662e08a9d9d5c8b2|1b540a31218a3477|8dead0c156b490f4|b17ba1384ab94447|3be1cfa09ff1f4a0|474404c2ac9d79ca|829002ca0158f88b|0d9906c4c8bb57f8|c9e70c42a286d3fc|f62e67027c50f0e4|9660d6b44da996d0|80df86ca9dbee9d5|2556b8a658f8f4e7|c5603970219f405f|21ebb51ae2b69d3b|c811ff3e51132e75|891b862e5e28633d|8ac26fbb43c6d9aa|f560d8c96cc112ba|527cfb7d202a51bc|d97a4c0b5bbe5fb7|10a21bed4417e7b9,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W033|W034|W035|W036|W037,not_reviewed_by_assistant
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,semi,hidden geometry outside allowed seed/model candidates,0.28125,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,0e0501745974e880|1f8fe248fb55c43e|eb2fd1fd3f466605|5a38b164a2481384|f0a357dcd7d8d4c6|92e4a4cf1ae73f69|47377755fedf1482|39a34b830ea11490|3c4a2ede557a62f2|552a0858ecbce9ad|1445e3889419575a|f432b7968aecb5bc|202420376d62cfbb|19a327730863506b|0dce4a0f997ffd15|7667b010a9c90570|c76193b6207a6507|76f29200f62e2fb3|a318b6bfd544d9cb|522ad8c02cfc8914|c1d1843444d6d457|2c11262bdae1e085|2b439f65ef66899b|b70dac9310c8fd7f,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual,hidden geometry outside allowed seed/model candidates,0.28125,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,fa6fde75b32e9284|bd674c6f3557dcdb|25321e0f927c8940|39292048462d8d71|0798eb2f1686b13f|d8931b0022010545|608ec3179e0f4831|053bc215116bc248|6f1a49c5d8f42cf3|fc8f6754ddce3edb|17787d9f67d6b1ea|b3315d6eb3c3734d|053bc4b35d6a7e89|331b667f701c5817|3219998f9692f834|7fe6c3e1ec0a7d2e|27582294b1e86c6a|84b588165daf52f3|52a26360b1a53b44|87529068f0182c0d|cfa6db5cd9de9ae3|1e1b64ea1dae6b40|88d9213c617fe790|36576d4426b599da,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,oos_geometry,hidden geometry outside allowed seed/model candidates,0.26666666666666666,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,9d8133aea50c53da|fc956ea5464e4cf4|657bd2d38326367d|87273c75a3b5848a|5fa48d2e923993dc|126f3e3ce4b1ec93|d7ab9ebe988576d6|0b321a16596ae822|8819f603580ef482|52fb14ffbe0d009b|1e4c5581862be896|2f75e3649fc3b4c0|116cb223e7dedec6|dfc2adf2a47dc7de|94d5b679bc8ce596|b96ca0dd7857cd2e|8abf96e80a8cd151|e1bc1262947c9c43|e27f9f848d185dab|75ac866c71693e71|78885c3d5cd19c4f|0d08611aee0cdf4f|3785ebbd5dc8b7ea,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036,not_reviewed_by_assistant
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,hidden geometry outside allowed seed/model candidates,0.25,后续真实标法是否对应模型及早期种子遗漏的结构/范围？请区分合理解释、定位变化及无效性；不得仅以多数票裁决。,babc4e1b7d60b5ce|6d3c8739804e5920|3d27ec416166fb40|8a6c9350ded9f505|1106d9b3309125ae|b11846422ee8df2c|38972f7a8ac6e59e|e13f31dcfeca786f|c98ff21fd3ac34dc|ed7c1f77254fbb2a|f9d6980bfc9259bd|dee69b2b7ab15827|d46ea988f490ef0f|243708573fc746f4|843ee33e6df34cd4|618e8cec7d276f9c|c0d2a3ea11db107a|5ff7ca831e9c5ad8|b8541e4707e39e94|4d2388c60747a53d|1bbc73c77d272720|c4bc31bc73053a93|e2305061fc73b67a|e805d3344d24834a,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036|W037,not_reviewed_by_assistant
