code,condition,id,worker,signature,changed_under_ROI_pad8,contracted,expanded
rPc6DW4iMge-15,manual,a4b73bebf231dbe2321a,W002,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,65cf5a2a652ba9b3ca95,W006,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,caba50e4a43aa76cac46,W008,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,d0fc4545c974fc42b662,W010,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,a02304edf778c294c6fb,W011,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,efee8b0961b89129a457,W012,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,2d83aaed5161b7904cdd,W013,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,334dd20fa6fb3ffa9d5d,W014,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,6d2129c626d211543587,W015,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,b5a85ea72aadddb2f09b,W017,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,bfe1e6f3cb0a3353c928,W018,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,d984d534dcc7fe11d643,W027,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,6c5161e9261e0ba5f8b1,W028,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,20f0af1735ba9f7c5a2e,W029,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,1318278d00548b081ebc,W030,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,73a83925776f8e35ed8a,W031,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,fc6a213e57b750465697,W032,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,86e6614af35eccb013ac,W033,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,82255f7bb022fd1cd129,W034,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,43266379df129a98dcd9,W035,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,3e5c4fe6cfe523059d12,W036,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,454169e6fe8a9b1ba08c,W037,"[1, 1]",False,"[1, 1]","[1, 1]"
rPc6DW4iMge-20,manual,bea7315dc0319f08,W001,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,664ded8505bb4ace,W002,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,f2eb30664b7474ad,W006,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,573b3754a0da7d18,W008,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,8b8f353a015cd9b3,W010,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,42f34b0fbfa43b19,W011,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,bfb4d0e9960d96af,W012,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,18ac550794fc0fce,W013,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,985c11b9ce41b00d,W014,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,72c65c366e863eb9,W015,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,8873e6e63ed8f636,W017,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,7eeb8ea034902d91,W018,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,0df4ad0ec893225d,W021,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,986ad05a55d5a2e0,W027,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,6bbe8b97d504e4a4,W028,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,3eaa191397f5fbf4,W029,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,7cbbab8fd62d0c38,W030,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,5b2ab16ea134acf7,W031,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,607ca8f788805e56,W032,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,8f04217c549dac0c,W033,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,d10e31caaec1101e,W034,"[1, 1, 1, 0]",False,"[1, 1, 1, 0]","[1, 1, 1, 0]"
rPc6DW4iMge-20,manual,98f6de06229c83e3,W035,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,04c68d1fd4a36275,W036,"[0, 0, 0, 1]",False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
rPc6DW4iMge-20,manual,60b3a58f097c620f,W037,"[1, 1, 0, 1]",False,"[1, 1, 0, 1]","[1, 1, 0, 1]"
wc2JMjhGNzB-67,manual,79927da8c000e31d9cda,W002,"[0, 1]",False,"[0, 1]","[0, 1]"
wc2JMjhGNzB-67,manual,5dcb1dff2ea327169b12,W011,"[0, 1]",False,"[0, 1]","[0, 1]"
wc2JMjhGNzB-67,manual,477b34fa06ad9592dc53,W015,"[0, 1]",False,"[0, 1]","[0, 1]"
wc2JMjhGNzB-67,manual,032cd152706166629e82,W034,"[0, 0]",False,"[0, 0]","[0, 0]"
wc2JMjhGNzB-67,manual,5dcbaaa4a3faeb7832f8,W037,"[1, 1]",False,"[1, 1]","[1, 1]"
wc2JMjhGNzB-67,semi,1662ab8242879aec65db,W006,"[0, 1]",False,"[0, 1]","[0, 1]"
wc2JMjhGNzB-67,semi,afe8345588c57013a3c8,W031,"[0, 1]",False,"[0, 1]","[0, 1]"
wc2JMjhGNzB-67,semi,d2a55c1985a230982d0d,W033,"[0, 1]",False,"[0, 1]","[0, 1]"
wc2JMjhGNzB-67,semi,6dc6395c56cb416a2fdc,W036,"[0, 1]",False,"[0, 1]","[0, 1]"
