code,condition,worker_a,worker_b,relation,visual_note,review_status,A0_legacy,A1_mask,A2_local,A3_cyclic,A4_adaptive,A5_density,A6_spectral,A7_event,spherical,solid,event_signature_equal,image_id,building,id_a,id_b,n_a,n_b,same_count,ospa1,ospa2,cardinality_floor,hausdorff,directed_a,directed_b,nn_mean,sum_assignment_max,bottleneck,uncovered_a_3,uncovered_b_3,matched_3,one_to_one_unmatched_3,uncovered_a_6,uncovered_b_6,matched_6,one_to_one_unmatched_6,uncovered_a_9,uncovered_b_9,matched_9,one_to_one_unmatched_9,uncovered_a_12,uncovered_b_12,matched_12,one_to_one_unmatched_12,source,cluster_count_only,cluster_OSPA1_3,cluster_OSPA1_6,cluster_OSPA1_9,cluster_OSPA2_3,cluster_OSPA2_6,cluster_OSPA2_9,cluster_OSPA2_12,cluster_Hausdorff_3,cluster_Hausdorff_6,cluster_Hausdorff_9,cluster_Hausdorff_12,cluster_OSPA1_6_AND_H6,cluster_OSPA1_6_AND_H9,cluster_OSPA1_6_AND_H12,cluster_Bottleneck_equal_6,cluster_Bottleneck_equal_9,cluster_Bottleneck_equal_12
q9vSo1VnCiC-32,manual,W014,W027,large_local_misplacement,第二、三对横坐标偏離相应墙角；粗范围相近,analyst_development_relation_not_blind_gold,True,True,False,False,False,False,False,False,False,False,,q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,7485c5f92ef686bc,7c4d53d444805ad4,8,8,True,10.913420422685586,13.233841948888216,0.0,21.36350772655314,21.36350772655314,21.36350772655314,10.913420422685586,21.36350772655314,21.36350772655314,7,7,1,14,4,4,4,8,4,4,4,8,4,4,4,8,previous_analyst29_not_user_gold,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
q9vSo1VnCiC-32,manual,W006,W027,different_seam_range_and_expression,W006进入接缝小空间并有额外表达,analyst_development_relation_not_blind_gold,False,False,False,False,False,False,False,False,False,False,,q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,aa6b631e83349cba,7c4d53d444805ad4,16,8,False,20.456710211342795,23.18549732837484,15.0,51.73176933333837,51.73176933333837,21.36350772655314,17.54646972106096,21.36350772655314,,15,7,1,22,12,4,4,16,12,4,4,16,12,4,4,16,previous_analyst29_not_user_gold,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
rPc6DW4iMge-15,manual,W002,W011,same_range_expression_localization_diff,同样四对，大致范围相同,analyst_development_relation_not_blind_gold,False,False,False,False,False,False,True,False,True,True,True,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,a4b73bebf231dbe2321a,a02304edf778c294c6fb,8,8,True,2.4276444874083003,2.90922156004902,0.0,6.342863268033858,6.342863268033858,6.342863268033858,2.4276444874083003,6.342863268033858,6.342863268033858,2,2,6,4,1,1,7,2,0,0,8,0,0,0,8,0,previous_analyst29_not_user_gold,True,False,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True
rPc6DW4iMge-15,manual,W002,W037,same_range_extra_closet_frame,额外柜框位置，非另一卧室,analyst_development_relation_not_blind_gold,False,False,False,False,False,False,True,False,True,True,False,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,a4b73bebf231dbe2321a,454169e6fe8a9b1ba08c,8,12,False,11.629727783968464,17.466043732052142,10.0,24.574491406043222,4.638234207551966,24.574491406043222,5.06626723603941,4.638234207551966,,2,6,6,8,0,4,8,4,0,4,8,4,0,4,8,4,previous_analyst29_not_user_gold,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
rPc6DW4iMge-20,manual,W034,W037,same_count_different_local_event_set,均六对，但左开口/右走廊角不同，同时有框,analyst_development_relation_not_blind_gold,True,True,False,False,False,True,True,False,False,False,False,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,d10e31caaec1101e,60b3a58f097c620f,12,12,True,7.844056331804442,12.933939668446286,0.0,37.53915226085094,37.53915226085094,25.372980137092704,7.972334763416718,86.4195833724919,40.1127880655124,6,6,6,12,5,5,7,10,2,2,10,4,2,2,10,4,previous_analyst29_not_user_gold,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
rPc6DW4iMge-20,manual,W006,W037,same_range_extra_bath_frame,四个基础角对比加浴室框,analyst_development_relation_not_blind_gold,False,False,False,False,False,False,False,False,True,True,False,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,f2eb30664b7474ad,60b3a58f097c620f,8,12,False,11.354094072792046,17.407025317019254,10.0,41.48263053365934,3.108058215483813,41.48263053365934,8.306782921635207,3.108058215483813,,1,5,7,6,0,4,8,4,0,4,8,4,0,4,8,4,previous_analyst29_not_user_gold,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
uNb9QFRL6hY-40,manual,W006,W032,different_seam_expression,接缝拥挤墙角的表达数量不同,analyst_development_relation_not_blind_gold,False,True,False,True,True,False,True,True,True,True,,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY,f8b24f616d167c27b810,d2c9465ce508ba7c1195,10,8,False,6.972931840126715,13.476582821797022,6.0,25.520561090741047,25.520561090741047,2.423454243639125,3.628643293502741,2.423454243639125,,2,0,8,2,2,0,8,2,2,0,8,2,2,0,8,2,previous_analyst29_not_user_gold,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
uNb9QFRL6hY-45,manual,W006,W011,different_right_turn_expression,右侧转折表达有区别,analyst_development_relation_not_blind_gold,False,False,False,False,False,False,False,False,True,True,,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,561446db19099c48c68e,006d495cbff76f46e992,12,8,False,11.151285139641631,17.403085221179328,10.0,30.69094957812285,30.69094957812285,4.237023524959878,6.146622101090028,4.237023524959878,,5,1,7,6,4,0,8,4,4,0,8,4,4,0,8,4,previous_analyst29_not_user_gold,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
uNb9QFRL6hY-63,manual,W011,W035,different_left_closure,近端开口与开口后较远端,analyst_development_relation_not_blind_gold,False,False,False,False,False,False,False,False,False,False,,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,uNb9QFRL6hY,5d4b529359890ec3,84737c49b7cb43cb,8,8,True,15.303864171055906,21.21902172605692,0.0,63.05742431051405,63.05742431051405,63.05742431051405,30.6174746078002,88.98989524716198,63.05742431051405,4,4,4,8,4,4,4,8,4,4,4,8,4,4,4,8,previous_analyst29_not_user_gold,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
uNb9QFRL6hY-63,manual,W011,W032,different_right_top_boundary_mixed,W032顶点更低、底点接近；不自动称完整向后范围,analyst_development_relation_not_blind_gold,True,True,False,False,False,False,False,False,False,True,,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,uNb9QFRL6hY,5d4b529359890ec3,f6377d1bf3f1d93a,8,8,True,3.177818935094253,5.621016981828404,0.0,11.712709505715,11.712709505715,11.712709505715,3.177818935094253,11.712709505715,11.712709505715,2,2,6,4,2,2,6,4,2,2,6,4,0,0,8,0,previous_analyst29_not_user_gold,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
uNb9QFRL6hY-70,manual,W031,W035,extra_visible_extension,W035增加右侧门后局部对,analyst_development_relation_not_blind_gold,False,True,False,False,True,False,True,False,False,True,,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,1e6add292cbf2f86,b3865e9a7310a075,8,14,False,13.871550270324969,19.705844166428363,12.857142857142858,31.04591290441468,4.035996015300606,31.04591290441468,7.11649545820276,4.035996015300606,,2,8,6,10,0,6,8,6,0,6,8,6,0,6,8,6,previous_analyst29_not_user_gold,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
wc2JMjhGNzB-30,manual,W002,W034,full_vs_omitted_right_returns,右侧多次转折表达与省略,analyst_development_relation_not_blind_gold,False,True,True,False,True,False,True,False,True,True,,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,wc2JMjhGNzB,203bd6757c614dae7d28,745e6f7ed41f5f3abf93,20,8,False,18.5036518050109,23.25241665186452,18.0,31.68949781283069,31.68949781283069,1.7961192209159669,8.116731107431784,1.7961192209159669,,12,0,8,12,12,0,8,12,12,0,8,12,10,0,8,12,previous_analyst29_not_user_gold,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
wc2JMjhGNzB-59,manual,W027,W030,same_range_expression_localization_diff,相同四对；边界位置不同,analyst_development_relation_not_blind_gold,False,False,False,False,False,False,False,True,False,False,,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,wc2JMjhGNzB,04402852e137134a,cd1c84f77a0c7939,8,8,True,4.512538302991945,5.152345902841038,0.0,8.393462765505577,8.393462765505577,8.393462765505577,4.512538302991945,8.393462765505577,8.393462765505577,5,5,3,10,3,3,5,6,0,0,8,0,0,0,8,0,previous_analyst29_not_user_gold,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
wc2JMjhGNzB-59,manual,W027,W032,extra_through_glass_pair,W032在开口内新增一对,analyst_development_relation_not_blind_gold,False,False,False,False,False,False,False,False,False,False,,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,wc2JMjhGNzB,04402852e137134a,6748e788317900ca,8,10,False,8.478587258131459,13.902628307019585,6.0,40.64469842641165,8.301483963258766,40.64469842641165,6.7021508398162,8.301483963258766,,2,4,6,6,2,4,6,6,0,2,8,2,0,2,8,2,previous_analyst29_not_user_gold,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
wc2JMjhGNzB-60,manual,W001,W027,local_position_and_boundary_site_change,W001角点落到柜前缘附近；混合局部偏移，非已证明另一空间,analyst_development_relation_not_blind_gold,True,True,True,False,False,False,True,False,False,True,,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,wc2JMjhGNzB,c6a0dacbc82fcd8d74f2,78dc36e89fc34111fd75,8,8,True,8.002827345891447,9.05064657996531,0.0,14.90482311048942,14.90482311048942,14.90482311048942,8.002827345891447,14.90482311048942,14.90482311048942,7,7,1,14,6,6,2,12,3,3,5,6,2,2,6,4,previous_analyst29_not_user_gold,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
wc2JMjhGNzB-67,manual,W002,W034,missing_right_corner,W034少右侧主角，不应用未确认修复,analyst_development_relation_not_blind_gold,False,True,False,True,True,False,True,False,,,False,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,wc2JMjhGNzB,79927da8c000e31d9cda,032cd152706166629e82,8,6,False,8.784055710454687,15.100866833054576,7.5,54.51687001222536,54.51687001222536,3.38518238686591,7.444429816040129,3.38518238686591,,3,1,5,4,2,0,6,2,2,0,6,2,2,0,6,2,previous_analyst29_not_user_gold,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
wc2JMjhGNzB-67,manual,W002,W037,extra_bath_frame,W037增加门框右侧一对,analyst_development_relation_not_blind_gold,False,False,False,False,False,False,True,False,True,True,False,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,wc2JMjhGNzB,79927da8c000e31d9cda,5dcbaaa4a3faeb7832f8,8,10,False,8.060141790741536,13.797568403798955,6.0,38.94263406424104,7.414420634902806,38.94263406424104,5.732933951582529,7.414420634902806,,3,5,5,8,1,3,7,4,0,2,8,2,0,2,8,2,previous_analyst29_not_user_gold,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yqstnuAEVhm-34,manual,W006,W012,different_local_closure_boundary,右侧近端与略远边界；不是已证实整个别的房间,analyst_development_relation_not_blind_gold,False,False,False,False,False,False,False,False,False,False,,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,yqstnuAEVhm,d3d0c96ce57812bb,b88d269a40ffad84,8,8,True,5.965267581411442,7.548567255400405,0.0,13.900524116169988,13.900524116169988,13.900524116169988,5.965267581411442,13.900524116169988,13.900524116169988,7,7,1,14,2,2,6,4,2,2,6,4,2,2,6,4,previous_analyst29_not_user_gold,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
