base_task_id,condition,threshold,subset_worker_ids,valid_k,partition_status,task_crowd_structure_status,structure_reason,enumeration_truncated,cluster_membership_json,candidate_partitions_json,pairwise_metric_eligible_count,pairwise_correspondence_eligible_count,pairwise_correspondence_incompatible_count,included_in_partition_metric_average,shannon_entropy,gini_simpson,largest_mode_share,supported_multimodality,mode_count,pairwise_correspondence_disagreement,pairwise_metric_dissimilarity_all,subset_index,common_k
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,0.9,2;33;34;37,4,unique,dominant_with_dissent,unique_complete_link_partition,False,"[[""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:2"", ""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:33""], [""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:37""], [""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:34""]]","[[[""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:2"", ""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:33""], [""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:34""], [""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:37""]]]",6,1,5,True,1.0397207708399179,0.625,0.5,0.0,3.0,0.009873454467612786,0.021893942949873752,5,4
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,0.9,10;15;35;8,4,unique,dominant_with_dissent,unique_complete_link_partition,False,"[[""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:semi:10"", ""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:semi:8""], [""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:semi:35""], [""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:semi:15""]]","[[[""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:semi:10"", ""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:semi:8""], [""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:semi:15""], [""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:semi:35""]]]",6,1,5,True,1.0397207708399179,0.625,0.5,0.0,3.0,0.0,0.0052278444590914686,1,4
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,0.9,11;15;33;34,4,unique,unimodal,unique_complete_link_partition,False,"[[""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:11"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:15"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:33"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:34""]]","[[[""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:11"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:15"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:33"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:34""]]]",6,6,0,True,-0.0,0.0,1.0,0.0,1.0,0.00791582512731992,0.00791582512731992,1,4
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,0.9,11;15;33;37,4,unique,dominant_with_dissent,unique_complete_link_partition,False,"[[""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:11"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:15"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:33""], [""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:37""]]","[[[""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:11"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:15"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:33""], [""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:37""]]]",6,3,3,True,0.5623351446188083,0.375,0.75,0.0,2.0,0.00972040275029932,0.03365422272170532,2,4
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,0.9,11;15;34;37,4,unique,dominant_with_dissent,unique_complete_link_partition,False,"[[""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:11"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:15"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:34""], [""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:37""]]","[[[""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:11"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:15"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:34""], [""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:37""]]]",6,3,3,True,0.5623351446188083,0.375,0.75,0.0,2.0,0.00863564994749825,0.032506547151536246,3,4
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,0.9,11;33;34;37,4,unique,dominant_with_dissent,unique_complete_link_partition,False,"[[""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:11"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:33"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:34""], [""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:37""]]","[[[""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:11"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:33"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:34""], [""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:37""]]]",6,3,3,True,0.5623351446188083,0.375,0.75,0.0,2.0,0.004653365763825579,0.03180426455658164,4,4
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,0.9,15;33;34;37,4,unique,dominant_with_dissent,unique_complete_link_partition,False,"[[""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:15"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:33"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:34""], [""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:37""]]","[[[""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:15"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:33"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:34""], [""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:manual:37""]]]",6,3,3,True,0.5623351446188083,0.375,0.75,0.0,2.0,0.008653882047656528,0.03335158290354399,5,4
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,0.9,13;2;29;35,4,unique,unimodal,unique_complete_link_partition,False,"[[""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:semi:13"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:semi:2"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:semi:29"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:semi:35""]]","[[[""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:semi:13"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:semi:2"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:semi:29"", ""B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9:semi:35""]]]",6,6,0,True,-0.0,0.0,1.0,0.0,1.0,0.008113507750688679,0.008113507750688679,1,4
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,0.9,27;28;29;35,4,unique,unimodal,unique_complete_link_partition,False,"[[""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:27"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:28"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:29"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:35""]]","[[[""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:27"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:28"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:29"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:35""]]]",6,6,0,True,-0.0,0.0,1.0,0.0,1.0,0.013462087070902537,0.013462087070902537,1,4
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,0.9,27;28;29;36,4,unique,unimodal,unique_complete_link_partition,False,"[[""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:27"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:28"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:29"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:36""]]","[[[""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:27"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:28"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:29"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:36""]]]",6,6,0,True,-0.0,0.0,1.0,0.0,1.0,0.01348752826855489,0.01348752826855489,2,4
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,0.9,27;28;35;36,4,unique,unimodal,unique_complete_link_partition,False,"[[""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:27"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:28"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:35"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:36""]]","[[[""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:27"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:28"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:35"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:36""]]]",6,6,0,True,-0.0,0.0,1.0,0.0,1.0,0.012424113504792667,0.012424113504792667,3,4
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,0.9,27;29;35;36,4,unique,unimodal,unique_complete_link_partition,False,"[[""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:27"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:29"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:35"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:36""]]","[[[""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:27"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:29"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:35"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:36""]]]",6,6,0,True,-0.0,0.0,1.0,0.0,1.0,0.009187014368174559,0.009187014368174559,4,4
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,0.9,28;29;35;36,4,unique,unimodal,unique_complete_link_partition,False,"[[""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:28"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:29"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:35"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:36""]]","[[[""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:28"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:29"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:35"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:manual:36""]]]",6,6,0,True,-0.0,0.0,1.0,0.0,1.0,0.009689706715976631,0.009689706715976631,5,4
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,0.9,1;2;30;32,4,unique,dominant_with_dissent,unique_complete_link_partition,False,"[[""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:semi:2"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:semi:30"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:semi:32""], [""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:semi:1""]]","[[[""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:semi:2"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:semi:30"", ""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:semi:32""], [""B6ByNegPMKs_7018ca302c584d0d85024187f3568460:semi:1""]]]",6,3,3,True,0.5623351446188083,0.375,0.75,0.0,2.0,0.011917001889054904,0.02730083115091832,1,4
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,0.9,13;28;29;34,4,unique,dominant_with_dissent,unique_complete_link_partition,False,"[[""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:13"", ""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:28"", ""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:29""], [""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:34""]]","[[[""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:13"", ""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:28"", ""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:29""], [""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:34""]]]",6,3,3,True,0.5623351446188083,0.375,0.75,0.0,2.0,0.03354573111078696,0.035755089067510015,1,4
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,0.9,13;28;29;35,4,unique,unimodal,unique_complete_link_partition,False,"[[""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:13"", ""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:28"", ""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:29"", ""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:35""]]","[[[""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:13"", ""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:28"", ""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:29"", ""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:35""]]]",6,6,0,True,-0.0,0.0,1.0,0.0,1.0,0.026043869373217638,0.026043869373217638,2,4
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,0.9,13;28;34;35,4,unique,dominant_with_dissent,unique_complete_link_partition,False,"[[""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:13"", ""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:28"", ""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:35""], [""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:34""]]","[[[""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:13"", ""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:28"", ""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:35""], [""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:34""]]]",6,3,3,True,0.5623351446188083,0.375,0.75,0.0,2.0,0.025929774159355195,0.031709590945756705,3,4
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,0.9,13;29;34;35,4,unique,dominant_with_dissent,unique_complete_link_partition,False,"[[""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:13"", ""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:29"", ""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:35""], [""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:34""]]","[[[""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:13"", ""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:29"", ""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:35""], [""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:manual:34""]]]",6,3,3,True,0.5623351446188083,0.375,0.75,0.0,2.0,0.03388980837291489,0.035904164441262286,4,4
