image_id,condition,ordered_workers,ordered_canonical_ids,n
B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,b21b9e1bc1f9748c;f6296e82c056709c;b17159a624da813a;aba9b1487cd9adfb;dd75ae13e342b2e4;5945adbef25e9e2d;4b34ab7cdc3ff32b;ee2a23d20aaa38a2;a10636e431b96e35;8f3e2abc0f04f753;f8530b0e7a20bef6;202d1d9063738999;c9f042d8c21ca99b;c6f141b411336076;5429d9e5ae4acde8;ad6812c23b79784a;1c1e863ffcab5dcb;a55a92a57a48a087;89af3c23558522cb;3bd7cc7151dff5c8;45579518b52a9571;a81657f0ac5d7807;a2615a25ae6631e5;4fbebe49572a79a5,24
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W033;W034;W035;W036;W037,16f93817216fbedd;662e08a9d9d5c8b2;1b540a31218a3477;8dead0c156b490f4;b17ba1384ab94447;3be1cfa09ff1f4a0;474404c2ac9d79ca;829002ca0158f88b;0d9906c4c8bb57f8;c9e70c42a286d3fc;f62e67027c50f0e4;9660d6b44da996d0;80df86ca9dbee9d5;2556b8a658f8f4e7;c5603970219f405f;21ebb51ae2b69d3b;c811ff3e51132e75;891b862e5e28633d;8ac26fbb43c6d9aa;f560d8c96cc112ba;527cfb7d202a51bc;d97a4c0b5bbe5fb7;10a21bed4417e7b9,23
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,W013;W014;W028;W029;W034;W035,26a3cf470c4ab78ffaea;8505abd6f0715a121368;0d42858d359ebfc9e871;d93ff4eb834a154c4cd4;83822f0c9ce15f483174;c7ef5fbf6e03cd67ae11,6
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,W008;W010;W027;W037,5ba67a30243635c3cbe3;70e8f5079c7b09c6af6d;a54fcd23c12204b62cba;bb9ad0084abc09c47837,4
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,c87d232365323163;60f415b63bc6abc8;902c7685cf8d8d7f;b9d7de702dfef712;6ef72d6a7373d51d;6b6025969bfa55d0;86bcdfbf6785b83b;901942d47886d494;645a19e0d1eff33f;cede48245acaf369;a10544ac2d404470;aff097a10b8a446c;26f5958a9b8dbc72;2c474f6a00577ed6;1bb726e611007d9d;1614c0e2e49fb8a1;78a68354a388042f;25a1d0d06f3c7ffa;dd72228423710274;4a3402faafe5ac31;723bcf1f4f6f7bf5;786190bfb0e48244;07ee953d1535b28d;90218eb4d8649c74,24
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,W001;W002;W012;W027;W036,79f3478ea5e43fc1f95a;495d562be7d142d5bbc5;974f94a2b16103ea9324;c498069d0547cb81a534;f4b7f477de2247b38b2d,5
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,W013;W014;W018;W031;W032;W034,f8d2cd60e9a8ecf91058;56c9aa0348514ab3cc5b;0cb5a7c23d9bc70208b1;22dcfad23c6ac14bd521;381c007b1df27d00b6ab;d102c6b86a1606f32bd3,6
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,W006;W008;W010;W017;W030,b3eba7756056bb941dfb;ead3f8ac14ab1a6ddfd9;265f63ba09442d63389c;62d758541221214e1490;8e4588afd83a55aaaa18,5
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,W001;W006;W008;W010;W011;W012;W013;W015;W017;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,816083c4a02fed75db9a;b505f83196ae0e6e3cc8;a4c50e340e62a015a85e;86fc3ae9363a9f67b104;7b1866a3eeaa6930d596;fdec7694d0b91e5316fe;39827a17d6d532fc4d52;f1f1b71b8c500b8fdf5a;4ae36274a9f6a2b97a64;93e9f86d9eab9e11871e;029d6835bddda35f5e84;10c2be55dfd377d1f4ca;a30b88572c63c71c10f3;84c763a74fbfe8b41553;077afa302e6fd9f894ce;f77e64bc8bb82e6f5f03;4f08770787663224f0ab;a7f6ca98246198df8a79;32e17fb3edf0dc56817f,19
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,W036;W037,f3ddcda6acb704f1443f;78d9436fb01b01f920ea,2
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,W010;W028;W030,2b1b6e2ee0285eb02c88;72c13a6178d8de165b2b;9d1304afc9e057789d7d,3
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,manual,W011;W012,d711e00e26b4b1b32c9d;75507c55b020fe0f933f,2
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,f012acb0dce9fa1f74be;9174a852a97112732e60;765d0c2d12598ed33ff0;bfefc3cd906e2b38d521;d868e5ebafdc789d9be6;7859eddcf282cb8b76ee;323954a906af8e264261;b20b32d12638d03f05d4;330fb647629670c3c7c9;09dcf6e33d8cc2921823;b9c104acf19e4f70770a;66120aff023b7aea8a44;e714983f7e98b2a0013e;b25f24a649b46b29fa30;fa0097a2ba2184745a2e;423ee74180898852b46b;aca9a4d66c0164ec9ae6;71de8b732ab3d606a7e1;f070f8acc1d2a2fa3821;b2eef7aa5ecd9aebe0ce,20
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,manual,W001;W010,32b6216bcddf37456b4d;479f6f28fac296e7a539,2
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,manual,W010;W032;W033,334704a94606039f12ae;0dd52fb5db5fdb1b2230;208c0b25c13d20a2ffff,3
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,W001;W015;W034;W037,3a2d7700bd5753ff0789;1cd86a5176aacbc3567b;34443e49e7b491d7ff91;8e35267f3a0880dc371d,4
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,semi,W013;W029;W030;W032,6202fd8098d9ad33f433;88daa007e08cf656a410;bd2690bbc44b34e3ef00;662bac6bde05e0510f55,4
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,manual,W006;W008;W010;W017;W018,fe2250f56881470ffebd;1a446d9cbfb0497f80c0;f62c1fca08c19956c8e3;9c8c76c74e6217df2bea;d3d1738a5f7c5fa69f13,5
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,9e9998c2efb5ea77;27f4ffac099bc05b;305e3cb3e8b1c4f1;823b2c9be72218a8;4a5ea8f6ba8ecaab;1a1637b695381c15;f40efaca8c5d3bf1;27682bb9932ff2bb;8aa86d5f3b887423;847ff1091d8cc648;2794795e8c4e927b;174759c006c73ec0;1e50979e05536fe2;8f36de747d064c9d;7ee02e1cd0fa5351;10bc0a8001ac87ac;da2dc314ea17aad4;463c2a33c219cce3;5d1661993b2e0edc;b2e9ff3491b30070;0dbe8bc50012ed82;44aaf075e056aa2a;064662f606e21c49;3b866803d4a350a2,24
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,738a28459a248984;cebf574498a5a20d;bc019effee879dd8;0e52fffeabd5cf25;8857a2ec2d3444ba;538db2a79188e4ef;13f3eff18a52453b;ae0b6b00e971f182;8fceb8fe7a91b34c;d0af5ad0523f8433;07e393557408ab30;d7d3126eb509dcae;695653e48b0aca59;0e553d8ef8642a3a;d131babd2149e6ec;e980366a2f06439c;156dc163a5b76144;d96adfcf5b879a5d;3fbcb7812c80e839;58a8d69137385a19;5da232bc43b7c975;9eb205969fffe5f7;1b8adc7d1227c62b;66c78f1594586d3b,24
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,manual,W001;W013;W014;W018;W030;W035,72eebdfddb78a8d5da2a;4b06a3805f8a5aeac160;4eaef6a23a48a0c79497;6e436e9879b7e6c528d0;df7008318a29295ca160;5265086307bacf7df849,6
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,semi,W027;W029;W034;W037,b078bba0e08aacd86658;e33b39ba56ff49c56427;013253d9bc0db4d66615;fcb7e53adf42c4422ae7,4
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,manual,W012;W027;W028;W029;W036,671b56ca48ab10f04510;da673f309d1ef7438656;1b43bb0b9af4438c92c7;fd8b73557a1821706e79;e959490574d8d0e7f163,5
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,c71f04cf03f04f83010c;6037abe04bcfa1d308ed;432d23215497f235714b;58fcb37f432cd01e22a1;1aa87c4e8b0db18c1ccd;efdd3af8bbe9661a922f;0545d5cfd8fca3b793bc;a899e204555a9b64f4b5;5370cc8259dd087bb93c;b52612c32e32fb20b8c2;bbe40bd3ad25e4383c92;b26eb0a9d329d8a255fd;0f006ad814591f20f1d7;a5582527e1e55759fca4;ddc38d03eaf0ed686dbe;762aad63d41c0473582f;944fc693a5243b08b5ee;d37f314fba3b67c55956;9e082eaf47377454a352;779f777343654b55ad95;3e053dc275632e30f220;beebb1979f052693f701;1623fbedf957f0be9421,23
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,manual,W011;W030;W031;W032;W033,ea1f939ba15f6d10754b;3b3f16f395140c417e16;9bc471f05cac744132c6;1f0da2ca6730dfb60599;62b93b940622881f9e7b,5
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,manual,W030;W031,909609a391f9f07e1416;7b8145a07f5a20482e72,2
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,manual,W036;W037,49919e8b1c06c7489dd8;4b3c843c997026d73acc,2
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,W010;W017;W030;W031;W032;W033;W034,fde166d2581c8aac76c1;a529ac26f739576c2616;6b330560608f60b295bf;4b65c7d12eb6fbf42766;c2176d956a2b8b97e6b8;37e4bea380270fea5835;f864f814213350fc3e6a,7
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W029;W030;W031;W032;W033;W034;W035;W036;W037,6b1d44df0ab19f6b9f32;464d1f8e2646f0b168b2;45ac613c561811cb4a0d;e61e5cb856a564b7a01f;6f7020870942eee83774;6f392909790d7b83bad3;3278b0b885357fd483ef;aefffe82b59c80b70615;999a08307d0cb1737ba3;178ede5b2fef8ba1828e;d8cb18bc158b295d867a;7234128122016861cabd;955fdd77aab2e02c77b7;00c60f620f2c87cd54da;2e25450d5668732450c2;12fdc91e2fd278aac0c7;4f87d786ffa037888bac;e0e306b7d1de04330bc5;9f1b2668af9bbb8c27ab,19
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,manual,W011;W030;W031;W035;W037,0fce729d57cd25ee8f7c;165a2fd857e8341d4a8e;4f5b58a8268243d50888;1907e5aeb8f3d6578ad3;e1491370f166c6c5a7d6,5
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,manual,W013;W015,8b70214a3d426faf23e3;3386f2a2b9d771574b1a,2
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,semi,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,9b288798a70abf19;02be3fa1bec88b02;5e49a3ca719154b8;3cfe12d6a5ea827b;eeb7cf09ee96e34c;42022c04b169cb33;34322c1803ecc10f;42b0e6e9fd383cc9;82970ffa463dfabe;8533d11a5e0b7dbf;db9b6396393de960;20a869d68a5fe7a0;2413f1596849ef9b;dfb59e0acb27e23d;ce1f8d8e19ffffeb;1fbbddc98c74aeb0;867a61b4c60969d2;4e299dc6bda4eef4;c3fc3f4b6aeb53b0;c88ef7c6614c3d19;90520932aee1bf49;9f90d9f93e93c9bf;fbde960cac90f821;4651933458778c15,24
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,manual,W006;W008;W017;W031;W032,bb2170e2f627c3cc30fb;b009f871ba470e85127d;d6077bf8866533197810;385caf3701dee7042d51;11f19b08afaff69c9e6a,5
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,manual,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,2b75349a0d747440;6d60091b52a8a93c;d51ae1a5831a491f;b38098dbc883b897;b3d91348061353b4;d54323b15af787a3;b2be1df92c78eded;00e1f0475f32cb49;d90b8277604eeace;7834e8d354a01da4;0fff707ce84d6609;62836cb5439d47d2;5436c4f88262ddc5;0c054ac3932985cb;121644cf341ee37d;fb8ee4635680f271;699e590cdc0187eb;6f9679a3058624e4;bc1cd87a35fe5e07;67cd0f7506bc51c3;fe443220e5338d14;0f871667c1e1a335;94d4b4a63d7f84cc;5e3a87e01e8c7a68,24
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,manual,W011;W015;W033;W034;W037,c599740d3bc3761f8f39;a68c32790d01e6b27d0d;adc213fc12f5f948aa56;5f7815f3a489b8007a97;ae929aa9e6dd3cd587ac,5
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,semi,W001;W002;W017;W028,fba833f7e946e03406f0;7fc54cc83e44fb28abe2;be0ea7a0849f9bf057cb;4d6cdfa4951e9653e815,4
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,manual,W011;W015;W032;W033;W037,81236ef5be5b11e8be3e;8bd2b6db1b57ba08a132;093a8b4511bd56f93784;8ad07f7e5b4a42e18f5c;ca1a2d8aefa7219707d8,5
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,semi,W013;W017;W018;W028,98e444841935f5508d75;eda8291573ff053225c7;936511830ce393b70d38;87dd86ac11a2a77e63bf,4
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,manual,W001;W002;W012;W030;W034,c1c621753a9818e3a816;8788f7b0921cb90d1098;91d132fab64b21bf307f;55c92f0f123df48b05be;d7bf0e74078389ee9bf0,5
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,semi,W008;W010;W015;W031;W035,1beae202a7ba8f00c6fb;4b7562726182b0f76ced;4786ddffd288bc3c1169;71770e90ca7c5a392b52;3cbe48827611f20e2b09,5
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,manual,W006;W008;W010;W017;W031,480a17d4b8bc43325c2c;9b0c448a433097e9942e;f9cafcbd58a63d859d32;f8d8bb7e420a7d6f3d91;19e03d84ac8aea1645d3,5
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,semi,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,0e0501745974e880;1f8fe248fb55c43e;eb2fd1fd3f466605;5a38b164a2481384;f0a357dcd7d8d4c6;92e4a4cf1ae73f69;47377755fedf1482;39a34b830ea11490;3c4a2ede557a62f2;552a0858ecbce9ad;1445e3889419575a;f432b7968aecb5bc;202420376d62cfbb;19a327730863506b;0dce4a0f997ffd15;7667b010a9c90570;c76193b6207a6507;76f29200f62e2fb3;a318b6bfd544d9cb;522ad8c02cfc8914;c1d1843444d6d457;2c11262bdae1e085;2b439f65ef66899b;b70dac9310c8fd7f,24
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,50e0c1d231bdc3e1;37d563a2a56a489c;b9e28e0e52d42c3e;c3c671ad2606cc81;dfeb464b1f6ab259;116113684cacd9cd;38f42c41164cac24;c37f510f32a97089;b94c8e53634b4344;b65da8ecfd28bcec;352bcc94c85fa24a;c99302ecb9582495;a9df090a73a1a89c;f1dd682311fd4140;0dd58701c016b64d;7dbcb72e807e85d2;330b5b8e0a0c2fec;98498bd37758c8be;d8758b5b52e63e50;65a57cac6d5c466f;d9f496f32a9ca809;8caa1a6f8af38d0e;95bec3e4f8012871;452a692a4bf6d4f5,24
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,semi,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,d2965a4546dd5bd3;39008f0fe7a1d27b;1260b5763825ac73;3e32b8564185e9c7;62376c3351699bc6;b49eaa7455fb1edf;9ae9084968b32229;517e0e79ed73ad98;c9609d6092bb0730;5c8fc29a99324dd7;db6e2e902a7635ad;0a435ae2b35d25c7;ffdffd1443b1cef9;ea4ba198f1b90c5a;afda73e02ce84841;7129ad7e523aa525;3c2427034d519a1a;3b710fb59e47c8d6;1aaa93ec5fa02d67;0225fd516c992f7f;b1ac17483ad1c04e;33a4dc1fd6be1bdd;ca291f0b645de9fa;2ac783e03ad61d1a,24
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,manual,W027;W028;W029;W031;W036,bc31ca44876dc589ed4b;7cd383c42cfa1fb813df;23b3ba219c2ea42e2857;34724d21eb0d44dfc22d;07d7b8e9b47e3b57f09b,5
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,manual,W010;W013;W014;W018;W034;W035,d2f9b77e836ea9a23958;dd2eee2e935e77791577;be89bcf05931fe625393;e98d3f5303e6099af208;a47e8b2c8b897117f071;74ff4434b6db6c57c2ee,6
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,manual,W027;W028;W029;W031;W035;W036,3cf29369b9e0b392e769;8527f5df56820c48bf92;1d1795fcc5d614bf0698;45580730e6338599d29d;143e2ef82609a7f44a09;1dc5dc76fab81c45cd23,6
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,semi,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,a53c36c9bf95be2b;ae9ad15247583bd3;50a0f95f8fc38be2;6adfe32721762388;df7f18116de27c41;5d6bb8dddcf527e1;1a5c416e7e7c6cfa;8c7bb20e866330e5;a1c92c4eba590882;874f47b61ab0f967;b6c9e63c1de72fbf;043215a11b3c07f6;a3df2f62a653fcdb;b9d6531c224d6003;059397cbcdc2fd99;c1ce3be5ac91205f;39f325131750b755;95caac6d8e2b34ae;aa27fee9b505606b;39b7f2008e3d4afe;765b308f64278de8;3f1ad1a502b50429;e85a8e90e0c6b636;5a50132cf972f527,24
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,manual,W006;W010;W013;W014;W018;W034,0fe7898050e5c65aa163;230418a93ba734601d15;a7f130f489209fd66673;eabfca08cf8ed118e1e7;d64ce5b326b6015ae8bf;2421466da1f7d0800380,6
e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,semi,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,a98f6bc364bdef1b;6c28d1705fb5c4b4;4693ec5fcc3f09fc;afc3de4b01f9bf3b;0df21449d15d6f28;137415ffe0725161;ce3536534b35ed2e;f8c614ff9afdc5fe;67807e1e55df3898;bb7b44da838a4ce1;27ae2237bce7474e;d46f9d2f3c43ead2;13e99fa97abd8cb5;bcaaea256c246b28;464f553a46a042bd;caf781b6512ea9b2;4247b935b5d68e6a;a01f38f168e18ba4;a800256cd64a13c9;f05be155437bb650;c3d7b507aa2d788d;4664edbc4eb51884;d73bc90a26b0976b;e7e6e4180354bfe2,24
