image_id,condition,information,k_classes,reason,qualified_classes
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,0
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,manual,Q,2,fewer_than_two_classes_with_four_actual_people,0
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,manual,T,2,fewer_than_two_classes_with_four_actual_people,0
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,0
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,manual,T,2,fewer_than_two_classes_with_four_actual_people,0
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,T,2,fewer_than_two_classes_with_four_actual_people,1
jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,0
pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,manual,T,2,fewer_than_two_classes_with_four_actual_people,1
pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,manual,T,2,fewer_than_two_classes_with_four_actual_people,1
pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,manual,T,2,fewer_than_two_classes_with_four_actual_people,1
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,0
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103,semi,Q,2,fewer_than_two_classes_with_four_actual_people,1
q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103,semi,B,2,fewer_than_two_classes_with_four_actual_people,1
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,manual,T,2,fewer_than_two_classes_with_four_actual_people,0
q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,0
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,manual,T,2,fewer_than_two_classes_with_four_actual_people,0
rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,0
uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,manual,T,2,fewer_than_two_classes_with_four_actual_people,0
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,manual,T,2,fewer_than_two_classes_with_four_actual_people,0
uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,manual,T,2,fewer_than_two_classes_with_four_actual_people,0
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,0
uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,semi,Q,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,semi,B,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,semi,B,2,fewer_than_two_classes_with_four_actual_people,1
wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,semi,B,2,fewer_than_two_classes_with_four_actual_people,1
wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,manual,T,2,fewer_than_two_classes_with_four_actual_people,1
wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,manual,Q,2,fewer_than_two_classes_with_four_actual_people,0
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,manual,T,2,fewer_than_two_classes_with_four_actual_people,0
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,0
wc2JMjhGNzB_77962388887942148ee65c2892600e02,semi,B,2,fewer_than_two_classes_with_four_actual_people,1
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,manual,T,2,fewer_than_two_classes_with_four_actual_people,1
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,1
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,1
wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,semi,B,2,fewer_than_two_classes_with_four_actual_people,1
wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
wc2JMjhGNzB_dda6efcba51c40de8552408953719515,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,manual,T,2,fewer_than_two_classes_with_four_actual_people,0
yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,0
yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,manual,T,2,fewer_than_two_classes_with_four_actual_people,0
yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,0
yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,manual,Q,2,fewer_than_two_classes_with_four_actual_people,1
yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,manual,T,2,fewer_than_two_classes_with_four_actual_people,1
yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,manual,QTSB,4,fewer_than_two_classes_with_four_actual_people,0
yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,manual,quality_time_edit,3,fewer_than_two_classes_with_four_actual_people,0
yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,manual,B,2,fewer_than_two_classes_with_four_actual_people,1
