image_id,building,condition,information,k_classes,pool,pool_workers,n_pool,n_all,unknown_workers,stable_fraction,unified_fraction,multiple_fraction,undetermined_fraction,supported_modes,topology_disagreement,same_point_dispersion,class_a_unified,class_b_unified,class_a_n,class_b_n,both_classes_unified80,class_a_stable,class_b_stable,class_a_undetermined,class_b_undetermined,both_stable80,process_transition
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,Q,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,24,24,0,0.3,0,0.3,0,5,0.365942028986,0.0907383953165,0,0,6,18,False,0,0,1,1,False,other_observed_transition
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,T,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,23,24,1,0.233333333333,0,0.233333333333,0,5,0.379446640316,0.0907383953165,0,0,9,14,False,0,0,1,1,False,other_observed_transition
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,B,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,24,24,0,0.3,0,0.3,0,5,0.365942028986,0.0907383953165,0,0,16,8,False,0.7,0,0,1,False,other_observed_transition
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,QTSB,4,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W018;W021;W027,13,24,1,0.4,0,0.4,0,3,0.282051282051,0.00300183641757,1,0,6,7,False,1,0,0,0,False,other_observed_transition
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,QTSB,4,A+C,W002;W008;W015;W017;W018;W027;W028;W032;W033;W036,10,24,1,0,0,0,1,1,0.2,0,1,0,6,4,False,1,0,0,1,False,union_undetermined
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,QTSB,4,A+D,W002;W008;W015;W017;W018;W027;W029;W030;W031;W034;W035;W037,12,24,1,0,0,0,1,2,0.30303030303,0.115378214726,1,0,6,6,False,1,0,0,1,False,union_undetermined
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,QTSB,4,B+C,W001;W006;W010;W011;W012;W013;W021;W028;W032;W033;W036,11,24,1,0,0,0,0,3,0.436363636364,0.0907383953165,0,0,7,4,False,0,0,0,1,False,other_observed_transition
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,QTSB,4,B+D,W001;W006;W010;W011;W012;W013;W021;W029;W030;W031;W034;W035;W037,13,24,1,0,0,0,1,4,0.512820512821,0.141197395204,0,0,7,6,False,0,0,0,1,False,union_undetermined
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,QTSB,4,C+D,W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,10,24,1,0,0,0,1,3,0.511111111111,0.151533634033,0,0,4,6,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,quality_time_edit,3,A+C,W001;W002;W008;W010;W012;W013;W015;W017;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,20,24,1,0,0,0,1,4,0.278947368421,0.102915663504,1,0,5,15,False,1,0,0,1,False,union_undetermined
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,Q,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,24,24,0,0,0,0,1,3,0.0833333333333,0.117198373746,0,0,6,18,False,0,0,0,1,False,union_undetermined
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,T,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,23,24,1,0,0,0,1,3,0.0869565217391,0.109483882288,0,0,9,14,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,B,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,24,24,0,0,0,0,1,3,0.0833333333333,0.117198373746,0,0,16,8,False,0.366666666667,0,0,1,False,union_undetermined
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,QTSB,4,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W018;W021;W027,13,24,1,0,0,0,1,3,0,0.282970585066,0,0,6,7,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,QTSB,4,A+C,W002;W008;W015;W017;W018;W027;W028;W032;W033;W036,10,24,1,0,0,0,1,2,0,0.117198373746,0,0.566666666667,6,4,False,0,0.566666666667,1,0,False,union_undetermined
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,QTSB,4,A+D,W002;W008;W015;W017;W018;W027;W029;W030;W031;W034;W035;W037,12,24,1,0,0,0,1,2,0.166666666667,0.117198373746,0,0,6,6,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,QTSB,4,B+C,W001;W006;W010;W011;W012;W013;W021;W028;W032;W033;W036,11,24,1,0.1,0,0.1,0,2,0,0.240871264844,0,0.566666666667,7,4,False,0,0.566666666667,1,0,False,other_observed_transition
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,QTSB,4,B+D,W001;W006;W010;W011;W012;W013;W021;W029;W030;W031;W034;W035;W037,13,24,1,0,0,0,1,3,0.153846153846,0.124382646956,0,0,7,6,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,QTSB,4,C+D,W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,10,24,1,0.666666666667,0.666666666667,0,0,1,0.2,0.0435121141233,0.566666666667,0,4,6,False,0.566666666667,0,0,1,False,other_observed_transition
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,quality_time_edit,3,A+C,W001;W002;W008;W010;W012;W013;W015;W017;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,20,24,1,0,0,0,1,3,0.1,0.100571265175,0,0,5,15,False,0,0,0,1,False,union_undetermined
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,Q,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,24,24,0,0,0,0,1,4,0,0.235693693691,1,0,6,18,False,1,0,0,1,False,union_undetermined
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,T,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,23,24,1,0,0,0,1,4,0,0.240635355959,0,0,9,14,False,0,0.0666666666667,1,0,False,union_undetermined
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,B,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,24,24,0,0,0,0,1,4,0,0.235693693691,0,0,16,8,False,0.466666666667,0,0,1,False,union_undetermined
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,QTSB,4,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W018;W021;W027,13,24,1,0,0,0,1,1,0,0.000300536341779,1,0,6,7,False,1,0,0,1,False,union_undetermined
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,QTSB,4,A+C,W002;W008;W015;W017;W018;W027;W028;W032;W033;W036,10,24,1,0,0,0,0,2,0,0.14961959161,1,0,6,4,False,1,0,0,1,False,other_observed_transition
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,QTSB,4,A+D,W002;W008;W015;W017;W018;W027;W029;W030;W031;W034;W035;W037,12,24,1,0,0,0,1,3,0,0.369536970362,1,0,6,6,False,1,0,0,1,False,union_undetermined
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,QTSB,4,B+C,W001;W006;W010;W011;W012;W013;W021;W028;W032;W033;W036,11,24,1,0,0,0,1,2,0,0.153047123313,0,0,7,4,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,QTSB,4,B+D,W001;W006;W010;W011;W012;W013;W021;W029;W030;W031;W034;W035;W037,13,24,1,0,0,0,1,3,0,0.338131270051,0,0,7,6,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,QTSB,4,C+D,W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,10,24,1,0,0,0,1,3,0,0.330118654169,0,0,4,6,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,quality_time_edit,3,A+C,W001;W002;W008;W010;W012;W013;W015;W017;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,20,24,1,0,0,0,1,4,0,0.282511511887,1,0,5,15,False,1,0,0,1,False,union_undetermined
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,Q,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,24,24,0,0,0,0,1,5,0.0869565217391,0.209626699836,0,0,6,18,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,T,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,23,24,1,0,0,0,1,5,0.0909090909091,0.210713618061,0,0,9,14,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,B,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,24,24,0,0,0,0,1,5,0.0869565217391,0.209626699836,0,0,16,8,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,QTSB,4,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W018;W021;W027,13,24,1,0,0,0,1,4,0,0.214160807965,0,0,6,7,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,QTSB,4,A+C,W002;W008;W015;W017;W018;W027;W028;W032;W033;W036,10,24,1,0,0,0,1,2,0,0.219753724487,0,0,6,4,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,QTSB,4,A+D,W002;W008;W015;W017;W018;W027;W029;W030;W031;W034;W035;W037,12,24,1,0,0,0,1,2,0.166666666667,0.251721387744,0,0,6,6,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,QTSB,4,B+C,W001;W006;W010;W011;W012;W013;W021;W028;W032;W033;W036,11,24,1,0,0,0,1,2,0,0.176901442344,0,0,7,4,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,QTSB,4,B+D,W001;W006;W010;W011;W012;W013;W021;W029;W030;W031;W034;W035;W037,13,24,1,0,0,0,1,2,0.153846153846,0.212240175459,0,0,7,6,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,QTSB,4,C+D,W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,10,24,1,0,0,0,1,2,0.222222222222,0.219753724487,0,0,4,6,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,quality_time_edit,3,A+C,W001;W002;W008;W010;W012;W013;W015;W017;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,20,24,1,0,0,0,1,4,0.105263157895,0.215832063843,0,0,5,15,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,Q,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,24,24,0,0,0,0,1,5,0.159420289855,0.346355599574,0,0,6,18,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,T,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,23,24,1,0,0,0,1,5,0.166007905138,0.351958468655,0,0,9,14,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,B,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,24,24,0,0,0,0,1,5,0.159420289855,0.346355599574,0,0,16,8,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,QTSB,4,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W018;W021;W027,13,24,1,0,0,0,1,2,0,0.324659790427,0,0,6,7,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,QTSB,4,A+C,W002;W008;W015;W017;W018;W027;W028;W032;W033;W036,10,24,1,0,0,0,1,3,0.2,0.413303947105,0,0,6,4,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,QTSB,4,A+D,W002;W008;W015;W017;W018;W027;W029;W030;W031;W034;W035;W037,12,24,1,0,0,0,1,3,0.166666666667,0.361096934436,0,0,6,6,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,QTSB,4,B+C,W001;W006;W010;W011;W012;W013;W021;W028;W032;W033;W036,11,24,1,0,0,0,1,1,0.181818181818,0.351958468655,0,0,7,4,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,QTSB,4,B+D,W001;W006;W010;W011;W012;W013;W021;W029;W030;W031;W034;W035;W037,13,24,1,0,0,0,1,3,0.153846153846,0.298593724665,0,0,7,6,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,QTSB,4,C+D,W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,10,24,1,0,0,0,1,1,0.355555555556,0.314549060786,0,0,4,6,False,0,0,1,1,False,union_undetermined
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,quality_time_edit,3,A+C,W001;W002;W008;W010;W012;W013;W015;W017;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,20,24,1,0,0,0,1,5,0.189473684211,0.367727378271,0,0,5,15,False,0,0,1,1,False,union_undetermined
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,T,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,20,20,0,0,0,0,1,3,0.105263157895,0.108076976833,0,0,8,12,False,0,0,1,1,False,union_undetermined
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,QTSB,4,A+C,W001;W002;W008;W010;W012;W013;W015;W017;W028;W031;W032;W033;W034;W036,14,20,0,0,0,0,1,2,0,0.0953589965537,0,0,8,6,False,0,0,1,1,False,union_undetermined
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,QTSB,4,A+D,W002;W008;W015;W017;W028;W029;W030;W032;W033;W035;W036;W037,12,20,0,0,0,0,1,2,0.181818181818,0.0950528438149,0,0,8,4,False,0,0,1,1,False,union_undetermined
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,QTSB,4,C+D,W001;W010;W012;W013;W029;W030;W031;W034;W035;W037,10,20,0,0,0,0,1,3,0.2,0.102132496125,0,0,6,4,False,0,0,1,1,False,union_undetermined
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,T,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,20,20,0,0.866666666667,0.866666666667,0,0,1,0,0.0376011871379,1,1,8,12,True,1,1,0,0,True,both_unified_to_unified
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,QTSB,4,A+C,W001;W002;W008;W010;W012;W013;W015;W017;W028;W031;W032;W033;W034;W036,14,20,0,0.6,0.6,0,0,1,0,0.0338547603599,1,0.233333333333,8,6,False,1,0.233333333333,0,0,False,other_observed_transition
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,QTSB,4,A+D,W002;W008;W015;W017;W028;W029;W030;W032;W033;W035;W036;W037,12,20,0,1,1,0,0,1,0,0.0358648819831,1,0.7,8,4,False,1,0.7,0,0,False,other_observed_transition
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,QTSB,4,C+D,W001;W010;W012;W013;W029;W030;W031;W034;W035;W037,10,20,0,1,1,0,0,1,0,0.0367416690402,0.233333333333,0.7,6,4,False,0.233333333333,0.7,0,0,False,other_observed_transition
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,Q,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,24,24,0,0,0,0,1,5,0.663043478261,0.13511365969,0,0,6,18,False,0,0,1,1,False,union_undetermined
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,T,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,23,24,1,0,0,0,1,5,0.679841897233,0.137222109994,0,0,9,14,False,0,0,1,1,False,union_undetermined
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,QTSB,4,A+C,W001;W002;W008;W010;W012;W013;W015;W017;W018;W027;W028;W031;W032;W033;W034;W035;W036,17,24,1,0,0,0,1,3,0.617647058824,0.166411284743,0,0,10,7,False,0,0,1,1,False,union_undetermined
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,quality_time_edit,3,A+C,W001;W002;W008;W010;W012;W013;W015;W017;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,20,24,1,0,0,0,1,4,0.610526315789,0.166411284743,0,0,5,15,False,0,0,1,1,False,union_undetermined
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,Q,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,24,24,0,0,0,0,1,3,0.235507246377,0.0841691693751,0,0,6,18,False,0,0,0,1,False,union_undetermined
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,T,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,23,24,1,0,0,0,1,3,0.245059288538,0.0854682746849,0,0,9,14,False,0,0,1,1,False,union_undetermined
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,QTSB,4,A+C,W001;W002;W008;W010;W012;W013;W015;W017;W018;W027;W028;W031;W032;W033;W034;W035;W036,17,24,1,0,0,0,1,3,0.323529411765,0.0833152547988,0,0,10,7,False,0.333333333333,0,0,1,False,union_undetermined
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,quality_time_edit,3,A+C,W001;W002;W008;W010;W012;W013;W015;W017;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,20,24,1,0,0,0,1,3,0.278947368421,0.0877856045338,0.266666666667,0,5,15,False,0.266666666667,0,0,1,False,union_undetermined
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,Q,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,23,23,0,0.766666666667,0.766666666667,0,0,1,0.0869565217391,0.0254288688354,1,0,5,18,False,1,0,0,1,False,other_observed_transition
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,T,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,22,23,1,0.7,0.7,0,0,1,0.0909090909091,0.0259264267349,1,0,8,14,False,1,0,0,1,False,other_observed_transition
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,QTSB,4,A+C,W001;W002;W008;W010;W012;W013;W015;W017;W018;W027;W028;W031;W032;W033;W034;W035;W036,17,23,1,0.766666666667,0.766666666667,0,0,1,0,0.0255099985136,0.666666666667,1,10,7,False,0.666666666667,1,0,0,False,other_observed_transition
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,quality_time_edit,3,A+C,W001;W002;W008;W010;W012;W013;W015;W017;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,20,23,1,0.666666666667,0.666666666667,0,0,1,0.1,0.0261068578604,1,0,5,15,False,1,0,0,1,False,other_observed_transition
