stage,language_cohort,project_id,runtime_task_id,base_task_id,building_id,worker_id,canonical_annotation_id,raw_annotation_id,initialization_artifact_id,initialization_import_sha256,initialization_prediction_sha256,initial_geometry_hash,final_geometry_hash,exact_geometry_equal,geometry_edit_rmse_px,geometry_edit_rmse_panorama_diagonal_normalized,geometry_edit_distance_not_evaluable_reason,U_initial,U_final,delta_U,initial_structurally_valid,final_structurally_valid,initial_quality_status,final_quality_status,proposal_failure,model_issue_choice,issue_reported,acceptable_reported,semi_role,planned_trap_family,trap_family,trap_family_source,trap_source_type,reference_identity,reference_sha256,reference_type,reference_eligible,formal_assignment_eligible,process_eligible,independence_eligible,analysis_eligible,c1_eligible_worker,current20_worker,stage_role,unmodified_trap_submission_eps_0,strict_blind_trust_eps_0,issue_reported_without_quality_improvement_eps_0,quality_improving_correction_eps_0,harmful_correction_eps_0,control_false_alarm_eps_0,control_overcorrection_eps_0,non_harmful_control_handling_eps_0,issue_geometry_edit_concordant_eps_0,unmodified_trap_submission_eps_0_01,strict_blind_trust_eps_0_01,issue_reported_without_quality_improvement_eps_0_01,quality_improving_correction_eps_0_01,harmful_correction_eps_0_01,control_false_alarm_eps_0_01,control_overcorrection_eps_0_01,non_harmful_control_handling_eps_0_01,issue_geometry_edit_concordant_eps_0_01,unmodified_trap_submission_eps_0_02,strict_blind_trust_eps_0_02,issue_reported_without_quality_improvement_eps_0_02,quality_improving_correction_eps_0_02,harmful_correction_eps_0_02,control_false_alarm_eps_0_02,control_overcorrection_eps_0_02,non_harmful_control_handling_eps_0_02,issue_geometry_edit_concordant_eps_0_02,unmodified_trap_submission_eps_0_05,strict_blind_trust_eps_0_05,issue_reported_without_quality_improvement_eps_0_05,quality_improving_correction_eps_0_05,harmful_correction_eps_0_05,control_false_alarm_eps_0_05,control_overcorrection_eps_0_05,non_harmful_control_handling_eps_0_05,issue_geometry_edit_concordant_eps_0_05,diagnostic_pre_stage3,development_only,scientific_conclusion_prohibited,formal_profile_frozen,reviewer_policy_frozen,main_launch_authorized,worker_caused_structural_failure,failure_attribution,frozen_harmonization_validity_status,frozen_harmonization_assertion_source,frozen_initialization_provenance_status,proposal_accepted_unchanged_eps_0,issue_reported_eps_0,geometry_edited_eps_0,non_harmful_handling_eps_0,proposal_accepted_unchanged_eps_0_01,issue_reported_eps_0_01,geometry_edited_eps_0_01,non_harmful_handling_eps_0_01,proposal_accepted_unchanged_eps_0_02,issue_reported_eps_0_02,geometry_edited_eps_0_02,non_harmful_handling_eps_0_02,proposal_accepted_unchanged_eps_0_05,issue_reported_eps_0_05,geometry_edited_eps_0_05,non_harmful_handling_eps_0_05
P1,zh,29,3083,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,2,6c28d1705fb5c4b4,3147,init:p1:5783a1f62c62382528fa,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,5783a1f62c62382528fa13a09f59576ead97bc630e327259b9ffdf215e697d30,5ca7f83733012d2218365b3e7d08efdf6db235b9a4594ccf54b043fbb85f4f98,8928fd330b8888f8bffaa09b655606a041d5a23560f3c9de5a129430691aec98,false,0.5213928142276325,0.0004554178810909788,,0.9883231584145082,0.9884567901234568,0.00013363170894853393,true,true,evaluable,evaluable,false,acceptable,false,true,control,acceptable,acceptable,frozen_selection,control_natural,task_id:492,0e3578e39313699efebad57eb407af2f689a05e571f4764e46cb4059a2d28d2e,final_gold,true,not_applicable_p1,true,not_formally_adjudicated_p1,true,true,true,profile_development_only,,,,,false,false,false,true,false,,,,,false,false,false,true,false,,,,,false,false,false,true,false,,,,,false,false,false,true,false,true,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,
P1,zh,29,3083,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,21,13e99fa97abd8cb5,3678,init:p1:5783a1f62c62382528fa,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,5783a1f62c62382528fa13a09f59576ead97bc630e327259b9ffdf215e697d30,5ca7f83733012d2218365b3e7d08efdf6db235b9a4594ccf54b043fbb85f4f98,06b6b80143b23b192c41e75b982af420ee8d561846309e03d7b5c7501432fd76,false,1.5179824585033026,0.0013259031116662648,,0.9883231584145082,0.9878555484962808,-0.000467609918227474,true,true,evaluable,evaluable,false,acceptable,false,true,control,acceptable,acceptable,frozen_selection,control_natural,task_id:492,0e3578e39313699efebad57eb407af2f689a05e571f4764e46cb4059a2d28d2e,final_gold,true,not_applicable_p1,true,not_formally_adjudicated_p1,true,false,false,profile_development_only,,,,,true,false,true,false,false,,,,,false,false,false,true,false,,,,,false,false,false,true,false,,,,,false,false,false,true,false,true,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,
P1,zh,29,3083,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,6,4693ec5fcc3f09fc,3275,init:p1:5783a1f62c62382528fa,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,5783a1f62c62382528fa13a09f59576ead97bc630e327259b9ffdf215e697d30,5ca7f83733012d2218365b3e7d08efdf6db235b9a4594ccf54b043fbb85f4f98,5ca7f83733012d2218365b3e7d08efdf6db235b9a4594ccf54b043fbb85f4f98,true,0.0,0.0,,0.9883231584145082,0.9883231584145082,0.0,true,true,evaluable,evaluable,false,acceptable,false,true,control,acceptable,acceptable,frozen_selection,control_natural,task_id:492,0e3578e39313699efebad57eb407af2f689a05e571f4764e46cb4059a2d28d2e,final_gold,true,not_applicable_p1,true,not_formally_adjudicated_p1,true,true,true,profile_development_only,,,,,false,false,false,true,true,,,,,false,false,false,true,true,,,,,false,false,false,true,true,,,,,false,false,false,true,true,true,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,
P1,zh,29,3083,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,8,afc3de4b01f9bf3b,3483,init:p1:5783a1f62c62382528fa,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,5783a1f62c62382528fa13a09f59576ead97bc630e327259b9ffdf215e697d30,5ca7f83733012d2218365b3e7d08efdf6db235b9a4594ccf54b043fbb85f4f98,5ca7f83733012d2218365b3e7d08efdf6db235b9a4594ccf54b043fbb85f4f98,true,0.0,0.0,,0.9883231584145082,0.9883231584145082,0.0,true,true,evaluable,evaluable,false,acceptable,false,true,control,acceptable,acceptable,frozen_selection,control_natural,task_id:492,0e3578e39313699efebad57eb407af2f689a05e571f4764e46cb4059a2d28d2e,final_gold,true,not_applicable_p1,true,not_formally_adjudicated_p1,true,true,true,profile_development_only,,,,,false,false,false,true,true,,,,,false,false,false,true,true,,,,,false,false,false,true,true,,,,,false,false,false,true,true,true,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,
P1,zh,29,3084,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,1,9b288798a70abf19,4796,init:p1:c5066d8401c8800d9c88,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,c5066d8401c8800d9c88cb31ab054b4b0784055656e3f67529cd4d1314b18883,9d75d27aa8f9fe9a4002f9c774b00506411b78e3673309de414818f3ea6d3b5d,38cb82e5c3ff0b08cce36ffbbfeb35f5f0404698fdb4ae2abfadb0a2c22df154,false,,,n_pairs_mismatch,0.9794180077541207,0.9094274809160305,-0.06999052683809015,true,true,evaluable,evaluable,false,acceptable,false,true,control,acceptable,acceptable,frozen_selection,control_natural,task_id:501,3b60473ca0e39e53e30f9745237e953e8186cfac4e8249cb2f16d7980b93aa7a,final_gold,true,not_applicable_p1,true,not_formally_adjudicated_p1,true,true,true,profile_development_only,,,,,true,false,true,false,false,,,,,true,false,true,false,false,,,,,true,false,true,false,false,,,,,true,false,true,false,false,true,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,
P1,zh,29,3084,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,10,eeb7cf09ee96e34c,3173,init:p1:c5066d8401c8800d9c88,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,c5066d8401c8800d9c88cb31ab054b4b0784055656e3f67529cd4d1314b18883,9d75d27aa8f9fe9a4002f9c774b00506411b78e3673309de414818f3ea6d3b5d,9d75d27aa8f9fe9a4002f9c774b00506411b78e3673309de414818f3ea6d3b5d,true,0.0,0.0,,0.9794180077541207,0.9794180077541207,0.0,true,true,evaluable,evaluable,false,acceptable,false,true,control,acceptable,acceptable,frozen_selection,control_natural,task_id:501,3b60473ca0e39e53e30f9745237e953e8186cfac4e8249cb2f16d7980b93aa7a,final_gold,true,not_applicable_p1,true,not_formally_adjudicated_p1,true,true,true,profile_development_only,,,,,false,false,false,true,true,,,,,false,false,false,true,true,,,,,false,false,false,true,true,,,,,false,false,false,true,true,true,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,
P1,zh,29,3084,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,11,42022c04b169cb33,3597,init:p1:c5066d8401c8800d9c88,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,c5066d8401c8800d9c88cb31ab054b4b0784055656e3f67529cd4d1314b18883,9d75d27aa8f9fe9a4002f9c774b00506411b78e3673309de414818f3ea6d3b5d,fadd0c04cc2ff040c83547038b871cfc59547fbc238ba9258f3c7f968ebf5313,false,0.602619975637409,0.0005263668867673882,,0.9794180077541207,0.9785886839054934,-0.000829323848627328,true,true,evaluable,evaluable,false,acceptable,false,true,control,acceptable,acceptable,frozen_selection,control_natural,task_id:501,3b60473ca0e39e53e30f9745237e953e8186cfac4e8249cb2f16d7980b93aa7a,final_gold,true,not_applicable_p1,true,not_formally_adjudicated_p1,true,true,true,profile_development_only,,,,,true,false,true,false,false,,,,,false,false,false,true,false,,,,,false,false,false,true,false,,,,,false,false,false,true,false,true,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,
P1,zh,29,3084,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,12,34322c1803ecc10f,3436,init:p1:c5066d8401c8800d9c88,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,c5066d8401c8800d9c88cb31ab054b4b0784055656e3f67529cd4d1314b18883,9d75d27aa8f9fe9a4002f9c774b00506411b78e3673309de414818f3ea6d3b5d,2f9fc1e2110761b3c5f6aa1efc5c4f09f96ddc0fa669949362c4d20264b58ddf,false,5.46482717144778,0.004773330094002005,,0.9794180077541207,0.9651941888307868,-0.014223818923333909,true,true,evaluable,evaluable,false,acceptable,false,true,control,acceptable,acceptable,frozen_selection,control_natural,task_id:501,3b60473ca0e39e53e30f9745237e953e8186cfac4e8249cb2f16d7980b93aa7a,final_gold,true,not_applicable_p1,true,not_formally_adjudicated_p1,true,true,true,profile_development_only,,,,,true,false,true,false,false,,,,,true,false,true,false,false,,,,,false,false,false,true,false,,,,,false,false,false,true,false,true,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,
P1,zh,29,3084,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,13,42b0e6e9fd383cc9,3333,init:p1:c5066d8401c8800d9c88,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,c5066d8401c8800d9c88cb31ab054b4b0784055656e3f67529cd4d1314b18883,9d75d27aa8f9fe9a4002f9c774b00506411b78e3673309de414818f3ea6d3b5d,9d75d27aa8f9fe9a4002f9c774b00506411b78e3673309de414818f3ea6d3b5d,true,0.0,0.0,,0.9794180077541207,0.9794180077541207,0.0,true,true,evaluable,evaluable,false,acceptable,false,true,control,acceptable,acceptable,frozen_selection,control_natural,task_id:501,3b60473ca0e39e53e30f9745237e953e8186cfac4e8249cb2f16d7980b93aa7a,final_gold,true,not_applicable_p1,true,not_formally_adjudicated_p1,true,true,true,profile_development_only,,,,,false,false,false,true,true,,,,,false,false,false,true,true,,,,,false,false,false,true,true,,,,,false,false,false,true,true,true,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,
P1,zh,29,3084,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,14,82970ffa463dfabe,3227,init:p1:c5066d8401c8800d9c88,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,c5066d8401c8800d9c88cb31ab054b4b0784055656e3f67529cd4d1314b18883,9d75d27aa8f9fe9a4002f9c774b00506411b78e3673309de414818f3ea6d3b5d,7aacaca13523854d225c56486076233b6ec67f254a10c482fe44d119ce9e12a6,false,2.5087914383321275,0.002191339139640667,,0.9794180077541207,0.9798566137451536,0.0004386059910329587,true,true,evaluable,evaluable,false,acceptable,false,true,control,acceptable,acceptable,frozen_selection,control_natural,task_id:501,3b60473ca0e39e53e30f9745237e953e8186cfac4e8249cb2f16d7980b93aa7a,final_gold,true,not_applicable_p1,true,not_formally_adjudicated_p1,true,true,false,profile_development_only,,,,,false,false,false,true,false,,,,,false,false,false,true,false,,,,,false,false,false,true,false,,,,,false,false,false,true,false,true,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,
P1,zh,29,3084,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,15,8533d11a5e0b7dbf,3242,init:p1:c5066d8401c8800d9c88,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,c5066d8401c8800d9c88cb31ab054b4b0784055656e3f67529cd4d1314b18883,9d75d27aa8f9fe9a4002f9c774b00506411b78e3673309de414818f3ea6d3b5d,9d75d27aa8f9fe9a4002f9c774b00506411b78e3673309de414818f3ea6d3b5d,true,0.0,0.0,,0.9794180077541207,0.9794180077541207,0.0,true,true,evaluable,evaluable,false,acceptable,false,true,control,acceptable,acceptable,frozen_selection,control_natural,task_id:501,3b60473ca0e39e53e30f9745237e953e8186cfac4e8249cb2f16d7980b93aa7a,final_gold,true,not_applicable_p1,true,not_formally_adjudicated_p1,true,true,true,profile_development_only,,,,,false,false,false,true,true,,,,,false,false,false,true,true,,,,,false,false,false,true,true,,,,,false,false,false,true,true,true,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,
