base_task_id,building_id,dataset_group,n,distance,corners_mean,corners_sd,occlusion_share,trivial_share,median_active_seconds,time_n
wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,C1_anchor_all,23,0.189802287519185,5.521739130434782,1.343995576879603,0.8260869565217391,0.0,129.0,21
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,C1_core_all,5,0.0646680077532402,4.0,0.0,0.8,0.2,137.0,5
wc2JMjhGNzB_dda6efcba51c40de8552408953719515,wc2JMjhGNzB,C1_anchor_all,23,0.0585222285557881,4.043478260869565,0.20851441405707477,0.9565217391304348,0.043478260869565216,102.5,20
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,wc2JMjhGNzB,C1_core_all,5,0.0645732629730032,4.0,0.7071067811865476,0.2,0.6,88.5,4
x8F5xyUWy9e_1be9a97aada84e4795f64583ac0e3b76,x8F5xyUWy9e,C1_core_all,5,0.0948939132172612,6.4,2.0736441353327724,0.6,0.4,240.0,5
x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,x8F5xyUWy9e,C1_core_all,5,0.062676990928637,4.0,0.0,0.6,0.4,165.0,5
x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,x8F5xyUWy9e,C1_core_all,5,0.0585434932690431,5.2,1.0954451150103324,0.2,0.6,74.0,5
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,yqstnuAEVhm,C1_core_all,5,0.0388924044427605,4.0,0.0,0.8,0.2,116.0,5
yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,yqstnuAEVhm,C1_anchor_all,23,0.2156925423103376,4.913043478260869,2.0651445795361036,0.21739130434782608,0.2608695652173913,98.0,21
yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,yqstnuAEVhm,C1_core_all,6,0.0519058328927487,4.0,0.0,0.8333333333333334,0.16666666666666666,74.0,5
yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,yqstnuAEVhm,C1_core_all,6,0.1215976903481205,6.0,2.1908902300206647,1.0,0.0,86.0,5
yqstnuAEVhm_4642492bb42d40debb1a3bad0ea7a24f,yqstnuAEVhm,C1_core_all,5,0.0602784352813106,5.0,1.0,1.0,0.0,80.0,5
yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm,C1_core_all,6,0.0942840396206474,8.666666666666666,3.0767948691238205,1.0,0.0,108.0,5
yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,yqstnuAEVhm,C1_core_all,5,0.0982528652553381,4.8,1.0954451150103324,0.0,0.6,118.0,5
yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,yqstnuAEVhm,C1_anchor_all,23,0.1209336395801033,5.3478260869565215,0.8316847989130755,0.9130434782608695,0.043478260869565216,185.0,21
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm,C1_core_all,5,0.1629084172613977,7.2,1.0954451150103321,0.4,0.6,120.5,4
yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,yqstnuAEVhm,C1_core_all,5,0.0864035169647806,12.6,0.8944271909999161,0.6,0.2,316.0,5
