image_id,building,source_split,scene_category,scene_source,main_space_raw,main_space_safe,main_space_source,main_space_basis,main_space_human,main_space_human_source,fine_human,fine_ai,doorway,room_id,room_status,floor_boundary,ceiling_boundary,corner_occlusion,connected_space,reflection_glass,low_contrast,floor_boundary_recheck,ceiling_boundary_recheck,corner_occlusion_recheck,connected_space_recheck,reflection_glass_recheck,low_contrast_recheck,resolution_rechecked,main_sleep,main_bathroom,main_kitchen,main_dining,main_living,main_work,main_circulation,main_storage,main_special,main_empty,position_entrance,position_window,position_edge,position_stair_landing,position_shower_interior,position_bath_tub,position_washing,position_mirrored,position_glass,position_fireplace,position_empty,position_shared_focus,main_semantic_key,main_function_primary,main_function_primary_source
2t7WUuJeko7_073656b4030d4389ba7f304298be1d73,2t7WUuJeko7,valid,卧室,早期争议复核导出.user_type,花纹墙纸卧室全体,花纹墙纸卧室全体,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卧室,否,supported_component:2t7WUuJeko7_073656b4030d4389ba7f304298be1d73,supported_component,partial,present,present,present,unknown,absent,partial,present,present,present,present,absent,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sleep,sleep,explicit first-clause keyword derivation; not human/adjudicated semantics
2t7WUuJeko7_9039d42e4ef4406fa57a2fbd2daba6cf,2t7WUuJeko7,valid,卧室,早期争议复核导出.user_type,条纹墙纸卧室,条纹墙纸卧室,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卧室,否,supported_component:2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,supported_component,partial,present,present,present,unknown,absent,partial,present,present,present,unknown,absent,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sleep,sleep,explicit first-clause keyword derivation; not human/adjudicated semantics
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,valid,卧室,早期争议复核导出.user_type,花纹墙纸卧室床与帘封凹口,花纹墙纸卧室床与帘封凹口,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卧室,否,supported_component:2t7WUuJeko7_073656b4030d4389ba7f304298be1d73,supported_component,partial,present,present,present,unknown,absent,partial,present,present,present,unknown,absent,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sleep,sleep,explicit first-clause keyword derivation; not human/adjudicated semantics
2t7WUuJeko7_a3297c84260041288c5c38c0d1aa0a9a,2t7WUuJeko7,valid,卧室,早期争议复核导出.user_type,花纹墙纸卧室床区,花纹墙纸卧室床区,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卧室,否,supported_component:2t7WUuJeko7_073656b4030d4389ba7f304298be1d73,supported_component,partial,present,present,present,unknown,absent,partial,present,present,present,unknown,absent,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sleep,sleep,explicit first-clause keyword derivation; not human/adjudicated semantics
2t7WUuJeko7_b72b7b78675f429a9f382a44e551cffc,2t7WUuJeko7,valid,卫浴,早期争议复核导出.user_type,独立浴缸与洗手盆浴室,独立浴缸与洗手盆浴室,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卫浴,否,supported_component:2t7WUuJeko7_53937db036374126830e0f1203b04ead,supported_component,partial,present,present,present,unknown,absent,partial,present,present,present,unknown,absent,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,bathroom,bathroom,explicit first-clause keyword derivation; not human/adjudicated semantics
2t7WUuJeko7_cc34e9176bfe47ebb23c58c165203134,2t7WUuJeko7,valid,卫浴,早期争议复核导出.user_type,浴室洗手盆及尽端白柜,浴室洗手盆及尽端白柜,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卫浴,否,supported_component:2t7WUuJeko7_53937db036374126830e0f1203b04ead,supported_component,partial,present,present,present,unknown,absent,partial,present,present,present,unknown,absent,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bathroom,bathroom,explicit first-clause keyword derivation; not human/adjudicated semantics
2t7WUuJeko7_edc7b2c25f054ce8992ae3fb66e80881,2t7WUuJeko7,valid,厨房与用餐,早期争议复核导出.user_type,老式炉灶所在厨房,老式炉灶所在厨房,AI_new_spatial_review,carried_visual_record,,未有人工作答,,厨房|用餐,否,supported_component:2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kitchen,kitchen,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,7y3sRwLe3Va,test,卫浴,早期争议复核导出.user_type,双盆与尽端淋浴卫浴,双盆与尽端淋浴卫浴,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卫浴,否,unresolved:7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,not_in_supported_component,partial,present,present,present,absent,present,partial,present,present,present,absent,present,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bathroom,bathroom,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,7y3sRwLe3Va,test,储藏与家务辅助,早期争议复核导出.user_type,洗衣凹室及外侧入口,洗衣凹室及外侧入口,AI_new_spatial_review,carried_visual_record,,未有人工作答,,储藏家务|通行,疑似,unresolved:7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,not_in_supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,unknown,circulation,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,test,开放复合空间,后续41图亲审.current_classification.coarse_type,岛台厨房,岛台厨房,AI_new_spatial_review,new_original,厨房＋起居；厨房为主,后续41图亲审.current_classification.focus,厨房、起居,厨房|用餐,否,supported_component:7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kitchen,kitchen,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,test,复合／待定,早期争议复核导出.user_type,带外门的过渡小间,带外门的过渡小间,AI_new_spatial_review,carried_visual_record,,未有人工作答,,储藏家务|通行,否,unresolved:7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,not_in_supported_component,present,present,absent,present,present,absent,present,present,absent,present,present,absent,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,unknown,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76,7y3sRwLe3Va,test,卫浴,早期争议复核导出.user_type,独立浴缸主卫,独立浴缸主卫,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卫浴,否,unresolved:7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76,not_in_supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,bathroom,bathroom,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,7y3sRwLe3Va,test,通行与连接,早期争议复核导出.user_type,卧室门外公共走廊,卧室门外公共走廊,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卧室|通行,确认,supported_component:7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,supported_component,present,present,absent,present,unknown,absent,present,present,absent,present,unknown,absent,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sleep+circulation,sleep,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,7y3sRwLe3Va,test,开放复合空间,后续41图亲审.current_classification.coarse_type,岛台厨房另一侧,岛台厨房另一侧,AI_new_spatial_review,new_original,厨房＋起居；厨房为主,后续41图亲审.current_classification.focus,厨房、起居,厨房|用餐|通行,否,supported_component:7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kitchen,kitchen,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,test,通行与连接,早期争议复核导出.user_type,楼梯挑空侧的上层平台,楼梯挑空侧的上层平台,AI_new_spatial_review,carried_visual_record,,未有人工作答,,通行,否,supported_component:7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,supported_component,present,present,absent,present,unknown,absent,present,present,absent,present,unknown,absent,False,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,circulation,circulation,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,7y3sRwLe3Va,test,开放复合空间,后续41图亲审.current_classification.coarse_type,壁炉沙发起居区,壁炉沙发起居区,AI_new_spatial_review,new_original,起居＋厨房；起居为主,后续41图亲审.current_classification.focus,起居、厨房,起居休闲|通行,否,supported_component:7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,living,living,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e,7y3sRwLe3Va,test,开放复合空间,后续41图亲审.current_classification.coarse_type,空置房间与长廊门口并见；主区域待定,空置房间与长廊门口并见；主区域待定,AI_new_spatial_review,carried_visual_record,空置房间与通道并见；主区域待定,后续41图亲审.current_classification.focus,空房间+连廊,用途不明|通行,确认,unresolved:7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e,not_in_supported_component,present,present,absent,present,absent,present,present,present,absent,present,absent,present,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,empty,empty,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861,7y3sRwLe3Va,test,开放复合空间,后续41图亲审.current_classification.coarse_type,壁炉沙发起居区,壁炉沙发起居区,AI_new_spatial_review,new_original,起居＋厨房；起居为主,后续41图亲审.current_classification.focus,起居、厨房,用途不明|起居休闲|通行,否,supported_component:7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,living,living,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,test,通行与连接,早期争议复核导出.user_type,挑空楼梯旁上层平台,挑空楼梯旁上层平台,AI_new_spatial_review,carried_visual_record,,未有人工作答,,通行,否,supported_component:7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,supported_component,present,present,absent,present,unknown,absent,present,present,absent,present,unknown,absent,False,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,circulation,circulation,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,test,通行与连接,早期争议复核导出.user_type,卧室门外公共走廊,卧室门外公共走廊,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卧室|通行,否,supported_component:7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,supported_component,present,present,absent,present,unknown,absent,present,present,absent,present,unknown,absent,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sleep+circulation,sleep,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a,7y3sRwLe3Va,test,复合／待定,早期争议复核导出.user_type,施工中设备门外短通道,施工中设备门外短通道,AI_new_spatial_review,carried_visual_record,,未有人工作答,,储藏家务|通行,否,supported_component:7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a,supported_component,partial,present,present,present,unknown,absent,partial,present,present,present,unknown,absent,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circulation,circulation,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187,7y3sRwLe3Va,test,复合／待定,早期争议复核导出.user_type,空置带窗房间,空置带窗房间,AI_new_spatial_review,carried_visual_record,,未有人工作答,,用途不明,否,unresolved:7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187,not_in_supported_component,present,present,absent,present,unknown,absent,present,present,absent,present,unknown,absent,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,empty,empty,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_9bbf903d50da4ffd9e5d1fb7c9f4d69b,7y3sRwLe3Va,test,开放复合空间,后续41图亲审.current_classification.coarse_type,壁炉沙发起居区,壁炉沙发起居区,AI_new_spatial_review,new_original,起居＋厨房；起居为主,后续41图亲审.current_classification.focus,起居、厨房,用途不明|起居休闲|通行,否,supported_component:7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,living,living,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,test,通行与连接,早期争议复核导出.user_type,楼梯挑空栏杆平台,楼梯挑空栏杆平台,AI_new_spatial_review,carried_visual_record,,未有人工作答,,通行,否,supported_component:7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,supported_component,present,present,absent,present,unknown,absent,present,present,absent,present,unknown,absent,False,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,circulation,circulation,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,test,开放复合空间,后续41图亲审.current_classification.coarse_type,长餐桌区及厨房开口,长餐桌区及厨房开口,AI_new_spatial_review,carried_visual_record,餐饮＋厨房；餐饮为主,后续41图亲审.current_classification.focus,餐饮、厨房,厨房|用餐,确认,unresolved:7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,not_in_supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kitchen+dining,dining,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,test,开放复合空间,后续41图亲审.current_classification.coarse_type,壁炉沙发起居区,壁炉沙发起居区,AI_new_spatial_review,new_original,起居＋厨房；起居为主,后续41图亲审.current_classification.focus,起居、厨房,用途不明|起居休闲|通行,否,supported_component:7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,living,living,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_af5f1942b4374015823bd32e31b31c64,7y3sRwLe3Va,test,储藏与家务辅助,早期争议复核导出.user_type,施工中长廊,施工中长廊,AI_new_spatial_review,new_original,,未有人工作答,,卫浴|起居休闲|通行,否,unresolved:7y3sRwLe3Va_af5f1942b4374015823bd32e31b31c64,not_in_supported_component,present,present,absent,present,absent,present,present,present,absent,present,absent,present,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,unknown,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,test,通行与连接,早期争议复核导出.user_type,套间照片墙入口及卧室睡眠区并见；入口近景显著,套间照片墙入口及卧室睡眠区并见；入口近景显著,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卧室|通行,否,supported_component:7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,supported_component,partial,present,present,present,unknown,absent,partial,present,present,present,unknown,absent,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,sleep,sleep,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,test,通行与连接,早期争议复核导出.user_type,楼梯挑空正面平台,楼梯挑空正面平台,AI_new_spatial_review,carried_visual_record,,未有人工作答,,通行,否,supported_component:7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,supported_component,present,present,absent,present,unknown,absent,present,present,absent,present,unknown,absent,False,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,circulation,circulation,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,test,卫浴,早期争议复核导出.user_type,嵌入浴缸大窗卫浴,嵌入浴缸大窗卫浴,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卫浴,否,unresolved:7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,not_in_supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,bathroom,bathroom,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_dd83fb40a2e14ac99de9fe9bcfaf44df,7y3sRwLe3Va,test,储藏与家务辅助,早期争议复核导出.user_type,衣帽间入口与套间过渡区并见，主区域待定,衣帽间入口与套间过渡区并见，主区域待定,AI_new_spatial_review,carried_visual_record,,未有人工作答,,储藏家务|通行,疑似,supported_component:7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,supported_component,partial,present,present,present,unknown,absent,partial,present,present,present,unknown,absent,False,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,storage,storage,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_dfe1f8e8b58d4da49f0c73516e7a4b67,7y3sRwLe3Va,test,通行与连接,早期争议复核导出.user_type,照片墙套间入口及衣帽间开门,照片墙套间入口及衣帽间开门,AI_new_spatial_review,carried_visual_record,,未有人工作答,,储藏家务|通行,否,supported_component:7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,supported_component,present,present,absent,present,unknown,absent,present,present,absent,present,unknown,absent,False,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,storage,storage,explicit first-clause keyword derivation; not human/adjudicated semantics
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,test,复合／待定,早期争议复核导出.user_type,施工中外门及设备门外短通道,施工中外门及设备门外短通道,AI_new_spatial_review,carried_visual_record,,未有人工作答,,储藏家务|通行,否,supported_component:7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a,supported_component,partial,present,present,present,unknown,absent,partial,present,present,present,unknown,absent,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circulation,circulation,explicit first-clause keyword derivation; not human/adjudicated semantics
B6ByNegPMKs_02e18ec4d4f94d2eb4407346c822dee2,B6ByNegPMKs,test,通行与连接,早期争议复核导出.user_type,玻璃办公室外走道为主,玻璃办公室外走道为主,AI_new_spatial_review,carried_visual_record,,未有人工作答,,工作学习|通行,否,unresolved:B6ByNegPMKs_02e18ec4d4f94d2eb4407346c822dee2,not_in_supported_component,present,partial,absent,present,present,absent,present,partial,absent,present,present,absent,False,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,work+circulation,circulation,explicit first-clause keyword derivation; not human/adjudicated semantics
