registry_uid,planned_task_key,base_task_id,normalized_title,title,image,planned_stage,condition,planned_condition,dataset_group,is_anchor,has_expert_ref,init_type,source_pool,manifest_file,manifest_stage_key,import_index,has_prediction,seed,runtime_task_id_available
stage2_calibration_core:27,stage2_calibration_core:B6ByNegPMKs_ce2f5a74556c4be192df3ca7a178cefb:27,B6ByNegPMKs_ce2f5a74556c4be192df3ca7a178cefb,b6bynegpmks_ce2f5a74556c4be192df3ca7a178cefb,B6ByNegPMKs_ce2f5a74556c4be192df3ca7a178cefb.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_ce2f5a74556c4be192df3ca7a178cefb.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,27,False,20260228,False
stage2_calibration_core:12,stage2_calibration_core:B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6:12,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,b6bynegpmks_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,12,False,20260228,False
stage2_calibration_core:54,stage2_calibration_core:UwV83HsGsw3_2460d9e0bb2047e3b15b5eeeb58f68a8:54,UwV83HsGsw3_2460d9e0bb2047e3b15b5eeeb58f68a8,uwv83hsgsw3_2460d9e0bb2047e3b15b5eeeb58f68a8,UwV83HsGsw3_2460d9e0bb2047e3b15b5eeeb58f68a8.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_2460d9e0bb2047e3b15b5eeeb58f68a8.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,54,False,20260228,False
stage2_calibration_core:45,stage2_calibration_core:UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940:45,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,uwv83hsgsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,45,False,20260228,False
stage2_calibration_core:41,stage2_calibration_core:UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc:41,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,uwv83hsgsw3_b979526475874ad68ae33f02d407a1fc,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,41,False,20260228,False
stage2_calibration_core:36,stage2_calibration_core:X7HyMhZNoso_29a5eef6980d4798bcc58e4c96e198cc:36,X7HyMhZNoso_29a5eef6980d4798bcc58e4c96e198cc,x7hymhznoso_29a5eef6980d4798bcc58e4c96e198cc,X7HyMhZNoso_29a5eef6980d4798bcc58e4c96e198cc.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/X7HyMhZNoso_29a5eef6980d4798bcc58e4c96e198cc.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,36,False,20260228,False
stage2_calibration_core:29,stage2_calibration_core:X7HyMhZNoso_3cafb1bfb9084df995fff71810d7693f:29,X7HyMhZNoso_3cafb1bfb9084df995fff71810d7693f,x7hymhznoso_3cafb1bfb9084df995fff71810d7693f,X7HyMhZNoso_3cafb1bfb9084df995fff71810d7693f.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/X7HyMhZNoso_3cafb1bfb9084df995fff71810d7693f.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,29,False,20260228,False
stage2_calibration_core:38,stage2_calibration_core:X7HyMhZNoso_b1e740fa45384144b55ef6675440756b:38,X7HyMhZNoso_b1e740fa45384144b55ef6675440756b,x7hymhznoso_b1e740fa45384144b55ef6675440756b,X7HyMhZNoso_b1e740fa45384144b55ef6675440756b.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/X7HyMhZNoso_b1e740fa45384144b55ef6675440756b.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,38,False,20260228,False
stage2_calibration_core:61,stage2_calibration_core:X7HyMhZNoso_f59aa4dda2024d88ac3f9b22331b475b:61,X7HyMhZNoso_f59aa4dda2024d88ac3f9b22331b475b,x7hymhznoso_f59aa4dda2024d88ac3f9b22331b475b,X7HyMhZNoso_f59aa4dda2024d88ac3f9b22331b475b.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/X7HyMhZNoso_f59aa4dda2024d88ac3f9b22331b475b.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,61,False,20260228,False
stage2_calibration_core:20,stage2_calibration_core:Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d:20,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,z6mfqcvibuw_59aed460238643f48f593e9b9ba1c17d,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,20,False,20260228,False
stage2_calibration_core:55,stage2_calibration_core:Z6MFQCViBuw_80cd596c480c4f72a7457433b862d179:55,Z6MFQCViBuw_80cd596c480c4f72a7457433b862d179,z6mfqcvibuw_80cd596c480c4f72a7457433b862d179,Z6MFQCViBuw_80cd596c480c4f72a7457433b862d179.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/Z6MFQCViBuw_80cd596c480c4f72a7457433b862d179.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,55,False,20260228,False
stage2_calibration_core:17,stage2_calibration_core:Z6MFQCViBuw_bc4ec1f735f3446aa4b56165d9508b45:17,Z6MFQCViBuw_bc4ec1f735f3446aa4b56165d9508b45,z6mfqcvibuw_bc4ec1f735f3446aa4b56165d9508b45,Z6MFQCViBuw_bc4ec1f735f3446aa4b56165d9508b45.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/Z6MFQCViBuw_bc4ec1f735f3446aa4b56165d9508b45.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,17,False,20260228,False
stage2_calibration_core:34,stage2_calibration_core:Z6MFQCViBuw_d9913cc77dc14f17b7228ac8de469b06:34,Z6MFQCViBuw_d9913cc77dc14f17b7228ac8de469b06,z6mfqcvibuw_d9913cc77dc14f17b7228ac8de469b06,Z6MFQCViBuw_d9913cc77dc14f17b7228ac8de469b06.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/Z6MFQCViBuw_d9913cc77dc14f17b7228ac8de469b06.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,34,False,20260228,False
stage2_calibration_core:15,stage2_calibration_core:b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15:15,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8ctxdm8gdg_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,15,False,20260228,False
stage2_calibration_core:11,stage2_calibration_core:b8cTxDM8gDG_dcbdda428eb846a586886b87d9552d0e:11,b8cTxDM8gDG_dcbdda428eb846a586886b87d9552d0e,b8ctxdm8gdg_dcbdda428eb846a586886b87d9552d0e,b8cTxDM8gDG_dcbdda428eb846a586886b87d9552d0e.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/b8cTxDM8gDG_dcbdda428eb846a586886b87d9552d0e.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,11,False,20260228,False
stage2_calibration_core:4,stage2_calibration_core:e9zR4mvMWw7_18653fa3d6ba4f82889237201ee07d11:4,e9zR4mvMWw7_18653fa3d6ba4f82889237201ee07d11,e9zr4mvmww7_18653fa3d6ba4f82889237201ee07d11,e9zR4mvMWw7_18653fa3d6ba4f82889237201ee07d11.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/e9zR4mvMWw7_18653fa3d6ba4f82889237201ee07d11.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,4,False,20260228,False
stage2_calibration_core:8,stage2_calibration_core:e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45:8,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,e9zr4mvmww7_409f2a738bf54153b9b77c39e7a4ea45,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,8,False,20260228,False
stage2_calibration_core:56,stage2_calibration_core:e9zR4mvMWw7_5a03fdefad7a46f4abaf1b2b924ec153:56,e9zR4mvMWw7_5a03fdefad7a46f4abaf1b2b924ec153,e9zr4mvmww7_5a03fdefad7a46f4abaf1b2b924ec153,e9zR4mvMWw7_5a03fdefad7a46f4abaf1b2b924ec153.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/e9zR4mvMWw7_5a03fdefad7a46f4abaf1b2b924ec153.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,56,False,20260228,False
stage2_calibration_core:65,stage2_calibration_core:e9zR4mvMWw7_5f9b1db7cc1748c2a71d9924bd1f4fa3:65,e9zR4mvMWw7_5f9b1db7cc1748c2a71d9924bd1f4fa3,e9zr4mvmww7_5f9b1db7cc1748c2a71d9924bd1f4fa3,e9zR4mvMWw7_5f9b1db7cc1748c2a71d9924bd1f4fa3.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/e9zR4mvMWw7_5f9b1db7cc1748c2a71d9924bd1f4fa3.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,65,False,20260228,False
stage2_calibration_core:48,stage2_calibration_core:e9zR4mvMWw7_8783add8825d4ecf8eb1f2af3c22b8df:48,e9zR4mvMWw7_8783add8825d4ecf8eb1f2af3c22b8df,e9zr4mvmww7_8783add8825d4ecf8eb1f2af3c22b8df,e9zR4mvMWw7_8783add8825d4ecf8eb1f2af3c22b8df.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/e9zR4mvMWw7_8783add8825d4ecf8eb1f2af3c22b8df.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,48,False,20260228,False
stage2_calibration_core:49,stage2_calibration_core:e9zR4mvMWw7_b0a7188b1afc4f648bd497af5202d978:49,e9zR4mvMWw7_b0a7188b1afc4f648bd497af5202d978,e9zr4mvmww7_b0a7188b1afc4f648bd497af5202d978,e9zR4mvMWw7_b0a7188b1afc4f648bd497af5202d978.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/e9zR4mvMWw7_b0a7188b1afc4f648bd497af5202d978.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,49,False,20260228,False
stage2_calibration_core:42,stage2_calibration_core:e9zR4mvMWw7_f6c327acf9884d988714467217d67dcd:42,e9zR4mvMWw7_f6c327acf9884d988714467217d67dcd,e9zr4mvmww7_f6c327acf9884d988714467217d67dcd,e9zR4mvMWw7_f6c327acf9884d988714467217d67dcd.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/e9zR4mvMWw7_f6c327acf9884d988714467217d67dcd.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,42,False,20260228,False
stage2_calibration_core:14,stage2_calibration_core:e9zR4mvMWw7_fa7122ef2199445485623708ea54d018:14,e9zR4mvMWw7_fa7122ef2199445485623708ea54d018,e9zr4mvmww7_fa7122ef2199445485623708ea54d018,e9zR4mvMWw7_fa7122ef2199445485623708ea54d018.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/e9zR4mvMWw7_fa7122ef2199445485623708ea54d018.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,14,False,20260228,False
stage2_calibration_core:18,stage2_calibration_core:q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d:18,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vso1vncic_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,18,False,20260228,False
stage2_calibration_core:50,stage2_calibration_core:q9vSo1VnCiC_60bae76d896345bfa783ebdd78f1cc71:50,q9vSo1VnCiC_60bae76d896345bfa783ebdd78f1cc71,q9vso1vncic_60bae76d896345bfa783ebdd78f1cc71,q9vSo1VnCiC_60bae76d896345bfa783ebdd78f1cc71.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_60bae76d896345bfa783ebdd78f1cc71.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,50,False,20260228,False
stage2_calibration_core:16,stage2_calibration_core:q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb:16,q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,q9vso1vncic_69591068e5614642b710a8fb7733bdeb,q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,16,False,20260228,False
