dedup_key,dedup_reason,duplicate_group_id,row_count,source_groups,task_ids,image_ids,scene_ids,primary_task_id,primary_source_group,primary_original_row_index
scene_image::q9vSo1VnCiC::q9vSo1VnCiC_5deeec8cee844e6e9899bfff35b06f5d,scene_id+image_id,DUP013,2,hard_prediction_failure;highest_g_score,478;478,q9vSo1VnCiC_5deeec8cee844e6e9899bfff35b06f5d,q9vSo1VnCiC,478,hard_prediction_failure,25
scene_image::q9vSo1VnCiC::q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,scene_id+image_id,,1,soft_prediction_complexity,676,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,676,soft_prediction_complexity,115
scene_image::q9vSo1VnCiC::q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103,scene_id+image_id,,1,nominal_prediction_structure,469,q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103,q9vSo1VnCiC,469,nominal_prediction_structure,70
scene_image::q9vSo1VnCiC::q9vSo1VnCiC_a84d84665ef94d0c86f38bc2250bab55,scene_id+image_id,DUP014,2,hard_prediction_failure;highest_g_score,649;649,q9vSo1VnCiC_a84d84665ef94d0c86f38bc2250bab55,q9vSo1VnCiC,649,hard_prediction_failure,22
scene_image::q9vSo1VnCiC::q9vSo1VnCiC_bac003e7f0294457905fb183c34ef2bf,scene_id+image_id,,1,soft_prediction_complexity,566,q9vSo1VnCiC_bac003e7f0294457905fb183c34ef2bf,q9vSo1VnCiC,566,soft_prediction_complexity,100
scene_image::q9vSo1VnCiC::q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,scene_id+image_id,DUP015,2,hard_prediction_failure;highest_g_score,595;595,q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,q9vSo1VnCiC,595,hard_prediction_failure,18
scene_image::q9vSo1VnCiC::q9vSo1VnCiC_e74e843601574864a14517f990c748a0,scene_id+image_id,DUP016,2,hard_prediction_failure;highest_g_score,635;635,q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,635,hard_prediction_failure,21
scene_image::rPc6DW4iMge::rPc6DW4iMge_0a84204ae666476f97095e784a772323,scene_id+image_id,,1,nominal_prediction_structure,483,rPc6DW4iMge_0a84204ae666476f97095e784a772323,rPc6DW4iMge,483,nominal_prediction_structure,77
scene_image::rPc6DW4iMge::rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,scene_id+image_id,,1,soft_prediction_complexity,620,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,620,soft_prediction_complexity,107
scene_image::rPc6DW4iMge::rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,scene_id+image_id,,1,soft_prediction_complexity,697,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,697,soft_prediction_complexity,116
scene_image::rPc6DW4iMge::rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,scene_id+image_id,DUP017,2,hard_prediction_failure;highest_g_score,677;677,rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,677,hard_prediction_failure,23
scene_image::rPc6DW4iMge::rPc6DW4iMge_7316bf706e0d46368334c0c989210e09,scene_id+image_id,,1,nominal_prediction_structure,461,rPc6DW4iMge_7316bf706e0d46368334c0c989210e09,rPc6DW4iMge,461,nominal_prediction_structure,62
scene_image::rPc6DW4iMge::rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,scene_id+image_id,,1,soft_prediction_complexity,668,rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,rPc6DW4iMge,668,soft_prediction_complexity,114
scene_image::rPc6DW4iMge::rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,scene_id+image_id,,1,soft_prediction_complexity,714,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,714,soft_prediction_complexity,119
scene_image::uNb9QFRL6hY::uNb9QFRL6hY_01ea3de3141a4adaa917cebb3db3c086,scene_id+image_id,,1,nominal_prediction_structure,463,uNb9QFRL6hY_01ea3de3141a4adaa917cebb3db3c086,uNb9QFRL6hY,463,nominal_prediction_structure,64
scene_image::uNb9QFRL6hY::uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,scene_id+image_id,,1,soft_prediction_complexity,564,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,uNb9QFRL6hY,564,soft_prediction_complexity,99
scene_image::uNb9QFRL6hY::uNb9QFRL6hY_1434b965c3c147419c4ff40310633b58,scene_id+image_id,,1,nominal_prediction_structure,468,uNb9QFRL6hY_1434b965c3c147419c4ff40310633b58,uNb9QFRL6hY,468,nominal_prediction_structure,69
scene_image::uNb9QFRL6hY::uNb9QFRL6hY_26b3b14f6ce047489259ab14d131122d,scene_id+image_id,,1,nominal_prediction_structure,491,uNb9QFRL6hY_26b3b14f6ce047489259ab14d131122d,uNb9QFRL6hY,491,nominal_prediction_structure,85
scene_image::uNb9QFRL6hY::uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,scene_id+image_id,DUP018,2,hard_prediction_failure;highest_g_score,626;626,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY,626,hard_prediction_failure,20
scene_image::uNb9QFRL6hY::uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,scene_id+image_id,,1,soft_prediction_complexity,627,uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,uNb9QFRL6hY,627,soft_prediction_complexity,108
scene_image::uNb9QFRL6hY::uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,scene_id+image_id,,1,nominal_prediction_structure,487,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,487,nominal_prediction_structure,81
scene_image::uNb9QFRL6hY::uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,scene_id+image_id,,1,nominal_prediction_structure,474,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,474,nominal_prediction_structure,73
scene_image::uNb9QFRL6hY::uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,scene_id+image_id,,1,soft_prediction_complexity,711,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,711,soft_prediction_complexity,118
scene_image::uNb9QFRL6hY::uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,scene_id+image_id,,1,soft_prediction_complexity,518,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY,518,soft_prediction_complexity,95
scene_image::uNb9QFRL6hY::uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,scene_id+image_id,,1,soft_prediction_complexity,476,uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,uNb9QFRL6hY,476,soft_prediction_complexity,92
scene_image::uNb9QFRL6hY::uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,scene_id+image_id,DUP019,2,hard_prediction_failure;highest_g_score,482;482,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,uNb9QFRL6hY,482,hard_prediction_failure,3
scene_image::uNb9QFRL6hY::uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,scene_id+image_id,DUP020,2,hard_prediction_failure;highest_g_score,569;569,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,uNb9QFRL6hY,569,hard_prediction_failure,29
scene_image::uNb9QFRL6hY::uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,scene_id+image_id,DUP021,2,hard_prediction_failure;highest_g_score,600;600,uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,uNb9QFRL6hY,600,hard_prediction_failure,19
scene_image::uNb9QFRL6hY::uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,scene_id+image_id,,1,nominal_prediction_structure,497,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,497,nominal_prediction_structure,90
scene_image::uNb9QFRL6hY::uNb9QFRL6hY_e24473d2b8a24568b89c1c4c2a4a9bf1,scene_id+image_id,,1,soft_prediction_complexity,648,uNb9QFRL6hY_e24473d2b8a24568b89c1c4c2a4a9bf1,uNb9QFRL6hY,648,soft_prediction_complexity,111
scene_image::uNb9QFRL6hY::uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,scene_id+image_id,,1,soft_prediction_complexity,665,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,uNb9QFRL6hY,665,soft_prediction_complexity,113
scene_image::wc2JMjhGNzB::wc2JMjhGNzB_074ac1d681e3415081b89cf582e1e995,scene_id+image_id,,1,nominal_prediction_structure,472,wc2JMjhGNzB_074ac1d681e3415081b89cf582e1e995,wc2JMjhGNzB,472,nominal_prediction_structure,72
scene_image::wc2JMjhGNzB::wc2JMjhGNzB_2880c0784aa0462a8070b30416752de6,scene_id+image_id,,1,nominal_prediction_structure,489,wc2JMjhGNzB_2880c0784aa0462a8070b30416752de6,wc2JMjhGNzB,489,nominal_prediction_structure,83
scene_image::wc2JMjhGNzB::wc2JMjhGNzB_36f4749077674307bce31998171e96ef,scene_id+image_id,,1,soft_prediction_complexity,618,wc2JMjhGNzB_36f4749077674307bce31998171e96ef,wc2JMjhGNzB,618,soft_prediction_complexity,106
scene_image::wc2JMjhGNzB::wc2JMjhGNzB_431023d1f9fd40048ceee9214fd8464a,scene_id+image_id,DUP022,2,hard_prediction_failure;highest_g_score,549;549,wc2JMjhGNzB_431023d1f9fd40048ceee9214fd8464a,wc2JMjhGNzB,549,hard_prediction_failure,28
scene_image::wc2JMjhGNzB::wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,scene_id+image_id,DUP023,2,hard_prediction_failure;highest_g_score,542;542,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,wc2JMjhGNzB,542,hard_prediction_failure,5
scene_image::wc2JMjhGNzB::wc2JMjhGNzB_6e491bc8576345bda3cdde9ab216b7be,scene_id+image_id,,1,nominal_prediction_structure,485,wc2JMjhGNzB_6e491bc8576345bda3cdde9ab216b7be,wc2JMjhGNzB,485,nominal_prediction_structure,79
scene_image::wc2JMjhGNzB::wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,scene_id+image_id,DUP024,2,hard_prediction_failure;highest_g_score,580;580,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,580,hard_prediction_failure,7
scene_image::wc2JMjhGNzB::wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,scene_id+image_id,,1,soft_prediction_complexity,577,wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,wc2JMjhGNzB,577,soft_prediction_complexity,102
scene_image::wc2JMjhGNzB::wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,scene_id+image_id,DUP025,2,hard_prediction_failure;highest_g_score,509;509,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,wc2JMjhGNzB,509,hard_prediction_failure,4
scene_image::wc2JMjhGNzB::wc2JMjhGNzB_ea42bf32a1984ae399c9f96d9b62b635,scene_id+image_id,,1,nominal_prediction_structure,486,wc2JMjhGNzB_ea42bf32a1984ae399c9f96d9b62b635,wc2JMjhGNzB,486,nominal_prediction_structure,80
scene_image::wc2JMjhGNzB::wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,scene_id+image_id,,1,nominal_prediction_structure,481,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,wc2JMjhGNzB,481,nominal_prediction_structure,76
scene_image::yqstnuAEVhm::yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,scene_id+image_id,DUP026,2,hard_prediction_failure;highest_g_score,528;528,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,yqstnuAEVhm,528,hard_prediction_failure,27
scene_image::yqstnuAEVhm::yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,scene_id+image_id,DUP027,2,hard_prediction_failure;highest_g_score,547;547,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,yqstnuAEVhm,547,hard_prediction_failure,16
scene_image::yqstnuAEVhm::yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,scene_id+image_id,DUP028,2,hard_prediction_failure;highest_g_score,594;594,yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,yqstnuAEVhm,594,hard_prediction_failure,30
scene_image::yqstnuAEVhm::yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,scene_id+image_id,,1,soft_prediction_complexity,699,yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,yqstnuAEVhm,699,soft_prediction_complexity,117
scene_image::yqstnuAEVhm::yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,scene_id+image_id,,1,nominal_prediction_structure,495,yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,yqstnuAEVhm,495,nominal_prediction_structure,88
scene_image::yqstnuAEVhm::yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,scene_id+image_id,,1,soft_prediction_complexity,597,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm,597,soft_prediction_complexity,103
scene_image::yqstnuAEVhm::yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,scene_id+image_id,DUP029,2,hard_prediction_failure;highest_g_score,652;652,yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,yqstnuAEVhm,652,hard_prediction_failure,8
scene_image::yqstnuAEVhm::yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,scene_id+image_id,,1,soft_prediction_complexity,533,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,yqstnuAEVhm,533,soft_prediction_complexity,96
scene_image::yqstnuAEVhm::yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,scene_id+image_id,DUP030,2,hard_prediction_failure;highest_g_score,707;707,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,yqstnuAEVhm,707,hard_prediction_failure,24
scene_image::yqstnuAEVhm::yqstnuAEVhm_fc84c67a0ffd49cf8ffdc32df703bc86,scene_id+image_id,,1,soft_prediction_complexity,650,yqstnuAEVhm_fc84c67a0ffd49cf8ffdc32df703bc86,yqstnuAEVhm,650,soft_prediction_complexity,112
