deployment_pool_id,experimental_task_context_id,stage,round_id,condition,dataset_group,building_scene_id,identity_candidate_count,observed_geometry_valid_count,realization_matched_geometry_valid_count,observed_valid_meets_k3,strict_realization_sensitivity_meets_k3
4e536418cfca47cb3263e2cefa8897f905676c6c941ca6fbb87eda42ccb412e8,e46cc5c1db2c2a5835608d9405757ecc4efcff15a11f79a552224ec2308af7f0,C1,C1,manual,Calibration_core,wc2JMjhGNzB,4,4,4,True,True
4f05c6373662788fa829472d4dd9b951a614127c5acd93696756a0687ed410c1,3c080b26748e4da8c4625d73f185bf042cf8c14658846831eb8bf4f1f632a575,C1,C1,manual,Calibration_core,uNb9QFRL6hY,2,2,2,False,False
552f04581b5ba92d4cacc4bbc67a34a0fe8978d27d4f8999d346a1daab420b49,a4a3906c350302905802f65ce43a7e1757a17a2453b8adb3d0f353a1f9e61495,C1,C1,manual,Calibration_core,yqstnuAEVhm,3,3,3,True,True
565a97b911490db8fc3b20197b1072075ddfce99d71b3d9478c50f01f71cd9a0,46e5b0d10d42d6062b391d220e47a68d004fcd4922cc0151232d124290b0ea12,C1,C1,manual,Calibration_core,rPc6DW4iMge,2,2,2,False,False
573c44304547000fe4af31db6fea565bda14d4e5794a248c0f5ee828e9cdf053,3d9a880c88d877ed7e94b3cc96749cd1950e7e6fe9a10677fc3629d756c778fb,C1,C1,manual,Calibration_anchor,wc2JMjhGNzB,11,11,11,True,True
586f472652504fd8908ad730eaf3515402903cc58b59e82a944f8c954b9aa4c7,a8d0551315597c2593e8d61c0b9bee17db2b675513e33989ee8cbe2e40487cd7,C1,C1,semi,Calibration_semi,B6ByNegPMKs,2,2,2,False,False
5ae2296764414f72591bd8083f2515fd99c4b3441748507d929af5ab25e099cd,38355a3bb4f09b8aa3b2d4678bc946b433c00c9e7f08d770bc68458d0c4936a1,C1,C1,manual,Calibration_core,wc2JMjhGNzB,3,3,3,True,True
5b44e10e9efaa91773554c40e2b6487f46555efeb72b15128a33d5244a176f04,d0511632a1e1adc4b2c392bfd81d23a29e0c7192e2e3bb5293779ba57b48e35f,C1,C1,manual,Calibration_anchor,uNb9QFRL6hY,11,11,11,True,True
5bafff4697f3a358d780ac2cc20f06541fd6b65a8b731ef860472ecf5fbe0143,bc920294dd2bbf9c184566d92f3a26e6704e4fc34551bad5b5c6805489423e3a,C1,C1,manual,Calibration_core,B6ByNegPMKs,4,4,4,True,True
5df5082b5feea16e0e9c6a0b4c9559104f3b7dad255c448372c89e20cd9abf35,264d421adf8c6ece35dbf5dd305befec6cc15385b203d0f281db64d190b7c6bd,C1,C1,manual,Calibration_core,yqstnuAEVhm,4,4,3,True,True
5eacbf0f984642c03bb19ecc4e0d891c0a7ba89f5d27013b3ce8211a858bc3bb,4328d607ddab823937bb3693c2b09fd30b7873755de96968453def8f18a66b7a,C1,C1,manual,Calibration_core,x8F5xyUWy9e,2,2,2,False,False
6160f98e8098f38bc284aac6c2115b97de68e878a6784493b0a6fcce3131671e,4ec2c2da35a1fba70e613b539dd71a92bca1d08dfd3e9e9a2da6fba78a63f893,C1,C1,manual,Calibration_core,yqstnuAEVhm,3,3,3,True,True
61708cbd05083de60ef9f310716cf52da343acd1c6d654a80231ca7667074bf7,b35a9d212fa3c7410f10672059f08c6b5484f3a662ef121e6922f4d4dd2ddad1,C1,C1,manual,Calibration_anchor,yqstnuAEVhm,12,12,11,True,True
61a8c6f385f6b813bed4faa28d93aede9cb04de5e70024289fca9d32a622139c,63707c0da413951680b9b36a75dca5dcde21e9f3a1f5bd7cd9b6e92127f4bf4c,C1,C1,semi,Calibration_semi,uNb9QFRL6hY,3,3,3,True,True
61e32a7b5273f7f54adc0266c97ea0d6e99211a6b3e53350340d2335fea5f49a,bf6170e20220eccbc18331810db1c614d58bd0370739875f2f74da641a741f11,C1,C1,manual,Calibration_core,uNb9QFRL6hY,5,5,4,True,True
62ce8665e6e74f0d340a3b756ec8f8f1647213de4a6a977d60c3c00fd21188dc,c02b8fd13b59eb411126b3da792379a6a32c148d364fc97502851dcc846b8a85,C1,C1,manual,Calibration_core,UwV83HsGsw3,3,2,2,False,False
68004cfee5860be06b91f7000c24b358162337833335d0ba48ec9cc0bbd0deeb,ec0ea8891cca29e12ab9adbe42b03821297c1a5134047e00a730399c1e5934b8,C1,C1,semi,Calibration_semi,X7HyMhZNoso,3,3,3,True,True
6a8803ae9fd5a873ae5a5be5905491b74a1a1f2fd5b6b4adc56ec96815d864bd,a421c35d62e8c1fcf51eea850cc8149bd976ea078cbbc845ab969425707c350d,C1,C1,manual,Calibration_anchor,uNb9QFRL6hY,12,12,11,True,True
6b424afcf325dee60ac456bb0fdf3bd8dd3532a50d5ef6476c8ea7106dc6ff3e,0a8cd7cf83e781ef112af3fc16472ae23a71973bf661677f502dbc83977a0c5a,C1,C1,manual,Calibration_anchor,uNb9QFRL6hY,12,12,11,True,True
6c4b59b4b52e1382821cb9e01268012628e6b90d113b14644591dd3b7852eba1,ba4241a73b6aee4cbf484679b91932c744eb401f7a7249c2064d0d8abb5235bb,C1,C1,semi,Calibration_semi,uNb9QFRL6hY,1,1,1,False,False
70a4cdf32bb75326a437f8ab7292fd771b960c76e460cb14a92edb09594c61db,a72770d89e13660c08f223832d07c53c0c29755fc1868bc9d0fa1100ad0cc887,C1,C1,manual,Calibration_core,yqstnuAEVhm,5,5,4,True,True
76bd92651db00093286547c24d4884c520b0923d8f0a5e1d6cb5032a8942814f,9817eaa339e409e7709d73960d8036abde05fa3abd29fb63e8671d37c00e2063,C1,C1,manual,Calibration_anchor,rPc6DW4iMge,11,11,11,True,True
772146fb72fe8471848fe5a7617496f2918fa68443e29793637019c6392e6443,d422d24921ad3f024bba645c54136ad5a2be135748a38a3ba53fcbc014bb3f27,C1,C1,manual,Calibration_core,uNb9QFRL6hY,3,3,3,True,True
78d8b308637f2e98e4b27149127bda5202a73f9eacbebbd466f7fe0561913256,fc4c6aea9714a121a9d048a4538e6c3f82bfe1cf83f508802cbb5ac06a3cf2fc,C1,C1,manual,Calibration_core,yqstnuAEVhm,3,3,3,True,True
7cdc4bff0d845951925275c4bd7b5d9ca4e968f27d032b11c93b180710060448,9edde9b7aa9c7a7de15d79ebaa761687c971c9d0abce00832d8c2d0eccafcabf,C1,C1,semi,Calibration_semi,yqstnuAEVhm,3,3,3,True,True
7f82fd8ddc1f491c629312b52264d841f6be032d6a1b90c6bc49478b5b6f2652,8d700eb577785e940b54be624e109cbe3ceb8053372c0a213405036241bc17f5,C1,C1,manual,Calibration_core,X7HyMhZNoso,2,2,2,False,False
8256b9e2444b73d635223ee2f00ad06e7f5039a86ae849549a15fb020cf59934,025cb07172f372d67dcfb90fd312626f7b8849ba91875778bbc82343d1bce117,C1,C1,manual,Calibration_core,b8cTxDM8gDG,5,5,5,True,True
86360cbd3f1e33dc63aaf3ed73cd08dbc1ed275e7d4da6313f019e2d8b7c9dd6,7eadddde56911f6e9e980cb329827e0d15599fe3888fd875950d142b34aae21c,C1,C1,semi,Calibration_semi,B6ByNegPMKs,2,2,2,False,False
87a5e8842aea87a6df9161f5b7ab5e9d9f0abd5a67b11b2b328b9ac54776a3c9,e0f8db4866c8f459d2fd9fd07cca211d807fcaa92463da3e6812b2f15d144f73,C1,C1,manual,Calibration_core,wc2JMjhGNzB,5,5,5,True,True
8b0b9440852ad8bb37adcb65fc47a4f7ee034a7ec0637040e6f753c37724961c,b35a9d212fa3c7410f10672059f08c6b5484f3a662ef121e6922f4d4dd2ddad1,C1,C1,manual,Calibration_anchor,yqstnuAEVhm,11,11,11,True,True
8b4b064566aed86d2e5c264957aeb1ec26238d1c655c5692a05162f46b42524a,bf6170e20220eccbc18331810db1c614d58bd0370739875f2f74da641a741f11,C1,C1,manual,Calibration_core,uNb9QFRL6hY,1,1,1,False,False
8b90f1117ae47177afc5ec12f81ceb2cc9a769121894a209f9f2f710b3e3ff24,c017a00616cb27dac3ec817e8d939c540e578059862b1eb5e9698d23c5a859ed,C1,C1,manual,Calibration_anchor,UwV83HsGsw3,11,11,11,True,True
8c6fcda4b6ec5c1cdb7f18139c3d001e93e95c220d04df35155e5440be2ffdaa,cc523da3e02a13954bfb2b834e73ac9c23cd3f5324b5dc234bd580917ee1aab5,C1,C1,manual,Calibration_anchor,wc2JMjhGNzB,12,12,11,True,True
8d133d00f5fb0c671601ca39229ae4378fbd38bda2b526ce323a2fbe4766d1a4,ddbf8259c02f83ffc6da9e7944bf41fb4552456d03dc80439965b87e473ec13d,C1,C1,semi,Calibration_semi,wc2JMjhGNzB,2,2,2,False,False
8dc2efed01fd68c059db00b0f14b895864c3a60b21bce2e829b075785c4d0530,a8d0551315597c2593e8d61c0b9bee17db2b675513e33989ee8cbe2e40487cd7,C1,C1,semi,Calibration_semi,B6ByNegPMKs,2,2,2,False,False
8dd28254832c38577059e82e47e11dc91b7f358fd6a8c97608be95fc2d92c6e4,a51bf82a26fe38cddc800cb74f9e0c56e50f0eca47a863da68b6c4f5eae695e5,C1,C1,manual,Calibration_core,B6ByNegPMKs,3,3,3,True,True
8e96f6d21bd58c0c8f1a2f10387a3aa2bb90208d474285ded162031ef4a41b4c,a5b25a842db314199b0d23ee90c4afa5a2e9c9cb3e893537c6e6b61841e4ce5b,C1,C1,manual,Calibration_core,wc2JMjhGNzB,5,5,5,True,True
96425cd747611bd9005e6fabd73cd19e6b91f522cea7625a338ece4ba4cbc38f,cc523da3e02a13954bfb2b834e73ac9c23cd3f5324b5dc234bd580917ee1aab5,C1,C1,manual,Calibration_anchor,wc2JMjhGNzB,11,11,11,True,True
973669c6e368ee20abf0b74f63df795b2d43c7c93ab166a460f7558b3d97e550,ec07ade1127f57173ecebdc243778da1eed30dc046c2ab717ed3c52832a36409,C1,C1,manual,Calibration_core,uNb9QFRL6hY,2,2,2,False,False
9a9540d776407ff2744111679b21ac4ffc4c88067fd0c3386aff7ecf234f0aec,56378f575b96fa238325b815f187a0560de0bbaab37c2b659d1a440d95d8da9f,C1,C1,manual,Calibration_core,wc2JMjhGNzB,3,3,3,True,True
9b3e6bc75d0c0784699c9b0e12d11e348abe79d83b526c5511ef248ee3cf6577,3c080b26748e4da8c4625d73f185bf042cf8c14658846831eb8bf4f1f632a575,C1,C1,manual,Calibration_core,uNb9QFRL6hY,3,2,2,False,False
9bdb2331ea205d5aaeedc24f5906ddb070c50eb1a8e15256b68a9fd47606d0af,a51bf82a26fe38cddc800cb74f9e0c56e50f0eca47a863da68b6c4f5eae695e5,C1,C1,manual,Calibration_core,B6ByNegPMKs,2,2,2,False,False
9d9f0bf49afea18b4d6893df7dcf7a3341635172213f096507cc90d05bb9ef5d,6389db40f8af7494a9b7d78e971d8a64ae2e2352dbdf2f51dab0be45aff8337b,C1,C1,manual,Calibration_core,yqstnuAEVhm,1,1,1,False,False
9db7eb2c2d066a78553868caf1e95355b3bf632c76572fd4dac8f49cf71e41f8,ddbf8259c02f83ffc6da9e7944bf41fb4552456d03dc80439965b87e473ec13d,C1,C1,semi,Calibration_semi,wc2JMjhGNzB,3,3,2,True,False
9e5ef00a47d09a87e9d4ffd37ccf39e1f7d34a49fdfb22456f0ad7150e6a7cce,91c782dc1ff309240ca0ff4d3ce310df81793c8a0d190a9534ad2f834b0346f3,C1,C1,manual,Calibration_core,uNb9QFRL6hY,1,1,1,False,False
a0ddd0ebf20c75705c3b7c4a25afc11d3dc93a217e5ad15f82794d66fc70d7c0,3187042707b7a6c4c8fb29c1138b4d828ac054e07f8ac09bed237b4803636e52,C1,C1,manual,Calibration_core,uNb9QFRL6hY,3,3,3,True,True
a189a35b15465ad6d91a6c199dd6fe4815bbcca462af498c2986f3552f8e9e44,135573dd13f8ac1108fbc2c2117fdeba7c8b9c3c339972aeedca71d276b8ad9f,C1,C1,manual,Calibration_core,yqstnuAEVhm,2,2,2,False,False
a252c238e03d9b2cd973f72a60913b5e32d4bc9fa2774cb238444a0fa9711555,0443ca7f1cfe40199e0d724d39d605f6242c60ee8141bd4077581e81b0cf8dbd,C1,C1,manual,Calibration_core,x8F5xyUWy9e,4,4,4,True,True
a5135107bd05d53c6e02ff0a118db4d466af09ff5172bdd140d65bd87a670e57,9d9cfdbcea4b50d4f0e06ff6f9e27b964578c2ddca061f66433d271c058c772a,C1,C1,manual,Calibration_core,uNb9QFRL6hY,1,1,1,False,False
aadcfde6c68949aa533a8696842f0bea66da0bef4cba1c629e015f4487f94482,66ad7ffdc1853865cf84ff301debaf7066325e1350ae849e412561a90098b447,C1,C1,manual,Calibration_core,b8cTxDM8gDG,4,4,3,True,True
aba3d8ff7f827ec89c9ed677115f3a1349c16fb28c4b00a13baef3e273fa4325,b32a942a6abccb9ed57dd2c5ab8abc668a170603aafc1e053aaae9eca7a40407,C1,C1,manual,Calibration_core,rPc6DW4iMge,2,2,2,False,False
abe083eb4c864b24d5d5de8df229c63dc4d7161defc5ec13d086ea302a48629c,f4b15908a9b81821e501e60b8f4f0e6a0ac06ec11ab79943534785d618070ba6,C1,C1,manual,Calibration_core,uNb9QFRL6hY,3,3,3,True,True
b082db828090b4c5ef572d10b3fc26ef5aa18dfc4612518216ab9402ace67b3b,b111ded6927455b74742306ac63fd47e0e4288ea96f3f0ef33084d94b412f342,C1,C1,manual,Calibration_core,uNb9QFRL6hY,3,3,3,True,True
b2781e5cdd4bc3c7683d474ae62d53022c3ae30bc733986c23ca2064a8c3f396,4ac715f4ed58c9f10d8b0bad81e5757803ff87e1afde6d73558a233a0a03616f,C1,C1,manual,Calibration_core,uNb9QFRL6hY,2,2,2,False,False
b35b4bdf45765e6f5beb7f2eaf1218aa151ac0c800629142ed022f0a5f296e56,0a8cd7cf83e781ef112af3fc16472ae23a71973bf661677f502dbc83977a0c5a,C1,C1,manual,Calibration_anchor,uNb9QFRL6hY,11,11,11,True,True
b4b234167fea527509cb35340f42799ed9a80a1d3b4a05279235880f36cb1e18,7eadddde56911f6e9e980cb329827e0d15599fe3888fd875950d142b34aae21c,C1,C1,semi,Calibration_semi,B6ByNegPMKs,2,2,2,False,False
b66c0252a6b735130ad226a6c3760a5a1b3858feaaafcefda092e285be985a59,309f224d7e34081b3043d6cf56e114e7bafd157e67f90cc4b2c256236f29c65d,C1,C1,manual,Calibration_anchor,rPc6DW4iMge,11,11,11,True,True
b781b45b11bdeda4c94dacf1fedb3fd0097cb9b7fd0a5cc0d155ea34d77fea9b,fc4c6aea9714a121a9d048a4538e6c3f82bfe1cf83f508802cbb5ac06a3cf2fc,C1,C1,manual,Calibration_core,yqstnuAEVhm,2,2,2,False,False
b8bc8e5d9a465b1bf48a17aeef5de806f6b610fe8effd2956ad081485c0ca2c5,b2a7f9aabf75c51c6ffc4b30bbbda58e2ba98b6507539f8db6a1296570b3642c,C1,C1,manual,Calibration_core,B6ByNegPMKs,3,3,3,True,True
bc0734c5d6e0f59f27d429ac0f584c4cfacb06977311be1f816d5d40739d9e8c,e46cc5c1db2c2a5835608d9405757ecc4efcff15a11f79a552224ec2308af7f0,C1,C1,manual,Calibration_core,wc2JMjhGNzB,2,2,1,False,False
bf08ef4e1162ba36b8e53cac7c0495f0e30fc6a6b40a9e86d4edc7bf3b423759,a4a3906c350302905802f65ce43a7e1757a17a2453b8adb3d0f353a1f9e61495,C1,C1,manual,Calibration_core,yqstnuAEVhm,2,2,2,False,False
c09c936cc02ed23da1b11bfd497cd040ed4fb685a937acc529eb503c0db34c29,d461c6cb1571d5f413ec09595ee965f2ea0b6164c5e737ffdc7047960ae2158c,C1,C1,manual,Calibration_core,X7HyMhZNoso,2,2,2,False,False
c10dffef752d85e7f996368e917cef511d0bd2c039785d99dd3b201d9a28ef11,9d9cfdbcea4b50d4f0e06ff6f9e27b964578c2ddca061f66433d271c058c772a,C1,C1,manual,Calibration_core,uNb9QFRL6hY,4,4,4,True,True
c2d0a1aa588cec51b2d2378300b3c0c7d24c6c2ce4c76a708335863c4ac017e4,4ec2c2da35a1fba70e613b539dd71a92bca1d08dfd3e9e9a2da6fba78a63f893,C1,C1,manual,Calibration_core,yqstnuAEVhm,2,2,2,False,False
c74a0900db9e250c33442d9636665bb928cb397e93534b0144422950b177e30f,9ba59484fc78b21ae415e4d15cdf665c42cf5bb697feb74f679e46e9d18d58b3,C1,C1,semi,Calibration_semi,wc2JMjhGNzB,3,3,3,True,True
c75f8829bca7c78bb770e66e59b971c8c893386a031c4d4786b5cf614c54b060,90791181c7c052dc377774f8e7312814a7af029d11363a31a296270de7cac123,C1,C1,manual,Calibration_core,uNb9QFRL6hY,2,2,2,False,False
c8c4cf51522bb903f628256b6626e10ced1fcec470c8a2bc5911061d24522d10,a421c35d62e8c1fcf51eea850cc8149bd976ea078cbbc845ab969425707c350d,C1,C1,manual,Calibration_anchor,uNb9QFRL6hY,11,11,11,True,True
c9191e9ea94c6ec1ffca5dc00b0dcf4a04d524c078c3b8a7fd2374e9dc58e524,264d421adf8c6ece35dbf5dd305befec6cc15385b203d0f281db64d190b7c6bd,C1,C1,manual,Calibration_core,yqstnuAEVhm,2,2,2,False,False
c9b8ba22c38cf70d74445d576aaba97cf375dbd7628cc0bbe2a0fda03e4cd1ca,91c782dc1ff309240ca0ff4d3ce310df81793c8a0d190a9534ad2f834b0346f3,C1,C1,manual,Calibration_core,uNb9QFRL6hY,4,4,4,True,True
