omitted_field,omitted_value,remaining_rows,risk_slope,risk_slope_se_classical,status,role
base_task_id,jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,223,-0.02805889476980894,0.0045866951834144,estimated,diagnostic_only_not_formal_model
base_task_id,jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,223,-0.027985842206607603,0.0045831313840876495,estimated,diagnostic_only_not_formal_model
base_task_id,jh4fc5c5qoQ_855bc326ad174253b57626daf123c608,223,-0.027999212237085236,0.004589210671526134,estimated,diagnostic_only_not_formal_model
base_task_id,jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,223,-0.027931159984933673,0.004588594159172003,estimated,diagnostic_only_not_formal_model
base_task_id,jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c,224,-0.02819938957898349,0.004588672080728959,estimated,diagnostic_only_not_formal_model
base_task_id,jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,223,-0.028457403332564635,0.004539108909337736,estimated,diagnostic_only_not_formal_model
base_task_id,jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,222,-0.02820822242122012,0.004592511847017868,estimated,diagnostic_only_not_formal_model
base_task_id,jtcxE69GiFV_1df105f34ccf4844877be7e8e2d90fad,222,-0.02760634151722563,0.004612579855882455,estimated,diagnostic_only_not_formal_model
base_task_id,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,219,-0.032301358927457335,0.0049747043677158395,estimated,diagnostic_only_not_formal_model
base_task_id,jtcxE69GiFV_3fb4bb890d7f4964b496a46db647e72a,224,-0.02811639403368371,0.004587526244175096,estimated,diagnostic_only_not_formal_model
base_task_id,jtcxE69GiFV_44661972414d44fabc0799f237e4d7f0,224,-0.028006046656566586,0.00458670011566374,estimated,diagnostic_only_not_formal_model
base_task_id,jtcxE69GiFV_4d7ce55eeb6643079aba3b10360de8d8,223,-0.028134352772072213,0.004587903123820915,estimated,diagnostic_only_not_formal_model
base_task_id,jtcxE69GiFV_539fb3f6f19b442285b593628a8ce14e,224,-0.028384609118760618,0.004548656424746873,estimated,diagnostic_only_not_formal_model
base_task_id,jtcxE69GiFV_5d3af9ad575b4be88587967ff8114c36,223,-0.02791308192635955,0.00460402045512816,estimated,diagnostic_only_not_formal_model
base_task_id,jtcxE69GiFV_6723e18211d244f8b17ced91aae64d99,224,-0.028125915607366103,0.004557944094870671,estimated,diagnostic_only_not_formal_model
base_task_id,jtcxE69GiFV_67790605390f4d439c3c59395967ec84,221,-0.0270120845778119,0.004411239822381297,estimated,diagnostic_only_not_formal_model
base_task_id,jtcxE69GiFV_9f0e2562fcf447f5a7c5e44e85978148,223,-0.028152204377821066,0.004598299673847306,estimated,diagnostic_only_not_formal_model
base_task_id,jtcxE69GiFV_a197694b62d249968f88ae32a1b49d10,224,-0.027975234549473815,0.004595168892478192,estimated,diagnostic_only_not_formal_model
base_task_id,jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,221,-0.027975244329104032,0.00460613245265129,estimated,diagnostic_only_not_formal_model
base_task_id,jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,221,-0.027714340575040186,0.004620185876016043,estimated,diagnostic_only_not_formal_model
base_task_id,jtcxE69GiFV_f4dc4040df5a4f038dd2b35f2bb65266,224,-0.02779501276816132,0.004601586173984275,estimated,diagnostic_only_not_formal_model
base_task_id,pRbA3pwrgk9_0350fc96e88c4a52886d4eb50b2d52c6,222,-0.026865215392638198,0.004684252224788159,estimated,diagnostic_only_not_formal_model
base_task_id,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,219,-0.027291538210615474,0.004676334982526922,estimated,diagnostic_only_not_formal_model
base_task_id,pRbA3pwrgk9_0dad4bd3fa7e4349a5325596c10d6fdf,224,-0.02769407600909979,0.004582575397741489,estimated,diagnostic_only_not_formal_model
base_task_id,pRbA3pwrgk9_16beb21e65a84850a509972190038d0e,224,-0.027989205866438382,0.004582021560731607,estimated,diagnostic_only_not_formal_model
base_task_id,pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,222,-0.027866424519605082,0.004619215695581191,estimated,diagnostic_only_not_formal_model
base_task_id,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,220,-0.03129266432615985,0.004540236138735675,estimated,diagnostic_only_not_formal_model
base_task_id,pRbA3pwrgk9_4fe4474e9bf9429ea92d202bdea4dce5,223,-0.02778643549071569,0.004603428924506741,estimated,diagnostic_only_not_formal_model
base_task_id,pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,206,-0.019432593418047484,0.0034224400247468297,estimated,diagnostic_only_not_formal_model
base_task_id,pRbA3pwrgk9_8caa90fc5528451f9e9f45634676499b,223,-0.028043194857729437,0.004595100299630355,estimated,diagnostic_only_not_formal_model
base_task_id,pRbA3pwrgk9_9c9bed9bf7d94ac0bcea18e3bf521930,223,-0.02805693988598479,0.004587709186403614,estimated,diagnostic_only_not_formal_model
base_task_id,pRbA3pwrgk9_bc9ae89832854c19a69741f97291efad,223,-0.02815280052378677,0.004592302998139115,estimated,diagnostic_only_not_formal_model
base_task_id,pa4otMbVnkk_270f6920ec0f48c391bca974b356bc3b,223,-0.028114291567700844,0.00461042783018006,estimated,diagnostic_only_not_formal_model
base_task_id,pa4otMbVnkk_3ad5d0784b1442b6a728bb7dec3d50e0,224,-0.027992828597225627,0.004580030872812818,estimated,diagnostic_only_not_formal_model
base_task_id,pa4otMbVnkk_447755d931aa401097d8c0952a22b17e,223,-0.0280405878188279,0.004621822415361156,estimated,diagnostic_only_not_formal_model
base_task_id,pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657,222,-0.02874134980957621,0.004600542192082031,estimated,diagnostic_only_not_formal_model
base_task_id,pa4otMbVnkk_4fbdfc08c934474ea9a04977f9081d0e,224,-0.028059198623409665,0.00458163130062673,estimated,diagnostic_only_not_formal_model
base_task_id,pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,220,-0.029623288267779824,0.004723771326625236,estimated,diagnostic_only_not_formal_model
base_task_id,pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,222,-0.028290441362536,0.00456396509844065,estimated,diagnostic_only_not_formal_model
base_task_id,pa4otMbVnkk_64ba4f267872432abdcb00af002649d5,224,-0.02797243209389888,0.0045815532188949164,estimated,diagnostic_only_not_formal_model
base_task_id,pa4otMbVnkk_f6005da79d2c43ba820db8124a4287d1,224,-0.027985385745704305,0.0046012292946551615,estimated,diagnostic_only_not_formal_model
base_task_id,pa4otMbVnkk_fc4ee7e59f32491d9817b3a9a5b5e9b1,224,-0.02789301075302253,0.004581025440875497,estimated,diagnostic_only_not_formal_model
base_task_id,zsNo4HB9uLZ_2caadd7bc71c43d5ad10f4e7f10a3455,224,-0.027957739847764174,0.004585634949516087,estimated,diagnostic_only_not_formal_model
base_task_id,zsNo4HB9uLZ_65eefaf93e6249908e6389eb4eabf0f5,222,-0.027978699966674903,0.0046285493092726275,estimated,diagnostic_only_not_formal_model
base_task_id,zsNo4HB9uLZ_935e0f6088a54fba87990835d1997d9a,223,-0.02775830332110596,0.0046063993658099055,estimated,diagnostic_only_not_formal_model
base_task_id,zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,221,-0.02785054582137947,0.004597600666289555,estimated,diagnostic_only_not_formal_model
base_task_id,zsNo4HB9uLZ_faad06c7cb2b4a6f9220e7f6f87c800b,223,-0.02788993237942128,0.00460584093806374,estimated,diagnostic_only_not_formal_model
