block_index,worker_id,ordinary_task,stress_task,ordinary_building,stress_building,ordinary_risk,stress_risk,ordinary_quality,stress_quality,pair_eligible,delta_risk_stress_minus_ordinary,delta_quality_stress_minus_ordinary,pair_slope_delta_quality_over_delta_risk
1.0,30,,,,,,,,,False,,,
1.0,31,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,2t7WUuJeko7,pRbA3pwrgk9,3.9778924598625696,6.831342493839091,0.9625029747739172,0.7481904013897718,True,2.853450033976521,-0.21431257338414544,-0.07510647491012239
1.0,32,zsNo4HB9uLZ_65eefaf93e6249908e6389eb4eabf0f5,pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,zsNo4HB9uLZ,pa4otMbVnkk,3.868741895958863,8.146315693268235,0.8531078870361979,0.843389814109309,True,4.277573797309373,-0.009718072926888865,-0.0022718656386481535
1.0,33,pRbA3pwrgk9_16beb21e65a84850a509972190038d0e,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,pRbA3pwrgk9,pRbA3pwrgk9,3.856735574381165,7.29202638738098,0.936123587647452,0.9905050374857683,True,3.4352908129998148,0.05438144983831639,0.015830231790719525
1.0,34,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,2t7WUuJeko7,pRbA3pwrgk9,3.9778924598625696,7.29202638738098,0.9575054160493736,0.9917317738679594,True,3.31413392751841,0.03422635781858585,0.01032739127842495
1.0,35,zsNo4HB9uLZ_2caadd7bc71c43d5ad10f4e7f10a3455,,zsNo4HB9uLZ,,3.694259647695755,,0.947278783924994,,False,,,
1.0,36,jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,jtcxE69GiFV,zsNo4HB9uLZ,4.71539312866952,5.939462050146197,0.914544541379118,0.7611951467741613,True,1.2240689214766771,-0.15334939460495667,-0.12527839888293293
1.0,37,jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,jh4fc5c5qoQ,VFuaQ6m2Qom,3.595006432551763,7.183628916179173,0.7554462207479058,0.53728589942673,True,3.58862248362741,-0.2181603213211758,-0.0607922182721927
1.0,6,jtcxE69GiFV_5d3af9ad575b4be88587967ff8114c36,zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,jtcxE69GiFV,zsNo4HB9uLZ,4.15793460464612,5.939462050146197,0.9437344447102572,0.8933353475841579,True,1.7815274455000774,-0.05039909712609936,-0.028289823574372302
1.0,8,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,2t7WUuJeko7,jtcxE69GiFV,3.768993304208514,9.481862942795813,0.9781912980102128,0.8798154339396478,True,5.712869638587298,-0.09837586407056498,-0.017220043567262592
2.0,1,pa4otMbVnkk_64ba4f267872432abdcb00af002649d5,jtcxE69GiFV_67790605390f4d439c3c59395967ec84,pa4otMbVnkk,jtcxE69GiFV,3.9847071562262193,5.76678693413434,0.8951436750082286,0.58893096208029,True,1.782079777908121,-0.3062127129279385,-0.17182884667900988
2.0,10,S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,S9hNv5qa7GM,VFuaQ6m2Qom,3.622320944116328,6.238125014667176,0.9354434384735204,0.93259109588106,True,2.615804070550848,-0.0028523425924603663,-0.0010904266969275365
2.0,11,S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,S9hNv5qa7GM,jh4fc5c5qoQ,4.026439012481026,7.556923540097862,0.8474409915678784,0.9416396332542776,True,3.530484527616836,0.09419864168639913,0.02668150531450864
2.0,12,pa4otMbVnkk_4fbdfc08c934474ea9a04977f9081d0e,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,pa4otMbVnkk,jtcxE69GiFV,5.041596258851888,9.481862942795813,0.8964679407735959,0.8477707896575821,True,4.440266683943925,-0.048697151116013804,-0.010967168096480214
2.0,13,jtcxE69GiFV_44661972414d44fabc0799f237e4d7f0,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,jtcxE69GiFV,jtcxE69GiFV,3.969454490551143,9.481862942795813,0.9444567715681637,0.8477707896575821,True,5.512408452244669,-0.09668598191058153,-0.01753969843639049
2.0,15,zsNo4HB9uLZ_935e0f6088a54fba87990835d1997d9a,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,zsNo4HB9uLZ,jh4fc5c5qoQ,3.6864736105910576,7.556923540097862,0.97002899109958,0.9767239677810464,True,3.870449929506804,0.006694976681466458,0.0017297670305528464
2.0,17,jtcxE69GiFV_1df105f34ccf4844877be7e8e2d90fad,zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,jtcxE69GiFV,zsNo4HB9uLZ,3.890175999177667,5.939462050146197,0.9619683810317644,0.7683185805580915,True,2.0492860509685302,-0.19364980047367286,-0.09449622729933208
2.0,2,jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,jtcxE69GiFV,pa4otMbVnkk,4.71539312866952,8.146315693268235,0.9287017840072502,0.9902002582405536,True,3.430922564598715,0.061498474233303346,0.017924763114114842
2.0,28,jtcxE69GiFV_f4dc4040df5a4f038dd2b35f2bb65266,pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,jtcxE69GiFV,pa4otMbVnkk,3.802659941901452,8.146315693268235,0.9529548686183992,0.7171222154680381,True,4.343655751366783,-0.23583265315036106,-0.054293587394938815
2.0,29,,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,,pRbA3pwrgk9,,7.29202638738098,,0.984127211826052,False,,,
2.0,30,pa4otMbVnkk_f6005da79d2c43ba820db8124a4287d1,S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,pa4otMbVnkk,S9hNv5qa7GM,3.5741948993665464,14.109703699097196,0.9464120325075984,0.7460359820870652,True,10.53550879973065,-0.2003760504205332,-0.01901911471287044
2.0,31,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,2t7WUuJeko7,VFuaQ6m2Qom,3.768993304208514,6.238125014667176,0.9574425328041434,0.9419720977470956,True,2.469131710458662,-0.015470435057047816,-0.006265536581754098
2.0,32,zsNo4HB9uLZ_935e0f6088a54fba87990835d1997d9a,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,zsNo4HB9uLZ,pRbA3pwrgk9,3.6864736105910576,6.831342493839091,0.979174585797767,0.7505602868668758,True,3.144868883248033,-0.22861429893089114,-0.07269438167952406
2.0,33,pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,jtcxE69GiFV_67790605390f4d439c3c59395967ec84,pRbA3pwrgk9,jtcxE69GiFV,3.56801929571565,5.76678693413434,0.9727520435967304,0.5931059215661456,True,2.1987676384186905,-0.3796461220305848,-0.1726631388406365
2.0,34,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,jtcxE69GiFV_67790605390f4d439c3c59395967ec84,2t7WUuJeko7,jtcxE69GiFV,3.768993304208514,5.76678693413434,0.9514510300989424,0.6069324450921203,True,1.9977936299258263,-0.3445185850068221,-0.1724495362514562
2.0,35,pa4otMbVnkk_fc4ee7e59f32491d9817b3a9a5b5e9b1,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,pa4otMbVnkk,pRbA3pwrgk9,3.809297376799212,6.831342493839091,0.977464040614764,0.745964510970213,True,3.0220451170398785,-0.231499529644551,-0.07660359811944402
2.0,36,jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,jtcxE69GiFV_67790605390f4d439c3c59395967ec84,jtcxE69GiFV,jtcxE69GiFV,4.924529891734887,5.76678693413434,0.900611167151249,0.5657135465697019,True,0.8422570423994529,-0.33489762058154715,-0.39761925840059287
2.0,37,jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,,jh4fc5c5qoQ,,4.655451749029902,,0.8515028119694398,,False,,,
2.0,6,jtcxE69GiFV_539fb3f6f19b442285b593628a8ce14e,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,jtcxE69GiFV,pRbA3pwrgk9,4.418088103411216,7.29202638738098,0.7209599839459178,0.9855741695303551,True,2.873938283969764,0.2646141855844374,0.09207371886181441
2.0,8,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,2t7WUuJeko7,zsNo4HB9uLZ,3.9778924598625696,5.939462050146197,0.9797163285429876,0.7546764978419975,True,1.9615695902836277,-0.2250398307009901,-0.11472436757568774
