base_task_id,confirmatory_status,frozen_preassignment_n_ready,frozen_feature_manifest_schema_version,frozen_feature_manifest_n_tasks,frozen_feature_manifest_human_geometry_used,legacy_difficulty_label,legacy_label_status,legacy_proxy_confidence,gt_keypoint_count,gt_pair_count,manual_difficulty_vote_rows,manual_difficulty_nonempty_votes,manual_difficulty_choices_json,proposal_initial_quality_mean,analysis_role,building_id,manual_shannon_entropy,delta_shannon_entropy,exact_direction,legacy_occlusion,manual_worker_tag__occlusion,manual_worker_tag__seam,manual_worker_tag__trivial,manual_worker_tag__reflection,manual_worker_tag__low_texture
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,occlusion;reflection,legacy_proxy,legacy_proxy,12,6,5,5,"[""occlusion"", ""reflection"", ""trivial""]",1.0,exploratory_uncoupled_proxy_description,uNb9QFRL6hY,0.4498681156950466,0.1124670289237616,semi_expansion,True,True,False,True,True,False
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,trivial;occlusion,legacy_proxy,legacy_proxy,12,6,5,5,"[""low_texture"", ""occlusion"", ""reflection"", ""seam"", ""trivial""]",1.0,exploratory_uncoupled_proxy_description,uNb9QFRL6hY,0.0,0.5004024235381879,semi_expansion,True,True,True,True,True,True
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,,none,weak_proxy,16,8,5,5,"[""trivial""]",1.0,exploratory_uncoupled_proxy_description,uNb9QFRL6hY,0.0,0.0,no_entropy_change,False,False,False,True,False,False
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,occlusion;seam,legacy_proxy,legacy_proxy,12,6,5,5,"[""occlusion"", ""trivial""]",1.0,exploratory_uncoupled_proxy_description,uNb9QFRL6hY,0.5004024235381879,0.0,no_entropy_change,True,True,False,True,False,False
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,trivial,legacy_proxy,legacy_proxy,8,4,5,5,"[""low_quality"", ""low_texture"", ""occlusion"", ""seam""]",1.0,exploratory_uncoupled_proxy_description,wc2JMjhGNzB,1.2476649250079013,-1.2476649250079013,semi_convergence,False,True,True,False,False,True
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,low_texture,legacy_proxy,legacy_proxy,12,6,5,5,"[""occlusion"", ""seam"", ""trivial""]",1.0,exploratory_uncoupled_proxy_description,wc2JMjhGNzB,0.5587686145464019,-0.058366191008214,semi_convergence,False,True,True,True,False,False
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,occlusion,legacy_proxy,legacy_proxy,16,8,5,5,"[""low_quality"", ""occlusion"", ""trivial""]",1.0,exploratory_uncoupled_proxy_description,wc2JMjhGNzB,0.0,0.5623351446188083,semi_expansion,True,True,False,True,False,False
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,reflection,legacy_proxy,legacy_proxy,8,4,5,5,"[""low_quality"", ""occlusion"", ""trivial""]",1.0,exploratory_uncoupled_proxy_description,wc2JMjhGNzB,0.848766520351474,-0.848766520351474,semi_convergence,False,True,False,True,False,False
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,reflection,legacy_proxy,legacy_proxy,16,8,5,5,"[""occlusion"", ""trivial""]",1.0,exploratory_uncoupled_proxy_description,yqstnuAEVhm,0.0,0.5004024235381879,semi_expansion,False,True,False,True,False,False
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,trivial,legacy_proxy,legacy_proxy,16,8,5,5,"[""occlusion"", ""seam"", ""trivial""]",1.0,exploratory_uncoupled_proxy_description,yqstnuAEVhm,0.6408223661834905,-0.6408223661834905,semi_convergence,False,True,True,True,False,False
