category,metric,value,unit_or_scope,interpretation,source
null_replay,mask_72_image_mde_lower_bound,0.02452-0.02478,80% conditional MDE,sampling-noise lower bound not formal power,analysis_results/rq1_corrections_20260826/null_replay_sample_size_scenarios.csv
null_replay,boundary_60_image_mde_lower_bound,0.00569-0.00571,80% conditional MDE,metric-dependent lower bound,analysis_results/rq1_corrections_20260826/null_replay_sample_size_scenarios.csv
null_replay,wall_60_image_mde_lower_bound,0.00872-0.00879,80% conditional MDE,metric-dependent lower bound,analysis_results/rq1_corrections_20260826/null_replay_sample_size_scenarios.csv
active_time,frozen_context_count,780,C1 task-worker contexts,SHA verified,analysis_results/rq1_corrections_20260826/SUMMARY.json
active_time,frozen_eligible_context_count,701,C1 task-worker contexts,formal freeze,analysis_results/rq1_corrections_20260826/SUMMARY.json
active_time,observed_manual_rows,594,of 658 amendment-compliant k≥5 rows,22 workers and 84 tasks,analysis_results/rq1_corrections_20260826/SUMMARY.json
active_time,task_mask_dispersion_spearman,0.2438794728930414,84 tasks,building-bootstrap CI 0.0309 to 0.3720,analysis_results/rq1_corrections_20260826/formal_time_difficulty_associations.csv
active_time,worker_fixed_within_group_correlation,0.19789448301464468,594 worker-task rows,descriptive not causal,analysis_results/rq1_corrections_20260826/formal_time_difficulty_associations.csv
difficulty,nontrivial_rate_spearman,0.017483397696403346,84 tasks,no stable general difficulty relation,analysis_results/rq1_corrections_20260826/formal_time_difficulty_associations.csv
difficulty,occlusion_rate_spearman,-0.06376217412569428,84 tasks,no stable occlusion relation,analysis_results/rq1_corrections_20260826/formal_time_difficulty_associations.csv
difficulty,seam_rate_spearman,0.4438340026334862,84 tasks,building-bootstrap CI 0.2038 to 0.6083,analysis_results/rq1_corrections_20260826/formal_time_difficulty_associations.csv
