collection_class,task_folder_name,task_id,base_task_id,layout_txt_path,image_path,layout_coord_contract,priority_annotation,has_layout_txt,has_image
遮挡明显,"task533(低优先,有歧义)",533,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,"manual\遮挡明显\task533(低优先,有歧义)\yqstnuAEVhm_e3face7b2196414d95ed97151aa13058.txt","manual\遮挡明显\task533(低优先,有歧义)\yqstnuAEVhm_e3face7b2196414d95ed97151aa13058.png",hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,"低优先,有歧义",True,True
遮挡明显,task562,562,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,manual\遮挡明显\task562\q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a.txt,manual\遮挡明显\task562\q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,,True,True
遮挡明显,task564(较为困难),564,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,manual\遮挡明显\task564(较为困难)\uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283.txt,manual\遮挡明显\task564(较为困难)\uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,较为困难,True,True
遮挡明显,task578,578,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,manual\遮挡明显\task578\yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599.txt,manual\遮挡明显\task578\yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,,True,True
遮挡明显,"task635(低优先,有歧义,尽量不考虑)",635,q9vSo1VnCiC_e74e843601574864a14517f990c748a0,"manual\遮挡明显\task635(低优先,有歧义,尽量不考虑)\q9vSo1VnCiC_e74e843601574864a14517f990c748a0.txt","manual\遮挡明显\task635(低优先,有歧义,尽量不考虑)\q9vSo1VnCiC_e74e843601574864a14517f990c748a0.png",hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,"低优先,有歧义,尽量不考虑",True,True
遮挡明显,"task676(低优先,太难标注了,暂时不考虑)",676,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,"manual\遮挡明显\task676(低优先,太难标注了,暂时不考虑)\q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4.txt","manual\遮挡明显\task676(低优先,太难标注了,暂时不考虑)\q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4.png",hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,"低优先,太难标注了,暂时不考虑",True,True
遮挡明显,task677(略微有点遮挡),677,rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,manual\遮挡明显\task677(略微有点遮挡)\rPc6DW4iMge_1f14902595544e389c9c910c444e79e7.txt,manual\遮挡明显\task677(略微有点遮挡)\rPc6DW4iMge_1f14902595544e389c9c910c444e79e7.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,略微有点遮挡,True,True
遮挡明显,task707,707,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,manual\遮挡明显\task707\yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65.txt,manual\遮挡明显\task707\yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,,True,True
遮挡明显,task717,717,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,manual\遮挡明显\task717\uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9.txt,manual\遮挡明显\task717\uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,,True,True
遮罩,"task696(低优先,不确定,难标注)",696,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,"manual\遮罩\task696(低优先,不确定,难标注)\b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15.txt","manual\遮罩\task696(低优先,不确定,难标注)\b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15.png",hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,"低优先,不确定,难标注",True,True
遮罩,"task711(中低优先,难标注)",711,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,"manual\遮罩\task711(中低优先,难标注)\uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5.txt","manual\遮罩\task711(中低优先,难标注)\uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5.png",hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,"中低优先,难标注",True,True
非常简单,task550,550,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,manual\非常简单\task550\wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31.txt,manual\非常简单\task550\wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,,True,True
非常简单,task554,554,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,manual\非常简单\task554\rPc6DW4iMge_cc15fb105d86466faafdd633f89148de.txt,manual\非常简单\task554\rPc6DW4iMge_cc15fb105d86466faafdd633f89148de.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,,True,True
非常简单,task556,556,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,manual\非常简单\task556\q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e.txt,manual\非常简单\task556\q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,,True,True
非常简单,task630,630,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual\非常简单\task630\7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.txt,manual\非常简单\task630\7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,,True,True
