candidate_id,base_task_id,task_id,family,source_type,repairability,ambiguity_risk,manual_anchor_eligible,prescreen_trap_eligible,selection_policy_bucket,priority_annotation,overlap_with_tentative_control_pool,notes
seed492_overextend_adjacent,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,492,overextend_adjacent,trap_synthetic,expected_repairable_by_operator_design,not_flagged_from_folder_name,False,True,trap_core,,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed492_over_parsing,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,492,over_parsing,trap_synthetic,expected_repairable_by_operator_design,not_flagged_from_folder_name,False,True,trap_core,,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed492_corner_drift,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,492,corner_drift,trap_synthetic,expected_repairable_by_operator_design,not_flagged_from_folder_name,False,True,trap_core,,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed492_corner_duplicate,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,492,corner_duplicate,trap_synthetic,expected_repairable_by_operator_design,not_flagged_from_folder_name,False,True,trap_core,,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed501_overextend_adjacent,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,501,overextend_adjacent,trap_synthetic,expected_repairable_by_operator_design,not_flagged_from_folder_name,False,True,trap_core,,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed501_over_parsing,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,501,over_parsing,trap_synthetic,expected_repairable_by_operator_design,not_flagged_from_folder_name,False,True,trap_core,,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed501_corner_drift,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,501,corner_drift,trap_synthetic,expected_repairable_by_operator_design,not_flagged_from_folder_name,False,True,trap_core,,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed501_corner_duplicate,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,501,corner_duplicate,trap_synthetic,expected_repairable_by_operator_design,not_flagged_from_folder_name,False,True,trap_core,,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed568_overextend_adjacent,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,568,overextend_adjacent,trap_synthetic,expected_repairable_by_operator_design,not_flagged_from_folder_name,False,True,trap_core,,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed568_over_parsing,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,568,over_parsing,trap_synthetic,expected_repairable_by_operator_design,not_flagged_from_folder_name,False,True,trap_core,,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed568_corner_drift,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,568,corner_drift,trap_synthetic,expected_repairable_by_operator_design,not_flagged_from_folder_name,False,True,trap_core,,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed568_corner_duplicate,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,568,corner_duplicate,trap_synthetic,expected_repairable_by_operator_design,not_flagged_from_folder_name,False,True,trap_core,,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed572_overextend_adjacent,wc2JMjhGNzB_77962388887942148ee65c2892600e02,572,overextend_adjacent,trap_synthetic,expected_repairable_by_operator_design,not_flagged_from_folder_name,False,True,trap_core,,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed572_over_parsing,wc2JMjhGNzB_77962388887942148ee65c2892600e02,572,over_parsing,trap_synthetic,expected_repairable_by_operator_design,not_flagged_from_folder_name,False,True,trap_core,,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed572_corner_drift,wc2JMjhGNzB_77962388887942148ee65c2892600e02,572,corner_drift,trap_synthetic,expected_repairable_by_operator_design,not_flagged_from_folder_name,False,True,trap_core,,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed572_corner_duplicate,wc2JMjhGNzB_77962388887942148ee65c2892600e02,572,corner_duplicate,trap_synthetic,expected_repairable_by_operator_design,not_flagged_from_folder_name,False,True,trap_core,,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed573_overextend_adjacent,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,573,overextend_adjacent,trap_synthetic,expected_repairable_by_operator_design,not_flagged_from_folder_name,False,True,trap_core,,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed573_over_parsing,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,573,over_parsing,trap_synthetic,expected_repairable_by_operator_design,not_flagged_from_folder_name,False,True,trap_core,,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed573_corner_drift,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,573,corner_drift,trap_synthetic,expected_repairable_by_operator_design,not_flagged_from_folder_name,False,True,trap_core,,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed573_corner_duplicate,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,573,corner_duplicate,trap_synthetic,expected_repairable_by_operator_design,not_flagged_from_folder_name,False,True,trap_core,,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed576_overextend_adjacent,wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,576,overextend_adjacent,trap_synthetic,expected_repairable_by_operator_design,priority_flag_present,False,True,trap_core,低优先,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed576_over_parsing,wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,576,over_parsing,trap_synthetic,expected_repairable_by_operator_design,priority_flag_present,False,True,trap_core,低优先,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed576_corner_drift,wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,576,corner_drift,trap_synthetic,expected_repairable_by_operator_design,priority_flag_present,False,True,trap_core,低优先,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
seed576_corner_duplicate,wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,576,corner_duplicate,trap_synthetic,expected_repairable_by_operator_design,priority_flag_present,False,True,trap_core,低优先,True,Synthetic candidate generated from acceptable seed pool; candidate-only until overlap with the control freeze is resolved.
