case_id,image_id,human_text,supplement_text,reference_basis,reference_allowed,hold_reason,manual_responses,workers,audit_note
V20,x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,"所有模型和gt都漏了图片中偏左的 柱子,人工标注的没有忽略,我记得我好像改过这图的gt? ",,gt_assumed_correct,False,gt_missing_protrusion_no_replacement,5,5,保留原文；不生成新的逐人规则违反判决
V21,jh4fc5c5qoQ_855bc326ad174253b57626daf123c608,"这张图是 extended和enclosed比较差别明显的吧,gt标注的是extended,而且特别精细,bi extended也不错,都有略微一点点瑕疵.",,gt_assumed_correct,False,extended_scope_not_unique_rule_reference,2,2,保留原文；不生成新的逐人规则违反判决
V22,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,"标注者角点顺序你不该改的,之后bi 的extended 成为了 过度解析,可能是太想去找extended的区域了.enclosed的模型标注大体没啥问题",,gt_assumed_correct,True,,5,5,保留原文；不生成新的逐人规则违反判决
V23,VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,人工 的标注 你又把顺序搞混乱了,,gt_assumed_correct,True,,2,2,保留原文；不生成新的逐人规则违反判决
V24,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,,,gt_assumed_correct,True,,1,1,保留原文；不生成新的逐人规则违反判决
V25,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,"gt的顺序理清后,就是完全正确的, 人工标注的顺序没有调整",,gt_assumed_correct,False,nonplanar_ceiling_uncertain,5,5,保留原文；不生成新的逐人规则违反判决
V26,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,"有个gt的顺序没有调整,bi 的 两种情况基本无差别",,reviewed_reference,True,,0,0,保留原文；不生成新的逐人规则违反判决
V27,uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,"这个是站在门框下拍的,所以说有歧义","v27 意思是右边的里面空间,如果纳入标注的话,天花板就分层.之后说句实话,我也不知道怎么标合适,怎么标都不是特别完美",gt_assumed_correct,False,layered_ceiling_boundary_unresolved,5,5,保留原文；不生成新的逐人规则违反判决
V28,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,"HOHONET的肯定错误,但是其余的 右边到底在哪里结束,还有异议,我个人可能更倾向人工的.  都不是完美的标注",,reviewed_reference,False,multiple_scope_choices,25,25,保留原文；不生成新的逐人规则违反判决
V29,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,"bi extended 和hoho 都是extended标注,其余是enclosed,但是簇2 在右侧的结束点不一致,感觉两种都大差不差",,reviewed_reference,False,multiple_scope_choices,23,23,保留原文；不生成新的逐人规则违反判决
V30,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,"都大差不差, bi 没有出现两种标注",,gt_assumed_correct,True,,5,5,保留原文；不生成新的逐人规则违反判决
V31,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,"严格来说,只有我改过的gt 是算enclosed ,其余的都是extended,但是他们标注的也不好,他们包括长廊的这个东西,或者左边墙面有些标注不准",,reviewed_reference,False,multiple_scope_choices_even_with_corrected_gt,6,6,保留原文；不生成新的逐人规则违反判决
V32,7y3sRwLe3Va_dfe1f8e8b58d4da49f0c73516e7a4b67,"bi的extended不是我想象中的extended.这个和之前的的25是同一个房间,如果对比来看,这肯定不够 ""extended"",不过他也确实标了额外空间",,gt_assumed_correct,False,scope_comparison_unresolved,0,0,保留原文；不生成新的逐人规则违反判决
V33,X7HyMhZNoso_2fa0da1a66e04428b315cb93b72143d5,"其实这张图主要的问题是,左边和 马桶之间的区域,里面到底需不需要标注,还是说 就把它当做不是一个房间/凸出的墙?我记得一个房间的图的gt标注里,我是在另一个图里标注了这个空间,不像这所有标注直接 ""忽略""(我也不知道怎么表述清楚)
bi 完全没区别
",,gt_assumed_correct,False,cross_view_scope_unresolved,0,0,保留原文；不生成新的逐人规则违反判决
V34,b8cTxDM8gDG_8316e9313299447bb1f574aaf8cbec73,"这所有标的都是extended ,只有gt0 的extended标注的好.这是很明可能出现 标注范围有歧义的图",,gt_assumed_correct,False,extended_scope_may_exceed_current_image,0,0,保留原文；不生成新的逐人规则违反判决
V35,e9zR4mvMWw7_18653fa3d6ba4f82889237201ee07d11,"两个gt反而是extended,其余是enclosed",,gt_assumed_correct,False,gt_extended_scope_not_unique_rule_reference,0,0,保留原文；不生成新的逐人规则违反判决
V36,wc2JMjhGNzB_5c363f3933e84bb5aceb3899f997b6fb,"bi enclosed和gt属于enclosed,但是bi extended有问题,反而是hoho是extended(虽然标注的有小问题)",,gt_assumed_correct,True,,0,0,保留原文；不生成新的逐人规则违反判决
V37,uNb9QFRL6hY_068fb0d52d01455c96fa23659c373bf8,都差不多,,gt_assumed_correct,True,,0,0,保留原文；不生成新的逐人规则违反判决
V38,yqstnuAEVhm_6440d94be92546fdab587df78fbea28b,"这张图模型被玻璃干扰, bi所谓的extended其实还是同一个房间.  gt标的最对",,gt_assumed_correct,False,gt_inaccurate,0,0,旧账本gt_inaccurate与原文gt标的最对不一致；本轮无Manual响应，不改变估计
V39,X7HyMhZNoso_84cc1504051f4b1c9492dfab5dce84f9,"都大差不差,标注空间一致",,gt_assumed_correct,True,,0,0,保留原文；不生成新的逐人规则违反判决
V40,7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,"这张图是在门框下拍摄的,所以范围很不好界定, 都一般.hoho错的,但是bi 的两种 方法 是有明显差别的. 虽说肯定有点小问题,gt 硬说的话,也有一点问题(这么难的标注成这样已经很不错的)",,gt_assumed_correct,False,boundary_and_gt_uncertain,0,0,保留原文；不生成新的逐人规则违反判决
V41,b8cTxDM8gDG_184a9b92b85840d88bf5793da9aa9cba,hoho错了,,gt_assumed_correct,True,,0,0,保留原文；不生成新的逐人规则违反判决
V42,B6ByNegPMKs_8c889fb13bce4bcebdac872570cb5381,"bi全错.  hoho也有点问题,gt最好",,gt_assumed_correct,True,,0,0,保留原文；不生成新的逐人规则违反判决
V43,e9zR4mvMWw7_5f9b1db7cc1748c2a71d9924bd1f4fa3,都大差不差,,gt_assumed_correct,True,,0,0,保留原文；不生成新的逐人规则违反判决
V44,uNb9QFRL6hY_fd10460fd2bc4c52af84e36e89357269,"gt和bi extended属于extended,其余是enclosed ,我觉得属于的enclose更正确,右边的门口那里不标注会更好,. 不过这图确实体现了bi 的不同输出",,gt_assumed_correct,False,review_prefers_enclosed_over_gt,0,0,保留原文；不生成新的逐人规则违反判决
V45,wc2JMjhGNzB_3949e4e00d354f79afea742a2b0599d2,"都大差不差,bi 的基本没区别,我以为他会跨门标,结果没有",,gt_assumed_correct,True,,0,0,保留原文；不生成新的逐人规则违反判决
V46,yqstnuAEVhm_7acd3d3a7bee44a8ad04d460509b994e,"bi 的两个标注的最好,其余的都是忽略了右边墙上凸起.  这张图也没有标注歧义(也分不出enclosed和extended)",,gt_assumed_correct,False,gt_missing_protrusion,0,0,保留原文；不生成新的逐人规则违反判决
V47,X7HyMhZNoso_a830b673f439458aa54a716194d972b7,都差不多,,gt_assumed_correct,True,,0,0,保留原文；不生成新的逐人规则违反判决
V48,b8cTxDM8gDG_bd2d16e81707455eacd72cda7eb5d3d5,"gt 和hoho 在细微上略有偏差(很小),我反而觉得bi 更好.  但是没有出现我预想中的extended","v48是左边和右边拼接处不是有个玻璃门嘛,我以为bi 的extended会跨过这个门. 但是说实话,正确的曼哈顿世界约束下,就是不跨过(可能是我对bi 的期待有点高)",gt_assumed_correct,True,,0,0,保留原文；不生成新的逐人规则违反判决
V49,e9zR4mvMWw7_8783add8825d4ecf8eb1f2af3c22b8df,"大差不差,没歧义",,gt_assumed_correct,True,,0,0,保留原文；不生成新的逐人规则违反判决
V50,B6ByNegPMKs_1c21814e7e7447d5b650afdff65c287e,都大差不差,,gt_assumed_correct,True,,0,0,保留原文；不生成新的逐人规则违反判决
