stage,language_cohort,project_id,runtime_task_id,base_task_id,worker_id,raw_annotation_id,canonical_annotation_id,reconciliation_status,duplicate_geometry_type,raw_result_sha256,runtime_export_path,runtime_export_sha256,diagnostic_pre_stage3,development_only,scientific_conclusion_prohibited,formal_profile_frozen,reviewer_policy_frozen,main_launch_authorized
P1,en,40,3155,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,29,4542,caf781b6512ea9b2,canonical_selected,single,19ddfc147e63d6d2e7438297c00ee20deb4c9e98715c28024c182654986e663d,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3155,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,36,4679,d73bc90a26b0976b,canonical_selected,single,7b847b8a18a445697129fff8dbf6c020e1d4761cba8fe58ae5fb02e960baa558,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3156,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,26,3783,920097581a74c28d,canonical_selected,single,2e38009036d2bf2f4f543ad8eef9a3ded9ae41ba88ba37ad9e79dd9e048fd480,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3156,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,28,3924,ce1f8d8e19ffffeb,canonical_selected,single,384167a9793152308248374254d10fbaf890eda2a6520a8231eb44c9f507d5a6,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3156,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,27,4041,dfb59e0acb27e23d,canonical_selected,single,127ac0f8078f40c54dcf6cfa92659d4c8ce7aa0bdd1ff1bccb8b16d0a7a292a6,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3156,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,31,4101,4e299dc6bda4eef4,canonical_selected,single,37652fdf8a0ef9246b16377a4a00b79ad550df122b6037ddd6b8a05cab683d05,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3156,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,30,4155,867a61b4c60969d2,canonical_selected,single,92ca8641e6d2982c54cdbe75ef99fad00be29c87461a14cc53aa1d7134e2a88e,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3156,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,32,4177,c3fc3f4b6aeb53b0,canonical_selected,single,2b5bd6abb74dc07b0ba0d2af6b1a6401cdbe387956cd37e6db7ae076a531938f,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3156,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,35,4312,9f90d9f93e93c9bf,canonical_selected,single,ed4c3a190f48fc69e08e4258969fa5a3b0d6016ee530a5431b172dad5c87cd79,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3156,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,33,4370,c88ef7c6614c3d19,canonical_selected,single,fc1b2fac29dbb37879d96eba5067b32223d75614724741b83f6904e6fdfb1720,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3156,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,34,4408,90520932aee1bf49,canonical_selected,single,ea9de0ff64d0fd8a42f18cce7b8f550de56cd34b4c66dcafaea6c03b0024d56d,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3156,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,37,4466,4651933458778c15,canonical_selected,single,22ba676fa6d3ea919d7579756d169136e78f723e2d6295014f0ba4d5181fd040,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3156,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,29,4544,1fbbddc98c74aeb0,canonical_selected,single,5edd0d34bdfe7740563447d9ec27a431bff213b4f3c12b43a83d375a2a9a9ca1,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3156,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,36,4680,fbde960cac90f821,canonical_selected,single,daa5a2b5e2296be90201ec36ebbc8572727fcc05aff392e59c7f4c73d91da994,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3157,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,26,3784,7e42d07ce46a72e4,canonical_selected,single,fe9e0053278a94fe261131d8caecdad9bf5e409d091f9b1efcf2d4213e6c12f3,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3157,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,28,3926,497e4819ad1ce59c,canonical_selected,single,1367e2e18768da4c1813bb6820f87123af0414df5ee1f91aca631a6708f5b50d,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3157,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,27,4042,b16f17d58f7aabf2,canonical_selected,single,b482d37681f1b23a12eddc57ce20c2f93efb26da232b6b987983218de9970bb9,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3157,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,31,4102,d2d4c49ab227aa87,canonical_selected,single,f79723ba9a6db6e7c3175663905ca85c72a037bd63c6eb7938c52e54db6a8f70,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3157,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,30,4156,d817ad3534ab554d,canonical_selected,single,172be2cf1d76eba80582a8be426b36f65a9acd7db828c35aeb34e3b5a1988f30,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3157,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,32,4178,c54bc02d1fcd094e,canonical_selected,single,065c20287ce92d600d96c68bc9fa7cc78cb0612eb05570862280efe108a643d0,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3157,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,35,4313,ebe5710d577ed718,canonical_selected,single,4d7ae13d901c3b39d68d694d8ffcfe1c9253fc896afced93a4ec2a8b7e7a9917,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3157,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,33,4371,080e6e5be0c803cd,canonical_selected,single,508873e267a2fcc5db340b192672df1212461e1ef7cddf1d0453a24fe157490e,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3157,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,34,4409,71a08671b7d9283b,canonical_selected,single,e7d1a6ef56dcfa010c30e4a849df91762b5586c3e0d3c120881700c83aa3e8d4,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3157,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,37,4467,3cb548d93b1c91ac,canonical_selected,single,1095b9c2aa0a5fe9f14f48b361d02592a1e20565d6b08a5e0540c9a92828c6e2,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3157,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,29,4545,deb77ec3f2ddf78f,canonical_selected,single,4ab24ce7d91a31eb5104ff5dbcdc14d513ada567e8f5d824b6e619007b7d2c45,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3157,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,36,4681,cb5459e346731607,canonical_selected,single,3c20b29e8be6479018e33f601d991471412b15f50c15e3397164687af2c42f89,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3158,wc2JMjhGNzB_77962388887942148ee65c2892600e02,26,3785,f99791165ab299f2,canonical_selected,single,fb937f78d674219e8f5daf0e9670aa09c8c47503de6754059e09bee9a3adfd1a,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3158,wc2JMjhGNzB_77962388887942148ee65c2892600e02,28,3928,fa48c94941765bf5,canonical_selected,single,eb389d3a140a215be295e8394f635d28df6f383c43ef7bf798bf4529a3523a0b,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3158,wc2JMjhGNzB_77962388887942148ee65c2892600e02,27,4043,18bf7463963ee4f7,canonical_selected,single,dfb03801b57500d3a65585b4ca962aadd8aaea705be16fd58f517bdca5e67486,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3158,wc2JMjhGNzB_77962388887942148ee65c2892600e02,31,4103,f8bbcc65deb718e2,canonical_selected,single,7580f4ed8a9c70cf59e2c3ea42cc46343b73af579489aed9d7678e13e72da388,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3158,wc2JMjhGNzB_77962388887942148ee65c2892600e02,30,4157,54b6a6baaabc6d99,canonical_selected,single,2ea550a086f742c9775e2d07f1267efe42e832ac57a935ab3886df9d59adc029,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3158,wc2JMjhGNzB_77962388887942148ee65c2892600e02,32,4179,04cce395f11e77de,canonical_selected,single,2c38a305ae8945bb40bc0fc5baa9b87d2b873933eeb3117ce14369b404d2cd16,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3158,wc2JMjhGNzB_77962388887942148ee65c2892600e02,35,4314,30d378ddd51c818b,canonical_selected,single,98e3348a86e2d43ae6bfc911438dbf0eda9fcefb67ea5a835f375d67e8703d84,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3158,wc2JMjhGNzB_77962388887942148ee65c2892600e02,33,4372,6b642404a9d48b82,canonical_selected,single,cc5b46300ecfb8cfa39d8140f5bd0b73d51792525e2e744e7a054335a3d26714,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3158,wc2JMjhGNzB_77962388887942148ee65c2892600e02,34,4410,6ab8b935553657e4,canonical_selected,single,5c1cc3ff01775139abda8f176acd39868b9631a38d14b2d3191f15ef17503b7b,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3158,wc2JMjhGNzB_77962388887942148ee65c2892600e02,37,4468,6433c4b6746b9bd3,canonical_selected,single,1f28469aac2d716514a28db4677664506765a31db1c9d6b5bbf14bd45b8f68c9,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3158,wc2JMjhGNzB_77962388887942148ee65c2892600e02,29,4546,0256fe8a53c60eb1,canonical_selected,single,59a4db7e2cc42796582d55f886495acf06a7b14906aaad46e57af822dc546b6a,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3158,wc2JMjhGNzB_77962388887942148ee65c2892600e02,36,4682,ac64b59a675ec8be,canonical_selected,single,20e646603493862ae8abd321cf8eebf8dd5d5046b6fa7b4f7dfe23de497e9f50,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3159,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,26,3786,9485ed54d32feedb,canonical_selected,single,3758c030a9745d1f62a93a737cf7fbf3e370eb13688323b00fdb05896db5d4dc,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3159,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,28,3929,9765f6221f393fe9,canonical_selected,single,2142e5a3e9356da2657397b379cb51c4549a9978294cce6cd838ce0dc2e44297,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3159,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,27,4044,f1c9b4c639222455,canonical_selected,single,c6867bb54b1494dc4b2f600a9a254406247ea26200eaf48362d41d49b3075218,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3159,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,31,4104,f56061dd14557a1c,canonical_selected,single,2e80b4863a21039a559f01edb8ae31ca91eadd97d9e992603a8b1e092ebe96eb,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3159,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,30,4158,2a4286279c3faabf,canonical_selected,single,66df552fcf753c77badcf8a1db35263a45e0026f786197f28273c2bf1cd19cdc,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3159,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,32,4180,052be43b1dece4bd,canonical_selected,single,732fd1644a8828f0c7b7590953665292161a4279aa3184cfa033dc862b01ad40,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3159,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,35,4315,8d37fb0b00aa2140,canonical_selected,single,ebc6a777ef702ca4a06de49f8aa7c594b9d2f719862283f43f384cec6bb3fe74,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3159,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,33,4373,fedb8197b3340dfd,canonical_selected,single,4a8ae7f51655809187772ce5f888654170a8e3a96536446428f5c31f5fd83037,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3159,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,34,4411,ba3299d9574a2b07,canonical_selected,single,6b9a229fa2fba30470b14fdd63f39fdccf81406ae60fc6acb9ea6cee7e667cc2,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3159,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,37,4469,cc6423efbc03837a,canonical_selected,single,87cf708c58d096f309a38d9b11e1a08e0a86ef9f9f38b2bdc51dbb58ce58e434,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3159,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,29,4547,7b812dc42704b38f,canonical_selected,single,83ad07d20268dadc270a4ebc9d203649a8a2ff17caeced107e9860d833a72f3b,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3159,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,36,4683,0b3f7174103c15b4,canonical_selected,single,415e113a57e6a54fc77a883aa2f3e33ca04abc9ff3aa0373d56f057460d6ff23,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3160,wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,26,3787,8bc8c6ce9e6be60e,canonical_selected,single,c9be4a4ed3086509c2a39619d0cea988670b52a3c34481b70ef4686d767979af,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3160,wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,28,3930,5e218c4b990e0417,canonical_selected,single,96d72aef014a9777f270cb4d48e4d2cac354316d242f89cc2b2b7e97820ff3e0,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3160,wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,27,4045,11c118eff7620923,canonical_selected,single,f1058c34986dcc77e788385eb50ef9d8160138bb8eeb362e51f6fcbf991e79ae,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3160,wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,31,4106,5a7d927dfb7a7f96,canonical_selected,single,8dfb7fb303e4e70066c9139a06f23d19e65019f99a80f69a3d31e3ba3aebf9e0,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
