source_partition_row,source_partition_version,image_id,raw_stage,condition,cluster_rank,raw_representative_id,canonical_annotation_id,mapping_status,use_scope
13,legacy213,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,C1,semi,1,1a60a6ad7849198e802c,1a60a6ad7849198e802c,matched,legacy213_partition_only_not_representative_of_extended73
13,legacy213,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,C1,semi,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
14,legacy213,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,C1,manual,1,cc1c0c89b7e5fdacc836,cc1c0c89b7e5fdacc836,matched,legacy213_partition_only_not_representative_of_extended73
14,legacy213,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
15,legacy213,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,C1,semi,1,bf6d1e98afbb6306ebff,bf6d1e98afbb6306ebff,matched,legacy213_partition_only_not_representative_of_extended73
15,legacy213,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,C1,semi,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
16,legacy213,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,C1,manual,1,0d42858d359ebfc9e871,0d42858d359ebfc9e871,matched,legacy213_partition_only_not_representative_of_extended73
16,legacy213,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
17,legacy213,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,C1,semi,1,bb9ad0084abc09c47837,bb9ad0084abc09c47837,matched,legacy213_partition_only_not_representative_of_extended73
17,legacy213,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,C1,semi,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
18,legacy213,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,C1,manual,1,495d562be7d142d5bbc5,495d562be7d142d5bbc5,matched,legacy213_partition_only_not_representative_of_extended73
18,legacy213,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
19,legacy213,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,C1,manual,1,22dcfad23c6ac14bd521,22dcfad23c6ac14bd521,matched,legacy213_partition_only_not_representative_of_extended73
19,legacy213,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
20,legacy213,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,C1,manual,1,62d758541221214e1490,62d758541221214e1490,matched,legacy213_partition_only_not_representative_of_extended73
20,legacy213,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
21,legacy213,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,C1,manual,1,not_identifiable,,source_not_identifiable,legacy213_partition_only_not_representative_of_extended73
21,legacy213,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
22,legacy213,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,C1,semi,1,not_identifiable,,source_not_identifiable,legacy213_partition_only_not_representative_of_extended73
22,legacy213,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,C1,semi,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
23,legacy213,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,C1,manual,1,not_identifiable,,source_not_identifiable,legacy213_partition_only_not_representative_of_extended73
23,legacy213,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
24,legacy213,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,C1,manual,1,df7008318a29295ca160,df7008318a29295ca160,matched,legacy213_partition_only_not_representative_of_extended73
24,legacy213,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
25,legacy213,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,C1,semi,1,e33b39ba56ff49c56427,e33b39ba56ff49c56427,matched,legacy213_partition_only_not_representative_of_extended73
25,legacy213,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,C1,semi,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
26,legacy213,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,C1,manual,1,not_identifiable,,source_not_identifiable,legacy213_partition_only_not_representative_of_extended73
26,legacy213,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
27,legacy213,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,1,58fcb37f432cd01e22a1,58fcb37f432cd01e22a1,matched,legacy213_partition_only_not_representative_of_extended73
27,legacy213,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
28,legacy213,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,C1,manual,1,3b3f16f395140c417e16,3b3f16f395140c417e16,matched,legacy213_partition_only_not_representative_of_extended73
28,legacy213,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
29,legacy213,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,C1,manual,1,bb2170e2f627c3cc30fb,bb2170e2f627c3cc30fb,matched,legacy213_partition_only_not_representative_of_extended73
29,legacy213,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
30,legacy213,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,C1,manual,1,adc213fc12f5f948aa56,adc213fc12f5f948aa56,matched,legacy213_partition_only_not_representative_of_extended73
30,legacy213,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
31,legacy213,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,C1,semi,1,be0ea7a0849f9bf057cb,be0ea7a0849f9bf057cb,matched,legacy213_partition_only_not_representative_of_extended73
31,legacy213,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,C1,semi,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
32,legacy213,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,C1,manual,1,81236ef5be5b11e8be3e,81236ef5be5b11e8be3e,matched,legacy213_partition_only_not_representative_of_extended73
32,legacy213,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
33,legacy213,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,C1,semi,1,936511830ce393b70d38,936511830ce393b70d38,matched,legacy213_partition_only_not_representative_of_extended73
33,legacy213,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,C1,semi,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
34,legacy213,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,C1,manual,1,8788f7b0921cb90d1098,8788f7b0921cb90d1098,matched,legacy213_partition_only_not_representative_of_extended73
34,legacy213,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
35,legacy213,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,C1,semi,1,1beae202a7ba8f00c6fb,1beae202a7ba8f00c6fb,matched,legacy213_partition_only_not_representative_of_extended73
35,legacy213,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,C1,semi,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
36,legacy213,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,C1,manual,1,480a17d4b8bc43325c2c,480a17d4b8bc43325c2c,matched,legacy213_partition_only_not_representative_of_extended73
36,legacy213,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
37,legacy213,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,C1,manual,1,07d7b8e9b47e3b57f09b,07d7b8e9b47e3b57f09b,matched,legacy213_partition_only_not_representative_of_extended73
37,legacy213,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
38,legacy213,b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,C1,manual,1,e98d3f5303e6099af208,e98d3f5303e6099af208,matched,legacy213_partition_only_not_representative_of_extended73
38,legacy213,b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
39,legacy213,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,C1,manual,1,1dc5dc76fab81c45cd23,1dc5dc76fab81c45cd23,matched,legacy213_partition_only_not_representative_of_extended73
39,legacy213,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
40,legacy213,e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,C1,manual,1,2421466da1f7d0800380,2421466da1f7d0800380,matched,legacy213_partition_only_not_representative_of_extended73
40,legacy213,e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
41,legacy213,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,C1,manual,1,69ad0871a13714ff7abc,69ad0871a13714ff7abc,matched,legacy213_partition_only_not_representative_of_extended73
41,legacy213,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
42,legacy213,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,C1,manual,1,0b2b9f0ed2607655632c,0b2b9f0ed2607655632c,matched,legacy213_partition_only_not_representative_of_extended73
42,legacy213,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
43,legacy213,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,C1,semi,1,973098cfe5081c1c74ec,973098cfe5081c1c74ec,matched,legacy213_partition_only_not_representative_of_extended73
43,legacy213,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,C1,semi,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
44,legacy213,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,C1,manual,1,39b9fade42ec809e239d,39b9fade42ec809e239d,matched,legacy213_partition_only_not_representative_of_extended73
44,legacy213,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
45,legacy213,q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,C1,manual,1,8066ad223dec81c40daa,8066ad223dec81c40daa,matched,legacy213_partition_only_not_representative_of_extended73
45,legacy213,q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
46,legacy213,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,C1,manual,1,290e3e82f42aa83e4adc,290e3e82f42aa83e4adc,matched,legacy213_partition_only_not_representative_of_extended73
46,legacy213,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
47,legacy213,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,C1,manual,1,86103695b3e92be6e929,86103695b3e92be6e929,matched,legacy213_partition_only_not_representative_of_extended73
47,legacy213,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
48,legacy213,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,C1,semi,1,3cf2311bd8da5ee6753a,3cf2311bd8da5ee6753a,matched,legacy213_partition_only_not_representative_of_extended73
48,legacy213,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,C1,semi,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
49,legacy213,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,C1,manual,1,6fde03b86adc8ddd0722,6fde03b86adc8ddd0722,matched,legacy213_partition_only_not_representative_of_extended73
49,legacy213,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
50,legacy213,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,C1,semi,1,23a4dc31709381a1de36,23a4dc31709381a1de36,matched,legacy213_partition_only_not_representative_of_extended73
50,legacy213,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,C1,semi,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
51,legacy213,q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,C1,manual,1,90d428978149e1e537ed,90d428978149e1e537ed,matched,legacy213_partition_only_not_representative_of_extended73
51,legacy213,q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
52,legacy213,q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,C1,manual,1,9520f54bda487c460b18,9520f54bda487c460b18,matched,legacy213_partition_only_not_representative_of_extended73
52,legacy213,q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
53,legacy213,q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,C1,manual,1,f5dab722031206b00450,f5dab722031206b00450,matched,legacy213_partition_only_not_representative_of_extended73
53,legacy213,q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
54,legacy213,q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,C1,manual,1,6228485ada8f90d32777,6228485ada8f90d32777,matched,legacy213_partition_only_not_representative_of_extended73
54,legacy213,q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
55,legacy213,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,C1,manual,1,bce7044b348685668b71,bce7044b348685668b71,matched,legacy213_partition_only_not_representative_of_extended73
55,legacy213,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
56,legacy213,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,C1,manual,1,488f0c3264bf31aca229,488f0c3264bf31aca229,matched,legacy213_partition_only_not_representative_of_extended73
56,legacy213,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
57,legacy213,rPc6DW4iMge_4350d36797324601adba7351d09602d2,C1,manual,1,a42f40b503c7f449a3f6,a42f40b503c7f449a3f6,matched,legacy213_partition_only_not_representative_of_extended73
57,legacy213,rPc6DW4iMge_4350d36797324601adba7351d09602d2,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
58,legacy213,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,C1,manual,1,a4b73bebf231dbe2321a,a4b73bebf231dbe2321a,matched,legacy213_partition_only_not_representative_of_extended73
58,legacy213,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
59,legacy213,rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,C1,manual,1,07431aa4afbbf9c0c56b,07431aa4afbbf9c0c56b,matched,legacy213_partition_only_not_representative_of_extended73
59,legacy213,rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
60,legacy213,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,C1,manual,1,6b145ff560adec834931,6b145ff560adec834931,matched,legacy213_partition_only_not_representative_of_extended73
60,legacy213,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
61,legacy213,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,C1,manual,1,not_identifiable,,source_not_identifiable,legacy213_partition_only_not_representative_of_extended73
61,legacy213,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
62,legacy213,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,C1,manual,1,0dfa885b59782e4c1c1b,0dfa885b59782e4c1c1b,matched,legacy213_partition_only_not_representative_of_extended73
62,legacy213,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
63,legacy213,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,C1,manual,1,f0b7c25018d49988f041,f0b7c25018d49988f041,matched,legacy213_partition_only_not_representative_of_extended73
63,legacy213,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
64,legacy213,uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,C1,manual,1,4ca9095576123a8afec3,4ca9095576123a8afec3,matched,legacy213_partition_only_not_representative_of_extended73
64,legacy213,uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
65,legacy213,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,C1,manual,1,not_identifiable,,source_not_identifiable,legacy213_partition_only_not_representative_of_extended73
65,legacy213,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
66,legacy213,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,C1,semi,1,not_identifiable,,source_not_identifiable,legacy213_partition_only_not_representative_of_extended73
66,legacy213,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,C1,semi,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
67,legacy213,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,C1,manual,1,d2c9465ce508ba7c1195,d2c9465ce508ba7c1195,matched,legacy213_partition_only_not_representative_of_extended73
67,legacy213,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
68,legacy213,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,C1,semi,1,702f8663c962b7634220,702f8663c962b7634220,matched,legacy213_partition_only_not_representative_of_extended73
68,legacy213,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,C1,semi,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
69,legacy213,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,C1,manual,1,7a99a58308f3ae658881,7a99a58308f3ae658881,matched,legacy213_partition_only_not_representative_of_extended73
69,legacy213,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
70,legacy213,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,C1,semi,1,02ff3128c678c453e095,02ff3128c678c453e095,matched,legacy213_partition_only_not_representative_of_extended73
70,legacy213,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,C1,semi,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
71,legacy213,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,C1,manual,1,19253e4ab328902a4d12,19253e4ab328902a4d12,matched,legacy213_partition_only_not_representative_of_extended73
71,legacy213,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
72,legacy213,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1,manual,1,4aa250b1a35849403e62,4aa250b1a35849403e62,matched,legacy213_partition_only_not_representative_of_extended73
72,legacy213,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
73,legacy213,uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,C1,manual,1,793fbf24fd55bb3641aa,793fbf24fd55bb3641aa,matched,legacy213_partition_only_not_representative_of_extended73
73,legacy213,uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
74,legacy213,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,C1,manual,1,be774848762988355a0c,be774848762988355a0c,matched,legacy213_partition_only_not_representative_of_extended73
74,legacy213,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
75,legacy213,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,C1,semi,1,401fdd3b780569d96e33,401fdd3b780569d96e33,matched,legacy213_partition_only_not_representative_of_extended73
75,legacy213,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,C1,semi,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
76,legacy213,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,C1,manual,1,not_identifiable,,source_not_identifiable,legacy213_partition_only_not_representative_of_extended73
76,legacy213,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
77,legacy213,uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,C1,manual,1,f78931e744dcb44323b8,f78931e744dcb44323b8,matched,legacy213_partition_only_not_representative_of_extended73
77,legacy213,uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
78,legacy213,uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,C1,manual,1,353881dfb47a1686a026,353881dfb47a1686a026,matched,legacy213_partition_only_not_representative_of_extended73
78,legacy213,uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
79,legacy213,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,C1,manual,1,99a8d85e0a09165ed320,99a8d85e0a09165ed320,matched,legacy213_partition_only_not_representative_of_extended73
79,legacy213,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
80,legacy213,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,C1,semi,1,788e7e1c7924718866a4,788e7e1c7924718866a4,matched,legacy213_partition_only_not_representative_of_extended73
80,legacy213,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,C1,semi,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
