image_id,condition,cut,n,mode,point_count,mode_people,workers,canonical_ids,expected_first_seen_k,expected_second_support_k,has_other_same_point_mode,singleton
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.1,24,1,6,2,W028;W032,843ee33e6df34cd4;b8541e4707e39e94,8.33333333333,16.6666666667,False,False
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.1,24,2,8,1,W008,8a6c9350ded9f505,12.5,,True,True
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.1,24,3,8,1,W034,1bbc73c77d272720,12.5,,True,True
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.1,24,4,8,17,W001;W002;W006;W010;W012;W013;W014;W015;W017;W018;W021;W027;W030;W031;W033;W035;W036,babc4e1b7d60b5ce;6d3c8739804e5920;3d27ec416166fb40;1106d9b3309125ae;38972f7a8ac6e59e;e13f31dcfeca786f;c98ff21fd3ac34dc;ed7c1f77254fbb2a;f9d6980bfc9259bd;dee69b2b7ab15827;d46ea988f490ef0f;243708573fc746f4;c0d2a3ea11db107a;5ff7ca831e9c5ad8;4d2388c60747a53d;c4bc31bc73053a93;e2305061fc73b67a,1.38888888889,2.77777777778,True,False
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.1,24,5,8,1,W037,e805d3344d24834a,12.5,,True,True
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.1,24,6,8,1,W029,618e8cec7d276f9c,12.5,,True,True
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.1,24,7,12,1,W011,b11846422ee8df2c,12.5,,False,True
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.2,24,1,6,2,W028;W032,843ee33e6df34cd4;b8541e4707e39e94,8.33333333333,16.6666666667,False,False
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.2,24,2,8,2,W008;W034,8a6c9350ded9f505;1bbc73c77d272720,8.33333333333,16.6666666667,True,False
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.2,24,3,8,19,W001;W002;W006;W010;W012;W013;W014;W015;W017;W018;W021;W027;W029;W030;W031;W033;W035;W036;W037,babc4e1b7d60b5ce;6d3c8739804e5920;3d27ec416166fb40;1106d9b3309125ae;38972f7a8ac6e59e;e13f31dcfeca786f;c98ff21fd3ac34dc;ed7c1f77254fbb2a;f9d6980bfc9259bd;dee69b2b7ab15827;d46ea988f490ef0f;243708573fc746f4;618e8cec7d276f9c;c0d2a3ea11db107a;5ff7ca831e9c5ad8;4d2388c60747a53d;c4bc31bc73053a93;e2305061fc73b67a;e805d3344d24834a,1.25,2.5,True,False
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.2,24,4,12,1,W011,b11846422ee8df2c,12.5,,False,True
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,0.05,5,1,8,2,W006;W010,02c17487f3c26175d06c;bc6afe53ebf4fa056431,2,4,True,False
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,0.05,5,2,8,1,W011,44137bda12cf49a72738,3,,True,True
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,0.05,5,3,8,1,W017,fe51149470d295897000,3,,True,True
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,0.05,5,4,12,1,W033,19f0ec5e2db5240ffd86,3,,False,True
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,0.1,5,1,8,2,W006;W010,02c17487f3c26175d06c;bc6afe53ebf4fa056431,2,4,True,False
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,0.1,5,2,8,1,W011,44137bda12cf49a72738,3,,True,True
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,0.1,5,3,8,1,W017,fe51149470d295897000,3,,True,True
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,0.1,5,4,12,1,W033,19f0ec5e2db5240ffd86,3,,False,True
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,0.2,5,1,8,2,W006;W010,02c17487f3c26175d06c;bc6afe53ebf4fa056431,2,4,True,False
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,0.2,5,2,8,1,W011,44137bda12cf49a72738,3,,True,True
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,0.2,5,3,8,1,W017,fe51149470d295897000,3,,True,True
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,0.2,5,4,12,1,W033,19f0ec5e2db5240ffd86,3,,False,True
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,0.05,6,1,8,1,W013,ec6c38a862059f07bf7f,3.5,,True,True
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,0.05,6,2,8,1,W035,b02aea4f86afbc5430f7,3.5,,True,True
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,0.05,6,3,8,1,W031,1c3df8c137a169fee41d,3.5,,True,True
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,0.05,6,4,12,1,W012,e7909355f0df5dd9276a,3.5,,True,True
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,0.05,6,5,12,1,W030,c89be364009b1fc0544e,3.5,,True,True
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,0.05,6,6,12,1,W027,4d53581ef39bae3bf5d1,3.5,,True,True
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,0.1,6,1,8,2,W013;W035,ec6c38a862059f07bf7f;b02aea4f86afbc5430f7,2.33333333333,4.66666666667,True,False
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,0.1,6,2,8,1,W031,1c3df8c137a169fee41d,3.5,,True,True
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,0.1,6,3,12,1,W012,e7909355f0df5dd9276a,3.5,,True,True
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,0.1,6,4,12,1,W030,c89be364009b1fc0544e,3.5,,True,True
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,0.1,6,5,12,1,W027,4d53581ef39bae3bf5d1,3.5,,True,True
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,0.2,6,1,8,2,W013;W035,ec6c38a862059f07bf7f;b02aea4f86afbc5430f7,2.33333333333,4.66666666667,True,False
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,0.2,6,2,8,1,W031,1c3df8c137a169fee41d,3.5,,True,True
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,0.2,6,3,12,2,W012;W030,e7909355f0df5dd9276a;c89be364009b1fc0544e,2.33333333333,4.66666666667,True,False
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,0.2,6,4,12,1,W027,4d53581ef39bae3bf5d1,3.5,,True,True
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.05,6,1,8,4,W008;W014;W031;W034,74c45cde6e9ca313500c;89f6eb36f9ae94e81adb;6051dfca1aade85a07a8;dec8403a4ddac6db3115,1.4,2.8,False,False
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.05,6,2,12,1,W032,e6f01175aabbf9fcafe7,3.5,,False,True
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.05,6,3,16,1,W018,c63d05f140fcc66be4df,3.5,,False,True
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.1,6,1,8,4,W008;W014;W031;W034,74c45cde6e9ca313500c;89f6eb36f9ae94e81adb;6051dfca1aade85a07a8;dec8403a4ddac6db3115,1.4,2.8,False,False
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.1,6,2,12,1,W032,e6f01175aabbf9fcafe7,3.5,,False,True
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.1,6,3,16,1,W018,c63d05f140fcc66be4df,3.5,,False,True
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.2,6,1,8,4,W008;W014;W031;W034,74c45cde6e9ca313500c;89f6eb36f9ae94e81adb;6051dfca1aade85a07a8;dec8403a4ddac6db3115,1.4,2.8,False,False
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.2,6,2,12,1,W032,e6f01175aabbf9fcafe7,3.5,,False,True
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.2,6,3,16,1,W018,c63d05f140fcc66be4df,3.5,,False,True
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,0.05,4,1,16,4,W006;W011;W033;W036,4486738211819be8d3d4;a63b28ab3b493bd3ee11;678fd1b3368b3c6302ad;53cffa383a4d19c3e30e,1,2,False,False
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,0.1,4,1,16,4,W006;W011;W033;W036,4486738211819be8d3d4;a63b28ab3b493bd3ee11;678fd1b3368b3c6302ad;53cffa383a4d19c3e30e,1,2,False,False
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,0.2,4,1,16,4,W006;W011;W033;W036,4486738211819be8d3d4;a63b28ab3b493bd3ee11;678fd1b3368b3c6302ad;53cffa383a4d19c3e30e,1,2,False,False
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,0.05,5,1,12,1,W034,84ac11f23b306b7457b4,3,,False,True
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,0.05,5,2,16,1,W037,8125fd4575ecfc155a63,3,,False,True
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,0.05,5,3,20,1,W001,d22e8df3dcff4100efb5,3,,True,True
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,0.05,5,4,20,1,W002,a25753564e8d0fb8f8d6,3,,True,True
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,0.05,5,5,20,1,W033,517087c6def062efa361,3,,True,True
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,0.1,5,1,12,1,W034,84ac11f23b306b7457b4,3,,False,True
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,0.1,5,2,16,1,W037,8125fd4575ecfc155a63,3,,False,True
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,0.1,5,3,20,3,W001;W002;W033,d22e8df3dcff4100efb5;a25753564e8d0fb8f8d6;517087c6def062efa361,1.5,3,False,False
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,0.2,5,1,12,1,W034,84ac11f23b306b7457b4,3,,False,True
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,0.2,5,2,16,1,W037,8125fd4575ecfc155a63,3,,False,True
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,0.2,5,3,20,3,W001;W002;W033,d22e8df3dcff4100efb5;a25753564e8d0fb8f8d6;517087c6def062efa361,1.5,3,False,False
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,0.05,4,1,14,1,W035,8f8a8cc073aa91a7c1c7,2.5,,False,True
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,0.05,4,2,16,2,W008;W010,aa3b4f3365dda18b56bc;2aea8c4c7647e5dcbf4f,1.66666666667,3.33333333333,False,False
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,0.05,4,3,20,1,W015,e8a846d937e3ed039131,2.5,,False,True
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,0.1,4,1,14,1,W035,8f8a8cc073aa91a7c1c7,2.5,,False,True
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,0.1,4,2,16,2,W008;W010,aa3b4f3365dda18b56bc;2aea8c4c7647e5dcbf4f,1.66666666667,3.33333333333,False,False
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,0.1,4,3,20,1,W015,e8a846d937e3ed039131,2.5,,False,True
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,0.2,4,1,14,1,W035,8f8a8cc073aa91a7c1c7,2.5,,False,True
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,0.2,4,2,16,2,W008;W010,aa3b4f3365dda18b56bc;2aea8c4c7647e5dcbf4f,1.66666666667,3.33333333333,False,False
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,0.2,4,3,20,1,W015,e8a846d937e3ed039131,2.5,,False,True
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,0.05,5,1,8,2,W015;W036,c3333eb36394f0f11cfe;268bafd92e9f27eee478,2,4,True,False
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,0.05,5,2,8,1,W029,b5c13db450fa7496d8e9,3,,True,True
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,0.05,5,3,8,1,W011,6d1cd2b695a93ed0418c,3,,True,True
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,0.05,5,4,16,1,W028,5c79ca3a486aa69a57d2,3,,False,True
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,0.1,5,1,8,3,W015;W029;W036,c3333eb36394f0f11cfe;b5c13db450fa7496d8e9;268bafd92e9f27eee478,1.5,3,True,False
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,0.1,5,2,8,1,W011,6d1cd2b695a93ed0418c,3,,True,True
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,0.1,5,3,16,1,W028,5c79ca3a486aa69a57d2,3,,False,True
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,0.2,5,1,8,3,W015;W029;W036,c3333eb36394f0f11cfe;b5c13db450fa7496d8e9;268bafd92e9f27eee478,1.5,3,True,False
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,0.2,5,2,8,1,W011,6d1cd2b695a93ed0418c,3,,True,True
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,0.2,5,3,16,1,W028,5c79ca3a486aa69a57d2,3,,False,True
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,0.05,5,1,8,2,W001;W029,c9e40b1fe2b3537ffc79;b81af97c20cfc379eb17,2,4,True,False
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,0.05,5,2,8,2,W002;W012,ca89b9306226c9c332c3;8cd8fc36522e0668f25d,2,4,True,False
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,0.05,5,3,8,1,W036,24cb9518cba9fc374e36,3,,True,True
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,0.1,5,1,8,4,W001;W002;W012;W029,c9e40b1fe2b3537ffc79;ca89b9306226c9c332c3;8cd8fc36522e0668f25d;b81af97c20cfc379eb17,1.2,2.4,True,False
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,0.1,5,2,8,1,W036,24cb9518cba9fc374e36,3,,True,True
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,0.2,5,1,8,4,W001;W002;W012;W029,c9e40b1fe2b3537ffc79;ca89b9306226c9c332c3;8cd8fc36522e0668f25d;b81af97c20cfc379eb17,1.2,2.4,True,False
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,0.2,5,2,8,1,W036,24cb9518cba9fc374e36,3,,True,True
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,0.05,5,1,10,1,W034,e989d5cbe8078c1ac797,3,,False,True
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,0.05,5,2,12,3,W015;W031;W032,60f051ba3d820f7cf2c1;046e2c37842123ec2f46;27b18dbca838c732fe36,1.5,3,True,False
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,0.05,5,3,12,1,W037,9f3ef0966bba166ccf67,3,,True,True
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,0.1,5,1,10,1,W034,e989d5cbe8078c1ac797,3,,False,True
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,0.1,5,2,12,4,W015;W031;W032;W037,60f051ba3d820f7cf2c1;046e2c37842123ec2f46;27b18dbca838c732fe36;9f3ef0966bba166ccf67,1.2,2.4,False,False
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,0.2,5,1,10,1,W034,e989d5cbe8078c1ac797,3,,False,True
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,0.2,5,2,12,4,W015;W031;W032;W037,60f051ba3d820f7cf2c1;046e2c37842123ec2f46;27b18dbca838c732fe36;9f3ef0966bba166ccf67,1.2,2.4,False,False
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,0.05,24,1,8,2,W028;W031,cd3a2f4a0e0ad07e;55e7158552d3913a,8.33333333333,16.6666666667,True,False
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,0.05,24,2,8,1,W029,2d656d0b379aca23,12.5,,True,True
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,0.05,24,3,8,1,W030,272f8ef889915150,12.5,,True,True
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,0.05,24,4,8,1,W001,8ded0001dfe26e8d,12.5,,True,True
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,0.05,24,5,8,1,W012,e7ac757b87291eaa,12.5,,True,True
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,0.05,24,6,8,11,W002;W006;W008;W010;W013;W014;W015;W017;W018;W027;W033,185f571fb1f1fa61;932e34e76a7b2bd3;d90afb940106a139;21dc98163be065c0;a5152b786b6b4257;7c839cd20c00cf4d;59a06a020567d554;09357be7fb68e08a;98eadb4d0d25287d;6999db3ebf3ef330;7a24ac2a83e02abb,2.08333333333,4.16666666667,True,False
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,0.05,24,7,8,2,W032;W034,8426a252a40fabd5;a97df3618c618b1a,8.33333333333,16.6666666667,True,False
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,0.05,24,8,10,1,W035,b62a4df9e1645fe7,12.5,,True,True
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,0.05,24,9,10,1,W037,717840fe8221eba6,12.5,,True,True
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,0.05,24,10,12,3,W011;W021;W036,6c4eb5c014ae5538;726df974bcd4c84b;43fca0253b1b4fff,6.25,12.5,False,False
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,0.1,24,1,8,2,W028;W031,cd3a2f4a0e0ad07e;55e7158552d3913a,8.33333333333,16.6666666667,True,False
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,0.1,24,2,8,2,W029;W030,2d656d0b379aca23;272f8ef889915150,8.33333333333,16.6666666667,True,False
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,0.1,24,3,8,2,W001;W012,8ded0001dfe26e8d;e7ac757b87291eaa,8.33333333333,16.6666666667,True,False
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,0.1,24,4,8,13,W002;W006;W008;W010;W013;W014;W015;W017;W018;W027;W032;W033;W034,185f571fb1f1fa61;932e34e76a7b2bd3;d90afb940106a139;21dc98163be065c0;a5152b786b6b4257;7c839cd20c00cf4d;59a06a020567d554;09357be7fb68e08a;98eadb4d0d25287d;6999db3ebf3ef330;8426a252a40fabd5;7a24ac2a83e02abb;a97df3618c618b1a,1.78571428571,3.57142857143,True,False
