fold_id,design,n_train_tagged,n_test_tagged,train_labels,test_labels
view:e9zR4mvMWw7_5d711de78dbd400aa4cfd51fc05dfbee,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:e9zR4mvMWw7_fa7122ef2199445485623708ea54d018,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:e9zR4mvMWw7_5a03fdefad7a46f4abaf1b2b924ec153,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:e9zR4mvMWw7_1ff35596f9cb4b98ba4f08dda81c1654,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:e9zR4mvMWw7_1ff35596f9cb4b98ba4f08dda81c1654,leave_supported_room_conservative,99,0,"[42, 41, 16]","[0, 0, 0]"
view:e9zR4mvMWw7_f6c327acf9884d988714467217d67dcd,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:e9zR4mvMWw7_6a856f5cb71645558f9f9ee069f37f1b,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:e9zR4mvMWw7_2224be23a70a475ea6daa55d4c90a91b,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:e9zR4mvMWw7_2224be23a70a475ea6daa55d4c90a91b,leave_supported_room_conservative,99,0,"[42, 41, 16]","[0, 0, 0]"
view:e9zR4mvMWw7_f8d915e2d06a4ff8ab6f4cdaf3e42295,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,leave_supported_room_conservative,99,0,"[42, 41, 16]","[0, 0, 0]"
view:e9zR4mvMWw7_5f9b1db7cc1748c2a71d9924bd1f4fa3,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:e9zR4mvMWw7_5f9b1db7cc1748c2a71d9924bd1f4fa3,leave_supported_room_conservative,99,0,"[42, 41, 16]","[0, 0, 0]"
view:jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,leave_supported_room_conservative,106,0,"[49, 41, 16]","[0, 0, 0]"
view:jtcxE69GiFV_001ad2ad14234e06b2d996d71bb96fc4,same_room_leave_view,4,1,"[0, 4, 0]","[0, 1, 0]"
view:jtcxE69GiFV_87e96c5b923840bc8276d949ff157948,same_room_leave_view,4,1,"[0, 4, 0]","[0, 1, 0]"
view:jtcxE69GiFV_6723e18211d244f8b17ced91aae64d99,same_room_leave_view,4,1,"[0, 4, 0]","[0, 1, 0]"
view:jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,same_room_leave_view,4,1,"[0, 4, 0]","[0, 1, 0]"
view:jtcxE69GiFV_fb7f2438518243b180ae78cf1e2737e3,same_room_leave_view,4,1,"[0, 4, 0]","[0, 1, 0]"
room:supported_component:jtcxE69GiFV_001ad2ad14234e06b2d996d71bb96fc4,leave_supported_room_conservative,101,5,"[49, 36, 16]","[0, 5, 0]"
view:jtcxE69GiFV_aaa3143c2ccb4ba4b51a472b48f5e260,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:jtcxE69GiFV_3a61b286f9574cebb27cce0efa211bd0,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,leave_supported_room_conservative,101,0,"[49, 36, 16]","[0, 0, 0]"
view:jtcxE69GiFV_650dbde3bd124db1bf8393250eda52ea,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:jtcxE69GiFV_36d9e8e9eba24f3fbff08082c41a4d68,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:jtcxE69GiFV_36d9e8e9eba24f3fbff08082c41a4d68,leave_supported_room_conservative,101,0,"[49, 36, 16]","[0, 0, 0]"
view:jtcxE69GiFV_a197694b62d249968f88ae32a1b49d10,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:jtcxE69GiFV_8ff0fdd4091340d1a96431ecad7d1cfe,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:jtcxE69GiFV_9f0e2562fcf447f5a7c5e44e85978148,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:jtcxE69GiFV_666e7c94f27743a788c408a62c2c13f6,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:jtcxE69GiFV_666e7c94f27743a788c408a62c2c13f6,leave_supported_room_conservative,101,0,"[49, 36, 16]","[0, 0, 0]"
view:jtcxE69GiFV_67790605390f4d439c3c59395967ec84,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:jtcxE69GiFV_fb1ac7e96b884d289aff3fe02bb3c248,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:jtcxE69GiFV_67790605390f4d439c3c59395967ec84,leave_supported_room_conservative,101,0,"[49, 36, 16]","[0, 0, 0]"
view:jtcxE69GiFV_f4dc4040df5a4f038dd2b35f2bb65266,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:jtcxE69GiFV_7ca707708ef54c5bac2992d05d4f1408,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:jtcxE69GiFV_7ca707708ef54c5bac2992d05d4f1408,leave_supported_room_conservative,101,0,"[49, 36, 16]","[0, 0, 0]"
view:jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:jtcxE69GiFV_c6baa663ada7439f9a409a86c7fd809b,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:jtcxE69GiFV_c6baa663ada7439f9a409a86c7fd809b,leave_supported_room_conservative,101,0,"[49, 36, 16]","[0, 0, 0]"
view:pRbA3pwrgk9_950f2117a6164fbc8d2faff96c40a1e9,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,leave_supported_room_conservative,106,0,"[49, 41, 16]","[0, 0, 0]"
