heldout_building,config,status,classified,sizes
X7HyMhZNoso,QTSB_3,historical_candidate_only,23,"[10, 3, 10]"
X7HyMhZNoso,TRI_3,historical_candidate_only,19,"[3, 7, 9]"
Z6MFQCViBuw,Q_2,historical_candidate_only,24,"[6, 18]"
Z6MFQCViBuw,Q_3,historical_candidate_only,24,"[6, 16, 2]"
Z6MFQCViBuw,QT_2,historical_candidate_only,23,"[13, 10]"
Z6MFQCViBuw,QT_3,historical_candidate_only,23,"[6, 7, 10]"
Z6MFQCViBuw,QTSB_3,historical_candidate_only,23,"[10, 7, 6]"
Z6MFQCViBuw,TRI_3,historical_candidate_only,19,"[3, 12, 4]"
b8cTxDM8gDG,Q_2,historical_candidate_only,24,"[6, 18]"
b8cTxDM8gDG,Q_3,historical_candidate_only,24,"[6, 16, 2]"
b8cTxDM8gDG,QT_2,historical_candidate_only,23,"[13, 10]"
b8cTxDM8gDG,QT_3,historical_candidate_only,23,"[6, 7, 10]"
b8cTxDM8gDG,QTSB_3,historical_candidate_only,23,"[10, 3, 10]"
b8cTxDM8gDG,TRI_3,historical_candidate_only,19,"[3, 7, 9]"
e9zR4mvMWw7,Q_2,historical_candidate_only,24,"[14, 10]"
e9zR4mvMWw7,Q_3,historical_candidate_only,24,"[2, 12, 10]"
e9zR4mvMWw7,QT_2,historical_candidate_only,23,"[13, 10]"
e9zR4mvMWw7,QT_3,historical_candidate_only,23,"[6, 7, 10]"
e9zR4mvMWw7,QTSB_3,historical_candidate_only,23,"[10, 7, 6]"
e9zR4mvMWw7,TRI_3,historical_candidate_only,19,"[3, 12, 4]"
jh4fc5c5qoQ,Q_2,historical_candidate_only,24,"[6, 18]"
jh4fc5c5qoQ,Q_3,historical_candidate_only,24,"[6, 16, 2]"
jh4fc5c5qoQ,QT_2,historical_candidate_only,23,"[13, 10]"
jh4fc5c5qoQ,QT_3,historical_candidate_only,23,"[6, 7, 10]"
jh4fc5c5qoQ,QTSB_3,historical_candidate_only,23,"[10, 7, 6]"
jh4fc5c5qoQ,TRI_3,historical_candidate_only,19,"[3, 7, 9]"
jtcxE69GiFV,Q_2,historical_candidate_only,24,"[6, 18]"
jtcxE69GiFV,Q_3,historical_candidate_only,24,"[6, 16, 2]"
jtcxE69GiFV,QT_2,historical_candidate_only,23,"[13, 10]"
jtcxE69GiFV,QT_3,historical_candidate_only,23,"[6, 7, 10]"
jtcxE69GiFV,QTSB_3,historical_candidate_only,23,"[10, 7, 6]"
jtcxE69GiFV,TRI_3,historical_candidate_only,19,"[3, 7, 9]"
pRbA3pwrgk9,Q_2,historical_candidate_only,24,"[6, 18]"
pRbA3pwrgk9,Q_3,historical_candidate_only,24,"[6, 16, 2]"
pRbA3pwrgk9,QT_2,historical_candidate_only,23,"[12, 11]"
pRbA3pwrgk9,QT_3,historical_candidate_only,23,"[6, 6, 11]"
pRbA3pwrgk9,QTSB_3,historical_candidate_only,23,"[10, 3, 10]"
pRbA3pwrgk9,TRI_3,historical_candidate_only,19,"[3, 7, 9]"
pa4otMbVnkk,Q_2,historical_candidate_only,24,"[12, 12]"
pa4otMbVnkk,Q_3,historical_candidate_only,24,"[2, 10, 12]"
pa4otMbVnkk,QT_2,historical_candidate_only,23,"[17, 6]"
pa4otMbVnkk,QT_3,historical_candidate_only,23,"[10, 7, 6]"
pa4otMbVnkk,QTSB_3,historical_candidate_only,23,"[10, 7, 6]"
pa4otMbVnkk,TRI_3,historical_candidate_only,19,"[3, 7, 9]"
q9vSo1VnCiC,Q_2,historical_candidate_only,24,"[3, 21]"
q9vSo1VnCiC,Q_3,historical_candidate_only,24,"[3, 11, 10]"
q9vSo1VnCiC,QT_2,historical_candidate_only,23,"[10, 13]"
q9vSo1VnCiC,QT_3,historical_candidate_only,23,"[4, 6, 13]"
q9vSo1VnCiC,QTSB_3,historical_candidate_only,23,"[10, 3, 10]"
q9vSo1VnCiC,TRI_3,historical_candidate_only,19,"[3, 11, 5]"
rPc6DW4iMge,Q_2,historical_candidate_only,24,"[7, 17]"
rPc6DW4iMge,Q_3,historical_candidate_only,24,"[1, 6, 17]"
rPc6DW4iMge,QT_2,historical_candidate_only,23,"[11, 12]"
rPc6DW4iMge,QT_3,historical_candidate_only,23,"[5, 12, 6]"
rPc6DW4iMge,QTSB_3,historical_candidate_only,23,"[10, 7, 6]"
rPc6DW4iMge,TRI_3,historical_candidate_only,19,"[3, 12, 4]"
uNb9QFRL6hY,Q_2,historical_candidate_only,24,"[2, 22]"
uNb9QFRL6hY,Q_3,historical_candidate_only,24,"[2, 8, 14]"
uNb9QFRL6hY,QT_2,historical_candidate_only,23,"[11, 12]"
uNb9QFRL6hY,QT_3,historical_candidate_only,23,"[2, 9, 12]"
uNb9QFRL6hY,QTSB_3,historical_candidate_only,23,"[2, 11, 10]"
uNb9QFRL6hY,TRI_3,historical_candidate_only,19,"[3, 11, 5]"
wc2JMjhGNzB,Q_2,historical_candidate_only,24,"[8, 16]"
wc2JMjhGNzB,Q_3,historical_candidate_only,24,"[2, 6, 16]"
wc2JMjhGNzB,QT_2,historical_candidate_only,23,"[13, 10]"
wc2JMjhGNzB,QT_3,historical_candidate_only,23,"[6, 7, 10]"
wc2JMjhGNzB,QTSB_3,historical_candidate_only,23,"[9, 3, 11]"
wc2JMjhGNzB,TRI_3,historical_candidate_only,19,"[3, 13, 3]"
x8F5xyUWy9e,Q_2,historical_candidate_only,24,"[14, 10]"
x8F5xyUWy9e,Q_3,historical_candidate_only,24,"[2, 12, 10]"
x8F5xyUWy9e,QT_2,historical_candidate_only,23,"[17, 6]"
x8F5xyUWy9e,QT_3,historical_candidate_only,23,"[10, 7, 6]"
x8F5xyUWy9e,QTSB_3,historical_candidate_only,23,"[10, 3, 10]"
x8F5xyUWy9e,TRI_3,historical_candidate_only,19,"[3, 7, 9]"
yqstnuAEVhm,Q_2,historical_candidate_only,24,"[9, 15]"
yqstnuAEVhm,Q_3,historical_candidate_only,24,"[3, 6, 15]"
yqstnuAEVhm,QT_2,historical_candidate_only,23,"[16, 7]"
yqstnuAEVhm,QT_3,historical_candidate_only,23,"[10, 7, 6]"
yqstnuAEVhm,QTSB_3,historical_candidate_only,23,"[6, 9, 8]"
yqstnuAEVhm,TRI_3,historical_candidate_only,19,"[3, 7, 9]"
zsNo4HB9uLZ,Q_2,historical_candidate_only,24,"[9, 15]"
zsNo4HB9uLZ,Q_3,historical_candidate_only,24,"[2, 7, 15]"
zsNo4HB9uLZ,QT_2,historical_candidate_only,23,"[13, 10]"
zsNo4HB9uLZ,QT_3,historical_candidate_only,23,"[6, 7, 10]"
zsNo4HB9uLZ,QTSB_3,historical_candidate_only,23,"[10, 7, 6]"
zsNo4HB9uLZ,TRI_3,historical_candidate_only,19,"[3, 7, 9]"
