unit,key,code,building,config,qualified_pool,valid_teams,validation_workers
56,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d|manual,VFuaQ6m2Qom-07,VFuaQ6m2Qom,QT_3,15,1365,W030|W008|W001|W037
56,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d|manual,VFuaQ6m2Qom-07,VFuaQ6m2Qom,Q_2,15,1365,W030|W008|W001|W037
56,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d|manual,VFuaQ6m2Qom-07,VFuaQ6m2Qom,Q_3,15,1365,W030|W008|W001|W037
56,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d|manual,VFuaQ6m2Qom-07,VFuaQ6m2Qom,TRI_3,11,330,W030|W008|W001|W037
61,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d|manual,X7HyMhZNoso-13,X7HyMhZNoso,QTSB_3,19,3876,W028|W033|W015|W008
61,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d|manual,X7HyMhZNoso-13,X7HyMhZNoso,QT_2,19,3876,W028|W033|W015|W008
61,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d|manual,X7HyMhZNoso-13,X7HyMhZNoso,QT_3,19,3876,W028|W033|W015|W008
61,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d|manual,X7HyMhZNoso-13,X7HyMhZNoso,Q_2,20,4845,W028|W033|W015|W008
61,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d|manual,X7HyMhZNoso-13,X7HyMhZNoso,Q_3,20,4845,W028|W033|W015|W008
61,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d|manual,X7HyMhZNoso-13,X7HyMhZNoso,TRI_3,15,1365,W028|W033|W015|W008
70,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15|manual,b8cTxDM8gDG-04,b8cTxDM8gDG,QTSB_3,19,3876,W002|W035|W011|W006
70,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15|manual,b8cTxDM8gDG-04,b8cTxDM8gDG,QT_2,19,3876,W002|W035|W011|W006
70,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15|manual,b8cTxDM8gDG-04,b8cTxDM8gDG,QT_3,19,3876,W002|W035|W011|W006
70,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15|manual,b8cTxDM8gDG-04,b8cTxDM8gDG,Q_2,20,4845,W002|W035|W011|W006
70,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15|manual,b8cTxDM8gDG-04,b8cTxDM8gDG,Q_3,20,4845,W002|W035|W011|W006
70,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15|manual,b8cTxDM8gDG-04,b8cTxDM8gDG,TRI_3,16,1820,W002|W035|W011|W006
81,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab|manual,e9zR4mvMWw7-19,e9zR4mvMWw7,QTSB_3,19,3876,W031|W034|W021|W017
81,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab|manual,e9zR4mvMWw7-19,e9zR4mvMWw7,QT_2,19,3876,W031|W034|W021|W017
81,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab|manual,e9zR4mvMWw7-19,e9zR4mvMWw7,QT_3,19,3876,W031|W034|W021|W017
81,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab|manual,e9zR4mvMWw7-19,e9zR4mvMWw7,Q_2,20,4845,W031|W034|W021|W017
81,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab|manual,e9zR4mvMWw7-19,e9zR4mvMWw7,Q_3,20,4845,W031|W034|W021|W017
81,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab|manual,e9zR4mvMWw7-19,e9zR4mvMWw7,TRI_3,17,2380,W031|W034|W021|W017
131,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e|manual,q9vSo1VnCiC-02,q9vSo1VnCiC,QTSB_3,19,3876,W013|W012|W036|W032
131,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e|manual,q9vSo1VnCiC-02,q9vSo1VnCiC,QT_2,19,3876,W013|W012|W036|W032
131,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e|manual,q9vSo1VnCiC-02,q9vSo1VnCiC,QT_3,19,3876,W013|W012|W036|W032
131,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e|manual,q9vSo1VnCiC-02,q9vSo1VnCiC,Q_2,20,4845,W013|W012|W036|W032
131,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e|manual,q9vSo1VnCiC-02,q9vSo1VnCiC,Q_3,20,4845,W013|W012|W036|W032
131,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e|manual,q9vSo1VnCiC-02,q9vSo1VnCiC,TRI_3,16,1820,W013|W012|W036|W032
138,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4|manual,q9vSo1VnCiC-13,q9vSo1VnCiC,QTSB_3,18,3060,W028|W027|W018|W013
138,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4|manual,q9vSo1VnCiC-13,q9vSo1VnCiC,QT_2,18,3060,W028|W027|W018|W013
138,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4|manual,q9vSo1VnCiC-13,q9vSo1VnCiC,QT_3,18,3060,W028|W027|W018|W013
138,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4|manual,q9vSo1VnCiC-13,q9vSo1VnCiC,Q_2,19,3876,W028|W027|W018|W013
138,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4|manual,q9vSo1VnCiC-13,q9vSo1VnCiC,Q_3,19,3876,W028|W027|W018|W013
138,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4|manual,q9vSo1VnCiC-13,q9vSo1VnCiC,TRI_3,14,1001,W028|W027|W018|W013
142,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a|manual,q9vSo1VnCiC-23,q9vSo1VnCiC,QTSB_3,19,3876,W021|W015|W029|W008
142,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a|manual,q9vSo1VnCiC-23,q9vSo1VnCiC,QT_2,19,3876,W021|W015|W029|W008
142,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a|manual,q9vSo1VnCiC-23,q9vSo1VnCiC,QT_3,19,3876,W021|W015|W029|W008
142,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a|manual,q9vSo1VnCiC-23,q9vSo1VnCiC,Q_2,20,4845,W021|W015|W029|W008
142,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a|manual,q9vSo1VnCiC-23,q9vSo1VnCiC,Q_3,20,4845,W021|W015|W029|W008
142,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a|manual,q9vSo1VnCiC-23,q9vSo1VnCiC,TRI_3,15,1365,W021|W015|W029|W008
146,q9vSo1VnCiC_e74e843601574864a14517f990c748a0|manual,q9vSo1VnCiC-32,q9vSo1VnCiC,QTSB_3,19,3876,W029|W010|W017|W031
146,q9vSo1VnCiC_e74e843601574864a14517f990c748a0|manual,q9vSo1VnCiC-32,q9vSo1VnCiC,QT_2,19,3876,W029|W010|W017|W031
146,q9vSo1VnCiC_e74e843601574864a14517f990c748a0|manual,q9vSo1VnCiC-32,q9vSo1VnCiC,QT_3,19,3876,W029|W010|W017|W031
146,q9vSo1VnCiC_e74e843601574864a14517f990c748a0|manual,q9vSo1VnCiC-32,q9vSo1VnCiC,Q_2,20,4845,W029|W010|W017|W031
146,q9vSo1VnCiC_e74e843601574864a14517f990c748a0|manual,q9vSo1VnCiC-32,q9vSo1VnCiC,Q_3,20,4845,W029|W010|W017|W031
146,q9vSo1VnCiC_e74e843601574864a14517f990c748a0|manual,q9vSo1VnCiC-32,q9vSo1VnCiC,TRI_3,16,1820,W029|W010|W017|W031
148,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3|manual,rPc6DW4iMge-01,rPc6DW4iMge,QTSB_3,18,3060,W010|W034|W011|W013
148,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3|manual,rPc6DW4iMge-01,rPc6DW4iMge,QT_2,18,3060,W010|W034|W011|W013
148,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3|manual,rPc6DW4iMge-01,rPc6DW4iMge,QT_3,18,3060,W010|W034|W011|W013
148,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3|manual,rPc6DW4iMge-01,rPc6DW4iMge,Q_2,19,3876,W010|W034|W011|W013
148,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3|manual,rPc6DW4iMge-01,rPc6DW4iMge,Q_3,19,3876,W010|W034|W011|W013
148,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3|manual,rPc6DW4iMge-01,rPc6DW4iMge,TRI_3,15,1365,W010|W034|W011|W013
150,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5|manual,rPc6DW4iMge-06,rPc6DW4iMge,QTSB_3,19,3876,W033|W012|W018|W035
150,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5|manual,rPc6DW4iMge-06,rPc6DW4iMge,QT_2,19,3876,W033|W012|W018|W035
150,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5|manual,rPc6DW4iMge-06,rPc6DW4iMge,QT_3,19,3876,W033|W012|W018|W035
150,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5|manual,rPc6DW4iMge-06,rPc6DW4iMge,Q_2,20,4845,W033|W012|W018|W035
150,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5|manual,rPc6DW4iMge-06,rPc6DW4iMge,Q_3,20,4845,W033|W012|W018|W035
150,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5|manual,rPc6DW4iMge-06,rPc6DW4iMge,TRI_3,17,2380,W033|W012|W018|W035
151,rPc6DW4iMge_1f14902595544e389c9c910c444e79e7|manual,rPc6DW4iMge-09,rPc6DW4iMge,QTSB_3,20,4845,W029|W033|W027|W014
151,rPc6DW4iMge_1f14902595544e389c9c910c444e79e7|manual,rPc6DW4iMge-09,rPc6DW4iMge,QT_2,20,4845,W029|W033|W027|W014
151,rPc6DW4iMge_1f14902595544e389c9c910c444e79e7|manual,rPc6DW4iMge-09,rPc6DW4iMge,QT_3,20,4845,W029|W033|W027|W014
151,rPc6DW4iMge_1f14902595544e389c9c910c444e79e7|manual,rPc6DW4iMge-09,rPc6DW4iMge,Q_2,20,4845,W029|W033|W027|W014
151,rPc6DW4iMge_1f14902595544e389c9c910c444e79e7|manual,rPc6DW4iMge-09,rPc6DW4iMge,Q_3,20,4845,W029|W033|W027|W014
151,rPc6DW4iMge_1f14902595544e389c9c910c444e79e7|manual,rPc6DW4iMge-09,rPc6DW4iMge,TRI_3,16,1820,W029|W033|W027|W014
153,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd|manual,rPc6DW4iMge-15,rPc6DW4iMge,QTSB_3,18,3060,W017|W037|W006|W034
153,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd|manual,rPc6DW4iMge-15,rPc6DW4iMge,QT_2,18,3060,W017|W037|W006|W034
153,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd|manual,rPc6DW4iMge-15,rPc6DW4iMge,QT_3,18,3060,W017|W037|W006|W034
153,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd|manual,rPc6DW4iMge-15,rPc6DW4iMge,Q_2,19,3876,W017|W037|W006|W034
153,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd|manual,rPc6DW4iMge-15,rPc6DW4iMge,Q_3,19,3876,W017|W037|W006|W034
153,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd|manual,rPc6DW4iMge-15,rPc6DW4iMge,TRI_3,15,1365,W017|W037|W006|W034
156,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de|manual,rPc6DW4iMge-20,rPc6DW4iMge,QTSB_3,19,3876,W013|W010|W021|W018
156,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de|manual,rPc6DW4iMge-20,rPc6DW4iMge,QT_2,19,3876,W013|W010|W021|W018
156,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de|manual,rPc6DW4iMge-20,rPc6DW4iMge,QT_3,19,3876,W013|W010|W021|W018
156,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de|manual,rPc6DW4iMge-20,rPc6DW4iMge,Q_2,20,4845,W013|W010|W021|W018
156,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de|manual,rPc6DW4iMge-20,rPc6DW4iMge,Q_3,20,4845,W013|W010|W021|W018
156,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de|manual,rPc6DW4iMge-20,rPc6DW4iMge,TRI_3,15,1365,W013|W010|W021|W018
157,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486|manual,rPc6DW4iMge-22,rPc6DW4iMge,QTSB_3,19,3876,W013|W035|W030|W008
157,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486|manual,rPc6DW4iMge-22,rPc6DW4iMge,QT_2,19,3876,W013|W035|W030|W008
157,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486|manual,rPc6DW4iMge-22,rPc6DW4iMge,QT_3,19,3876,W013|W035|W030|W008
157,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486|manual,rPc6DW4iMge-22,rPc6DW4iMge,Q_2,20,4845,W013|W035|W030|W008
157,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486|manual,rPc6DW4iMge-22,rPc6DW4iMge,Q_3,20,4845,W013|W035|W030|W008
157,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486|manual,rPc6DW4iMge-22,rPc6DW4iMge,TRI_3,16,1820,W013|W035|W030|W008
158,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283|manual,uNb9QFRL6hY-06,uNb9QFRL6hY,QTSB_3,19,3876,W012|W032|W034|W035
158,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283|manual,uNb9QFRL6hY-06,uNb9QFRL6hY,QT_2,19,3876,W012|W032|W034|W035
158,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283|manual,uNb9QFRL6hY-06,uNb9QFRL6hY,QT_3,19,3876,W012|W032|W034|W035
158,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283|manual,uNb9QFRL6hY-06,uNb9QFRL6hY,Q_2,20,4845,W012|W032|W034|W035
158,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283|manual,uNb9QFRL6hY-06,uNb9QFRL6hY,Q_3,20,4845,W012|W032|W034|W035
158,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283|manual,uNb9QFRL6hY-06,uNb9QFRL6hY,TRI_3,18,3060,W012|W032|W034|W035
159,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e|manual,uNb9QFRL6hY-08,uNb9QFRL6hY,QTSB_3,18,3060,W008|W010|W031|W034
159,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e|manual,uNb9QFRL6hY-08,uNb9QFRL6hY,QT_2,18,3060,W008|W010|W031|W034
159,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e|manual,uNb9QFRL6hY-08,uNb9QFRL6hY,QT_3,18,3060,W008|W010|W031|W034
159,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e|manual,uNb9QFRL6hY-08,uNb9QFRL6hY,Q_2,19,3876,W008|W010|W031|W034
159,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e|manual,uNb9QFRL6hY-08,uNb9QFRL6hY,Q_3,19,3876,W008|W010|W031|W034
159,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e|manual,uNb9QFRL6hY-08,uNb9QFRL6hY,TRI_3,16,1820,W008|W010|W031|W034
160,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9|manual,uNb9QFRL6hY-21,uNb9QFRL6hY,QTSB_3,17,2380,W029|W008|W037|W013
160,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9|manual,uNb9QFRL6hY-21,uNb9QFRL6hY,QT_2,17,2380,W029|W008|W037|W013
160,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9|manual,uNb9QFRL6hY-21,uNb9QFRL6hY,QT_3,17,2380,W029|W008|W037|W013
160,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9|manual,uNb9QFRL6hY-21,uNb9QFRL6hY,Q_2,17,2380,W029|W008|W037|W013
160,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9|manual,uNb9QFRL6hY-21,uNb9QFRL6hY,Q_3,17,2380,W029|W008|W037|W013
160,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9|manual,uNb9QFRL6hY-21,uNb9QFRL6hY,TRI_3,14,1001,W029|W008|W037|W013
161,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622|manual,uNb9QFRL6hY-25,uNb9QFRL6hY,QTSB_3,18,3060,W031|W017|W008|W029
161,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622|manual,uNb9QFRL6hY-25,uNb9QFRL6hY,QT_2,18,3060,W031|W017|W008|W029
161,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622|manual,uNb9QFRL6hY-25,uNb9QFRL6hY,QT_3,18,3060,W031|W017|W008|W029
161,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622|manual,uNb9QFRL6hY-25,uNb9QFRL6hY,Q_2,19,3876,W031|W017|W008|W029
161,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622|manual,uNb9QFRL6hY-25,uNb9QFRL6hY,Q_3,19,3876,W031|W017|W008|W029
161,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622|manual,uNb9QFRL6hY-25,uNb9QFRL6hY,TRI_3,15,1365,W031|W017|W008|W029
171,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|manual,uNb9QFRL6hY-45,uNb9QFRL6hY,QTSB_3,19,3876,W034|W029|W014|W032
