worker_id,language_group,group,number,image_id,difficulty,coarse,status
15,中文任务组,G179,29,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
17,中文任务组,G179,29,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
28,英文任务组,G179,29,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
29,英文任务组,G179,29,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
31,英文任务组,G179,29,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
32,英文任务组,G179,29,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
33,英文任务组,G179,29,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
34,英文任务组,G179,29,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
35,英文任务组,G179,29,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
36,英文任务组,G179,29,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
37,英文任务组,G179,29,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,中等,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
1,中文任务组,G184,26,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
2,中文任务组,G184,26,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
8,中文任务组,G184,26,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
10,中文任务组,G184,26,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
12,中文任务组,G184,26,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
13,中文任务组,G184,26,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
15,中文任务组,G184,26,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
30,英文任务组,G184,26,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
31,英文任务组,G184,26,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
32,英文任务组,G184,26,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
33,英文任务组,G184,26,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
34,英文任务组,G184,26,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
35,英文任务组,G184,26,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
37,英文任务组,G184,26,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
6,中文任务组,G184,88,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
8,中文任务组,G184,88,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
10,中文任务组,G184,88,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
13,中文任务组,G184,88,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
15,中文任务组,G184,88,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
17,中文任务组,G184,88,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
28,英文任务组,G184,88,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
29,英文任务组,G184,88,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
30,英文任务组,G184,88,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
31,英文任务组,G184,88,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
32,英文任务组,G184,88,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
33,英文任务组,G184,88,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
35,英文任务组,G184,88,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
36,英文任务组,G184,88,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
2,中文任务组,G172,40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
10,中文任务组,G172,40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
13,中文任务组,G172,40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
28,英文任务组,G172,40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
29,英文任务组,G172,40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
30,英文任务组,G172,40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
33,英文任务组,G172,40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
35,英文任务组,G172,40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
36,英文任务组,G172,40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
37,英文任务组,G172,40,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
1,中文任务组,G172,12,uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
2,中文任务组,G172,12,uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
6,中文任务组,G172,12,uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
10,中文任务组,G172,12,uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
12,中文任务组,G172,12,uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
28,英文任务组,G172,12,uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
29,英文任务组,G172,12,uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
30,英文任务组,G172,12,uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
31,英文任务组,G172,12,uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
32,英文任务组,G172,12,uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
33,英文任务组,G172,12,uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
34,英文任务组,G172,12,uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
35,英文任务组,G172,12,uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
36,英文任务组,G172,12,uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
37,英文任务组,G172,12,uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f,中等,起居与休闲,FEASIBILITY_WITNESS_NOT_DISPATCH
1,中文任务组,G047,6,S9hNv5qa7GM_3c496aedd9d645a5b8d7a7b1b53f0636,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
10,中文任务组,G047,6,S9hNv5qa7GM_3c496aedd9d645a5b8d7a7b1b53f0636,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
12,中文任务组,G047,6,S9hNv5qa7GM_3c496aedd9d645a5b8d7a7b1b53f0636,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
28,英文任务组,G047,6,S9hNv5qa7GM_3c496aedd9d645a5b8d7a7b1b53f0636,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
31,英文任务组,G047,6,S9hNv5qa7GM_3c496aedd9d645a5b8d7a7b1b53f0636,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
32,英文任务组,G047,6,S9hNv5qa7GM_3c496aedd9d645a5b8d7a7b1b53f0636,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
34,英文任务组,G047,6,S9hNv5qa7GM_3c496aedd9d645a5b8d7a7b1b53f0636,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
37,英文任务组,G047,6,S9hNv5qa7GM_3c496aedd9d645a5b8d7a7b1b53f0636,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
1,中文任务组,G047,10,S9hNv5qa7GM_674b3b6705604a4c8b89182edee11e54,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
12,中文任务组,G047,10,S9hNv5qa7GM_674b3b6705604a4c8b89182edee11e54,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
15,中文任务组,G047,10,S9hNv5qa7GM_674b3b6705604a4c8b89182edee11e54,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
17,中文任务组,G047,10,S9hNv5qa7GM_674b3b6705604a4c8b89182edee11e54,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
29,英文任务组,G047,10,S9hNv5qa7GM_674b3b6705604a4c8b89182edee11e54,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
30,英文任务组,G047,10,S9hNv5qa7GM_674b3b6705604a4c8b89182edee11e54,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
34,英文任务组,G047,10,S9hNv5qa7GM_674b3b6705604a4c8b89182edee11e54,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
35,英文任务组,G047,10,S9hNv5qa7GM_674b3b6705604a4c8b89182edee11e54,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
1,中文任务组,G057,4,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
2,中文任务组,G057,4,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
6,中文任务组,G057,4,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
8,中文任务组,G057,4,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
12,中文任务组,G057,4,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
13,中文任务组,G057,4,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
15,中文任务组,G057,4,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
28,英文任务组,G057,4,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
29,英文任务组,G057,4,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
35,英文任务组,G057,4,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
36,英文任务组,G057,4,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
37,英文任务组,G057,4,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
1,中文任务组,G057,10,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
2,中文任务组,G057,10,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
6,中文任务组,G057,10,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
8,中文任务组,G057,10,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
10,中文任务组,G057,10,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
12,中文任务组,G057,10,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
13,中文任务组,G057,10,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
15,中文任务组,G057,10,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
17,中文任务组,G057,10,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
28,英文任务组,G057,10,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
29,英文任务组,G057,10,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
32,英文任务组,G057,10,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
33,英文任务组,G057,10,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
34,英文任务组,G057,10,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
36,英文任务组,G057,10,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,困难,卫浴,FEASIBILITY_WITNESS_NOT_DISPATCH
1,中文任务组,G237,5,yqstnuAEVhm_2b3fb4746d414cc6a31729b222ed79b2,简单,厨房与用餐,FEASIBILITY_WITNESS_NOT_DISPATCH
10,中文任务组,G237,5,yqstnuAEVhm_2b3fb4746d414cc6a31729b222ed79b2,简单,厨房与用餐,FEASIBILITY_WITNESS_NOT_DISPATCH
28,英文任务组,G237,5,yqstnuAEVhm_2b3fb4746d414cc6a31729b222ed79b2,简单,厨房与用餐,FEASIBILITY_WITNESS_NOT_DISPATCH
29,英文任务组,G237,5,yqstnuAEVhm_2b3fb4746d414cc6a31729b222ed79b2,简单,厨房与用餐,FEASIBILITY_WITNESS_NOT_DISPATCH
30,英文任务组,G237,5,yqstnuAEVhm_2b3fb4746d414cc6a31729b222ed79b2,简单,厨房与用餐,FEASIBILITY_WITNESS_NOT_DISPATCH
31,英文任务组,G237,5,yqstnuAEVhm_2b3fb4746d414cc6a31729b222ed79b2,简单,厨房与用餐,FEASIBILITY_WITNESS_NOT_DISPATCH
34,英文任务组,G237,5,yqstnuAEVhm_2b3fb4746d414cc6a31729b222ed79b2,简单,厨房与用餐,FEASIBILITY_WITNESS_NOT_DISPATCH
37,英文任务组,G237,5,yqstnuAEVhm_2b3fb4746d414cc6a31729b222ed79b2,简单,厨房与用餐,FEASIBILITY_WITNESS_NOT_DISPATCH
6,中文任务组,G237,10,yqstnuAEVhm_4ab11dce32f346b2becac29e0ac6e526,简单,厨房与用餐,FEASIBILITY_WITNESS_NOT_DISPATCH
13,中文任务组,G237,10,yqstnuAEVhm_4ab11dce32f346b2becac29e0ac6e526,简单,厨房与用餐,FEASIBILITY_WITNESS_NOT_DISPATCH
29,英文任务组,G237,10,yqstnuAEVhm_4ab11dce32f346b2becac29e0ac6e526,简单,厨房与用餐,FEASIBILITY_WITNESS_NOT_DISPATCH
30,英文任务组,G237,10,yqstnuAEVhm_4ab11dce32f346b2becac29e0ac6e526,简单,厨房与用餐,FEASIBILITY_WITNESS_NOT_DISPATCH
31,英文任务组,G237,10,yqstnuAEVhm_4ab11dce32f346b2becac29e0ac6e526,简单,厨房与用餐,FEASIBILITY_WITNESS_NOT_DISPATCH
32,英文任务组,G237,10,yqstnuAEVhm_4ab11dce32f346b2becac29e0ac6e526,简单,厨房与用餐,FEASIBILITY_WITNESS_NOT_DISPATCH
33,英文任务组,G237,10,yqstnuAEVhm_4ab11dce32f346b2becac29e0ac6e526,简单,厨房与用餐,FEASIBILITY_WITNESS_NOT_DISPATCH
37,英文任务组,G237,10,yqstnuAEVhm_4ab11dce32f346b2becac29e0ac6e526,简单,厨房与用餐,FEASIBILITY_WITNESS_NOT_DISPATCH
10,中文任务组,G165,2,rPc6DW4iMge_0226db0c3fd24410bbf3db5e6d4b24fe,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
17,中文任务组,G165,2,rPc6DW4iMge_0226db0c3fd24410bbf3db5e6d4b24fe,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
28,英文任务组,G165,2,rPc6DW4iMge_0226db0c3fd24410bbf3db5e6d4b24fe,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
30,英文任务组,G165,2,rPc6DW4iMge_0226db0c3fd24410bbf3db5e6d4b24fe,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
32,英文任务组,G165,2,rPc6DW4iMge_0226db0c3fd24410bbf3db5e6d4b24fe,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
33,英文任务组,G165,2,rPc6DW4iMge_0226db0c3fd24410bbf3db5e6d4b24fe,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
35,英文任务组,G165,2,rPc6DW4iMge_0226db0c3fd24410bbf3db5e6d4b24fe,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
36,英文任务组,G165,2,rPc6DW4iMge_0226db0c3fd24410bbf3db5e6d4b24fe,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
1,中文任务组,G165,14,rPc6DW4iMge_7316bf706e0d46368334c0c989210e09,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
2,中文任务组,G165,14,rPc6DW4iMge_7316bf706e0d46368334c0c989210e09,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
12,中文任务组,G165,14,rPc6DW4iMge_7316bf706e0d46368334c0c989210e09,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
17,中文任务组,G165,14,rPc6DW4iMge_7316bf706e0d46368334c0c989210e09,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
29,英文任务组,G165,14,rPc6DW4iMge_7316bf706e0d46368334c0c989210e09,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
32,英文任务组,G165,14,rPc6DW4iMge_7316bf706e0d46368334c0c989210e09,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
34,英文任务组,G165,14,rPc6DW4iMge_7316bf706e0d46368334c0c989210e09,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
37,英文任务组,G165,14,rPc6DW4iMge_7316bf706e0d46368334c0c989210e09,简单,卧室,FEASIBILITY_WITNESS_NOT_DISPATCH
6,中文任务组,G207,4,wc2JMjhGNzB_05e7fcde7a00435ebba65933c1758dde,简单,主空间待定,FEASIBILITY_WITNESS_NOT_DISPATCH
15,中文任务组,G207,4,wc2JMjhGNzB_05e7fcde7a00435ebba65933c1758dde,简单,主空间待定,FEASIBILITY_WITNESS_NOT_DISPATCH
28,英文任务组,G207,4,wc2JMjhGNzB_05e7fcde7a00435ebba65933c1758dde,简单,主空间待定,FEASIBILITY_WITNESS_NOT_DISPATCH
31,英文任务组,G207,4,wc2JMjhGNzB_05e7fcde7a00435ebba65933c1758dde,简单,主空间待定,FEASIBILITY_WITNESS_NOT_DISPATCH
32,英文任务组,G207,4,wc2JMjhGNzB_05e7fcde7a00435ebba65933c1758dde,简单,主空间待定,FEASIBILITY_WITNESS_NOT_DISPATCH
33,英文任务组,G207,4,wc2JMjhGNzB_05e7fcde7a00435ebba65933c1758dde,简单,主空间待定,FEASIBILITY_WITNESS_NOT_DISPATCH
35,英文任务组,G207,4,wc2JMjhGNzB_05e7fcde7a00435ebba65933c1758dde,简单,主空间待定,FEASIBILITY_WITNESS_NOT_DISPATCH
37,英文任务组,G207,4,wc2JMjhGNzB_05e7fcde7a00435ebba65933c1758dde,简单,主空间待定,FEASIBILITY_WITNESS_NOT_DISPATCH
2,中文任务组,G207,45,wc2JMjhGNzB_8e093e32e55c4a5dbf453b5e2bf2b24c,简单,主空间待定,FEASIBILITY_WITNESS_NOT_DISPATCH
6,中文任务组,G207,45,wc2JMjhGNzB_8e093e32e55c4a5dbf453b5e2bf2b24c,简单,主空间待定,FEASIBILITY_WITNESS_NOT_DISPATCH
10,中文任务组,G207,45,wc2JMjhGNzB_8e093e32e55c4a5dbf453b5e2bf2b24c,简单,主空间待定,FEASIBILITY_WITNESS_NOT_DISPATCH
17,中文任务组,G207,45,wc2JMjhGNzB_8e093e32e55c4a5dbf453b5e2bf2b24c,简单,主空间待定,FEASIBILITY_WITNESS_NOT_DISPATCH
