group,building,source_review_state,source_physical_same,registered_images,current_manual_images,current_high_support_manual_images,image_ids,high_support_ids,independent_room_identity_not_newly_adjudicated
G034,B6ByNegPMKs,viewed_per_user_statement,不支持,2,0,0,,,True
G035,B6ByNegPMKs,viewed_per_user_statement,待定,2,1,1,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,True
G036,B6ByNegPMKs,explicit_confirmed,支持,2,2,1,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993|B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,True
G037,B6ByNegPMKs,viewed_per_user_statement,不支持,2,1,0,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,,True
G038,B6ByNegPMKs,viewed_per_user_statement,待定,2,0,0,,,True
G039,B6ByNegPMKs,viewed_per_user_statement,待定,2,0,0,,,True
G040,S9hNv5qa7GM,viewed_per_user_statement,不支持,2,2,1,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e|S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,True
G041,S9hNv5qa7GM,viewed_per_user_statement,不支持,2,2,1,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e|S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,True
G042,S9hNv5qa7GM,explicit_confirmed,支持,3,0,0,,,True
G043,S9hNv5qa7GM,viewed_per_user_statement,不支持,2,0,0,,,True
G044,S9hNv5qa7GM,explicit_discussion,支持,2,0,0,,,True
G045,S9hNv5qa7GM,viewed_per_user_statement,支持,2,1,0,S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,,True
G046,S9hNv5qa7GM,explicit_confirmed,支持,3,3,0,S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee|S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02|S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,,True
G047,S9hNv5qa7GM,explicit_confirmed,支持,5,1,1,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,True
G048,S9hNv5qa7GM,viewed_per_user_statement,不支持,2,0,0,,,True
G049,UwV83HsGsw3,explicit_discussion,支持,6,3,0,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b|UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc|UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,,True
G050,UwV83HsGsw3,viewed_per_user_statement,不支持,2,0,0,,,True
G051,UwV83HsGsw3,explicit_confirmed,支持,5,2,0,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de|UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,,True
G052,UwV83HsGsw3,viewed_per_user_statement,支持,3,0,0,,,True
G053,UwV83HsGsw3,viewed_per_user_statement,不支持,2,0,0,,,True
G054,UwV83HsGsw3,viewed_per_user_statement,支持,2,0,0,,,True
G055,UwV83HsGsw3,viewed_per_user_statement,不支持,2,1,1,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,True
G056,UwV83HsGsw3,viewed_per_user_statement,不支持,2,1,0,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,,True
G057,VFuaQ6m2Qom,explicit_confirmed,支持,6,4,1,VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a|VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85|VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d|VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,True
G058,VFuaQ6m2Qom,viewed_per_user_statement,不支持,2,1,0,VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,,True
G059,VFuaQ6m2Qom,explicit_confirmed,支持,3,1,0,VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,,True
G060,VFuaQ6m2Qom,viewed_per_user_statement,不支持,2,0,0,,,True
G061,VLzqgDo317F,viewed_per_user_statement,不支持,2,1,0,VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,,True
G062,VLzqgDo317F,viewed_per_user_statement,支持,2,0,0,,,True
G063,X7HyMhZNoso,viewed_per_user_statement,支持,4,0,0,,,True
G064,X7HyMhZNoso,viewed_per_user_statement,不支持,2,0,0,,,True
G065,X7HyMhZNoso,viewed_per_user_statement,支持,2,0,0,,,True
G066,X7HyMhZNoso,viewed_per_user_statement,支持,3,1,0,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,,True
G067,X7HyMhZNoso,viewed_per_user_statement,支持,2,0,0,,,True
G068,X7HyMhZNoso,viewed_per_user_statement,支持,4,0,0,,,True
G069,X7HyMhZNoso,viewed_per_user_statement,不支持,2,1,1,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,True
G070,X7HyMhZNoso,viewed_per_user_statement,支持,2,1,0,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,,True
G071,X7HyMhZNoso,viewed_per_user_statement,支持,2,0,0,,,True
G072,X7HyMhZNoso,viewed_per_user_statement,支持,2,1,1,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,True
G073,X7HyMhZNoso,viewed_per_user_statement,不支持,2,0,0,,,True
G074,Z6MFQCViBuw,viewed_per_user_statement,不支持,2,0,0,,,True
G075,Z6MFQCViBuw,viewed_per_user_statement,待定,2,1,0,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,,True
G076,Z6MFQCViBuw,viewed_per_user_statement,支持,2,0,0,,,True
G077,Z6MFQCViBuw,viewed_per_user_statement,不支持,2,2,0,Z6MFQCViBuw_2008e72476f84104858e908beeac0193|Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,,True
G078,Z6MFQCViBuw,explicit_confirmed,支持,4,1,0,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,,True
G079,Z6MFQCViBuw,viewed_per_user_statement,不支持,2,1,0,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,,True
G080,ZMojNkEp431,viewed_per_user_statement,支持,2,0,0,,,True
G081,b8cTxDM8gDG,explicit_confirmed,支持,2,0,0,,,True
G082,b8cTxDM8gDG,viewed_per_user_statement,支持,3,1,1,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,True
G083,b8cTxDM8gDG,explicit_confirmed,支持,2,0,0,,,True
G084,b8cTxDM8gDG,viewed_per_user_statement,不支持,2,0,0,,,True
G085,b8cTxDM8gDG,viewed_per_user_statement,支持,2,0,0,,,True
G086,b8cTxDM8gDG,viewed_per_user_statement,支持,2,1,0,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,,True
G087,b8cTxDM8gDG,viewed_per_user_statement,支持,2,0,0,,,True
G088,b8cTxDM8gDG,viewed_per_user_statement,待定,2,1,0,b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,,True
G089,e9zR4mvMWw7,explicit_confirmed,支持,3,1,0,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,,True
G090,e9zR4mvMWw7,explicit_confirmed,支持,7,0,0,,,True
G091,e9zR4mvMWw7,viewed_per_user_statement,支持,3,0,0,,,True
G092,e9zR4mvMWw7,explicit_discussion,支持,2,1,0,e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,,True
G093,e9zR4mvMWw7,viewed_per_user_statement,不支持,2,0,0,,,True
G094,e9zR4mvMWw7,explicit_confirmed,支持,2,0,0,,,True
G095,e9zR4mvMWw7,explicit_discussion,支持,5,1,1,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,True
G096,e9zR4mvMWw7,viewed_per_user_statement,支持,3,0,0,,,True
G097,e9zR4mvMWw7,viewed_per_user_statement,不支持,2,0,0,,,True
G098,e9zR4mvMWw7,explicit_confirmed,支持,3,1,0,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,,True
G099,e9zR4mvMWw7,explicit_confirmed,支持,3,0,0,,,True
G100,e9zR4mvMWw7,viewed_per_user_statement,支持,2,0,0,,,True
G101,jh4fc5c5qoQ,viewed_per_user_statement,不支持,2,0,0,,,True
G102,jh4fc5c5qoQ,viewed_per_user_statement,支持,2,2,0,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec|jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,,True
G103,jh4fc5c5qoQ,viewed_per_user_statement,不支持,2,1,0,jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,,True
G104,jh4fc5c5qoQ,explicit_confirmed,支持,3,1,0,jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c,,True
G105,jh4fc5c5qoQ,explicit_discussion,支持,3,2,0,jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca|jh4fc5c5qoQ_855bc326ad174253b57626daf123c608,,True
G106,jh4fc5c5qoQ,explicit_confirmed,支持,3,0,0,,,True
G107,jh4fc5c5qoQ,viewed_per_user_statement,待定,2,1,0,jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,,True
G108,jh4fc5c5qoQ,explicit_discussion,支持,2,1,0,jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,,True
G109,jtcxE69GiFV,viewed_per_user_statement,支持,5,2,0,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037|jtcxE69GiFV_6723e18211d244f8b17ced91aae64d99,,True
G110,jtcxE69GiFV,explicit_confirmed,支持,3,1,0,jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,,True
G111,jtcxE69GiFV,viewed_per_user_statement,待定,2,1,0,jtcxE69GiFV_539fb3f6f19b442285b593628a8ce14e,,True
G112,jtcxE69GiFV,viewed_per_user_statement,支持,2,0,0,,,True
G113,jtcxE69GiFV,viewed_per_user_statement,支持,2,2,0,jtcxE69GiFV_4d7ce55eeb6643079aba3b10360de8d8|jtcxE69GiFV_f473cf5a09a64090acec3bfe8fccaacd,,True
G114,jtcxE69GiFV,explicit_discussion,支持,4,2,0,jtcxE69GiFV_9f0e2562fcf447f5a7c5e44e85978148|jtcxE69GiFV_a197694b62d249968f88ae32a1b49d10,,True
G115,jtcxE69GiFV,viewed_per_user_statement,支持,2,1,0,jtcxE69GiFV_67790605390f4d439c3c59395967ec84,,True
G116,jtcxE69GiFV,viewed_per_user_statement,支持,2,1,0,jtcxE69GiFV_f4dc4040df5a4f038dd2b35f2bb65266,,True
G117,jtcxE69GiFV,explicit_discussion,支持,3,2,0,jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1|jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,,True
G118,jtcxE69GiFV,viewed_per_user_statement,待定,2,1,0,jtcxE69GiFV_f473cf5a09a64090acec3bfe8fccaacd,,True
G119,kEZ7cmS4wCh,viewed_per_user_statement,待定,2,0,0,,,True
G120,pRbA3pwrgk9,viewed_per_user_statement,待定,2,2,0,pRbA3pwrgk9_0350fc96e88c4a52886d4eb50b2d52c6|pRbA3pwrgk9_bc9ae89832854c19a69741f97291efad,,True
G121,pRbA3pwrgk9,viewed_per_user_statement,待定,2,1,0,pRbA3pwrgk9_0350fc96e88c4a52886d4eb50b2d52c6,,True
G122,pRbA3pwrgk9,viewed_per_user_statement,支持,2,1,0,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,,True
G123,pRbA3pwrgk9,viewed_per_user_statement,待定,2,1,0,pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,,True
G124,pRbA3pwrgk9,explicit_discussion,支持,5,3,0,pRbA3pwrgk9_0dad4bd3fa7e4349a5325596c10d6fdf|pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4|pRbA3pwrgk9_4fe4474e9bf9429ea92d202bdea4dce5,,True
G125,pRbA3pwrgk9,explicit_confirmed,支持,2,2,0,pRbA3pwrgk9_16beb21e65a84850a509972190038d0e|pRbA3pwrgk9_8caa90fc5528451f9e9f45634676499b,,True
G126,pRbA3pwrgk9,viewed_per_user_statement,不支持,2,1,0,pRbA3pwrgk9_16beb21e65a84850a509972190038d0e,,True
G127,pRbA3pwrgk9,explicit_confirmed,支持,3,0,0,,,True
G128,pRbA3pwrgk9,viewed_per_user_statement,不支持,2,1,0,pRbA3pwrgk9_9c9bed9bf7d94ac0bcea18e3bf521930,,True
G129,pa4otMbVnkk,viewed_per_user_statement,支持,2,0,0,,,True
G130,pa4otMbVnkk,explicit_confirmed,支持,5,2,0,pa4otMbVnkk_eac7bdc24b24474ba38b8b0b5acd62f6|pa4otMbVnkk_f6005da79d2c43ba820db8124a4287d1,,True
G131,pa4otMbVnkk,viewed_per_user_statement,支持,2,0,0,,,True
G132,pa4otMbVnkk,explicit_confirmed,支持,3,0,0,,,True
G133,pa4otMbVnkk,viewed_per_user_statement,不支持,2,2,0,pa4otMbVnkk_270f6920ec0f48c391bca974b356bc3b|pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,,True
G134,pa4otMbVnkk,explicit_confirmed,支持,2,1,0,pa4otMbVnkk_270f6920ec0f48c391bca974b356bc3b,,True
G135,pa4otMbVnkk,viewed_per_user_statement,支持,3,1,0,pa4otMbVnkk_3ad5d0784b1442b6a728bb7dec3d50e0,,True
G136,pa4otMbVnkk,explicit_discussion,支持,3,0,0,,,True
G137,pa4otMbVnkk,viewed_per_user_statement,不支持,2,0,0,,,True
G138,pa4otMbVnkk,explicit_confirmed,支持,4,1,0,pa4otMbVnkk_447755d931aa401097d8c0952a22b17e,,True
G139,pa4otMbVnkk,viewed_per_user_statement,支持,3,1,0,pa4otMbVnkk_4fbdfc08c934474ea9a04977f9081d0e,,True
G140,pa4otMbVnkk,viewed_per_user_statement,支持,2,0,0,,,True
G141,pa4otMbVnkk,explicit_confirmed,支持,6,1,0,pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,,True
G142,pa4otMbVnkk,explicit_discussion,支持,2,1,0,pa4otMbVnkk_64ba4f267872432abdcb00af002649d5,,True
G143,pa4otMbVnkk,viewed_per_user_statement,支持,2,0,0,,,True
G144,pa4otMbVnkk,viewed_per_user_statement,待定,2,0,0,,,True
G145,q9vSo1VnCiC,viewed_per_user_statement,支持,4,3,2,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d|q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e|q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e|q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,True
G146,q9vSo1VnCiC,viewed_per_user_statement,不支持,2,1,0,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,,True
G147,q9vSo1VnCiC,viewed_per_user_statement,支持,2,2,1,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9|q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,True
G148,q9vSo1VnCiC,viewed_per_user_statement,待定,2,1,0,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,,True
G149,q9vSo1VnCiC,viewed_per_user_statement,支持,2,2,1,q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20|q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC_e74e843601574864a14517f990c748a0,True
G150,q9vSo1VnCiC,viewed_per_user_statement,不支持,2,1,1,q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC_e74e843601574864a14517f990c748a0,True
G151,q9vSo1VnCiC,viewed_per_user_statement,待定,2,1,0,q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,,True
G152,q9vSo1VnCiC,viewed_per_user_statement,不支持,2,0,0,,,True
G153,q9vSo1VnCiC,viewed_per_user_statement,支持,4,1,0,q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,,True
G154,q9vSo1VnCiC,viewed_per_user_statement,待定,2,1,0,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,,True
G155,q9vSo1VnCiC,viewed_per_user_statement,支持,2,2,0,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd|q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,,True
G156,q9vSo1VnCiC,viewed_per_user_statement,支持,2,1,0,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,,True
G157,q9vSo1VnCiC,viewed_per_user_statement,支持,2,0,0,,,True
G158,q9vSo1VnCiC,viewed_per_user_statement,支持,2,0,0,,,True
G159,q9vSo1VnCiC,viewed_per_user_statement,支持,2,0,0,,,True
G160,q9vSo1VnCiC,viewed_per_user_statement,不支持,2,0,0,,,True
G161,q9vSo1VnCiC,viewed_per_user_statement,不支持,2,1,0,q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,,True
G162,q9vSo1VnCiC,viewed_per_user_statement,支持,2,0,0,,,True
G163,q9vSo1VnCiC,viewed_per_user_statement,支持,2,1,0,q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,,True
G164,rPc6DW4iMge,viewed_per_user_statement,不支持,2,2,2,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3|rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3|rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,True
G165,rPc6DW4iMge,explicit_confirmed,支持,3,1,1,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,True
G166,rPc6DW4iMge,viewed_per_user_statement,支持,3,3,2,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff|rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5|rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5|rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,True
G167,rPc6DW4iMge,viewed_per_user_statement,不支持,2,0,0,,,True
G168,rPc6DW4iMge,viewed_per_user_statement,支持,2,0,0,,,True
G169,rPc6DW4iMge,viewed_per_user_statement,不支持,2,1,0,rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,,True
G170,rPc6DW4iMge,explicit_confirmed,支持,2,0,0,,,True
G171,rPc6DW4iMge,viewed_per_user_statement,支持,4,2,1,rPc6DW4iMge_4350d36797324601adba7351d09602d2|rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,True
G172,uNb9QFRL6hY,viewed_per_user_statement,支持,12,2,1,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,True
G173,uNb9QFRL6hY,viewed_per_user_statement,不支持,2,1,1,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,True
G174,uNb9QFRL6hY,explicit_confirmed,支持,4,1,0,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,,True
G175,uNb9QFRL6hY,viewed_per_user_statement,待定,2,0,0,,,True
G176,uNb9QFRL6hY,explicit_discussion,支持,3,1,1,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,True
G177,uNb9QFRL6hY,viewed_per_user_statement,不支持,2,1,1,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,True
G178,uNb9QFRL6hY,explicit_confirmed,支持,7,0,0,,,True
G179,uNb9QFRL6hY,explicit_discussion,支持,9,4,2,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e|uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd|uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7|uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e|uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,True
G180,uNb9QFRL6hY,explicit_discussion,支持,5,2,1,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d|uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,True
G181,uNb9QFRL6hY,viewed_per_user_statement,待定,2,0,0,,,True
G182,uNb9QFRL6hY,viewed_per_user_statement,不支持,2,1,1,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,True
G183,uNb9QFRL6hY,viewed_per_user_statement,支持,2,1,0,uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,,True
G184,uNb9QFRL6hY,explicit_discussion,支持,9,6,2,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d|uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449|uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b|uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,True
G185,uNb9QFRL6hY,viewed_per_user_statement,待定,2,2,2,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9|uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9|uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,True
G186,uNb9QFRL6hY,viewed_per_user_statement,支持,2,1,1,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,True
G187,uNb9QFRL6hY,viewed_per_user_statement,支持,2,0,0,,,True
G188,uNb9QFRL6hY,viewed_per_user_statement,不支持,2,1,0,uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,,True
G189,uNb9QFRL6hY,explicit_discussion,支持,4,1,0,uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,,True
G190,uNb9QFRL6hY,viewed_per_user_statement,支持,2,1,1,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,True
G191,uNb9QFRL6hY,viewed_per_user_statement,不支持,2,0,0,,,True
G192,uNb9QFRL6hY,explicit_confirmed,支持,3,1,0,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,,True
G193,uNb9QFRL6hY,viewed_per_user_statement,支持,2,0,0,,,True
