condition,scene,image_a,image_b,relation,grade_a,grade_b,n_a,n_b,main_a,main_b,singleton_a,singleton_b,late_new_a,late_new_b,cdf_early_a,cdf_early_b
manual,卧室,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,same_building_not_necessarily_same_room,simple,difficult_candidate,5,24,sleep,sleep,0,0.5,0,0.523333333333,1,0
manual,卫浴,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,same_category_different_building,difficult_candidate,simple,24,6,bathroom,bathroom,0.208333333333,0,0.101666666667,0,0,1
manual,卫浴,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,same_category_different_building,difficult_candidate,simple,24,5,bathroom,unknown,0.208333333333,0,0.101666666667,0,0,1
manual,卫浴,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,same_category_different_building,simple,difficult_candidate,6,24,bathroom,bathroom,0,0.333333333333,0,0.330833333333,1,0
manual,卫浴,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,same_category_different_building,simple,difficult_candidate,6,24,bathroom,bathroom,0,0.375,0,0.418333333333,1,0
manual,卫浴,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,same_category_different_building,simple,difficult_candidate,6,23,bathroom,bathroom,0,0.347826086957,0,0.420833333333,1,0
manual,卫浴,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,same_category_different_building,simple,difficult_candidate,6,23,bathroom,bathroom,0,0.260869565217,0,0.178333333333,1,0
manual,卫浴,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,same_category_different_building,difficult_candidate,simple,24,5,bathroom,unknown,0.333333333333,0,0.330833333333,0,0,1
manual,卫浴,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,same_building_not_necessarily_same_room,difficult_candidate,simple,24,5,bathroom,unknown,0.375,0,0.418333333333,0,0,1
manual,卫浴,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,same_building_not_necessarily_same_room,difficult_candidate,simple,23,5,bathroom,unknown,0.347826086957,0,0.420833333333,0,0,1
manual,卫浴,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,same_building_not_necessarily_same_room,difficult_candidate,simple,23,5,bathroom,unknown,0.260869565217,0,0.178333333333,0,0,1
manual,通行与连接,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,same_category_different_building,difficult_candidate,simple,24,5,circulation,unknown,0.416666666667,0,0.460833333333,0,0,1
manual,通行与连接,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,same_category_different_building,difficult_candidate,simple,24,24,circulation,circulation,0.416666666667,0,0.460833333333,0,0,1
manual,通行与连接,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,rPc6DW4iMge_4350d36797324601adba7351d09602d2,same_category_different_building,difficult_candidate,simple,24,5,circulation,circulation,0.416666666667,0,0.460833333333,0,0,1
manual,通行与连接,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,same_category_different_building,difficult_candidate,simple,24,6,circulation,circulation,0.416666666667,0,0.460833333333,0.0333333333333,0,1
manual,通行与连接,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,same_category_different_building,difficult_candidate,simple,24,6,circulation,circulation,0.416666666667,0,0.460833333333,0,0,1
manual,通行与连接,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,same_category_different_building,difficult_candidate,simple,24,5,circulation,unknown,0.416666666667,0,0.469166666667,0,0,1
manual,通行与连接,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,same_category_different_building,difficult_candidate,simple,24,24,circulation,circulation,0.416666666667,0,0.469166666667,0,0,1
manual,通行与连接,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,rPc6DW4iMge_4350d36797324601adba7351d09602d2,same_category_different_building,difficult_candidate,simple,24,5,circulation,circulation,0.416666666667,0,0.469166666667,0,0,1
manual,通行与连接,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,same_category_different_building,difficult_candidate,simple,24,6,circulation,circulation,0.416666666667,0,0.469166666667,0.0333333333333,0,1
manual,通行与连接,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,same_category_different_building,difficult_candidate,simple,24,6,circulation,circulation,0.416666666667,0,0.469166666667,0,0,1
manual,通行与连接,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,same_category_different_building,difficult_candidate,simple,24,5,circulation,unknown,0.208333333333,0,0.184166666667,0,0,1
manual,通行与连接,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,same_category_different_building,difficult_candidate,simple,24,24,circulation,circulation,0.208333333333,0,0.184166666667,0,0,1
manual,通行与连接,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,rPc6DW4iMge_4350d36797324601adba7351d09602d2,same_category_different_building,difficult_candidate,simple,24,5,circulation,circulation,0.208333333333,0,0.184166666667,0,0,1
manual,通行与连接,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,same_category_different_building,difficult_candidate,simple,24,6,circulation,circulation,0.208333333333,0,0.184166666667,0.0333333333333,0,1
manual,通行与连接,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,same_category_different_building,difficult_candidate,simple,24,6,circulation,circulation,0.208333333333,0,0.184166666667,0,0,1
manual,通行与连接,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,same_category_different_building,simple,difficult_candidate,5,24,unknown,sleep,0,0.5,0,0.508333333333,1,0
manual,通行与连接,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,same_building_not_necessarily_same_room,simple,difficult_candidate,24,24,circulation,sleep,0,0.5,0,0.508333333333,1,0
manual,通行与连接,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,rPc6DW4iMge_4350d36797324601adba7351d09602d2,same_category_different_building,difficult_candidate,simple,24,5,sleep,circulation,0.5,0,0.508333333333,0,0,1
manual,通行与连接,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,same_category_different_building,difficult_candidate,simple,24,6,sleep,circulation,0.5,0,0.508333333333,0.0333333333333,0,1
manual,通行与连接,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,same_category_different_building,difficult_candidate,simple,24,6,sleep,circulation,0.5,0,0.508333333333,0,0,1
semi,卧室,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,same_building_not_necessarily_same_room,medium,simple,24,4,sleep,sleep,0,0,0,0,0.3,1
