analysis_role,base_task_id,block3_generated,canonical_status,canonical_submission_id,decision_source_file,decision_source_sha256,decision_time,exclusion_reason,formal_policy_frozen,formal_profile_frozen,geometry_status,reconciliation_status,reference_status,reported_chain,risk_eligibility,scientific_conclusion_prohibited,worker_id
diagnostic_pre_stage3,jtcxE69GiFV_f473cf5a09a64090acec3bfe8fccaacd,False,false,f8c20f06811c7321e708,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,not_joined_in_this_processing_package,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,canonical_invalid,True,28
diagnostic_pre_stage3,zsNo4HB9uLZ_4c0aab63a4434cf4878e6f5b3ce9a70b,False,false,970482034011870740d6,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,researcher_confirmed_bad_gt,False,False,not_materialized_in_canonical_submission_artifact,reported,not_joined_in_this_processing_package,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,not_evaluable,True,35
diagnostic_pre_stage3,jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,False,true,adb6425249fda2c7f4fb,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,36
diagnostic_pre_stage3,zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,False,true,fdc854f0d4dc7acc11b0,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,36
diagnostic_pre_stage3,jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c,False,true,f562e6b9f3dd0f546812,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,37
diagnostic_pre_stage3,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,False,true,e1491370f166c6c5a7d6,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,37
diagnostic_pre_stage3,pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,False,true,fed448617a25d8c8e1a4,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,1
diagnostic_pre_stage3,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,False,true,56a766b95bd23e61232e,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,1
diagnostic_pre_stage3,S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,False,true,40c7e453f4819038ad62,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,10
diagnostic_pre_stage3,S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,False,true,2b1b6e2ee0285eb02c88,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,10
diagnostic_pre_stage3,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,False,true,8768c3642fee588c06f4,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,11
diagnostic_pre_stage3,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,False,true,0fce729d57cd25ee8f7c,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,11
diagnostic_pre_stage3,pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657,False,true,d782001d4fc8ead022db,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,12
diagnostic_pre_stage3,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,False,true,2926abff9dbf4e375b92,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,12
diagnostic_pre_stage3,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,False,false,32303e1226bb8c059165,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,canonical_invalid,True,13
diagnostic_pre_stage3,jtcxE69GiFV_3fb4bb890d7f4964b496a46db647e72a,False,true,44c73224857604910e05,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,13
diagnostic_pre_stage3,zsNo4HB9uLZ_65eefaf93e6249908e6389eb4eabf0f5,False,false,b0b172b4994b226c45a4,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,canonical_invalid,True,15
diagnostic_pre_stage3,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,False,true,a431c68f99235de30da3,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,15
diagnostic_pre_stage3,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,False,true,f005d5460cd37c229372,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,8
diagnostic_pre_stage3,jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,False,true,2194b610ab3f6d48b3fe,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,17
diagnostic_pre_stage3,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,False,true,a529ac26f739576c2616,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,17
diagnostic_pre_stage3,jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,False,true,e92320c34035fa738fcd,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,2
diagnostic_pre_stage3,zsNo4HB9uLZ_4c0aab63a4434cf4878e6f5b3ce9a70b,False,true,682625e3d592552bf5a1,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,researcher_confirmed_bad_gt,False,False,not_materialized_in_canonical_submission_artifact,reported,not_joined_in_this_processing_package,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,not_evaluable,True,2
diagnostic_pre_stage3,jtcxE69GiFV_5d3af9ad575b4be88587967ff8114c36,False,true,d28639fd7c1c8d01c280,analysis_results\c2a_rp_block1_reestimate_20260810_v1\c2a_rp_block1_canonical_submissions.csv;analysis_results\c2a_rp_block1_reestimate_20260810_v2\c2b_plus_c2a_rp_block1_risk_slope_evidence.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b;044bd35663f6fe8a64dfb04c0e550e30de466c42062ce8244c002ab7505750d2,,,False,False,not_materialized_in_canonical_submission_artifact,reported,use_existing_public_gt_as_is,Block1: 40 canonical; 33 canonical-valid; 32 risk-eligible; 2 not-evaluable,eligible,True,6
