stage,building_id,support_count,source_artifact,source_sha256
C2A-RP-B1,jtcxE69GiFV,8,analysis_results/c2a_rp_block1_reestimate_20260810_v1/c2a_rp_block1_canonical_submissions.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b
C2A-RP-B1,pRbA3pwrgk9,6,analysis_results/c2a_rp_block1_reestimate_20260810_v1/c2a_rp_block1_canonical_submissions.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b
C2A-RP-B1,pa4otMbVnkk,5,analysis_results/c2a_rp_block1_reestimate_20260810_v1/c2a_rp_block1_canonical_submissions.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b
C2A-RP-B1,zsNo4HB9uLZ,7,analysis_results/c2a_rp_block1_reestimate_20260810_v1/c2a_rp_block1_canonical_submissions.csv,5c297463dabe20e6c05dcd41d08f305bd5a98648cfb9d761543455f49574042b
C2A-RP-B2,2t7WUuJeko7,3,export_label/c2arp_block2/project-84-at-2026-08-14-08-36-31615637.json;export_label/c2arp_block2/project-85-at-2026-08-14-08-36-71fffb37.json,711fd7192849a4c466f661026a39e158848b9b2a3420499ff719efa9166b49a1;ed8c8652c7e6c7a2fc35fbd40c085dbcefa68b75f2803c82f7b265be7de98970
C2A-RP-B2,S9hNv5qa7GM,4,export_label/c2arp_block2/project-84-at-2026-08-14-08-36-31615637.json;export_label/c2arp_block2/project-85-at-2026-08-14-08-36-71fffb37.json,711fd7192849a4c466f661026a39e158848b9b2a3420499ff719efa9166b49a1;ed8c8652c7e6c7a2fc35fbd40c085dbcefa68b75f2803c82f7b265be7de98970
C2A-RP-B2,VFuaQ6m2Qom,2,export_label/c2arp_block2/project-84-at-2026-08-14-08-36-31615637.json;export_label/c2arp_block2/project-85-at-2026-08-14-08-36-71fffb37.json,711fd7192849a4c466f661026a39e158848b9b2a3420499ff719efa9166b49a1;ed8c8652c7e6c7a2fc35fbd40c085dbcefa68b75f2803c82f7b265be7de98970
C2A-RP-B2,jh4fc5c5qoQ,3,export_label/c2arp_block2/project-84-at-2026-08-14-08-36-31615637.json;export_label/c2arp_block2/project-85-at-2026-08-14-08-36-71fffb37.json,711fd7192849a4c466f661026a39e158848b9b2a3420499ff719efa9166b49a1;ed8c8652c7e6c7a2fc35fbd40c085dbcefa68b75f2803c82f7b265be7de98970
C2A-RP-B2,jtcxE69GiFV,12,export_label/c2arp_block2/project-84-at-2026-08-14-08-36-31615637.json;export_label/c2arp_block2/project-85-at-2026-08-14-08-36-71fffb37.json,711fd7192849a4c466f661026a39e158848b9b2a3420499ff719efa9166b49a1;ed8c8652c7e6c7a2fc35fbd40c085dbcefa68b75f2803c82f7b265be7de98970
C2A-RP-B2,pRbA3pwrgk9,6,export_label/c2arp_block2/project-84-at-2026-08-14-08-36-31615637.json;export_label/c2arp_block2/project-85-at-2026-08-14-08-36-71fffb37.json,711fd7192849a4c466f661026a39e158848b9b2a3420499ff719efa9166b49a1;ed8c8652c7e6c7a2fc35fbd40c085dbcefa68b75f2803c82f7b265be7de98970
C2A-RP-B2,pa4otMbVnkk,6,export_label/c2arp_block2/project-84-at-2026-08-14-08-36-31615637.json;export_label/c2arp_block2/project-85-at-2026-08-14-08-36-71fffb37.json,711fd7192849a4c466f661026a39e158848b9b2a3420499ff719efa9166b49a1;ed8c8652c7e6c7a2fc35fbd40c085dbcefa68b75f2803c82f7b265be7de98970
C2A-RP-B2,zsNo4HB9uLZ,4,export_label/c2arp_block2/project-84-at-2026-08-14-08-36-31615637.json;export_label/c2arp_block2/project-85-at-2026-08-14-08-36-71fffb37.json,711fd7192849a4c466f661026a39e158848b9b2a3420499ff719efa9166b49a1;ed8c8652c7e6c7a2fc35fbd40c085dbcefa68b75f2803c82f7b265be7de98970
