task_id,base_task_id,image_stem,planned_project_name,task_code,inner_id,task_url,intended_project_group,appears_in_assignment_manual,appears_in_assignment_semi,appears_in_worker_distribution,mapping_status
518,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1_anchor_all,A-006,6,planned://C1_anchor_all/6,Calibration_anchor,true,false,true,planned_import_order
519,q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,C1_core_all,B-035,35,planned://C1_core_all/35,Calibration_core,true,false,true,planned_import_order
525,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,C1_core_all,B-037,37,planned://C1_core_all/37,Calibration_core,true,false,true,planned_import_order
527,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,C1_core_all,B-039,39,planned://C1_core_all/39,Calibration_core,true,false,true,planned_import_order
528,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,C1_core_all,B-012,12,planned://C1_core_all/12,Calibration_core,true,true,true,planned_import_order
528,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,C1_semi,C-020,20,planned://C1_semi/20,Calibration_semi,false,true,true,planned_import_order
535,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,C1_core_all,B-007,7,planned://C1_core_all/7,Calibration_core,true,false,true,planned_import_order
541,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,C1_core_all,B-049,49,planned://C1_core_all/49,Calibration_core,true,true,true,planned_import_order
541,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,C1_semi,C-007,7,planned://C1_semi/7,Calibration_semi,false,true,true,planned_import_order
542,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,C1_core_all,B-006,6,planned://C1_core_all/6,Calibration_core,true,false,true,planned_import_order
543,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,C1_core_all,B-045,45,planned://C1_core_all/45,Calibration_core,true,true,true,planned_import_order
543,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,C1_semi,C-022,22,planned://C1_semi/22,Calibration_semi,false,true,true,planned_import_order
547,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,C1_anchor_all,A-005,5,planned://C1_anchor_all/5,Calibration_anchor,true,false,true,planned_import_order
557,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,C1_anchor_all,A-011,11,planned://C1_anchor_all/11,Calibration_anchor,true,false,true,planned_import_order
558,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,C1_anchor_all,A-012,12,planned://C1_anchor_all/12,Calibration_anchor,true,false,true,planned_import_order
561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1_anchor_all,A-001,1,planned://C1_anchor_all/1,Calibration_anchor,true,false,true,planned_import_order
563,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,C1_anchor_all,A-010,10,planned://C1_anchor_all/10,Calibration_anchor,true,false,true,planned_import_order
580,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,C1_anchor_all,A-009,9,planned://C1_anchor_all/9,Calibration_anchor,true,false,true,planned_import_order
587,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,C1_core_all,B-015,15,planned://C1_core_all/15,Calibration_core,true,false,true,planned_import_order
594,yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,C1_core_all,B-025,25,planned://C1_core_all/25,Calibration_core,true,false,true,planned_import_order
595,q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,C1_core_all,B-036,36,planned://C1_core_all/36,Calibration_core,true,false,true,planned_import_order
596,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,C1_core_all,B-022,22,planned://C1_core_all/22,Calibration_core,true,true,true,planned_import_order
596,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,C1_semi,C-016,16,planned://C1_semi/16,Calibration_semi,false,true,true,planned_import_order
597,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,C1_core_all,B-009,9,planned://C1_core_all/9,Calibration_core,true,true,true,planned_import_order
597,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,C1_semi,C-004,4,planned://C1_semi/4,Calibration_semi,false,true,true,planned_import_order
600,uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,C1_core_all,B-048,48,planned://C1_core_all/48,Calibration_core,true,false,true,planned_import_order
602,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,C1_core_all,B-027,27,planned://C1_core_all/27,Calibration_core,true,false,true,planned_import_order
603,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,C1_core_all,B-016,16,planned://C1_core_all/16,Calibration_core,true,true,true,planned_import_order
603,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,C1_semi,C-011,11,planned://C1_semi/11,Calibration_semi,false,true,true,planned_import_order
604,b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,C1_core_all,B-050,50,planned://C1_core_all/50,Calibration_core,true,false,true,planned_import_order
605,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,C1_core_all,B-031,31,planned://C1_core_all/31,Calibration_core,true,false,true,planned_import_order
606,yqstnuAEVhm_4642492bb42d40debb1a3bad0ea7a24f,yqstnuAEVhm_4642492bb42d40debb1a3bad0ea7a24f,C1_core_all,B-043,43,planned://C1_core_all/43,Calibration_core,true,false,true,planned_import_order
613,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,C1_core_all,B-014,14,planned://C1_core_all/14,Calibration_core,true,false,true,planned_import_order
620,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,C1_core_all,B-047,47,planned://C1_core_all/47,Calibration_core,true,false,true,planned_import_order
621,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,C1_anchor_all,A-002,2,planned://C1_anchor_all/2,Calibration_anchor,true,false,true,planned_import_order
626,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,C1_anchor_all,A-007,7,planned://C1_anchor_all/7,Calibration_anchor,true,false,true,planned_import_order
627,uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,C1_core_all,B-038,38,planned://C1_core_all/38,Calibration_core,true,false,true,planned_import_order
652,yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,C1_core_all,B-018,18,planned://C1_core_all/18,Calibration_core,true,false,true,planned_import_order
656,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,C1_core_all,B-029,29,planned://C1_core_all/29,Calibration_core,true,true,true,planned_import_order
656,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,C1_semi,C-018,18,planned://C1_semi/18,Calibration_semi,false,true,true,planned_import_order
665,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,C1_core_all,B-017,17,planned://C1_core_all/17,Calibration_core,true,false,true,planned_import_order
672,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,C1_core_all,B-019,19,planned://C1_core_all/19,Calibration_core,true,true,true,planned_import_order
672,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,C1_semi,C-017,17,planned://C1_semi/17,Calibration_semi,false,true,true,planned_import_order
678,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,C1_core_all,B-044,44,planned://C1_core_all/44,Calibration_core,true,true,true,planned_import_order
678,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,C1_semi,C-012,12,planned://C1_semi/12,Calibration_semi,false,true,true,planned_import_order
679,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,C1_core_all,B-034,34,planned://C1_core_all/34,Calibration_core,true,true,true,planned_import_order
679,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,C1_semi,C-003,3,planned://C1_semi/3,Calibration_semi,false,true,true,planned_import_order
683,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,C1_anchor_all,A-003,3,planned://C1_anchor_all/3,Calibration_anchor,true,false,true,planned_import_order
695,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,C1_core_all,B-008,8,planned://C1_core_all/8,Calibration_core,true,false,true,planned_import_order
698,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,C1_core_all,B-030,30,planned://C1_core_all/30,Calibration_core,true,false,true,planned_import_order
699,yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,C1_core_all,B-040,40,planned://C1_core_all/40,Calibration_core,true,false,true,planned_import_order
700,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,C1_core_all,B-004,4,planned://C1_core_all/4,Calibration_core,true,true,true,planned_import_order
700,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,C1_semi,C-015,15,planned://C1_semi/15,Calibration_semi,false,true,true,planned_import_order
701,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,C1_core_all,B-005,5,planned://C1_core_all/5,Calibration_core,true,true,true,planned_import_order
701,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,C1_semi,C-010,10,planned://C1_semi/10,Calibration_semi,false,true,true,planned_import_order
705,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,C1_core_all,B-013,13,planned://C1_core_all/13,Calibration_core,true,false,true,planned_import_order
708,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,C1_core_all,B-046,46,planned://C1_core_all/46,Calibration_core,true,true,true,planned_import_order
708,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,C1_semi,C-002,2,planned://C1_semi/2,Calibration_semi,false,true,true,planned_import_order
710,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,C1_core_all,B-010,10,planned://C1_core_all/10,Calibration_core,true,false,true,planned_import_order
713,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,C1_core_all,B-023,23,planned://C1_core_all/23,Calibration_core,true,true,true,planned_import_order
713,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,C1_semi,C-014,14,planned://C1_semi/14,Calibration_semi,false,true,true,planned_import_order
716,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,C1_core_all,B-026,26,planned://C1_core_all/26,Calibration_core,true,true,true,planned_import_order
716,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,C1_semi,C-019,19,planned://C1_semi/19,Calibration_semi,false,true,true,planned_import_order
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,C1_core_all,B-070,70,planned://C1_core_all/70,Calibration_core,true,false,true,planned_import_order
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,C1_core_all,B-066,66,planned://C1_core_all/66,Calibration_core,true,true,true,planned_import_order
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,C1_semi,C-024,24,planned://C1_semi/24,Calibration_semi,false,true,true,planned_import_order
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,C1_core_all,B-071,71,planned://C1_core_all/71,Calibration_core,true,true,true,planned_import_order
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,C1_semi,C-023,23,planned://C1_semi/23,Calibration_semi,false,true,true,planned_import_order
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,C1_core_all,B-069,69,planned://C1_core_all/69,Calibration_core,true,false,true,planned_import_order
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,C1_core_all,B-054,54,planned://C1_core_all/54,Calibration_core,true,false,true,planned_import_order
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,C1_core_all,B-061,61,planned://C1_core_all/61,Calibration_core,true,false,true,planned_import_order
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,C1_core_all,B-055,55,planned://C1_core_all/55,Calibration_core,true,false,true,planned_import_order
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,C1_core_all,B-053,53,planned://C1_core_all/53,Calibration_core,true,false,true,planned_import_order
q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,C1_core_all,B-068,68,planned://C1_core_all/68,Calibration_core,true,false,true,planned_import_order
q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,C1_core_all,B-051,51,planned://C1_core_all/51,Calibration_core,true,false,true,planned_import_order
q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,C1_core_all,B-067,67,planned://C1_core_all/67,Calibration_core,true,false,true,planned_import_order
rPc6DW4iMge_4350d36797324601adba7351d09602d2,rPc6DW4iMge_4350d36797324601adba7351d09602d2,rPc6DW4iMge_4350d36797324601adba7351d09602d2,C1_core_all,B-058,58,planned://C1_core_all/58,Calibration_core,true,false,true,planned_import_order
rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,C1_core_all,B-075,75,planned://C1_core_all/75,Calibration_core,true,false,true,planned_import_order
uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,C1_core_all,B-057,57,planned://C1_core_all/57,Calibration_core,true,false,true,planned_import_order
uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,C1_core_all,B-052,52,planned://C1_core_all/52,Calibration_core,true,false,true,planned_import_order
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,C1_core_all,B-064,64,planned://C1_core_all/64,Calibration_core,true,true,true,planned_import_order
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,C1_semi,C-025,25,planned://C1_semi/25,Calibration_semi,false,true,true,planned_import_order
uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,C1_core_all,B-065,65,planned://C1_core_all/65,Calibration_core,true,false,true,planned_import_order
uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,C1_core_all,B-062,62,planned://C1_core_all/62,Calibration_core,true,false,true,planned_import_order
uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,C1_core_all,B-060,60,planned://C1_core_all/60,Calibration_core,true,false,true,planned_import_order
wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,C1_core_all,B-072,72,planned://C1_core_all/72,Calibration_core,true,false,true,planned_import_order
x8F5xyUWy9e_1be9a97aada84e4795f64583ac0e3b76,x8F5xyUWy9e_1be9a97aada84e4795f64583ac0e3b76,x8F5xyUWy9e_1be9a97aada84e4795f64583ac0e3b76,C1_core_all,B-063,63,planned://C1_core_all/63,Calibration_core,true,false,true,planned_import_order
x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,C1_core_all,B-056,56,planned://C1_core_all/56,Calibration_core,true,false,true,planned_import_order
x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,C1_core_all,B-074,74,planned://C1_core_all/74,Calibration_core,true,false,true,planned_import_order
yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,C1_core_all,B-073,73,planned://C1_core_all/73,Calibration_core,true,false,true,planned_import_order
yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,C1_core_all,B-059,59,planned://C1_core_all/59,Calibration_core,true,false,true,planned_import_order
