task_id,base_task_id,worker_id,manual_semi_same_image_overlap
678,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,29,false
504,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,2,false
504,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,32,false
504,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,30,false
504,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,1,false
713,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,13,false
713,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,28,false
713,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,17,false
713,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,18,false
700,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,14,false
700,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,36,false
700,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,31,false
700,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,11,false
596,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,6,false
596,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,33,false
596,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,34,false
596,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,35,false
672,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,12,false
672,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,15,false
672,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,8,false
672,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,37,false
656,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,10,false
656,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,27,false
656,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,29,false
656,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,13,false
716,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,2,false
716,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,32,false
716,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,30,false
716,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,1,false
528,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,28,false
528,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,17,false
528,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,18,false
528,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,14,false
481,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,6,false
481,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,36,false
481,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,31,false
481,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,33,false
543,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,11,false
543,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,34,false
543,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,12,false
543,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,15,false
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,8,false
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,10,false
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,37,false
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,27,false
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,35,false
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,29,false
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,13,false
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,2,false
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,32,false
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,30,false
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,1,false
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,28,false
