image_id,code,building,scene,scene_source,display_groups,supported_groups,room_state,manual_people,manual_band,semi_people,submitters_all_ids,no_saved_submission_or_draft,unseen_english,in_original_112,in_any_current_candidate_pool,in_required,in_H,in_followup_proposal,oos_status,image_path,group_physical_same_states
B6ByNegPMKs_2a1bc1a10d7b45ad902e09cd71767fd9,B6ByNegPMKs-07,B6ByNegPMKs,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G018""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_2a1bc1a10d7b45ad902e09cd71767fd9.png,"{""G018"": ""待定""}"
B6ByNegPMKs_343c07bcee6a4740a3cd39540e8f4ca2,B6ByNegPMKs-08,B6ByNegPMKs,工作与学习,current_coarse_review；不采用未确认的新模型建议,"[""G021""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_343c07bcee6a4740a3cd39540e8f4ca2.png,"{""G021"": ""不支持""}"
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs-10,B6ByNegPMKs,工作与学习,current_coarse_review；不采用未确认的新模型建议,"[""G022""]",[],仅待定或不支持同房关系,0,0,24,26,False,[],False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8.png,"{""G022"": ""待定""}"
B6ByNegPMKs_4c769d1a658d41eb995deb5b40af57a4,B6ByNegPMKs-12,B6ByNegPMKs,工作与学习,current_coarse_review；不采用未确认的新模型建议,"[""G023""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_4c769d1a658d41eb995deb5b40af57a4.png,"{""G023"": ""不支持""}"
B6ByNegPMKs_4e537870fc094609a7eda53d1e313fa8,B6ByNegPMKs-13,B6ByNegPMKs,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G026""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_4e537870fc094609a7eda53d1e313fa8.png,"{""G026"": ""待定""}"
B6ByNegPMKs_51623bde5d4a4550b2c34efe044a16dc,B6ByNegPMKs-14,B6ByNegPMKs,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G028"", ""G029"", ""G030""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_51623bde5d4a4550b2c34efe044a16dc.png,"{""G028"": ""待定"", ""G029"": ""待定"", ""G030"": ""待定""}"
B6ByNegPMKs_59cbdf96b19c4cc4a576e6658c5f67d6,B6ByNegPMKs-16,B6ByNegPMKs,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G028""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_59cbdf96b19c4cc4a576e6658c5f67d6.png,"{""G028"": ""待定""}"
B6ByNegPMKs_5b3d1c9fefb64512b0c9750a00feece4,B6ByNegPMKs-17,B6ByNegPMKs,工作与学习,current_coarse_review；不采用未确认的新模型建议,"[""G031""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_5b3d1c9fefb64512b0c9750a00feece4.png,"{""G031"": ""不支持""}"
B6ByNegPMKs_6ef1007d4f8641cfa4102b27787f0210,B6ByNegPMKs-19,B6ByNegPMKs,工作与学习,current_coarse_review；不采用未确认的新模型建议,"[""G031""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_6ef1007d4f8641cfa4102b27787f0210.png,"{""G031"": ""不支持""}"
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs-21,B6ByNegPMKs,起居与休闲,current_coarse_review；不采用未确认的新模型建议,"[""G024""]",[],仅待定或不支持同房关系,5,3—7,4,9,False,"[31, 33, 34, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_7018ca302c584d0d85024187f3568460.png,"{""G024"": ""待定""}"
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs-22,B6ByNegPMKs,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G029""]",[],仅待定或不支持同房关系,0,0,24,26,False,[],False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_75327de9719945aa8b893a6404667884.png,"{""G029"": ""待定""}"
B6ByNegPMKs_8a830452b3b449d08625f3d70bdd07b8,B6ByNegPMKs-23,B6ByNegPMKs,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G030""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_8a830452b3b449d08625f3d70bdd07b8.png,"{""G030"": ""待定""}"
B6ByNegPMKs_8c414a8052c844b4bcd5dc3fadde7f8c,B6ByNegPMKs-26,B6ByNegPMKs,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G033""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_8c414a8052c844b4bcd5dc3fadde7f8c.png,"{""G033"": ""待定""}"
B6ByNegPMKs_9a11dae14ce9444287b881b54c6f6b6e,B6ByNegPMKs-29,B6ByNegPMKs,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G033""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_9a11dae14ce9444287b881b54c6f6b6e.png,"{""G033"": ""待定""}"
B6ByNegPMKs_9c62e22ac161400e969f5962b748c3e8,B6ByNegPMKs-30,B6ByNegPMKs,储藏与家务辅助,current_coarse_review；不采用未确认的新模型建议,"[""G034""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_9c62e22ac161400e969f5962b748c3e8.png,"{""G034"": ""不支持""}"
B6ByNegPMKs_b5dcbc0109a344a281d8ae467ccf3fc2,B6ByNegPMKs-32,B6ByNegPMKs,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G035""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_b5dcbc0109a344a281d8ae467ccf3fc2.png,"{""G035"": ""待定""}"
B6ByNegPMKs_bb2332e3d7ad40a59ee5ad0eae108dec,B6ByNegPMKs-34,B6ByNegPMKs,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G037""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_bb2332e3d7ad40a59ee5ad0eae108dec.png,"{""G037"": ""不支持""}"
B6ByNegPMKs_cfb2c926a80a4fde93b0d58d49af6549,B6ByNegPMKs-41,B6ByNegPMKs,工作与学习,current_coarse_review；不采用未确认的新模型建议,"[""G034""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_cfb2c926a80a4fde93b0d58d49af6549.png,"{""G034"": ""不支持""}"
B6ByNegPMKs_d2dcbd73533446dcaf50e6be98c30386,B6ByNegPMKs-43,B6ByNegPMKs,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G038""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,True,False,True,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_d2dcbd73533446dcaf50e6be98c30386.png,"{""G038"": ""待定""}"
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs-47,B6ByNegPMKs,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G037""]",[],仅待定或不支持同房关系,5,3—7,0,5,False,"[28, 29, 30, 31, 32, 33, 34, 35, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b.png,"{""G037"": ""不支持""}"
B6ByNegPMKs_e5567bd5fa2d4fde8a6b9f15e3274a7e,B6ByNegPMKs-49,B6ByNegPMKs,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G038"", ""G039""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_e5567bd5fa2d4fde8a6b9f15e3274a7e.png,"{""G038"": ""待定"", ""G039"": ""待定""}"
B6ByNegPMKs_f701cece31304e16a3faa7f225bfdaa8,B6ByNegPMKs-51,B6ByNegPMKs,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G039""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/B6ByNegPMKs_f701cece31304e16a3faa7f225bfdaa8.png,"{""G039"": ""待定""}"
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM-01,S9hNv5qa7GM,卫浴,current_coarse_review；不采用未确认的新模型建议,"[""G040"", ""G041""]",[],仅待定或不支持同房关系,20,8+,0,20,False,[],False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/valid/img/S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e.png,"{""G040"": ""不支持"", ""G041"": ""不支持""}"
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,S9hNv5qa7GM-07,S9hNv5qa7GM,,current_coarse_review；不采用未确认的新模型建议,"[""G048""]",[],仅待定或不支持同房关系,4,3—7,0,4,False,"[29, 31, 32, 33, 34, 35, 36]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/valid/img/S9hNv5qa7GM_53d54b73e58940019b731673e65c1902.png,"{""G048"": ""不支持""}"
S9hNv5qa7GM_cdafd704291841daaa57ce008a95a06a,S9hNv5qa7GM-16,S9hNv5qa7GM,厨房与用餐,current_coarse_review；不采用未确认的新模型建议,"[""G043""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/valid/img/S9hNv5qa7GM_cdafd704291841daaa57ce008a95a06a.png,"{""G043"": ""不支持""}"
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,S9hNv5qa7GM-18,S9hNv5qa7GM,卫浴,current_coarse_review；不采用未确认的新模型建议,"[""G041""]",[],仅待定或不支持同房关系,2,1—2,0,2,False,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/valid/img/S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486.png,"{""G041"": ""不支持""}"
S9hNv5qa7GM_f1b5f89d2b0a46449f374351c1579c80,S9hNv5qa7GM-23,S9hNv5qa7GM,卧室,current_coarse_review；不采用未确认的新模型建议,"[""G048""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/valid/img/S9hNv5qa7GM_f1b5f89d2b0a46449f374351c1579c80.png,"{""G048"": ""不支持""}"
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3-10,UwV83HsGsw3,卫浴,current_coarse_review；不采用未确认的新模型建议,"[""G055""]",[],仅待定或不支持同房关系,24,8+,0,26,False,[],False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.png,"{""G055"": ""不支持""}"
UwV83HsGsw3_92a9d9780863464195c5cfdd1851d623,UwV83HsGsw3-11,UwV83HsGsw3,储藏与家务辅助,current_coarse_review；不采用未确认的新模型建议,"[""G053""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/UwV83HsGsw3_92a9d9780863464195c5cfdd1851d623.png,"{""G053"": ""不支持""}"
UwV83HsGsw3_bca9a4ce9c82463c97dea098ccfae7a0,UwV83HsGsw3-18,UwV83HsGsw3,卫浴,current_coarse_review；不采用未确认的新模型建议,"[""G055""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/UwV83HsGsw3_bca9a4ce9c82463c97dea098ccfae7a0.png,"{""G055"": ""不支持""}"
VFuaQ6m2Qom_b6ab88125f984cda94011fef788e23d0,VFuaQ6m2Qom-08,VFuaQ6m2Qom,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G058"", ""G060""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/valid/img/VFuaQ6m2Qom_b6ab88125f984cda94011fef788e23d0.png,"{""G058"": ""不支持"", ""G060"": ""不支持""}"
VFuaQ6m2Qom_f04a58b9c4ff4e448b5a4da4fd823a9c,VFuaQ6m2Qom-09,VFuaQ6m2Qom,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G060""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/valid/img/VFuaQ6m2Qom_f04a58b9c4ff4e448b5a4da4fd823a9c.png,"{""G060"": ""不支持""}"
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,VLzqgDo317F-02,VLzqgDo317F,起居与休闲,current_coarse_review；不采用未确认的新模型建议,"[""G061""]",[],仅待定或不支持同房关系,2,1—2,0,2,False,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/valid/img/VLzqgDo317F_5d3591edd7c546acaf99db40281b3409.png,"{""G061"": ""不支持""}"
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw-03,Z6MFQCViBuw,,current_coarse_review；不采用未确认的新模型建议,"[""G077"", ""G079""]",[],仅待定或不支持同房关系,5,3—7,5,10,False,"[28, 29, 32, 33, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/Z6MFQCViBuw_22fff6c74efb476592569c18718feb41.png,"{""G077"": ""不支持"", ""G079"": ""不支持""}"
Z6MFQCViBuw_451088e169fd4fe3b14d1f26b18d9a27,Z6MFQCViBuw-04,Z6MFQCViBuw,卧室,current_coarse_review；不采用未确认的新模型建议,"[""G074""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/Z6MFQCViBuw_451088e169fd4fe3b14d1f26b18d9a27.png,"{""G074"": ""不支持""}"
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,Z6MFQCViBuw-06,Z6MFQCViBuw,起居与休闲,current_coarse_review；不采用未确认的新模型建议,"[""G075""]",[],仅待定或不支持同房关系,5,3—7,0,5,False,"[28, 29, 30, 32, 33, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d.png,"{""G075"": ""待定""}"
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,Z6MFQCViBuw-10,Z6MFQCViBuw,,current_coarse_review；不采用未确认的新模型建议,"[""G079""]",[],仅待定或不支持同房关系,0,0,24,26,False,[],False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12.png,"{""G079"": ""不支持""}"
b8cTxDM8gDG_d6f573aa1add4621af53ba492838ff45,b8cTxDM8gDG-14,b8cTxDM8gDG,卧室,current_coarse_review；不采用未确认的新模型建议,"[""G088""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/b8cTxDM8gDG_d6f573aa1add4621af53ba492838ff45.png,"{""G088"": ""待定""}"
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,b8cTxDM8gDG-18,b8cTxDM8gDG,卧室,current_coarse_review；不采用未确认的新模型建议,"[""G088""]",[],仅待定或不支持同房关系,6,3—7,0,6,False,"[28, 29, 30, 31, 32, 33, 36, 37]",False,True,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/b8cTxDM8gDG_f3748786c3704532abb2358581488f3f.png,"{""G088"": ""待定""}"
e9zR4mvMWw7_2594cedd9da64c338c1ba98abed9efb3,e9zR4mvMWw7-14,e9zR4mvMWw7,卫浴,current_coarse_review；不采用未确认的新模型建议,"[""G097""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/e9zR4mvMWw7_2594cedd9da64c338c1ba98abed9efb3.png,"{""G097"": ""不支持""}"
e9zR4mvMWw7_93c08bd7515647fdaa2ef1239d02983c,e9zR4mvMWw7-29,e9zR4mvMWw7,卫浴,current_coarse_review；不采用未确认的新模型建议,"[""G097""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/e9zR4mvMWw7_93c08bd7515647fdaa2ef1239d02983c.png,"{""G097"": ""不支持""}"
jh4fc5c5qoQ_1eac2c379ebf4e059f4a35e584f82f9b,jh4fc5c5qoQ-01,jh4fc5c5qoQ,卫浴,current_coarse_review；不采用未确认的新模型建议,"[""G101""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/valid/img/jh4fc5c5qoQ_1eac2c379ebf4e059f4a35e584f82f9b.png,"{""G101"": ""不支持""}"
jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,jh4fc5c5qoQ-09,jh4fc5c5qoQ,卧室,current_coarse_review；不采用未确认的新模型建议,"[""G107""]",[],仅待定或不支持同房关系,2,1—2,0,2,False,"[30, 31, 32, 33, 34, 35, 36, 37]",False,True,False,True,False,未见人工OOS记录,data/mp3d_layout/valid/img/jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa.png,"{""G107"": ""待定""}"
jtcxE69GiFV_29d51ea54a5040098e9b1ba6eaa1f5bd,jtcxE69GiFV-06,jtcxE69GiFV,卧室,current_coarse_review；不采用未确认的新模型建议,"[""G111""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/valid/img/jtcxE69GiFV_29d51ea54a5040098e9b1ba6eaa1f5bd.png,"{""G111"": ""待定""}"
jtcxE69GiFV_539fb3f6f19b442285b593628a8ce14e,jtcxE69GiFV-12,jtcxE69GiFV,卧室,current_coarse_review；不采用未确认的新模型建议,"[""G111""]",[],仅待定或不支持同房关系,1,1—2,0,1,False,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,True,False,True,False,未见人工OOS记录,data/mp3d_layout/valid/img/jtcxE69GiFV_539fb3f6f19b442285b593628a8ce14e.png,"{""G111"": ""待定""}"
jtcxE69GiFV_d972562e44f44b4db2a197310dc6113f,jtcxE69GiFV-27,jtcxE69GiFV,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G118""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/valid/img/jtcxE69GiFV_d972562e44f44b4db2a197310dc6113f.png,"{""G118"": ""待定""}"
kEZ7cmS4wCh_3c4a8eb4ef504942b6df1937932aa3f2,kEZ7cmS4wCh-01,kEZ7cmS4wCh,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G119""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/kEZ7cmS4wCh_3c4a8eb4ef504942b6df1937932aa3f2.png,"{""G119"": ""待定""}"
kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,kEZ7cmS4wCh-02,kEZ7cmS4wCh,通行与连接,current_coarse_review；不采用未确认的新模型建议,"[""G119""]",[],仅待定或不支持同房关系,0,0,0,0,True,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",False,False,False,False,False,未见人工OOS记录,data/mp3d_layout/test/img/kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4.png,"{""G119"": ""待定""}"
