candidate,building,codes,scene_counts,manual_counts,semi_counts,outside_low_count_targets,zero_saved_targets,one_two_targets,new_to_all_english_targets,difficulty_similarity,old_priority,review_state,has_high_history,room_views,overlap_note,image_ids
G127,pRbA3pwrgk9,"[""pRbA3pwrgk9-09"", ""pRbA3pwrgk9-19"", ""pRbA3pwrgk9-20""]","{""储藏与家务辅助"": 3}","[0, 0, 0]","[0, 0, 0]","[""pRbA3pwrgk9-09"", ""pRbA3pwrgk9-19"", ""pRbA3pwrgk9-20""]","[""pRbA3pwrgk9-09"", ""pRbA3pwrgk9-19"", ""pRbA3pwrgk9-20""]",[],"[""pRbA3pwrgk9-09"", ""pRbA3pwrgk9-19"", ""pRbA3pwrgk9-20""]",预期相近,优先候选,explicit_confirmed,False,3,候选子集可能互有重叠，不计为独立房间总数,"[""pRbA3pwrgk9_3851376d4f84494ebdc080b34ddc0f5e"", ""pRbA3pwrgk9_ec8f8c12b70e4969ae24adb7031d9312"", ""pRbA3pwrgk9_ecd2d3d74f1244a19bab0131ca065c26""]"
G132,pa4otMbVnkk,"[""pa4otMbVnkk-04"", ""pa4otMbVnkk-30"", ""pa4otMbVnkk-32""]","{""卧室"": 3}","[0, 0, 0]","[0, 0, 0]","[""pa4otMbVnkk-04"", ""pa4otMbVnkk-30"", ""pa4otMbVnkk-32""]","[""pa4otMbVnkk-04"", ""pa4otMbVnkk-30"", ""pa4otMbVnkk-32""]",[],"[""pa4otMbVnkk-04"", ""pa4otMbVnkk-30"", ""pa4otMbVnkk-32""]",预期相近,优先候选,explicit_confirmed,False,3,候选子集可能互有重叠，不计为独立房间总数,"[""pa4otMbVnkk_25659e521aac49daadb7762ba87cb2b6"", ""pa4otMbVnkk_915273ca375f43be9306ce29b7724c46"", ""pa4otMbVnkk_a1243ae1c9e7407794464678be846819""]"
G110,jtcxE69GiFV,"[""jtcxE69GiFV-03"", ""jtcxE69GiFV-08"", ""jtcxE69GiFV-24""]","{""厨房与用餐"": 3}","[3, 0, 0]","[0, 0, 0]","[""jtcxE69GiFV-03"", ""jtcxE69GiFV-08"", ""jtcxE69GiFV-24""]","[""jtcxE69GiFV-08"", ""jtcxE69GiFV-24""]",[],"[""jtcxE69GiFV-08"", ""jtcxE69GiFV-24""]",预期相近,优先候选,explicit_confirmed,False,3,候选子集可能互有重叠，不计为独立房间总数,"[""jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040"", ""jtcxE69GiFV_3a61b286f9574cebb27cce0efa211bd0"", ""jtcxE69GiFV_aaa3143c2ccb4ba4b51a472b48f5e260""]"
G174,uNb9QFRL6hY,"[""uNb9QFRL6hY-28"", ""uNb9QFRL6hY-44"", ""uNb9QFRL6hY-80""]","{""卧室"": 3}","[0, 5, 0]","[0, 5, 0]","[""uNb9QFRL6hY-28"", ""uNb9QFRL6hY-44"", ""uNb9QFRL6hY-80""]","[""uNb9QFRL6hY-28"", ""uNb9QFRL6hY-80""]",[],"[""uNb9QFRL6hY-28"", ""uNb9QFRL6hY-80""]",预期相近,优先候选,explicit_confirmed,False,3,候选子集可能互有重叠，不计为独立房间总数,"[""uNb9QFRL6hY_5fc8f0e230eb49eca81fdfb0398d824b"", ""uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13"", ""uNb9QFRL6hY_e39b52c7eedc4d859fca7888cab531ae""]"
G192,uNb9QFRL6hY,"[""uNb9QFRL6hY-33"", ""uNb9QFRL6hY-54"", ""uNb9QFRL6hY-84""]","{""通行与连接"": 3}","[0, 6, 0]","[0, 4, 0]","[""uNb9QFRL6hY-33"", ""uNb9QFRL6hY-54"", ""uNb9QFRL6hY-84""]","[""uNb9QFRL6hY-33"", ""uNb9QFRL6hY-84""]",[],"[""uNb9QFRL6hY-33"", ""uNb9QFRL6hY-84""]",预期相近,优先候选,explicit_confirmed,False,3,候选子集可能互有重叠，不计为独立房间总数,"[""uNb9QFRL6hY_6a99c723d40b429e96a29c8ce7532d1d"", ""uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3"", ""uNb9QFRL6hY_f8acfc899a4c49ddad71fdfcfd899b2f""]"
G019,B6ByNegPMKs,"[""B6ByNegPMKs-03"", ""B6ByNegPMKs-27""]","{""通行与连接"": 2}","[0, 0]","[0, 0]","[""B6ByNegPMKs-03"", ""B6ByNegPMKs-27""]","[""B6ByNegPMKs-03"", ""B6ByNegPMKs-27""]",[],"[""B6ByNegPMKs-03"", ""B6ByNegPMKs-27""]",预期相近,优先候选,explicit_confirmed,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""B6ByNegPMKs_0f8e559bf8d4427ba275e63aba46e3e5"", ""B6ByNegPMKs_8c889fb13bce4bcebdac872570cb5381""]"
G020,B6ByNegPMKs,"[""B6ByNegPMKs-04"", ""B6ByNegPMKs-38""]","{""工作与学习"": 2}","[0, 0]","[0, 0]","[""B6ByNegPMKs-04"", ""B6ByNegPMKs-38""]","[""B6ByNegPMKs-04"", ""B6ByNegPMKs-38""]",[],"[""B6ByNegPMKs-04"", ""B6ByNegPMKs-38""]",预期相近,优先候选,explicit_confirmed,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""B6ByNegPMKs_1bf33cdff9a54d65a9be6889eb912fb5"", ""B6ByNegPMKs_ce2f5a74556c4be192df3ca7a178cefb""]"
G025,B6ByNegPMKs,"[""B6ByNegPMKs-09"", ""B6ByNegPMKs-36""]","{""工作与学习"": 2}","[0, 0]","[0, 0]","[""B6ByNegPMKs-09"", ""B6ByNegPMKs-36""]","[""B6ByNegPMKs-09"", ""B6ByNegPMKs-36""]",[],"[""B6ByNegPMKs-09"", ""B6ByNegPMKs-36""]",预期相近,优先候选,explicit_confirmed,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""B6ByNegPMKs_3ed1f9b2f3c341d68c6d42895f56f7f9"", ""B6ByNegPMKs_c36b46ddcadf4896a2aa0abca657f33d""]"
G032,B6ByNegPMKs,"[""B6ByNegPMKs-25"", ""B6ByNegPMKs-39""]","{""工作与学习"": 2}","[0, 0]","[0, 0]","[""B6ByNegPMKs-25"", ""B6ByNegPMKs-39""]","[""B6ByNegPMKs-25"", ""B6ByNegPMKs-39""]",[],"[""B6ByNegPMKs-25"", ""B6ByNegPMKs-39""]",预期相近,基础候选,explicit_confirmed,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""B6ByNegPMKs_8b4e1e0ada214ee68dc9e0350cbad884"", ""B6ByNegPMKs_ce6c6753bebe462e804ec5a2fc8b0580""]"
G071,X7HyMhZNoso,"[""X7HyMhZNoso-10"", ""X7HyMhZNoso-24""]","{""卧室"": 2}","[0, 0]","[0, 0]","[""X7HyMhZNoso-10"", ""X7HyMhZNoso-24""]","[""X7HyMhZNoso-10"", ""X7HyMhZNoso-24""]",[],"[""X7HyMhZNoso-10"", ""X7HyMhZNoso-24""]",预期相近,优先候选,viewed_per_user_statement,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""X7HyMhZNoso_3cafb1bfb9084df995fff71810d7693f"", ""X7HyMhZNoso_efaff409ffad4b05ba2777dbadd554f6""]"
G076,Z6MFQCViBuw,"[""Z6MFQCViBuw-01"", ""Z6MFQCViBuw-07""]","{""起居与休闲"": 2}","[0, 0]","[0, 0]","[""Z6MFQCViBuw-01"", ""Z6MFQCViBuw-07""]","[""Z6MFQCViBuw-01"", ""Z6MFQCViBuw-07""]",[],"[""Z6MFQCViBuw-01"", ""Z6MFQCViBuw-07""]",预期相近,优先候选,viewed_per_user_statement,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""Z6MFQCViBuw_099d792dbfb2402ca355fd7ed860128f"", ""Z6MFQCViBuw_80cd596c480c4f72a7457433b862d179""]"
G081,b8cTxDM8gDG,"[""b8cTxDM8gDG-03"", ""b8cTxDM8gDG-16""]","{""卧室"": 2}","[0, 0]","[0, 0]","[""b8cTxDM8gDG-03"", ""b8cTxDM8gDG-16""]","[""b8cTxDM8gDG-03"", ""b8cTxDM8gDG-16""]",[],"[""b8cTxDM8gDG-03"", ""b8cTxDM8gDG-16""]",预期相近,优先候选,explicit_confirmed,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""b8cTxDM8gDG_184a9b92b85840d88bf5793da9aa9cba"", ""b8cTxDM8gDG_ddc9afa8e031453abd45c783fbfeb4aa""]"
G170,rPc6DW4iMge,"[""rPc6DW4iMge-11"", ""rPc6DW4iMge-19""]","{""通行与连接"": 2}","[0, 0]","[0, 0]","[""rPc6DW4iMge-11"", ""rPc6DW4iMge-19""]","[""rPc6DW4iMge-11"", ""rPc6DW4iMge-19""]",[],"[""rPc6DW4iMge-11"", ""rPc6DW4iMge-19""]",预期相近,优先候选,explicit_confirmed,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""rPc6DW4iMge_2aef8931ed104272873cbc52701eb2ad"", ""rPc6DW4iMge_cabddb2506ee4bfcb2a1bcfa6625fe28""]"
G195,uNb9QFRL6hY,"[""uNb9QFRL6hY-35"", ""uNb9QFRL6hY-62""]","{""卫浴"": 2}","[0, 0]","[0, 0]","[""uNb9QFRL6hY-35"", ""uNb9QFRL6hY-62""]","[""uNb9QFRL6hY-35"", ""uNb9QFRL6hY-62""]",[],"[""uNb9QFRL6hY-35"", ""uNb9QFRL6hY-62""]",预期相近,优先候选,explicit_confirmed,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""uNb9QFRL6hY_6ba3c5669ef04b178b0a5de90249257b"", ""uNb9QFRL6hY_bbaa68601ebf4aeba9d8b311413cfc13""]"
G199,uNb9QFRL6hY,"[""uNb9QFRL6hY-64"", ""uNb9QFRL6hY-85""]","{""卫浴"": 2}","[0, 0]","[0, 0]","[""uNb9QFRL6hY-64"", ""uNb9QFRL6hY-85""]","[""uNb9QFRL6hY-64"", ""uNb9QFRL6hY-85""]",[],"[""uNb9QFRL6hY-64"", ""uNb9QFRL6hY-85""]",预期相近,优先候选,explicit_confirmed,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""uNb9QFRL6hY_bccfe89cf0b24f4c9d2afee19c342117"", ""uNb9QFRL6hY_fcba704f80a04361842c0fdcb776becc""]"
G228,wc2JMjhGNzB,"[""wc2JMjhGNzB-48"", ""wc2JMjhGNzB-50""]","{""通行与连接"": 2}","[0, 0]","[0, 0]","[""wc2JMjhGNzB-48"", ""wc2JMjhGNzB-50""]","[""wc2JMjhGNzB-48"", ""wc2JMjhGNzB-50""]",[],"[""wc2JMjhGNzB-48"", ""wc2JMjhGNzB-50""]",预期相近,优先候选,viewed_per_user_statement,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""wc2JMjhGNzB_99bcf51aef0947b6898bb8114219d730"", ""wc2JMjhGNzB_a4188bbbe166473bb2ecf35bdcbec1f9""]"
G259,zsNo4HB9uLZ,"[""zsNo4HB9uLZ-10"", ""zsNo4HB9uLZ-14""]","{""通行与连接"": 2}","[0, 0]","[0, 0]","[""zsNo4HB9uLZ-10"", ""zsNo4HB9uLZ-14""]","[""zsNo4HB9uLZ-10"", ""zsNo4HB9uLZ-14""]",[],"[""zsNo4HB9uLZ-10"", ""zsNo4HB9uLZ-14""]",预期相近,优先候选,explicit_confirmed,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""zsNo4HB9uLZ_7d1391357299496cbb82840960d05a66"", ""zsNo4HB9uLZ_b5f873817a0b4b60b8447e96b0b4e955""]"
G089,e9zR4mvMWw7,"[""e9zR4mvMWw7-02"", ""e9zR4mvMWw7-32"", ""e9zR4mvMWw7-36""]","{""卧室"": 3}","[6, 0, 0]","[0, 24, 0]","[""e9zR4mvMWw7-02"", ""e9zR4mvMWw7-32"", ""e9zR4mvMWw7-36""]","[""e9zR4mvMWw7-36""]",[],"[""e9zR4mvMWw7-36""]",预期相近,优先候选,explicit_confirmed,False,3,候选子集可能互有重叠，不计为独立房间总数,"[""e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945"", ""e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a"", ""e9zR4mvMWw7_d88c41884dc24efbb5c1b7dcf97998e9""]"
G003,2t7WUuJeko7,"[""2t7WUuJeko7-04"", ""2t7WUuJeko7-06""]","{""通行与连接"": 2}","[0, 3]","[0, 0]","[""2t7WUuJeko7-04"", ""2t7WUuJeko7-06""]","[""2t7WUuJeko7-04""]",[],"[""2t7WUuJeko7-04""]",预期相近,优先候选,viewed_per_user_statement,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""2t7WUuJeko7_27af7fd637014142a4f530cfd4557189"", ""2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f""]"
G005,2t7WUuJeko7,"[""2t7WUuJeko7-09"", ""2t7WUuJeko7-12""]","{""卧室"": 2}","[3, 0]","[0, 0]","[""2t7WUuJeko7-09"", ""2t7WUuJeko7-12""]","[""2t7WUuJeko7-12""]",[],"[""2t7WUuJeko7-12""]",预期相近,优先候选,explicit_confirmed,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""2t7WUuJeko7_7b017f053981438a9c075e599f2c5866"", ""2t7WUuJeko7_9039d42e4ef4406fa57a2fbd2daba6cf""]"
G094,e9zR4mvMWw7,"[""e9zR4mvMWw7-10"", ""e9zR4mvMWw7-27""]","{""卧室"": 2}","[0, 0]","[24, 0]","[""e9zR4mvMWw7-10"", ""e9zR4mvMWw7-27""]","[""e9zR4mvMWw7-27""]",[],"[""e9zR4mvMWw7-27""]",预期相近,优先候选,explicit_confirmed,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76"", ""e9zR4mvMWw7_8783add8825d4ecf8eb1f2af3c22b8df""]"
G125,pRbA3pwrgk9,"[""pRbA3pwrgk9-05"", ""pRbA3pwrgk9-12""]","{""储藏与家务辅助"": 2}","[2, 2]","[0, 0]","[""pRbA3pwrgk9-05"", ""pRbA3pwrgk9-12""]",[],"[""pRbA3pwrgk9-05"", ""pRbA3pwrgk9-12""]","[""pRbA3pwrgk9-12""]",预期相近,优先候选,explicit_confirmed,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""pRbA3pwrgk9_16beb21e65a84850a509972190038d0e"", ""pRbA3pwrgk9_8caa90fc5528451f9e9f45634676499b""]"
G260,zsNo4HB9uLZ,"[""zsNo4HB9uLZ-11"", ""zsNo4HB9uLZ-15""]","{""通行与连接"": 2}","[2, 0]","[0, 0]","[""zsNo4HB9uLZ-11"", ""zsNo4HB9uLZ-15""]","[""zsNo4HB9uLZ-15""]","[""zsNo4HB9uLZ-11""]","[""zsNo4HB9uLZ-15""]",预期相近,优先候选,explicit_confirmed,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""zsNo4HB9uLZ_935e0f6088a54fba87990835d1997d9a"", ""zsNo4HB9uLZ_b6ca0cc195da4688ba67fa53f0345b98""]"
G201,wc2JMjhGNzB,"[""wc2JMjhGNzB-01"", ""wc2JMjhGNzB-16"", ""wc2JMjhGNzB-23"", ""wc2JMjhGNzB-27"", ""wc2JMjhGNzB-30"", ""wc2JMjhGNzB-32""]","{""卧室"": 6}","[0, 0, 0, 0, 6, 0]","[0, 0, 0, 0, 4, 0]","[""wc2JMjhGNzB-01"", ""wc2JMjhGNzB-16"", ""wc2JMjhGNzB-23"", ""wc2JMjhGNzB-27"", ""wc2JMjhGNzB-30"", ""wc2JMjhGNzB-32""]","[""wc2JMjhGNzB-01"", ""wc2JMjhGNzB-16"", ""wc2JMjhGNzB-23"", ""wc2JMjhGNzB-27"", ""wc2JMjhGNzB-32""]",[],"[""wc2JMjhGNzB-01"", ""wc2JMjhGNzB-16"", ""wc2JMjhGNzB-23"", ""wc2JMjhGNzB-27"", ""wc2JMjhGNzB-32""]",可能出现小幅歧义,基础候选,explicit_discussion,False,6,候选子集可能互有重叠，不计为独立房间总数,"[""wc2JMjhGNzB_026ce91a981c4de3bb9fd2daeb99ec2b"", ""wc2JMjhGNzB_25dffb87de434b119296fc0a02ede607"", ""wc2JMjhGNzB_40ea4145b9e946aab5d56de3ce179c8e"", ""wc2JMjhGNzB_48a93a3b61354385b30974c248c11ef2"", ""wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d"", ""wc2JMjhGNzB_5b34120ed9c24e47a673426ea7ea7a07""]"
G138,pa4otMbVnkk,"[""pa4otMbVnkk-09"", ""pa4otMbVnkk-26"", ""pa4otMbVnkk-39"", ""pa4otMbVnkk-49""]","{""卧室"": 4}","[2, 0, 0, 0]","[0, 0, 0, 0]","[""pa4otMbVnkk-09"", ""pa4otMbVnkk-26"", ""pa4otMbVnkk-39"", ""pa4otMbVnkk-49""]","[""pa4otMbVnkk-26"", ""pa4otMbVnkk-39"", ""pa4otMbVnkk-49""]","[""pa4otMbVnkk-09""]","[""pa4otMbVnkk-09"", ""pa4otMbVnkk-26"", ""pa4otMbVnkk-39"", ""pa4otMbVnkk-49""]",可能出现小幅歧义,优先候选,explicit_confirmed,False,4,候选子集可能互有重叠，不计为独立房间总数,"[""pa4otMbVnkk_447755d931aa401097d8c0952a22b17e"", ""pa4otMbVnkk_88c758f7e35244fd8f5693913f329805"", ""pa4otMbVnkk_d0777438896f4ba59dc36ba96ebb003f"", ""pa4otMbVnkk_fd3034fe3cf6425ea2810f42656766cf""]"
