group,building,tier,n_images,numbers,review_state,original_judgment,rationale,review_issue,historical_sources,review_first,alternatives,current19_same_room_seen,current19_same_room_semi,current19_same_room_semi_workers,coarse_types
G078,Z6MFQCViBuw,稀疏历史补齐与类型覆盖,4,"[2, 5, 8, 9]",explicit_confirmed,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""一致"", ""extent_alignment"": ""预期相近"", ""difficulty_similarity"": ""预期相近"", ""decision"": ""优先候选"", ""status"": ""已确认"", ""note"": """"}",02号已有5人；05/08/09可扩展另一building的餐室，避免餐厅证据只来自yq。,02已有Semi接触，需区分全历史与当前19人的清洁容量；没有密集来源。,[2],"[5, 8, 9]",[],7,3,"[13, 17, 28]","{""厨房与用餐"": 4}"
G109,jtcxE69GiFV,稀疏历史补齐与类型覆盖,5,"[1, 5, 17, 20, 33]",viewed_per_user_statement,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""一致"", ""extent_alignment"": ""预期相近"", ""difficulty_similarity"": ""可能出现小幅歧义"", ""decision"": ""基础候选"", ""status"": """", ""note"": ""这个稍微难标一点,我记得jtcxE69GiFV · 05是semi的,当时可能被semi误导了,导致有些分歧""}",05号有6份可用Manual、17号1份；适于补齐较大卧室/沙发连通范围。,用户评论记得05为Semi，当前记录却为6 Manual且0 Semi：保留矛盾，核对额外预览/初始呈现，不自行改写条件。,[5],"[1, 17, 20, 33]",[],7,0,[],"{""卧室"": 5}"
G200,uNb9QFRL6hY,稀疏历史补齐与类型覆盖,2,"[70, 74]",explicit_confirmed,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""一致"", ""extent_alignment"": ""预期相近"", ""difficulty_similarity"": ""预期相近"", ""decision"": ""优先候选"", ""status"": ""已确认"", ""note"": """"}",70号已有25人，只新增74即可补储藏/衣帽室类型；源图不必重复。,固定柜遮墙脚，不能仅因空间小就归简单。,[70],[74],[],19,0,[],"{""储藏与家务辅助"": 2}"
G015,7y3sRwLe3Va,稀疏历史补齐与类型覆盖,4,"[9, 11, 16, 19]",explicit_confirmed,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""一致"", ""extent_alignment"": ""预期相近"", ""difficulty_similarity"": ""可能出现小幅歧义"", ""decision"": ""优先候选"", ""status"": ""已确认"", ""note"": """"}",已确认4图开放复合空间，补充单一功能房间以外的条件；19号已有6份Manual。,19号另有4份Semi，当前19人清洁容量16；开放复合粗类不自动等于表示OOS。,[19],"[9, 11, 16]",[],7,3,"[6, 33, 36]","{""开放复合空间"": 4}"
G002,2t7WUuJeko7,新建多视点来源,5,"[2, 3, 5, 10, 17]",viewed_per_user_statement,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""一致"", ""extent_alignment"": ""预期相近"", ""difficulty_similarity"": ""可能出现小幅歧义"", ""decision"": ""优先候选"", ""status"": """", ""note"": ""02-03和02-05是同一房间吧\n这个10,17 虽然房间一致,但是视角导致难标. 这张图是难得一个房间拍了5张图的,值得探索""}",02/03/05与10/17存在用户明确指出的视点难度差异，适合比较同房不同信息条件。,全组没有无辅助历史，来源图和目标图都要计算费用；原状态空白表示已看而非明确完成所有确认。,[],"[2, 3, 5, 10, 17]",[],0,0,[],"{""厨房与用餐"": 5}"
G178,uNb9QFRL6hY,新建多视点来源,7,"[7, 14, 48, 72, 78, 79, 87]",explicit_confirmed,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""一致"", ""extent_alignment"": ""预期相近"", ""difficulty_similarity"": ""预期相近"", ""decision"": ""优先候选"", ""status"": ""已确认"", ""note"": """"}",7图书房，现有记录无该房的Manual/Semi接触；07/14/48与柜旁视点可做信息变化研究。,书柜和桌椅遮墙脚，不能因预期相近就判简单；78/79接近，若只取有限视点应避免全部为近重复。,[],"[7, 14, 48, 78]","[72, 79, 87]",0,0,[],"{""工作与学习"": 7}"
G090,e9zR4mvMWw7,新建多视点来源,7,"[3, 7, 8, 11, 28, 26, 15]",explicit_confirmed,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""一致"", ""extent_alignment"": ""预期相近"", ""difficulty_similarity"": ""预期相近"", ""decision"": ""优先候选"", ""status"": ""已确认"", ""note"": """"}",7图卧室，可比较墙侧、入口、卫浴口和衣帽口；03已有模型辅助历史可作独立条件的背景。,19人全部做过03 Semi。新图是未标过的视点，不是从未接触房间；11号v2粗类待拆解，07/26与08/15近似。,[],"[7, 8, 11, 28]","[3, 26, 15]",19,19,"[1, 2, 6, 8, 10, 12, 13, 15, 17, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]","{""卧室"": 6, ""待定"": 1}"
G027,B6ByNegPMKs,不同稳定过程的补充,2,"[11, 45]",viewed_per_user_statement,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""一致"", ""extent_alignment"": ""预期相近"", ""difficulty_similarity"": ""待定"", ""decision"": ""基础候选"", ""status"": """", ""note"": """"}",11号已有25人，旧几何回放提示晚期多簇；45为新目标，可补充不只早稳定的来源。,多簇线索依赖聚类/窗口参数，不是无条件真值；原难度相似性待定。,[11],[45],[],19,0,[],"{""通行与连接"": 2}"
G202,wc2JMjhGNzB,不同稳定过程的补充,5,"[2, 25, 26, 51, 53]",explicit_discussion,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""一致"", ""extent_alignment"": ""预期相近"", ""difficulty_similarity"": ""可能出现小幅歧义"", ""decision"": ""基础候选"", ""status"": ""仍需讨论"", ""note"": ""这组图难标,特别是26歧义很大,但是可不可以作为歧义很大的预测候选?""}",53号23人，26号6人；02/25/51提供主卫内部视点，可与长廊口26、坐便间门旁53对照。,原状态仍需讨论；26范围歧义不能靠多数票自动变成错误。,[53],"[26, 2, 25, 51]",[],19,0,[],"{""卫浴"": 5}"
G036,B6ByNegPMKs,不同稳定过程的补充,2,"[33, 37]",explicit_confirmed,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""一致"", ""extent_alignment"": ""预期相近"", ""difficulty_similarity"": ""可能出现小幅歧义"", ""decision"": ""优先候选"", ""status"": ""已确认"", ""note"": ""这走廊闭合方式可能略有不同""}",33号25人，37号6人；有同房闭合差异，15人目标可利用旧记录低成本补齐。,37有4份Semi；全部历史清洁Manual容量17，当前19人容量16，不能无新工人就保证19份独立Manual。,[33],[37],[],19,3,"[8, 10, 37]","{""通行与连接"": 2}"
G197,uNb9QFRL6hY,不同稳定过程的补充,2,"[47, 75]",viewed_per_user_statement,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""一致"", ""extent_alignment"": ""预期相近"", ""difficulty_similarity"": ""可能出现小幅歧义"", ""decision"": ""基础候选"", ""status"": """", ""note"": ""47不好标,有误导性,我记得这张图他们以前标的不好""}",47号26人，75为新视点；用于检查历史不确定状态能否在新视点重现。,既有评论曾看过结果，不能称完全结果盲选；旧结论主要为计算/起点未知，不等于已证明持续不稳定。,[47],[75],[],19,0,[],"{""卫浴"": 2}"
G014,7y3sRwLe3Va,Scope专项候选,4,"[8, 17, 12, 22]",explicit_discussion,"{""physical_same"": ""支持"", ""main_visual_alignment"": ""一致"", ""extent_alignment"": ""预期相近"", ""difficulty_similarity"": ""待定"", ""decision"": ""待定"", ""status"": ""仍需讨论"", ""note"": ""这全是OOS,而且其实和7y3sRwLe3Va · 13 他们这组,都是在二层拍摄""}",08/12各已有25人，应先复用；17/22各5人，需要新的视点Scope证据才考虑补齐。,用户明确全组OOS。仅作为Scope/受限表示挑战，不混入普通唯一参考质量指标；不要为Scope投票强制重画已有图。,"[8, 12]","[17, 22]",[],19,0,[],"{""通行与连接"": 4}"
