image_id,building,condition,scene,candidate,selection_source,training_workers,actual_workers,n_subgroup,n_all,training_recovery,reason
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,卧室,local_T,training_local_recovery,W001;W002;W006;W010;W012;W013;W017;W021;W030,,0,3,1,fewer_than_two_target_people
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,卧室,local_B,training_local_recovery,W006;W011;W021,,0,3,1,fewer_than_two_target_people
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,卧室,local_QT,training_local_recovery,W001;W006;W010;W012;W013;W021;W030,,0,3,0.857142857143,fewer_than_two_target_people
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,卧室,local_TB,training_local_recovery,W001;W002;W010;W012;W013;W017;W018;W030,,0,3,0.875,fewer_than_two_target_people
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,卧室,continuous_tail_manual__reference_error_low,training_score_quartile_not_a_global_typology,W002;W015;W017;W018;W021;W027,,0,3,,fewer_than_two_target_people
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,卧室,continuous_tail_manual__reference_error_high,training_score_quartile_not_a_global_typology,W012;W014;W029;W034;W035;W037,W034,1,3,,fewer_than_two_target_people
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,卧室,continuous_tail_manual__log_active_seconds_low,training_score_quartile_not_a_global_typology,W001;W006;W012;W013;W018;W021,,0,3,,fewer_than_two_target_people
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,卧室,continuous_tail_manual__log_active_seconds_high,training_score_quartile_not_a_global_typology,W027;W029;W032;W033;W036;W037,,0,3,,fewer_than_two_target_people
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,卧室,continuous_tail_manual__point_count_high,training_score_quartile_not_a_global_typology,W001;W002;W011;W017;W027;W032,,0,3,,fewer_than_two_target_people
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,卧室,continuous_tail_manual__reference_band_bias_low,training_score_quartile_not_a_global_typology,W001;W012;W021;W032;W034;W035,W034,1,3,,fewer_than_two_target_people
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,卧室,continuous_tail_manual__reference_band_bias_high,training_score_quartile_not_a_global_typology,W010;W018;W028;W031;W036;W037,W031,1,3,,fewer_than_two_target_people
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,卧室,continuous_tail_semi__point_count_low,training_score_quartile_not_a_global_typology,W002;W027;W028;W029;W030;W034,W034,1,3,,fewer_than_two_target_people
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,卧室,continuous_tail_semi__point_count_high,training_score_quartile_not_a_global_typology,W006;W011;W015;W021;W032;W037,,0,3,,fewer_than_two_target_people
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,卧室,local_Q,training_local_recovery,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W011,1,1,0.837719298246,fewer_than_two_target_people
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,卧室,local_T,training_local_recovery,W001;W002;W006;W010;W012;W013;W017;W021;W030,,0,1,1,fewer_than_two_target_people
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,卧室,local_B,training_local_recovery,W006;W011;W021,W011,1,1,1,fewer_than_two_target_people
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,卧室,local_QT,training_local_recovery,W001;W006;W010;W012;W013;W021;W030,,0,1,0.857142857143,fewer_than_two_target_people
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,卧室,local_QB,training_local_recovery,W001;W012;W029;W030;W031;W034;W035;W037,,0,1,0.881944444444,fewer_than_two_target_people
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,卧室,local_TB,training_local_recovery,W001;W002;W010;W012;W013;W017;W018;W030,,0,1,0.875,fewer_than_two_target_people
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,卧室,continuous_tail_manual__reference_error_low,training_score_quartile_not_a_global_typology,W002;W015;W017;W018;W021;W027,,0,1,,fewer_than_two_target_people
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,卧室,continuous_tail_manual__reference_error_high,training_score_quartile_not_a_global_typology,W012;W014;W029;W034;W035;W037,,0,1,,fewer_than_two_target_people
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,卧室,continuous_tail_manual__log_active_seconds_low,training_score_quartile_not_a_global_typology,W001;W006;W012;W013;W018;W021,,0,1,,fewer_than_two_target_people
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,卧室,continuous_tail_manual__log_active_seconds_high,training_score_quartile_not_a_global_typology,W027;W029;W032;W033;W036;W037,,0,1,,fewer_than_two_target_people
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,卧室,continuous_tail_manual__point_count_low,training_score_quartile_not_a_global_typology,W008;W014;W029;W034;W036;W037,,0,1,,fewer_than_two_target_people
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,卧室,continuous_tail_manual__point_count_high,training_score_quartile_not_a_global_typology,W001;W002;W011;W017;W027;W032,W011,1,1,,fewer_than_two_target_people
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,卧室,continuous_tail_manual__reference_band_bias_low,training_score_quartile_not_a_global_typology,W001;W012;W021;W032;W034;W035,,0,1,,fewer_than_two_target_people
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,卧室,continuous_tail_manual__reference_band_bias_high,training_score_quartile_not_a_global_typology,W010;W018;W028;W031;W036;W037,,0,1,,fewer_than_two_target_people
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,卧室,continuous_tail_semi__point_count_low,training_score_quartile_not_a_global_typology,W002;W027;W028;W029;W030;W034,,0,1,,fewer_than_two_target_people
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,卧室,continuous_tail_semi__point_count_high,training_score_quartile_not_a_global_typology,W006;W011;W015;W021;W032;W037,W011,1,1,,fewer_than_two_target_people
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,开放复合空间,local_T,training_local_recovery,W006;W013;W021,W006,1,5,1,fewer_than_two_target_people
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,开放复合空间,local_B,training_local_recovery,W006;W011;W021,W006,1,5,1,fewer_than_two_target_people
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,开放复合空间,local_QB,training_local_recovery,W001;W012;W029;W030;W031;W034;W035;W037,W030,1,5,0.888888888889,fewer_than_two_target_people
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,开放复合空间,local_quality_time_edit,training_local_recovery,W001;W012;W030,W030,1,5,0.75,fewer_than_two_target_people
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,开放复合空间,continuous_tail_manual__reference_error_low,training_score_quartile_not_a_global_typology,W002;W015;W017;W018;W021;W027,W027,1,5,,fewer_than_two_target_people
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,开放复合空间,continuous_tail_manual__reference_error_high,training_score_quartile_not_a_global_typology,W012;W014;W029;W034;W035;W037,,0,5,,fewer_than_two_target_people
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,开放复合空间,continuous_tail_manual__log_active_seconds_low,training_score_quartile_not_a_global_typology,W001;W006;W012;W013;W018;W021,W006,1,5,,fewer_than_two_target_people
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,开放复合空间,continuous_tail_manual__log_active_seconds_high,training_score_quartile_not_a_global_typology,W027;W029;W032;W033;W036;W037,W027,1,5,,fewer_than_two_target_people
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,开放复合空间,continuous_tail_manual__point_count_low,training_score_quartile_not_a_global_typology,W008;W029;W030;W034;W036;W037,W030,1,5,,fewer_than_two_target_people
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,开放复合空间,continuous_tail_manual__point_count_high,training_score_quartile_not_a_global_typology,W001;W002;W011;W017;W027;W032,W027,1,5,,fewer_than_two_target_people
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,开放复合空间,continuous_tail_manual__reference_band_bias_low,training_score_quartile_not_a_global_typology,W001;W012;W021;W032;W034;W035,,0,5,,fewer_than_two_target_people
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,开放复合空间,continuous_tail_semi__point_count_high,training_score_quartile_not_a_global_typology,W006;W011;W015;W021;W032;W037,W006,1,5,,fewer_than_two_target_people
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,通行与连接,local_T,training_local_recovery,W006;W013;W021,W006,1,5,1,fewer_than_two_target_people
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,通行与连接,local_QB,training_local_recovery,W001;W012;W029;W030;W031;W034;W035;W037,,0,5,0.888888888889,fewer_than_two_target_people
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,通行与连接,local_QTB,training_local_recovery,W001;W010;W012;W013;W030,W010,1,5,0.8,fewer_than_two_target_people
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,通行与连接,local_quality_time_edit,training_local_recovery,W001;W012;W030,,0,5,0.75,fewer_than_two_target_people
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,通行与连接,continuous_tail_manual__reference_error_low,training_score_quartile_not_a_global_typology,W002;W015;W017;W018;W021;W027,W017,1,5,,fewer_than_two_target_people
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,通行与连接,continuous_tail_manual__reference_error_high,training_score_quartile_not_a_global_typology,W012;W014;W029;W034;W035;W037,,0,5,,fewer_than_two_target_people
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,通行与连接,continuous_tail_manual__log_active_seconds_low,training_score_quartile_not_a_global_typology,W001;W006;W012;W013;W018;W021,W006,1,5,,fewer_than_two_target_people
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,通行与连接,continuous_tail_manual__log_active_seconds_high,training_score_quartile_not_a_global_typology,W027;W029;W032;W033;W036;W037,W033,1,5,,fewer_than_two_target_people
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,通行与连接,continuous_tail_manual__point_count_low,training_score_quartile_not_a_global_typology,W008;W029;W030;W034;W036;W037,,0,5,,fewer_than_two_target_people
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,通行与连接,continuous_tail_manual__reference_band_bias_low,training_score_quartile_not_a_global_typology,W001;W012;W021;W032;W034;W035,,0,5,,fewer_than_two_target_people
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,通行与连接,continuous_tail_manual__reference_band_bias_high,training_score_quartile_not_a_global_typology,W010;W018;W028;W031;W036;W037,W010,1,5,,fewer_than_two_target_people
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,通行与连接,continuous_tail_semi__point_count_low,training_score_quartile_not_a_global_typology,W027;W028;W029;W030;W033;W034,W033,1,5,,fewer_than_two_target_people
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,开放复合空间,local_T,training_local_recovery,W006;W013;W021,W013,1,6,1,fewer_than_two_target_people
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,开放复合空间,local_B,training_local_recovery,W006;W011;W021,,0,6,1,fewer_than_two_target_people
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,开放复合空间,continuous_tail_manual__reference_error_low,training_score_quartile_not_a_global_typology,W002;W015;W017;W018;W021;W027,W027,1,6,,fewer_than_two_target_people
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,开放复合空间,continuous_tail_manual__log_active_seconds_high,training_score_quartile_not_a_global_typology,W027;W029;W032;W033;W036;W037,W027,1,6,,fewer_than_two_target_people
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,开放复合空间,continuous_tail_manual__point_count_low,training_score_quartile_not_a_global_typology,W008;W029;W030;W034;W036;W037,W030,1,6,,fewer_than_two_target_people
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,开放复合空间,continuous_tail_manual__point_count_high,training_score_quartile_not_a_global_typology,W001;W002;W011;W017;W027;W032,W027,1,6,,fewer_than_two_target_people
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,开放复合空间,continuous_tail_manual__reference_band_bias_high,training_score_quartile_not_a_global_typology,W010;W018;W028;W031;W036;W037,W031,1,6,,fewer_than_two_target_people
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,开放复合空间,continuous_tail_semi__point_count_high,training_score_quartile_not_a_global_typology,W006;W011;W015;W021;W032;W037,,0,6,,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,开放复合空间,local_T,training_local_recovery,W006;W013;W021,,0,6,1,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,开放复合空间,local_B,training_local_recovery,W006;W011;W021,,0,6,1,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,开放复合空间,local_TB,training_local_recovery,W001;W002;W010;W012;W013;W017;W018;W030,W018,1,6,0.875,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,开放复合空间,local_QTB,training_local_recovery,W001;W010;W012;W013;W030,,0,6,0.8,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,开放复合空间,local_quality_time_edit,training_local_recovery,W001;W012;W030,,0,6,0.75,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,开放复合空间,continuous_tail_manual__reference_error_low,training_score_quartile_not_a_global_typology,W002;W015;W017;W018;W021;W027,W018,1,6,,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,开放复合空间,continuous_tail_manual__log_active_seconds_low,training_score_quartile_not_a_global_typology,W001;W006;W012;W013;W018;W021,W018,1,6,,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,开放复合空间,continuous_tail_manual__log_active_seconds_high,training_score_quartile_not_a_global_typology,W027;W029;W032;W033;W036;W037,W032,1,6,,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,开放复合空间,continuous_tail_manual__point_count_high,training_score_quartile_not_a_global_typology,W001;W002;W011;W017;W027;W032,W032,1,6,,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,开放复合空间,continuous_tail_semi__point_count_low,training_score_quartile_not_a_global_typology,W027;W028;W029;W030;W033;W034,W034,1,6,,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,开放复合空间,continuous_tail_semi__point_count_high,training_score_quartile_not_a_global_typology,W006;W011;W015;W021;W032;W037,W032,1,6,,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,开放复合空间,local_T,training_local_recovery,W006;W013;W021,W006,1,4,1,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,开放复合空间,local_QB,training_local_recovery,W001;W012;W029;W030;W031;W034;W035;W037,,0,4,0.888888888889,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,开放复合空间,local_TB,training_local_recovery,W001;W002;W010;W012;W013;W017;W018;W030,,0,4,0.875,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,开放复合空间,local_QTB,training_local_recovery,W001;W010;W012;W013;W030,,0,4,0.8,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,开放复合空间,local_quality_time_edit,training_local_recovery,W001;W012;W030,,0,4,0.75,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,开放复合空间,continuous_tail_manual__reference_error_low,training_score_quartile_not_a_global_typology,W002;W015;W017;W018;W021;W027,,0,4,,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,开放复合空间,continuous_tail_manual__reference_error_high,training_score_quartile_not_a_global_typology,W012;W014;W029;W034;W035;W037,,0,4,,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,开放复合空间,continuous_tail_manual__log_active_seconds_low,training_score_quartile_not_a_global_typology,W001;W006;W012;W013;W018;W021,W006,1,4,,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,开放复合空间,continuous_tail_manual__point_count_low,training_score_quartile_not_a_global_typology,W008;W029;W030;W034;W036;W037,W036,1,4,,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,开放复合空间,continuous_tail_manual__point_count_high,training_score_quartile_not_a_global_typology,W001;W002;W011;W017;W027;W032,W011,1,4,,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,开放复合空间,continuous_tail_manual__reference_band_bias_low,training_score_quartile_not_a_global_typology,W001;W012;W021;W032;W034;W035,,0,4,,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,开放复合空间,continuous_tail_manual__reference_band_bias_high,training_score_quartile_not_a_global_typology,W010;W018;W028;W031;W036;W037,W036,1,4,,fewer_than_two_target_people
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,开放复合空间,continuous_tail_semi__point_count_low,training_score_quartile_not_a_global_typology,W027;W028;W029;W030;W033;W034,W033,1,4,,fewer_than_two_target_people
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,通行与连接,local_T,training_local_recovery,W006;W013;W021,,0,5,1,fewer_than_two_target_people
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,通行与连接,local_B,training_local_recovery,W006;W011;W021,,0,5,1,fewer_than_two_target_people
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,通行与连接,local_QTB,training_local_recovery,W001;W010;W012;W013;W030,W001,1,5,0.8,fewer_than_two_target_people
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,通行与连接,local_quality_time_edit,training_local_recovery,W001;W012;W030,W001,1,5,0.75,fewer_than_two_target_people
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,通行与连接,continuous_tail_manual__reference_error_low,training_score_quartile_not_a_global_typology,W002;W015;W017;W018;W021;W027,W002,1,5,,fewer_than_two_target_people
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,通行与连接,continuous_tail_manual__log_active_seconds_low,training_score_quartile_not_a_global_typology,W001;W006;W012;W013;W018;W021,W001,1,5,,fewer_than_two_target_people
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,通行与连接,continuous_tail_manual__reference_band_bias_high,training_score_quartile_not_a_global_typology,W010;W018;W028;W031;W036;W037,W037,1,5,,fewer_than_two_target_people
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,通行与连接,continuous_tail_semi__point_count_high,training_score_quartile_not_a_global_typology,W006;W011;W015;W021;W032;W037,W037,1,5,,fewer_than_two_target_people
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,通行与连接,local_T,training_local_recovery,W006;W013;W021,,0,4,1,fewer_than_two_target_people
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,通行与连接,local_B,training_local_recovery,W006;W011;W021,,0,4,1,fewer_than_two_target_people
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,通行与连接,local_QB,training_local_recovery,W001;W012;W029;W030;W031;W034;W035;W037,W035,1,4,0.888888888889,fewer_than_two_target_people
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,通行与连接,local_TB,training_local_recovery,W001;W002;W010;W012;W013;W017;W018;W030,W010,1,4,0.875,fewer_than_two_target_people
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,通行与连接,local_QTB,training_local_recovery,W001;W010;W012;W013;W030,W010,1,4,0.8,fewer_than_two_target_people
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,通行与连接,local_quality_time_edit,training_local_recovery,W001;W012;W030,,0,4,0.75,fewer_than_two_target_people
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,通行与连接,continuous_tail_manual__reference_error_low,training_score_quartile_not_a_global_typology,W002;W015;W017;W018;W021;W027,W015,1,4,,fewer_than_two_target_people
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,通行与连接,continuous_tail_manual__reference_error_high,training_score_quartile_not_a_global_typology,W012;W014;W029;W034;W035;W037,W035,1,4,,fewer_than_two_target_people
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,通行与连接,continuous_tail_manual__log_active_seconds_low,training_score_quartile_not_a_global_typology,W001;W006;W012;W013;W018;W021,,0,4,,fewer_than_two_target_people
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,通行与连接,continuous_tail_manual__log_active_seconds_high,training_score_quartile_not_a_global_typology,W027;W029;W032;W033;W036;W037,,0,4,,fewer_than_two_target_people
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,通行与连接,continuous_tail_manual__point_count_low,training_score_quartile_not_a_global_typology,W008;W029;W030;W034;W036;W037,W008,1,4,,fewer_than_two_target_people
