image_id,building,condition,information,k_classes,axis,training_workers,target_members,n_members,n_others,training_contrast,target_contrast,aligned_target_contrast,direction_replicated,metric
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,TB,4,edit,W001;W002;W010;W012;W013;W017;W018;W030,W001;W002;W010;W012;W013;W017;W018;W030,8,16,0.915384106918,-0.828761476915,-0.828761476915,False,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,TB,4,time,W001;W002;W010;W012;W013;W017;W018;W030,W010;W030,2,3,-0.885877328211,-0.121393015471,0.121393015471,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,TB,4,time,W001;W002;W010;W012;W013;W017;W018;W030,W002;W010;W013;W017;W030,5,12,-0.885877328211,-1.26749161773,1.26749161773,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,TB,4,time,W001;W002;W010;W012;W013;W017;W018;W030,W010;W017,2,3,-0.885877328211,-0.0587800540665,0.0587800540665,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,TB,4,time,W001;W002;W010;W012;W013;W017;W018;W030,W012;W013;W030,3,2,-0.885877328211,-0.693724058858,0.693724058858,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,TB,4,time,W001;W002;W010;W012;W013;W017;W018;W030,W001;W002,2,2,-0.885877328211,-0.541497722528,0.541497722528,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,TB,4,time,W001;W002;W010;W012;W013;W017;W018;W030,W001;W002;W012,3,2,-0.885877328211,-1.73845515846,1.73845515846,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,oos,TB,4,time,W001;W002;W010;W012;W013;W017;W018;W030,W001;W002;W010;W013;W017;W018;W030,7,12,-0.885877328211,-1.54640078462,1.54640078462,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,oos,TB,4,time,W001;W002;W010;W012;W013;W017;W018;W030,W001;W002;W010;W013;W017;W018;W030,7,12,-0.885877328211,-1.16614233265,1.16614233265,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,QTB,6,benefit,W001;W010;W012;W013;W030,W001;W010;W012;W013;W030,5,19,-0.274813952731,1.83956513188,-1.83956513188,False,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,QTB,6,edit,W001;W010;W012;W013;W030,W001;W010;W012;W013;W030,5,19,1.2105656158,-0.376569186499,-0.376569186499,False,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,QTB,6,quality,W001;W010;W012;W013;W030,W010;W030,2,3,0.707055899635,-0.470909569741,-0.470909569741,False,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,QTB,6,quality,W001;W010;W012;W013;W030,W001;W010;W012;W013;W030,5,19,0.707055899635,0.518612698818,0.518612698818,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,QTB,6,quality,W001;W010;W012;W013;W030,W012;W013;W030,3,3,0.707055899635,-1.49674902962,-1.49674902962,False,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,QTB,6,quality,W001;W010;W012;W013;W030,W001;W012,2,3,0.707055899635,-2.32857587419,-2.32857587419,False,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,QTB,6,time,W001;W010;W012;W013;W030,W010;W030,2,3,-0.93698240548,-0.121393015471,0.121393015471,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,QTB,6,time,W001;W010;W012;W013;W030,W010;W013;W030,3,14,-0.93698240548,-1.38942335346,1.38942335346,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,QTB,6,time,W001;W010;W012;W013;W030,W012;W013;W030,3,2,-0.93698240548,-0.693724058858,0.693724058858,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,QTB,6,time,W001;W010;W012;W013;W030,W001;W012,2,3,-0.93698240548,-1.43153839255,1.43153839255,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,oos,QTB,6,time,W001;W010;W012;W013;W030,W001;W010;W013;W030,4,15,-0.93698240548,-1.07840516575,1.07840516575,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,oos,QTB,6,time,W001;W010;W012;W013;W030,W001;W010;W013;W030,4,15,-0.93698240548,-0.908686455089,0.908686455089,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,quality_time_edit,10,edit,W001;W012;W030,W001;W012;W030,3,21,2.44165775676,0.498490796907,0.498490796907,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,quality_time_edit,10,quality,W001;W012;W030,W001;W012;W030,3,21,0.792597173844,0.982180206048,0.982180206048,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,quality_time_edit,10,quality,W001;W012;W030,W012;W030,2,4,0.792597173844,-3.36980870885,-3.36980870885,False,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,quality_time_edit,10,quality,W001;W012;W030,W001;W012,2,3,0.792597173844,-2.32857587419,-2.32857587419,False,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,quality_time_edit,10,time,W001;W012;W030,W012;W030,2,3,-0.768034960949,-1.54854885915,1.54854885915,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,quality_time_edit,10,time,W001;W012;W030,W001;W012,2,3,-0.768034960949,-1.43153839255,1.43153839255,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,oos,quality_time_edit,10,time,W001;W012;W030,W001;W030,2,17,-0.768034960949,-1.22308172566,1.22308172566,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,oos,quality_time_edit,10,time,W001;W012;W030,W001;W030,2,17,-0.768034960949,-0.334873353512,0.334873353512,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,Q,2,quality,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,18,6,2.44669764694,-1.1468288558,-1.1468288558,False,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,Q,2,quality,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,18,6,2.44669764694,1.38460582868,1.38460582868,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual,Q,2,quality,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W001;W012;W036,3,2,2.44669764694,8.02031919407,8.02031919407,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,T,6,time,W006;W013;W021,W006;W013;W021,3,14,-1.39436038986,-1.62232397177,1.62232397177,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,T,6,time,W006;W013;W021,W006;W013;W021,3,14,-1.39436038986,-1.28773912926,1.28773912926,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,T,6,time,W006;W013;W021,W006;W013;W021,3,14,-1.39436038986,-1.75465375379,1.75465375379,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,QT,4,quality,W001;W006;W010;W012;W013;W021;W030,W001;W006;W010;W012;W013;W021;W030,7,17,0.286603065572,3.89644179509,3.89644179509,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,QT,4,quality,W001;W006;W010;W012;W013;W021;W030,W001;W006;W010;W012;W013;W021;W030,7,17,0.286603065572,-1.01810453788,-1.01810453788,False,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual,QT,4,quality,W001;W006;W010;W012;W013;W021;W030,W001;W012,2,3,0.286603065572,-2.55756740911,-2.55756740911,False,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,QT,4,quality,W001;W006;W010;W012;W013;W021;W030,W006;W010;W030,3,2,0.286603065572,0.747853724514,0.747853724514,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,QT,4,time,W001;W006;W010;W012;W013;W021;W030,W006;W010;W013;W021;W030,5,12,-1.28315741559,-1.53178571058,1.53178571058,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,QT,4,time,W001;W006;W010;W012;W013;W021;W030,W006;W010;W013;W021;W030,5,12,-1.28315741559,-1.17040214519,1.17040214519,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,QT,4,time,W001;W006;W010;W012;W013;W021;W030,W006;W010;W013;W021;W030,5,12,-1.28315741559,-1.55582016197,1.55582016197,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual,QT,4,time,W001;W006;W010;W012;W013;W021;W030,W001;W012,2,3,-1.28315741559,-1.21513057517,1.21513057517,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,QT,4,time,W001;W006;W010;W012;W013;W021;W030,W006;W010;W030,3,2,-1.28315741559,-1.11462558194,1.11462558194,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,TB,4,benefit,W001;W002;W010;W012;W013;W017;W018;W030,W001;W002;W010;W012;W013;W017;W018;W030,8,16,0.338600331585,1.66458917302,1.66458917302,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,semi,TB,4,benefit,W001;W002;W010;W012;W013;W017;W018;W030,W002;W013,2,2,0.338600331585,2.02980429618,2.02980429618,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,TB,4,edit,W001;W002;W010;W012;W013;W017;W018;W030,W001;W002;W010;W012;W013;W017;W018;W030,8,16,0.799578320987,2.41288320457,2.41288320457,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,semi,TB,4,edit,W001;W002;W010;W012;W013;W017;W018;W030,W002;W013,2,2,0.799578320987,-2.02980429618,-2.02980429618,False,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,TB,4,edit,W001;W002;W010;W012;W013;W017;W018;W030,W001;W002;W010;W012;W013;W017;W018;W030,8,16,0.799578320987,-0.797160600211,-0.797160600211,False,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,TB,4,time,W001;W002;W010;W012;W013;W017;W018;W030,W002;W010;W013;W017;W030,5,12,-0.904016020936,-0.802967810206,0.802967810206,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,TB,4,time,W001;W002;W010;W012;W013;W017;W018;W030,W002;W010;W013;W017;W018;W030,6,11,-0.904016020936,-1.00410606185,1.00410606185,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,TB,4,time,W001;W002;W010;W012;W013;W017;W018;W030,W002;W010;W013;W017;W030,5,12,-0.904016020936,-0.673957473412,0.673957473412,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual,TB,4,time,W001;W002;W010;W012;W013;W017;W018;W030,W001;W002;W012,3,2,-0.904016020936,-0.601883974009,0.601883974009,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,TB,4,time,W001;W002;W010;W012;W013;W017;W018;W030,W010;W017;W030,3,2,-0.904016020936,0.0051533736461,-0.0051533736461,False,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,QTB,5,benefit,W001;W010;W012;W013;W030,W001;W010;W012;W013;W030,5,19,-0.168667436378,0.884670606337,-0.884670606337,False,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,semi,QTB,5,benefit,W001;W010;W012;W013;W030,W001;W030,2,2,-0.168667436378,-4.95726403576,4.95726403576,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,QTB,5,edit,W001;W010;W012;W013;W030,W001;W010;W012;W013;W030,5,19,1.03467164907,2.7079575958,2.7079575958,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,semi,QTB,5,edit,W001;W010;W012;W013;W030,W001;W030,2,2,1.03467164907,4.95726403576,4.95726403576,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,QTB,5,edit,W001;W010;W012;W013;W030,W001;W010;W012;W013;W030,5,19,1.03467164907,-0.0261840212618,-0.0261840212618,False,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,QTB,5,quality,W001;W010;W012;W013;W030,W001;W010;W012;W013;W030,5,19,0.711199952537,1.75229346276,1.75229346276,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,QTB,5,quality,W001;W010;W012;W013;W030,W001;W010;W012;W013;W030,5,19,0.711199952537,-0.680336261183,-0.680336261183,False,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual,QTB,5,quality,W001;W010;W012;W013;W030,W001;W012,2,3,0.711199952537,-2.55756740911,-2.55756740911,False,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,QTB,5,quality,W001;W010;W012;W013;W030,W010;W030,2,3,0.711199952537,-0.228511218222,-0.228511218222,False,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,QTB,5,time,W001;W010;W012;W013;W030,W010;W013;W030,3,14,-0.965421526815,-1.25642819764,1.25642819764,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,QTB,5,time,W001;W010;W012;W013;W030,W010;W013;W030,3,14,-0.965421526815,-0.764836679692,0.764836679692,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,QTB,5,time,W001;W010;W012;W013;W030,W010;W013;W030,3,14,-0.965421526815,-0.821500212042,0.821500212042,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual,QTB,5,time,W001;W010;W012;W013;W030,W001;W012,2,3,-0.965421526815,-1.21513057517,1.21513057517,True,historical axis unchanged; not substituted for current d_mask
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,QTB,5,time,W001;W010;W012;W013;W030,W010;W030,2,3,-0.965421526815,0.334172238084,-0.334172238084,False,historical axis unchanged; not substituted for current d_mask
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,Q,2,quality,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W001;W006;W008;W010;W011;W012;W013;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,17,3,2.4034716135,-0.806654651668,-0.806654651668,False,historical axis unchanged; not substituted for current d_mask
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,Q,2,quality,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W001;W006;W008;W010;W011;W012;W013;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,17,3,2.4034716135,0.0504303566575,0.0504303566575,True,historical axis unchanged; not substituted for current d_mask
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,T,2,time,W001;W002;W006;W010;W012;W013;W017;W021;W030,W001;W002;W006;W010;W012;W013;W017;W030,8,12,-1.30160826111,-1.04165650788,1.04165650788,True,historical axis unchanged; not substituted for current d_mask
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,S9hNv5qa7GM,manual,T,2,time,W001;W002;W006;W010;W012;W013;W017;W021;W030,W010;W030,2,2,-1.30160826111,-0.450335743939,0.450335743939,True,historical axis unchanged; not substituted for current d_mask
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,T,2,time,W001;W002;W006;W010;W012;W013;W017;W021;W030,W001;W002;W006;W010;W012;W013;W017;W030,8,12,-1.30160826111,-0.960556471265,0.960556471265,True,historical axis unchanged; not substituted for current d_mask
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,QT,3,quality,W001;W006;W010;W012;W013;W021;W030,W001;W006;W010;W012;W013;W030,6,14,0.298828419125,1.1958671067,1.1958671067,True,historical axis unchanged; not substituted for current d_mask
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,S9hNv5qa7GM,manual,QT,3,quality,W001;W006;W010;W012;W013;W021;W030,W010;W030,2,2,0.298828419125,3.6182737155,3.6182737155,True,historical axis unchanged; not substituted for current d_mask
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,QT,3,quality,W001;W006;W010;W012;W013;W021;W030,W001;W006;W010;W012;W013;W030,6,14,0.298828419125,0.41174557992,0.41174557992,True,historical axis unchanged; not substituted for current d_mask
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,QT,3,time,W001;W006;W010;W012;W013;W021;W030,W001;W006;W010;W012;W013;W030,6,14,-1.28606145114,-0.704899606505,0.704899606505,True,historical axis unchanged; not substituted for current d_mask
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,S9hNv5qa7GM,manual,QT,3,time,W001;W006;W010;W012;W013;W021;W030,W010;W030,2,2,-1.28606145114,-0.450335743939,0.450335743939,True,historical axis unchanged; not substituted for current d_mask
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,QT,3,time,W001;W006;W010;W012;W013;W021;W030,W001;W006;W010;W012;W013;W030,6,14,-1.28606145114,-0.951941986504,0.951941986504,True,historical axis unchanged; not substituted for current d_mask
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,QB,4,quality,W001;W012;W029;W030;W031;W034;W035;W037,W001;W012;W029;W030;W031;W034;W035;W037,8,12,1.64407155785,1.22609801544,1.22609801544,True,historical axis unchanged; not substituted for current d_mask
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,S9hNv5qa7GM,manual,QB,4,quality,W001;W012;W029;W030;W031;W034;W035;W037,W030;W037,2,2,1.64407155785,7.8207865041,7.8207865041,True,historical axis unchanged; not substituted for current d_mask
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,QB,4,quality,W001;W012;W029;W030;W031;W034;W035;W037,W001;W012;W029;W030;W031;W034;W035;W037,8,12,1.64407155785,0.334643714226,0.334643714226,True,historical axis unchanged; not substituted for current d_mask
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,TB,4,time,W001;W002;W010;W012;W013;W017;W018;W030,W001;W002;W010;W012;W013;W017;W030,7,13,-0.894293951511,-0.933380109981,0.933380109981,True,historical axis unchanged; not substituted for current d_mask
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,S9hNv5qa7GM,manual,TB,4,time,W001;W002;W010;W012;W013;W017;W018;W030,W010;W030,2,2,-0.894293951511,-0.450335743939,0.450335743939,True,historical axis unchanged; not substituted for current d_mask
