analysis_role,base_task_id,condition,building_id,corner_count_set,comparison,mixed_topology,A0_handling,A1_A2_cross_topology_status,A5_status,A5_selected_corner_count,coordinate_averaging_used
development_cross_fitted_retrospective_audit_opportunity_estimate,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,UwV83HsGsw3,4;6,4 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,6,False
development_cross_fitted_retrospective_audit_opportunity_estimate,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,manual,UwV83HsGsw3,4;6,4 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,6,False
development_cross_fitted_retrospective_audit_opportunity_estimate,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,manual,X7HyMhZNoso,4;6,4 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,manual,X7HyMhZNoso,4;6;8,4 vs 6 vs 8,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,8,False
development_cross_fitted_retrospective_audit_opportunity_estimate,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,semi,X7HyMhZNoso,4;8,4 vs 8,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,8,False
development_cross_fitted_retrospective_audit_opportunity_estimate,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,manual,Z6MFQCViBuw,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,semi,Z6MFQCViBuw,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,manual,Z6MFQCViBuw,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,semi,Z6MFQCViBuw,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,not_evaluable_training_support,,False
development_cross_fitted_retrospective_audit_opportunity_estimate,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,manual,Z6MFQCViBuw,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,manual,b8cTxDM8gDG,4;6,4 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,manual,b8cTxDM8gDG,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,not_evaluable_training_support,,False
development_cross_fitted_retrospective_audit_opportunity_estimate,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,manual,e9zR4mvMWw7,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,not_evaluable_training_support,,False
development_cross_fitted_retrospective_audit_opportunity_estimate,e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,manual,e9zR4mvMWw7,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,not_evaluable_training_support,,False
development_cross_fitted_retrospective_audit_opportunity_estimate,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,manual,e9zR4mvMWw7,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,not_evaluable_training_support,,False
development_cross_fitted_retrospective_audit_opportunity_estimate,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,manual,q9vSo1VnCiC,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,semi,q9vSo1VnCiC,4;6;7;10,4 vs 6 vs 7 vs 10,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,10,False
development_cross_fitted_retrospective_audit_opportunity_estimate,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,manual,q9vSo1VnCiC,4;6,4 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,manual,q9vSo1VnCiC,0;5;8;10,0 vs 5 vs 8 vs 10,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,10,False
development_cross_fitted_retrospective_audit_opportunity_estimate,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,manual,q9vSo1VnCiC,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,manual,q9vSo1VnCiC,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,not_evaluable_training_support,,False
development_cross_fitted_retrospective_audit_opportunity_estimate,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,semi,q9vSo1VnCiC,4;7,4 vs 7,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,manual,q9vSo1VnCiC,4;5,4 vs 5,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,5,False
development_cross_fitted_retrospective_audit_opportunity_estimate,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,semi,q9vSo1VnCiC,4;13,4 vs 13,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,manual,q9vSo1VnCiC,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,not_evaluable_training_support,,False
development_cross_fitted_retrospective_audit_opportunity_estimate,q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,manual,q9vSo1VnCiC,4;5,4 vs 5,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,5,False
development_cross_fitted_retrospective_audit_opportunity_estimate,q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,manual,q9vSo1VnCiC,4;6;7;11;18,4 vs 6 vs 7 vs 11 vs 18,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,11,False
development_cross_fitted_retrospective_audit_opportunity_estimate,q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,manual,q9vSo1VnCiC,4;6,4 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,6,False
development_cross_fitted_retrospective_audit_opportunity_estimate,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,rPc6DW4iMge,4;5,4 vs 5,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,5,False
development_cross_fitted_retrospective_audit_opportunity_estimate,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,manual,rPc6DW4iMge,5;6;14,5 vs 6 vs 14,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,14,False
development_cross_fitted_retrospective_audit_opportunity_estimate,rPc6DW4iMge_4350d36797324601adba7351d09602d2,manual,rPc6DW4iMge,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,manual,rPc6DW4iMge,4;6,4 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,6,False
development_cross_fitted_retrospective_audit_opportunity_estimate,rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,manual,rPc6DW4iMge,5;6;7,5 vs 6 vs 7,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,6,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,uNb9QFRL6hY,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,not_evaluable_training_support,,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,manual,uNb9QFRL6hY,4;5;6;7;8;11,4 vs 5 vs 6 vs 7 vs 8 vs 11,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,8,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,manual,uNb9QFRL6hY,4;5;8,4 vs 5 vs 8,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,8,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,manual,uNb9QFRL6hY,4;6;7,4 vs 6 vs 7,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,manual,uNb9QFRL6hY,4;8,4 vs 8,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,8,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,manual,uNb9QFRL6hY,4;5,4 vs 5,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,5,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,semi,uNb9QFRL6hY,4;6,4 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,6,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,manual,uNb9QFRL6hY,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,semi,uNb9QFRL6hY,4;6,4 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,6,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,uNb9QFRL6hY,4;5;6;7,4 vs 5 vs 6 vs 7,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,6,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,manual,uNb9QFRL6hY,4;5;6;7;8;9,4 vs 5 vs 6 vs 7 vs 8 vs 9,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,8,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,manual,uNb9QFRL6hY,4;8,4 vs 8,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,8,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,manual,uNb9QFRL6hY,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,not_evaluable_training_support,,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,semi,uNb9QFRL6hY,8,8,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,estimated,8,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,manual,uNb9QFRL6hY,5;6;7;8;9;10,5 vs 6 vs 7 vs 8 vs 9 vs 10,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,10,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,manual,uNb9QFRL6hY,4;6;7;10,4 vs 6 vs 7 vs 10,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,7,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,manual,uNb9QFRL6hY,4;5,4 vs 5,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,manual,uNb9QFRL6hY,2;4,2 vs 4,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,semi,uNb9QFRL6hY,4;6,4 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,manual,uNb9QFRL6hY,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,manual,uNb9QFRL6hY,4;6;7,4 vs 6 vs 7,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,7,False
development_cross_fitted_retrospective_audit_opportunity_estimate,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,manual,uNb9QFRL6hY,6;8;9;10,6 vs 8 vs 9 vs 10,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,8,False
development_cross_fitted_retrospective_audit_opportunity_estimate,wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,manual,wc2JMjhGNzB,4;6,4 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,manual,wc2JMjhGNzB,4;5;8,4 vs 5 vs 8,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,manual,wc2JMjhGNzB,5;6;8;10,5 vs 6 vs 8 vs 10,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,8,False
development_cross_fitted_retrospective_audit_opportunity_estimate,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,manual,wc2JMjhGNzB,4;6;7;8;10,4 vs 6 vs 7 vs 8 vs 10,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,8,False
development_cross_fitted_retrospective_audit_opportunity_estimate,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,semi,wc2JMjhGNzB,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,manual,wc2JMjhGNzB,4;6,4 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,6,False
development_cross_fitted_retrospective_audit_opportunity_estimate,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,semi,wc2JMjhGNzB,5;6,5 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,5,False
development_cross_fitted_retrospective_audit_opportunity_estimate,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,manual,wc2JMjhGNzB,4;5;6;7;8,4 vs 5 vs 6 vs 7 vs 8,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,8,False
development_cross_fitted_retrospective_audit_opportunity_estimate,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,manual,wc2JMjhGNzB,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,semi,wc2JMjhGNzB,4;8,4 vs 8,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,manual,wc2JMjhGNzB,4;5,4 vs 5,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,5,False
development_cross_fitted_retrospective_audit_opportunity_estimate,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,manual,wc2JMjhGNzB,3;4;5,3 vs 4 vs 5,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,semi,wc2JMjhGNzB,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,manual,x8F5xyUWy9e,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,manual,x8F5xyUWy9e,4;6,4 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,manual,yqstnuAEVhm,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,semi,yqstnuAEVhm,4;8,4 vs 8,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,4,False
development_cross_fitted_retrospective_audit_opportunity_estimate,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,manual,yqstnuAEVhm,4;8;9;10,4 vs 8 vs 9 vs 10,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,9,False
development_cross_fitted_retrospective_audit_opportunity_estimate,yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,manual,yqstnuAEVhm,4,4,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,not_evaluable_training_support,,False
development_cross_fitted_retrospective_audit_opportunity_estimate,yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,manual,yqstnuAEVhm,4;8,4 vs 8,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,8,False
development_cross_fitted_retrospective_audit_opportunity_estimate,yqstnuAEVhm_4642492bb42d40debb1a3bad0ea7a24f,manual,yqstnuAEVhm,4;5;6,4 vs 5 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,6,False
development_cross_fitted_retrospective_audit_opportunity_estimate,yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,manual,yqstnuAEVhm,6;7;9;10;14,6 vs 7 vs 9 vs 10 vs 14,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,9,False
development_cross_fitted_retrospective_audit_opportunity_estimate,yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,manual,yqstnuAEVhm,4;6,4 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,6,False
development_cross_fitted_retrospective_audit_opportunity_estimate,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,yqstnuAEVhm,4;5;6,4 vs 5 vs 6,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,6,False
development_cross_fitted_retrospective_audit_opportunity_estimate,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,manual,yqstnuAEVhm,6;8,6 vs 8,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,8,False
development_cross_fitted_retrospective_audit_opportunity_estimate,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,semi,yqstnuAEVhm,8,8,False,frozen_complete_link_partition_then_largest_cluster_medoid,same_topology,estimated,8,False
development_cross_fitted_retrospective_audit_opportunity_estimate,yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,manual,yqstnuAEVhm,12;13;14,12 vs 13 vs 14,True,frozen_complete_link_partition_then_largest_cluster_medoid,not_evaluable,estimated,14,False
