building_id,historical_image_n,unassisted_image_n,usable_image_n,historical_response_n,raw_n,usable_n,raw_unique_workers,usable_unique_workers,dense_image_n,dense_raw_n,dense_usable_n,dense_usable_unique_workers,dense_min_n,dense_max_n,cross_image_eligible,split_2_2_possible,split_2_4_or_3_3_possible,dense_pair_n,dense_pair_shared_workers_min,dense_pair_shared_workers_median,dense_pair_shared_workers_max,dense_workers_on_multiple_images,dense_worker_image_counts_json,dense_image_ids_json,raw_stage_counts_json,raw_condition_counts_json,empty_n,coordinate_invalid_n,confirmed_ambiguous_excluded_n,confirmed_point_removed_n,unconfirmed_odd_usable_n
e9zR4mvMWw7,9,4,4,174,44,43,26,25,1,26,25,25,25,25,False,False,False,0,0,,0,0,"{""1"":1,""10"":1,""11"":1,""12"":1,""13"":1,""14"":1,""15"":1,""17"":1,""18"":1,""19"":1,""2"":1,""21"":1,""27"":1,""28"":1,""29"":1,""30"":1,""31"":1,""32"":1,""33"":1,""34"":1,""35"":1,""36"":1,""37"":1,""6"":1,""8"":1}","[""e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab""]","{""C1"":18,""P1"":26}","{""manual"":44}",1,0,0,0,1
jh4fc5c5qoQ,7,7,7,15,15,15,10,10,0,0,0,0,0,0,False,False,False,0,0,,0,0,{},[],"{""C2-A-RP"":6,""C2-B"":9}","{""manual"":15}",0,0,0,0,0
jtcxE69GiFV,16,16,16,37,37,37,15,15,0,0,0,0,0,0,False,False,False,0,0,,0,0,{},[],"{""C2-A-RP"":20,""C2-B"":17}","{""manual"":37}",0,0,0,0,0
pRbA3pwrgk9,11,11,11,48,48,48,20,20,1,20,20,20,20,20,False,False,False,0,0,,0,0,"{""1"":1,""10"":1,""11"":1,""12"":1,""13"":1,""15"":1,""17"":1,""2"":1,""28"":1,""29"":1,""30"":1,""31"":1,""32"":1,""33"":1,""34"":1,""35"":1,""36"":1,""37"":1,""6"":1,""8"":1}","[""pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494""]","{""C2-A-RP"":12,""C2-B"":36}","{""manual"":48}",0,0,0,0,1
pa4otMbVnkk,11,11,11,22,22,22,17,17,0,0,0,0,0,0,False,False,False,0,0,,0,0,{},[],"{""C2-A-RP"":11,""C2-B"":11}","{""manual"":22}",0,0,0,0,0
q9vSo1VnCiC,16,15,15,221,182,176,26,26,5,130,126,26,25,26,True,True,False,10,25,25.0,25,25,"{""1"":5,""10"":5,""11"":5,""12"":5,""13"":5,""14"":5,""15"":5,""17"":5,""18"":5,""19"":5,""2"":5,""21"":5,""26"":1,""27"":5,""28"":5,""29"":5,""30"":5,""31"":5,""32"":5,""33"":5,""34"":5,""35"":5,""36"":5,""37"":5,""6"":5,""8"":5}","[""q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e"",""q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb"",""q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4"",""q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a"",""q9vSo1VnCiC_e74e843601574864a14517f990c748a0""]","{""C1"":52,""P1"":130}","{""manual"":156,""oos"":26}",4,2,0,0,2
rPc6DW4iMge,10,9,9,192,166,162,26,26,6,150,146,26,23,26,True,True,True,15,21,23,26,26,"{""1"":6,""10"":6,""11"":6,""12"":6,""13"":6,""14"":6,""15"":6,""17"":6,""18"":5,""19"":4,""2"":5,""21"":4,""26"":2,""27"":6,""28"":6,""29"":6,""30"":6,""31"":6,""32"":6,""33"":6,""34"":6,""35"":6,""36"":6,""37"":6,""6"":6,""8"":6}","[""rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3"",""rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5"",""rPc6DW4iMge_1f14902595544e389c9c910c444e79e7"",""rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd"",""rPc6DW4iMge_cc15fb105d86466faafdd633f89148de"",""rPc6DW4iMge_fbc169773c954580baea6d2798c0d486""]","{""C1"":62,""P1"":104}","{""manual"":166}",2,2,0,0,1
uNb9QFRL6hY,28,27,27,426,374,369,26,26,12,296,291,26,23,26,True,True,True,66,23,23.0,25,25,"{""1"":12,""10"":12,""11"":12,""12"":12,""13"":12,""14"":12,""15"":12,""17"":12,""18"":12,""19"":7,""2"":12,""21"":7,""26"":1,""27"":12,""28"":12,""29"":12,""30"":12,""31"":12,""32"":12,""33"":12,""34"":12,""35"":12,""36"":12,""37"":12,""6"":12,""8"":12}","[""uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283"",""uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e"",""uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9"",""uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622"",""uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97"",""uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5"",""uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8"",""uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2"",""uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d"",""uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a"",""uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7"",""uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384""]","{""C1"":193,""P1"":181}","{""manual"":348,""oos"":26}",5,0,0,1,3
wc2JMjhGNzB,15,11,11,258,137,135,26,25,4,98,96,25,23,25,True,True,False,6,23,23.0,25,25,"{""1"":4,""10"":4,""11"":4,""12"":4,""13"":4,""14"":4,""15"":4,""17"":4,""18"":4,""19"":2,""2"":4,""21"":2,""27"":4,""28"":4,""29"":4,""30"":4,""31"":4,""32"":4,""33"":4,""34"":4,""35"":4,""36"":4,""37"":4,""6"":4,""8"":4}","[""wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31"",""wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6"",""wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e"",""wc2JMjhGNzB_dda6efcba51c40de8552408953719515""]","{""C1"":85,""P1"":52}","{""manual"":137}",2,0,0,1,2
x8F5xyUWy9e,4,4,4,41,41,41,26,26,1,26,26,26,26,26,False,False,False,0,0,,0,0,"{""1"":1,""10"":1,""11"":1,""12"":1,""13"":1,""14"":1,""15"":1,""17"":1,""18"":1,""19"":1,""2"":1,""21"":1,""26"":1,""27"":1,""28"":1,""29"":1,""30"":1,""31"":1,""32"":1,""33"":1,""34"":1,""35"":1,""36"":1,""37"":1,""6"":1,""8"":1}","[""x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23""]","{""C1"":15,""P1"":26}","{""manual"":41}",0,0,0,0,2
yqstnuAEVhm,15,15,15,228,219,216,26,26,7,176,173,26,23,26,True,True,True,21,23,23,26,26,"{""1"":7,""10"":7,""11"":7,""12"":7,""13"":7,""14"":7,""15"":7,""17"":7,""18"":7,""19"":5,""2"":7,""21"":5,""26"":2,""27"":7,""28"":7,""29"":7,""30"":7,""31"":7,""32"":7,""33"":7,""34"":7,""35"":7,""36"":7,""37"":7,""6"":7,""8"":7}","[""yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56"",""yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5"",""yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2"",""yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599"",""yqstnuAEVhm_e3face7b2196414d95ed97151aa13058"",""yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65"",""yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5""]","{""C1"":89,""P1"":130}","{""manual"":193,""oos"":26}",3,0,0,0,1
zsNo4HB9uLZ,6,6,6,17,17,17,13,13,0,0,0,0,0,0,False,False,False,0,0,,0,0,{},[],"{""C2-A-RP"":11,""C2-B"":6}","{""manual"":17}",0,0,0,0,0
