image_id,building_id,historical_response_n,raw_n,usable_n,raw_unique_workers,usable_unique_workers,dense_ge16,raw_point_counts_json,effective_point_counts_json,raw_stage_counts_json,raw_condition_counts_json,raw_context_n,usable_context_n,raw_duplicate_workers_json,usable_duplicate_workers_json,empty_n,coordinate_invalid_n,confirmed_ambiguous_excluded_n,confirmed_point_removed_n,unconfirmed_odd_usable_n,raw_worker_ids_json,usable_worker_ids_json,usable_canonical_ids_json
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,5,5,5,5,5,False,"{""8"":4,""16"":1}","{""8"":4,""16"":1}","{""C1"":5}","{""manual"":5}",1,1,{},{},0,0,0,0,0,"[""11"",""15"",""28"",""29"",""36""]","[""11"",""15"",""28"",""29"",""36""]","[""268bafd92e9f27eee478"",""5c79ca3a486aa69a57d2"",""6d1cd2b695a93ed0418c"",""b5c13db450fa7496d8e9"",""c3333eb36394f0f11cfe""]"
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,5,5,5,5,5,False,"{""8"":5}","{""8"":5}","{""C1"":5}","{""manual"":5}",1,1,{},{},0,0,0,0,0,"[""1"",""2"",""12"",""29"",""36""]","[""1"",""2"",""12"",""29"",""36""]","[""24cb9518cba9fc374e36"",""8cd8fc36522e0668f25d"",""b81af97c20cfc379eb17"",""c9e40b1fe2b3537ffc79"",""ca89b9306226c9c332c3""]"
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,5,5,5,5,5,False,"{""10"":1,""12"":4}","{""10"":1,""12"":4}","{""C1"":5}","{""manual"":5}",1,1,{},{},0,0,0,0,0,"[""15"",""31"",""32"",""34"",""37""]","[""15"",""31"",""32"",""34"",""37""]","[""046e2c37842123ec2f46"",""27b18dbca838c732fe36"",""60f051ba3d820f7cf2c1"",""9f3ef0966bba166ccf67"",""e989d5cbe8078c1ac797""]"
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,26,0,0,0,0,False,{},{},{},{},0,0,{},{},0,0,0,0,0,[],[],[]
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,26,26,25,26,25,True,"{""0"":1,""8"":24,""10"":1}","{""8"":24,""10"":1}","{""P1"":26}","{""manual"":26}",1,1,{},{},1,0,0,0,0,"[""1"",""2"",""6"",""8"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""21"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37""]","[""1"",""2"",""6"",""8"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""21"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37""]","[""01111484ace4b94e"",""033e34e10addfeb4"",""0a8c62a27fbaac21"",""158cdf9ee8269d7a"",""283873b63fff0570"",""3f1d4cacc3faf7d7"",""69dd02c653b999da"",""71917bb13f847c7d"",""75ca740199bbfca6"",""77ab07a0a6d85137"",""7b70014ef90dfa00"",""803f0a9e869112a9"",""9664309abeb6b078"",""9a14ee08aba6a9c3"",""ae9eebd3c841d936"",""be4265df16f250c5"",""cd59ff6392d0007b"",""d3b8c5279c4cce15"",""d5ec1431385bed24"",""d709cefe9dcba87b"",""dab549f7649c26f5"",""e2c06769623e335c"",""ee6734855a1fce2c"",""f61cafa7e89ea17e"",""f8548145ddefef82""]"
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,9,5,5,5,5,False,"{""8"":4,""12"":1}","{""8"":4,""12"":1}","{""C1"":5}","{""manual"":5}",1,1,{},{},0,0,0,0,0,"[""11"",""15"",""33"",""34"",""37""]","[""11"",""15"",""33"",""34"",""37""]","[""260cf962d9bea8512f9e"",""8a2600447847d5ab7f5f"",""9378da78037a5091f22e"",""ad005008336266edcd64"",""ecd4e736ab99493cf8bd""]"
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,9,5,5,5,5,False,"{""8"":5}","{""8"":5}","{""C1"":5}","{""manual"":5}",1,1,{},{},0,0,0,0,0,"[""27"",""28"",""29"",""35"",""36""]","[""27"",""28"",""29"",""35"",""36""]","[""04c900e4f73f755265b3"",""25a1ba6fcd4fbb14c433"",""53a1af9cac0415879d2f"",""cc1c0c89b7e5fdacc836"",""ef96b87ef5fb03c9889e""]"
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,26,0,0,0,0,False,{},{},{},{},0,0,{},{},0,0,0,0,0,[],[],[]
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,26,26,25,26,25,True,"{""0"":1,""6"":1,""8"":23,""9"":1}","{""6"":1,""8"":23,""9"":1}","{""P1"":26}","{""manual"":26}",1,1,{},{},1,0,0,0,1,"[""1"",""2"",""6"",""8"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""21"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37""]","[""1"",""2"",""6"",""8"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""21"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37""]","[""0d9906c4c8bb57f8"",""10a21bed4417e7b9"",""16f93817216fbedd"",""1b540a31218a3477"",""21ebb51ae2b69d3b"",""2556b8a658f8f4e7"",""3be1cfa09ff1f4a0"",""474404c2ac9d79ca"",""527cfb7d202a51bc"",""662e08a9d9d5c8b2"",""80df86ca9dbee9d5"",""829002ca0158f88b"",""891b862e5e28633d"",""8ac26fbb43c6d9aa"",""8dead0c156b490f4"",""9660d6b44da996d0"",""acbe8b7b71d168dc"",""b17ba1384ab94447"",""c5603970219f405f"",""c811ff3e51132e75"",""c9e70c42a286d3fc"",""d97a4c0b5bbe5fb7"",""f560d8c96cc112ba"",""f62e67027c50f0e4"",""f6bfdcf15004e457""]"
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,10,6,6,6,6,False,"{""8"":5,""10"":1}","{""8"":5,""10"":1}","{""C1"":6}","{""manual"":6}",1,1,{},{},0,0,0,0,0,"[""13"",""14"",""28"",""29"",""34"",""35""]","[""13"",""14"",""28"",""29"",""34"",""35""]","[""0d42858d359ebfc9e871"",""26a3cf470c4ab78ffaea"",""83822f0c9ce15f483174"",""8505abd6f0715a121368"",""c7ef5fbf6e03cd67ae11"",""d93ff4eb834a154c4cd4""]"
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,26,26,25,26,25,True,"{""0"":1,""8"":23,""12"":2}","{""8"":23,""12"":2}","{""P1"":26}","{""manual"":26}",1,1,{},{},1,0,0,0,0,"[""1"",""2"",""6"",""8"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""21"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37""]","[""1"",""2"",""6"",""8"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""21"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37""]","[""07ee953d1535b28d"",""1614c0e2e49fb8a1"",""1bb726e611007d9d"",""25a1d0d06f3c7ffa"",""26f5958a9b8dbc72"",""2c474f6a00577ed6"",""4a3402faafe5ac31"",""60f415b63bc6abc8"",""645a19e0d1eff33f"",""6b6025969bfa55d0"",""6ef72d6a7373d51d"",""723bcf1f4f6f7bf5"",""786190bfb0e48244"",""78a68354a388042f"",""86bcdfbf6785b83b"",""901942d47886d494"",""90218eb4d8649c74"",""902c7685cf8d8d7f"",""a10544ac2d404470"",""aff097a10b8a446c"",""b9d7de702dfef712"",""c87d232365323163"",""cede48245acaf369"",""dd72228423710274"",""f4095e74a221e17f""]"
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,5,5,5,5,5,False,"{""8"":1,""18"":1,""20"":3}","{""8"":1,""18"":1,""20"":3}","{""C1"":5}","{""manual"":5}",1,1,{},{},0,0,0,0,0,"[""1"",""2"",""12"",""27"",""36""]","[""1"",""2"",""12"",""27"",""36""]","[""495d562be7d142d5bbc5"",""79f3478ea5e43fc1f95a"",""974f94a2b16103ea9324"",""c498069d0547cb81a534"",""f4b7f477de2247b38b2d""]"
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,6,6,6,6,6,False,"{""8"":6}","{""8"":6}","{""C1"":6}","{""manual"":6}",1,1,{},{},0,0,0,0,0,"[""13"",""14"",""18"",""31"",""32"",""34""]","[""13"",""14"",""18"",""31"",""32"",""34""]","[""0cb5a7c23d9bc70208b1"",""22dcfad23c6ac14bd521"",""381c007b1df27d00b6ab"",""56c9aa0348514ab3cc5b"",""d102c6b86a1606f32bd3"",""f8d2cd60e9a8ecf91058""]"
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,5,5,5,5,5,False,"{""8"":5}","{""8"":5}","{""C1"":5}","{""manual"":5}",1,1,{},{},0,0,0,0,0,"[""6"",""8"",""10"",""17"",""30""]","[""6"",""8"",""10"",""17"",""30""]","[""265f63ba09442d63389c"",""62d758541221214e1490"",""8e4588afd83a55aaaa18"",""b3eba7756056bb941dfb"",""ead3f8ac14ab1a6ddfd9""]"
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,20,20,20,20,20,True,"{""8"":18,""10"":1,""16"":1}","{""8"":18,""10"":1,""16"":1}","{""C2-B"":20}","{""manual"":20}",1,1,{},{},0,0,0,0,0,"[""1"",""2"",""6"",""8"",""10"",""11"",""12"",""13"",""15"",""17"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37""]","[""1"",""2"",""6"",""8"",""10"",""11"",""12"",""13"",""15"",""17"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37""]","[""029d6835bddda35f5e84"",""077afa302e6fd9f894ce"",""10c2be55dfd377d1f4ca"",""32e17fb3edf0dc56817f"",""39827a17d6d532fc4d52"",""4ae36274a9f6a2b97a64"",""4f08770787663224f0ab"",""7b1866a3eeaa6930d596"",""816083c4a02fed75db9a"",""84c763a74fbfe8b41553"",""86fc3ae9363a9f67b104"",""93e9f86d9eab9e11871e"",""a30b88572c63c71c10f3"",""a4c50e340e62a015a85e"",""a7f6ca98246198df8a79"",""b505f83196ae0e6e3cc8"",""f1f1b71b8c500b8fdf5a"",""f57527778ab111cb3df8"",""f77e64bc8bb82e6f5f03"",""fdec7694d0b91e5316fe""]"
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,S9hNv5qa7GM,1,1,1,1,1,False,"{""8"":1}","{""8"":1}","{""C2-A-RP"":1}","{""manual"":1}",1,1,{},{},0,0,0,0,0,"[""11""]","[""11""]","[""4283c99baaf5b8a1dd84""]"
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,S9hNv5qa7GM,2,2,2,2,2,False,"{""10"":1,""12"":1}","{""10"":1,""12"":1}","{""C2-B"":2}","{""manual"":2}",1,1,{},{},0,0,0,0,0,"[""36"",""37""]","[""36"",""37""]","[""78d9436fb01b01f920ea"",""f3ddcda6acb704f1443f""]"
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,S9hNv5qa7GM,4,4,4,4,4,False,"{""8"":2,""10"":1,""16"":1}","{""8"":2,""10"":1,""16"":1}","{""C2-A-RP"":4}","{""manual"":4}",2,2,{},{},0,0,0,0,0,"[""10"",""28"",""30"",""37""]","[""10"",""28"",""30"",""37""]","[""2b1b6e2ee0285eb02c88"",""4df387c7c1aa91d86cee"",""72c13a6178d8de165b2b"",""9d1304afc9e057789d7d""]"
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,S9hNv5qa7GM,1,1,1,1,1,False,"{""8"":1}","{""8"":1}","{""C2-B"":1}","{""manual"":1}",1,1,{},{},0,0,0,0,0,"[""2""]","[""2""]","[""196ba4170a023b169872""]"
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,S9hNv5qa7GM,2,2,2,2,2,False,"{""12"":2}","{""12"":2}","{""C2-B"":2}","{""manual"":2}",1,1,{},{},0,0,0,0,0,"[""11"",""12""]","[""11"",""12""]","[""75507c55b020fe0f933f"",""d711e00e26b4b1b32c9d""]"
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,20,20,20,20,20,True,"{""8"":20}","{""8"":20}","{""C2-B"":20}","{""manual"":20}",1,1,{},{},0,0,0,0,0,"[""1"",""2"",""6"",""8"",""10"",""11"",""12"",""13"",""15"",""17"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37""]","[""1"",""2"",""6"",""8"",""10"",""11"",""12"",""13"",""15"",""17"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37""]","[""09dcf6e33d8cc2921823"",""323954a906af8e264261"",""330fb647629670c3c7c9"",""423ee74180898852b46b"",""66120aff023b7aea8a44"",""71de8b732ab3d606a7e1"",""765d0c2d12598ed33ff0"",""7859eddcf282cb8b76ee"",""9174a852a97112732e60"",""aca9a4d66c0164ec9ae6"",""b20b32d12638d03f05d4"",""b25f24a649b46b29fa30"",""b2eef7aa5ecd9aebe0ce"",""b9c104acf19e4f70770a"",""bfefc3cd906e2b38d521"",""d868e5ebafdc789d9be6"",""e714983f7e98b2a0013e"",""f012acb0dce9fa1f74be"",""f070f8acc1d2a2fa3821"",""fa0097a2ba2184745a2e""]"
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,S9hNv5qa7GM,2,2,2,2,2,False,"{""8"":2}","{""8"":2}","{""C2-B"":2}","{""manual"":2}",1,1,{},{},0,0,0,0,0,"[""1"",""10""]","[""1"",""10""]","[""32b6216bcddf37456b4d"",""479f6f28fac296e7a539""]"
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,S9hNv5qa7GM,1,1,1,1,1,False,"{""8"":1}","{""8"":1}","{""C2-A-RP"":1}","{""manual"":1}",1,1,{},{},0,0,0,0,0,"[""10""]","[""10""]","[""40c7e453f4819038ad62""]"
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,S9hNv5qa7GM,3,3,3,3,3,False,"{""12"":3}","{""12"":3}","{""C2-A-RP"":1,""C2-B"":2}","{""manual"":3}",2,2,{},{},0,0,0,0,0,"[""10"",""32"",""33""]","[""10"",""32"",""33""]","[""0dd52fb5db5fdb1b2230"",""208c0b25c13d20a2ffff"",""334704a94606039f12ae""]"
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,9,5,4,5,4,False,"{""10"":1,""12"":1,""15"":1,""16"":1,""20"":1}","{""10"":1,""12"":1,""16"":1,""20"":1}","{""C1"":5}","{""manual"":5}",1,1,{},{},0,0,1,0,0,"[""1"",""2"",""15"",""34"",""37""]","[""1"",""15"",""34"",""37""]","[""1cd86a5176aacbc3567b"",""34443e49e7b491d7ff91"",""3a2d7700bd5753ff0789"",""8e35267f3a0880dc371d""]"
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3,5,5,5,5,5,False,"{""8"":4,""10"":1}","{""8"":4,""10"":1}","{""C1"":5}","{""manual"":5}",1,1,{},{},0,0,0,0,0,"[""6"",""8"",""10"",""17"",""18""]","[""6"",""8"",""10"",""17"",""18""]","[""1a446d9cbfb0497f80c0"",""9c8c76c74e6217df2bea"",""d3d1738a5f7c5fa69f13"",""f62c1fca08c19956c8e3"",""fe2250f56881470ffebd""]"
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3,26,26,25,26,25,True,"{""0"":1,""4"":1,""6"":3,""8"":6,""10"":8,""12"":3,""14"":2,""16"":2}","{""4"":1,""6"":3,""8"":6,""10"":8,""12"":3,""14"":2,""16"":2}","{""P1"":26}","{""oos"":26}",1,1,{},{},1,0,0,0,0,"[""1"",""2"",""6"",""8"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""21"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37""]","[""1"",""2"",""6"",""8"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""21"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37""]","[""07302c287d4b5090"",""10226aeae3f84a35"",""1a361af7443afe0c"",""302e82d117f96466"",""3c0d8e75dd7d264b"",""4f42032dc8e4d665"",""4fc74fddb88c2f79"",""66d1573179cf952a"",""6b1072abb5dd916d"",""71640fc7f46c27a2"",""81137b6e5348e384"",""a1cf0e0701983318"",""a75d738ce1b5070a"",""a95a266f291df244"",""b450be5b8a67bfb8"",""b612f84b4f35345d"",""b73a313e28bc8976"",""c683a325ea5ee59a"",""d02768af49547bb8"",""d5317a10c026bfe9"",""d936055bdc90a99f"",""df388ca29d6f7cfd"",""e355ede0b8b5901b"",""f16402f852e68871"",""fe952ee7e370f555""]"
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3,26,26,26,26,26,True,"{""4"":1,""6"":2,""8"":7,""9"":1,""10"":1,""12"":5,""14"":2,""16"":1,""17"":2,""18"":3,""28"":1}","{""4"":1,""6"":2,""8"":7,""9"":1,""10"":1,""12"":5,""14"":2,""16"":1,""17"":2,""18"":3,""28"":1}","{""P1"":26}","{""oos"":26}",1,1,{},{},0,0,0,0,3,"[""1"",""2"",""6"",""8"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""21"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37""]","[""1"",""2"",""6"",""8"",""10"",""11"",""12"",""13"",""14"",""15"",""17"",""18"",""19"",""21"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37""]","[""073cc94b42351b56"",""07747ea3bdc5ada7"",""1b879ed2a0ea3317"",""1e1b8c35465d660f"",""206017d68554e4ce"",""20d050e0b509265b"",""2e83f114eec9c41b"",""3215104ad30d7a69"",""38910f3666756937"",""3a3dec28a207f0a0"",""3c003832cc2ac4bd"",""41e737f6263bbfeb"",""49fa488be3fef090"",""508134982b91e8e9"",""55864e5d3184dff1"",""721a520d404a0fa2"",""7fb0a95bc36104b2"",""8487d3e12302f924"",""8e34950e31c52b48"",""9351679e3e0d6ade"",""b3c8f9e27d75e1bb"",""ce40f36eeedc9a01"",""db489e7008420f6d"",""e65fb66189e53aac"",""f21c670566821ce7"",""fa7addab96927ce3""]"
