base_task_id,building_id,worker_id,canonical_annotation_id,model_issue_choice,tag_codes,acceptable_tag,corner_drift_reported,U_initial,U_final,delta_U,geometry_edit_rmse_px,edit_magnitude_band,topology_changed,material_edit,task_final_scope,image_reference
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,2,7fc54cc83e44fb28abe2,underextend,in_scope;occlusion;reflection_transparency;underextension,False,False,1.0,0.9295266199721232,-0.0704733800278767,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9.jpg
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,17,be0ea7a0849f9bf057cb,underextend,in_scope;occlusion;underextension,False,False,1.0,0.9362865753006208,-0.0637134246993791,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9.jpg
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,12,8f2310bf731d94b43254,corner_duplicate;over_parsing,corner_issue;low_texture;oos_open_or_ambiguous_boundary;reflection_transparency;seam;topology_issue,False,False,0.965819257586173,0.8765517526895075,-0.0892675048966655,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d.jpg
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,27,973098cfe5081c1c74ec,corner_drift;corner_duplicate;over_parsing,corner_issue;in_scope;occlusion;topology_issue,False,True,0.965819257586173,0.7300856460470471,-0.2357336115391259,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d.jpg
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,34,ac7d30c4e0246e96535a,acceptable,acceptable;in_scope;occlusion,True,False,0.965819257586173,0.9407771348456244,-0.0250421227405485,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d.jpg
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,1,149830d59e7e9e39f686,over_parsing,in_scope;occlusion;topology_issue,False,False,1.0,0.8968127463468964,-0.1031872536531035,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5.jpg
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,2,3cf2311bd8da5ee6753a,overextend_adjacent,in_scope;occlusion;overextension,False,False,1.0,0.9156425772398902,-0.0843574227601098,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5.jpg
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,30,3e8773a02414b6a4b615,underextend,low_texture;occlusion;oos_open_or_ambiguous_boundary;underextension,False,False,1.0,0.8883347454363398,-0.1116652545636601,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5.jpg
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,32,af75f69b47040e315e88,corner_duplicate;underextend,corner_issue;in_scope;occlusion;underextension,False,False,1.0,0.9453867281543522,-0.0546132718456477,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5.jpg
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY,34,3a3bc0a4eb51fdb493f4,acceptable,acceptable;in_scope;trivial,True,False,1.0,0.9528367837519623,-0.0471632162480376,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62.jpg
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,2,02ff3128c678c453e095,overextend_adjacent,in_scope;occlusion;overextension;seam,False,False,1.0,0.9810268313931392,-0.0189731686068607,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13.jpg
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,13,d6b34d9ae99290e61c81,overextend_adjacent,in_scope;occlusion;overextension;seam,False,False,1.0,0.9760367591461642,-0.0239632408538358,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13.jpg
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,29,d85d39dda5fe0ff36757,acceptable,acceptable;in_scope;occlusion;seam,True,False,1.0,0.930107281442593,-0.0698927185574069,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13.jpg
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY,31,1ff1c3fea69357e03c76,acceptable,acceptable;in_scope;trivial,True,False,1.0,0.8878079631616722,-0.1121920368383277,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d.jpg
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,wc2JMjhGNzB,31,99107f36d276c5bca39b,acceptable,acceptable;in_scope;trivial,True,False,1.0,0.9731017078355896,-0.0268982921644105,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7.jpg
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,1,9c1492ecc8c50ab46ddd,acceptable,acceptable;in_scope;occlusion,True,False,1.0,0.8902753256668416,-0.1097246743331583,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc.jpg
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,27,b5e0d24f44539999b6ed,over_parsing,in_scope;occlusion;topology_issue,False,False,1.0,0.9697406975645104,-0.0302593024354894,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc.jpg
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,30,2052df34f859227bd40f,corner_drift;fail,corner_issue;in_scope;low_texture;occlusion;other_issue,False,True,1.0,0.9225406807050068,-0.077459319294993,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc.jpg
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,yqstnuAEVhm,34,961dc0d114e60fe10b06,acceptable,acceptable;in_scope;occlusion,True,False,1.0,0.8358320334855744,-0.1641679665144255,,not_computable,False,False,in_scope,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089.jpg
