base_task_id,initial_researcher_scope,initial_reviewed_by,initial_reviewed_at,initial_protocol_version,initial_review_source_sha256,initial_notes,n_worker_in_scope,n_worker_oos,n_worker_missing,n_worker_scope_eligible,worker_scope_direction,worker_scope_margin,mixed_scope_response,review_trigger,secondary_review_required,secondary_scope,task_final_scope,scope_resolution_status,final_scope_source,reviewed_by,reviewed_at,secondary_notes,source_initial_review_sha256,source_scope_consensus_sha256
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 62: B-071|C-023.,3,2,1,5,in_scope,0.2,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 60: B-069.,4,1,0,5,in_scope,0.6,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 15: B-020.,4,1,1,5,in_scope,0.6,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 46: B-054.,5,0,0,5,in_scope,1.0,False,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,oos,researcher,2026-08-01T00:00:00+08:00,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,"Researcher initial protocol review row 41: B-049|C-007. Corrected 2026-08-01: researcher reconfirmed C1 core initial OOS roster (B-008, B-019, B-029, B-030, B-037, B-049, B-061, B-063).",2,3,0,5,oos,0.2,True,,false,,oos,resolved,worker_researcher_concordant,researcher,2026-08-01T00:00:00+08:00,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,oos,researcher,2026-08-01T00:00:00+08:00,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,"Researcher initial protocol review row 67: B-061. Corrected 2026-08-01: researcher reconfirmed C1 core initial OOS roster (B-008, B-019, B-029, B-030, B-037, B-049, B-061, B-063).",4,1,0,5,in_scope,0.6,True,researcher_worker_direction_disagreement,true,oos,oos,resolved,secondary_protocol_review,researcher,2026-08-01T20:02:23.3630482+08:00,User-confirmed secondary protocol Scope resolution: retain OOS.,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 36: B-044|C-012.,3,2,2,5,in_scope,0.2,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,oos,researcher,2026-08-01T00:00:00+08:00,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,"Researcher initial protocol review row 30: B-037. Corrected 2026-08-01: researcher reconfirmed C1 core initial OOS roster (B-008, B-019, B-029, B-030, B-037, B-049, B-061, B-063).",2,3,0,5,oos,0.2,True,,false,,oos,resolved,worker_researcher_concordant,researcher,2026-08-01T00:00:00+08:00,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,,,,,,,,,,,,,,,false,,in_scope,resolved,inventory_latest_human_reviewed,latest_human_reviewed,,,,
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 47: B-055.,4,1,0,5,in_scope,0.6,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,in_scope,researcher,2026-08-01T07:17:27.8692288Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Supplemental researcher initial protocol review: B-013.,5,0,0,5,in_scope,1.0,False,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:17:27.8692288Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,in_scope,researcher,2026-08-01T07:17:27.8692288Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Supplemental researcher initial protocol review: B-001.,4,1,0,5,in_scope,0.6,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:17:27.8692288Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 18: B-023|C-014.,4,1,0,5,in_scope,0.6,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 19: B-024|C-005.,4,1,0,5,in_scope,0.6,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 32: B-039.,5,0,0,5,in_scope,1.0,False,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 5: B-007.,5,0,0,5,in_scope,1.0,False,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 42: B-050.,5,0,1,5,in_scope,1.0,False,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 16: B-021.,5,0,1,5,in_scope,1.0,False,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 45: B-053.,4,1,1,5,in_scope,0.6,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 7: B-010.,3,2,1,5,in_scope,0.2,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 8: B-011|C-006.,5,0,0,5,in_scope,1.0,False,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,in_scope,researcher,2026-08-01T07:17:27.8692288Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Supplemental researcher initial protocol review: B-002.,5,0,0,5,in_scope,1.0,False,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:17:27.8692288Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 28: B-035.,4,1,0,5,in_scope,0.6,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 10: B-014.,5,0,0,5,in_scope,1.0,False,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 25: B-032|C-013.,5,0,1,5,in_scope,1.0,False,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 27: B-034|C-003.,4,1,0,5,in_scope,0.6,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,in_scope,researcher,2026-08-01T00:00:00+08:00,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,"Researcher initial protocol review row 29: B-036. Corrected 2026-08-01: researcher reconfirmed C1 core initial OOS roster (B-008, B-019, B-029, B-030, B-037, B-049, B-061, B-063).",3,2,1,5,in_scope,0.2,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T00:00:00+08:00,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 59: B-068.,4,1,0,5,in_scope,0.6,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 43: B-051.,4,1,0,5,in_scope,0.6,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 58: B-067.,4,1,0,5,in_scope,0.6,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,,,,,,,,,,,,,,,false,,in_scope,resolved,inventory_latest_human_reviewed,latest_human_reviewed,,,,
rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 39: B-047.,4,1,0,5,in_scope,0.6,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
rPc6DW4iMge_4350d36797324601adba7351d09602d2,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 50: B-058.,5,0,0,5,in_scope,1.0,False,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,,,,,,,,,,,,,,,false,,in_scope,resolved,inventory_latest_human_reviewed,latest_human_reviewed,,,,
rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 66: B-075.,5,0,1,5,in_scope,1.0,False,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,,,,,,,,,,,,,,,false,,in_scope,resolved,inventory_latest_human_reviewed,latest_human_reviewed,,,,
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,,,,,,,,,,,,,,,false,,in_scope,resolved,inventory_latest_human_reviewed,latest_human_reviewed,,,,
uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,in_scope,researcher,2026-08-01T00:00:00+08:00,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,"Researcher initial protocol review row 49: B-057. Corrected 2026-08-01: researcher reconfirmed C1 core initial OOS roster (B-008, B-019, B-029, B-030, B-037, B-049, B-061, B-063).",4,1,0,5,in_scope,0.6,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T00:00:00+08:00,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
