image_id,condition,grade,room_fold,other_source_statuses,status
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual,difficult_candidate,view:e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,"[{""image_id"": ""e9zR4mvMWw7_1ff35596f9cb4b98ba4f08dda81c1654"", ""status"": ""no_history_in_this_condition""}, {""image_id"": ""e9zR4mvMWw7_5a03fdefad7a46f4abaf1b2b924ec153"", ""status"": ""no_history_in_this_condition""}, {""image_id"": ""e9zR4mvMWw7_5d711de78dbd400aa4cfd51fc05dfbee"", ""status"": ""no_history_in_this_condition""}, {""image_id"": ""e9zR4mvMWw7_fa7122ef2199445485623708ea54d018"", ""status"": ""no_history_in_this_condition""}]",no_assigned_same_condition_neighbor
pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,manual,simple,view:pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,"[{""image_id"": ""pRbA3pwrgk9_950f2117a6164fbc8d2faff96c40a1e9"", ""status"": ""no_history_in_this_condition""}]",no_assigned_same_condition_neighbor
pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,manual,simple,,[],no_supported_room_fold
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,manual,simple,,[],no_supported_room_fold
q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,manual,simple,,[],no_supported_room_fold
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,manual,simple,view:q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,"[{""image_id"": ""q9vSo1VnCiC_ca6944f5dd334193bb86058ba5ab5dc3"", ""status"": ""no_history_in_this_condition""}]",no_assigned_same_condition_neighbor
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,difficult_candidate,,[],no_supported_room_fold
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,manual,difficult_candidate,view:rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,"[{""image_id"": ""rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff"", ""grade"": """", ""status"": ""limited_horizon_or_order_sensitive"", ""n_valid"": 5}, {""image_id"": ""rPc6DW4iMge_fbc169773c954580baea6d2798c0d486"", ""grade"": """", ""status"": ""invalid_response_evidence"", ""n_valid"": 22}]",no_assigned_same_condition_neighbor
rPc6DW4iMge_4350d36797324601adba7351d09602d2,manual,simple,view:rPc6DW4iMge_4350d36797324601adba7351d09602d2,"[{""image_id"": ""rPc6DW4iMge_2c16cbd610cf4e1b92b2830f51c07e32"", ""status"": ""no_history_in_this_condition""}, {""image_id"": ""rPc6DW4iMge_bad24c9d90de493eb70e9af8383ee598"", ""status"": ""no_history_in_this_condition""}, {""image_id"": ""rPc6DW4iMge_cc15fb105d86466faafdd633f89148de"", ""grade"": """", ""status"": ""stable_outside_three_tier_limits"", ""n_valid"": 24}]",no_assigned_same_condition_neighbor
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,manual,difficult_candidate,,[],no_supported_room_fold
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,manual,difficult_candidate,,[],no_supported_room_fold
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,manual,simple,view:uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,"[{""image_id"": ""uNb9QFRL6hY_14f2a8bc76f24d2ea495369bfde2f653"", ""status"": ""no_history_in_this_condition""}, {""image_id"": ""uNb9QFRL6hY_28cd285e6d5545dda080d949bb00f1c0"", ""status"": ""no_history_in_this_condition""}, {""image_id"": ""uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a"", ""grade"": """", ""status"": ""stable_outside_three_tier_limits"", ""n_valid"": 24}, {""image_id"": ""uNb9QFRL6hY_daf1cf81c53b4e439e7e649fa9b41341"", ""status"": ""no_history_in_this_condition""}]",no_assigned_same_condition_neighbor
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,manual,simple,view:uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,"[{""image_id"": ""uNb9QFRL6hY_6a99c723d40b429e96a29c8ce7532d1d"", ""status"": ""no_history_in_this_condition""}, {""image_id"": ""uNb9QFRL6hY_f8acfc899a4c49ddad71fdfcfd899b2f"", ""status"": ""no_history_in_this_condition""}]",no_assigned_same_condition_neighbor
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,manual,difficult_candidate,,[],no_supported_room_fold
uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,manual,simple,,[],no_supported_room_fold
wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,manual,simple,,[],no_supported_room_fold
wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,semi,medium,,[],no_supported_room_fold
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,semi,simple,view:wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,"[{""image_id"": ""wc2JMjhGNzB_026ce91a981c4de3bb9fd2daeb99ec2b"", ""status"": ""no_history_in_this_condition""}, {""image_id"": ""wc2JMjhGNzB_25dffb87de434b119296fc0a02ede607"", ""status"": ""no_history_in_this_condition""}, {""image_id"": ""wc2JMjhGNzB_40ea4145b9e946aab5d56de3ce179c8e"", ""status"": ""no_history_in_this_condition""}, {""image_id"": ""wc2JMjhGNzB_48a93a3b61354385b30974c248c11ef2"", ""status"": ""no_history_in_this_condition""}, {""image_id"": ""wc2JMjhGNzB_5b34120ed9c24e47a673426ea7ea7a07"", ""status"": ""no_history_in_this_condition""}]",no_assigned_same_condition_neighbor
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,manual,simple,,[],no_supported_room_fold
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,manual,simple,,[],no_supported_room_fold
yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,manual,difficult_candidate,view:yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,"[{""image_id"": ""yqstnuAEVhm_48447297e8444171a5db34ccf38bc229"", ""grade"": """", ""status"": ""limited_horizon_or_order_sensitive"", ""n_valid"": 6}, {""image_id"": ""yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d"", ""grade"": """", ""status"": ""limited_horizon_or_order_sensitive"", ""n_valid"": 5}, {""image_id"": ""yqstnuAEVhm_e3face7b2196414d95ed97151aa13058"", ""grade"": """", ""status"": ""invalid_response_evidence"", ""n_valid"": 23}]",no_assigned_same_condition_neighbor
