image_id,condition,k,grade,n_valid,cut
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,2,,5,0.1
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,3,,5,0.1
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,4,,5,0.1
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,5,,5,0.1
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,6,,5,0.1
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,7,,5,0.1
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,8,,5,0.1
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,2,,5,0.1
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,3,,5,0.1
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,4,,5,0.1
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,5,,5,0.1
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,6,,5,0.1
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,7,,5,0.1
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,8,,5,0.1
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,2,,5,0.1
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,3,,5,0.1
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,4,,5,0.1
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,5,,5,0.1
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,6,,5,0.1
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,7,,5,0.1
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,8,,5,0.1
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,2,,24,0.1
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,3,,24,0.1
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,4,,24,0.1
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,5,,24,0.1
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,6,,24,0.1
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,7,,24,0.1
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,8,,24,0.1
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,2,medium_candidate,24,0.1
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,3,medium_candidate,24,0.1
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,4,medium_candidate,24,0.1
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,5,medium_candidate,24,0.1
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,6,medium_candidate,24,0.1
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,7,medium_candidate,24,0.1
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,8,medium_candidate,24,0.1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,2,,5,0.1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,3,,5,0.1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,4,,5,0.1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,5,,5,0.1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,6,,5,0.1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,7,,5,0.1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,8,,5,0.1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,2,,4,0.1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,3,simple_candidate,4,0.1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,4,simple_candidate,4,0.1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,5,simple_candidate,4,0.1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,6,simple_candidate,4,0.1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,7,simple_candidate,4,0.1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,8,simple_candidate,4,0.1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,2,,5,0.1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,3,simple_candidate,5,0.1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,4,simple_candidate,5,0.1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,5,simple_candidate,5,0.1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,6,simple_candidate,5,0.1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,7,simple_candidate,5,0.1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,8,simple_candidate,5,0.1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,2,,4,0.1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,3,,4,0.1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,4,,4,0.1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,5,,4,0.1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,6,,4,0.1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,7,,4,0.1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,8,,4,0.1
B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,2,,24,0.1
B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,3,,24,0.1
B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,4,,24,0.1
B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,5,,24,0.1
B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,6,,24,0.1
B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,7,,24,0.1
B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,8,,24,0.1
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,2,difficult_candidate,23,0.1
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,3,difficult_candidate,23,0.1
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,4,difficult_candidate,23,0.1
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,5,difficult_candidate,23,0.1
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,6,difficult_candidate,23,0.1
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,7,difficult_candidate,23,0.1
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,8,difficult_candidate,23,0.1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,2,,6,0.1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,3,,6,0.1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,4,,6,0.1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,5,,6,0.1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,6,,6,0.1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,7,,6,0.1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,8,,6,0.1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,2,,4,0.1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,3,,4,0.1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,4,,4,0.1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,5,,4,0.1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,6,,4,0.1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,7,,4,0.1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,8,,4,0.1
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,2,difficult_candidate,24,0.1
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,3,difficult_candidate,24,0.1
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,4,difficult_candidate,24,0.1
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,5,difficult_candidate,24,0.1
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,6,difficult_candidate,24,0.1
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,7,difficult_candidate,24,0.1
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,8,difficult_candidate,24,0.1
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,2,,5,0.1
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,3,,5,0.1
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,4,,5,0.1
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,5,,5,0.1
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,6,,5,0.1
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,7,,5,0.1
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,8,,5,0.1
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,2,,6,0.1
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,3,,6,0.1
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,4,,6,0.1
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,5,,6,0.1
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,6,,6,0.1
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,7,,6,0.1
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,8,,6,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,2,medium_candidate,5,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,3,medium_candidate,5,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,4,medium_candidate,5,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,5,medium_candidate,5,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,6,medium_candidate,5,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,7,medium_candidate,5,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,8,medium_candidate,5,0.1
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,2,,19,0.1
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,3,,19,0.1
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,4,,19,0.1
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,5,,19,0.1
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,6,,19,0.1
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,7,,19,0.1
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,8,,19,0.1
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,manual,2,,1,0.1
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,manual,3,,1,0.1
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,manual,4,,1,0.1
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,manual,5,,1,0.1
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,manual,6,,1,0.1
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,manual,7,,1,0.1
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,manual,8,,1,0.1
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,2,,2,0.1
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,3,,2,0.1
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,4,,2,0.1
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,5,,2,0.1
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,6,,2,0.1
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,7,,2,0.1
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,8,,2,0.1
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,2,,3,0.1
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,3,,3,0.1
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,4,,3,0.1
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,5,,3,0.1
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,6,,3,0.1
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,7,,3,0.1
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,8,,3,0.1
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,manual,2,,1,0.1
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,manual,3,,1,0.1
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,manual,4,,1,0.1
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,manual,5,,1,0.1
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,manual,6,,1,0.1
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,manual,7,,1,0.1
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,manual,8,,1,0.1
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,manual,2,,2,0.1
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,manual,3,,2,0.1
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,manual,4,,2,0.1
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,manual,5,,2,0.1
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,manual,6,,2,0.1
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,manual,7,,2,0.1
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,manual,8,,2,0.1
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,2,,20,0.1
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,3,,20,0.1
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,4,,20,0.1
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,5,,20,0.1
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,6,,20,0.1
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,7,,20,0.1
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,8,,20,0.1
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,manual,2,,2,0.1
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,manual,3,,2,0.1
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,manual,4,,2,0.1
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,manual,5,,2,0.1
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,manual,6,,2,0.1
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,manual,7,,2,0.1
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,manual,8,,2,0.1
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,manual,2,,1,0.1
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,manual,3,,1,0.1
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,manual,4,,1,0.1
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,manual,5,,1,0.1
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,manual,6,,1,0.1
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,manual,7,,1,0.1
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,manual,8,,1,0.1
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,manual,2,,3,0.1
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,manual,3,,3,0.1
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,manual,4,,3,0.1
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,manual,5,,3,0.1
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,manual,6,,3,0.1
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,manual,7,,3,0.1
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,manual,8,,3,0.1
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,2,,4,0.1
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,3,,4,0.1
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,4,,4,0.1
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,5,,4,0.1
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,6,,4,0.1
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,7,,4,0.1
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,8,,4,0.1
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,semi,2,,4,0.1
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,semi,3,,4,0.1
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,semi,4,,4,0.1
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,semi,5,,4,0.1
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,semi,6,,4,0.1
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,semi,7,,4,0.1
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,semi,8,,4,0.1
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,manual,2,,5,0.1
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,manual,3,,5,0.1
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,manual,4,,5,0.1
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,manual,5,,5,0.1
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,manual,6,,5,0.1
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,manual,7,,5,0.1
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,manual,8,,5,0.1
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,2,,24,0.1
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,3,,24,0.1
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,4,,24,0.1
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,5,,24,0.1
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,6,,24,0.1
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,7,,24,0.1
