image_id,condition,axis,observed_people,qualified_target_people,unknown_or_unqualified_people
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,manual,T,6,5,1
e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,semi,Q,24,24,0
e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,semi,T,24,23,1
e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,semi,Q,24,24,0
e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,semi,T,24,23,1
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,manual,Q,6,6,0
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,manual,T,6,6,0
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual,Q,24,24,0
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual,T,24,23,1
e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,semi,Q,24,24,0
e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,semi,T,24,23,1
e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,semi,Q,24,24,0
e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,semi,T,24,23,1
jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,manual,Q,4,4,0
jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,manual,T,4,4,0
jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,manual,Q,2,2,0
jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,manual,T,2,2,0
jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,manual,Q,2,2,0
jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,manual,T,2,2,0
jh4fc5c5qoQ_855bc326ad174253b57626daf123c608,manual,Q,2,2,0
jh4fc5c5qoQ_855bc326ad174253b57626daf123c608,manual,T,2,2,0
jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,manual,Q,2,2,0
jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,manual,T,2,2,0
jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c,manual,Q,1,1,0
jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c,manual,T,1,1,0
jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,manual,Q,2,2,0
jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,manual,T,2,2,0
jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,manual,Q,3,3,0
jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,manual,T,3,3,0
jtcxE69GiFV_1df105f34ccf4844877be7e8e2d90fad,manual,Q,3,3,0
jtcxE69GiFV_1df105f34ccf4844877be7e8e2d90fad,manual,T,3,3,0
jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,Q,6,6,0
jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,manual,T,6,6,0
jtcxE69GiFV_3fb4bb890d7f4964b496a46db647e72a,manual,Q,1,1,0
jtcxE69GiFV_3fb4bb890d7f4964b496a46db647e72a,manual,T,1,1,0
jtcxE69GiFV_44661972414d44fabc0799f237e4d7f0,manual,Q,1,1,0
jtcxE69GiFV_44661972414d44fabc0799f237e4d7f0,manual,T,1,1,0
jtcxE69GiFV_4d7ce55eeb6643079aba3b10360de8d8,manual,Q,2,2,0
jtcxE69GiFV_4d7ce55eeb6643079aba3b10360de8d8,manual,T,2,2,0
jtcxE69GiFV_539fb3f6f19b442285b593628a8ce14e,manual,Q,1,1,0
jtcxE69GiFV_539fb3f6f19b442285b593628a8ce14e,manual,T,1,1,0
jtcxE69GiFV_5d3af9ad575b4be88587967ff8114c36,manual,Q,2,2,0
jtcxE69GiFV_5d3af9ad575b4be88587967ff8114c36,manual,T,2,2,0
jtcxE69GiFV_6723e18211d244f8b17ced91aae64d99,manual,Q,1,1,0
jtcxE69GiFV_6723e18211d244f8b17ced91aae64d99,manual,T,1,1,0
jtcxE69GiFV_67790605390f4d439c3c59395967ec84,manual,Q,4,4,0
jtcxE69GiFV_67790605390f4d439c3c59395967ec84,manual,T,4,4,0
jtcxE69GiFV_9f0e2562fcf447f5a7c5e44e85978148,manual,Q,2,2,0
jtcxE69GiFV_9f0e2562fcf447f5a7c5e44e85978148,manual,T,2,2,0
jtcxE69GiFV_a197694b62d249968f88ae32a1b49d10,manual,Q,1,1,0
jtcxE69GiFV_a197694b62d249968f88ae32a1b49d10,manual,T,1,1,0
jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,manual,Q,4,4,0
jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,manual,T,4,4,0
jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,manual,Q,4,4,0
jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,manual,T,4,4,0
jtcxE69GiFV_f473cf5a09a64090acec3bfe8fccaacd,manual,Q,1,1,0
jtcxE69GiFV_f473cf5a09a64090acec3bfe8fccaacd,manual,T,1,1,0
jtcxE69GiFV_f4dc4040df5a4f038dd2b35f2bb65266,manual,Q,1,1,0
jtcxE69GiFV_f4dc4040df5a4f038dd2b35f2bb65266,manual,T,1,1,0
pRbA3pwrgk9_0350fc96e88c4a52886d4eb50b2d52c6,manual,Q,3,3,0
pRbA3pwrgk9_0350fc96e88c4a52886d4eb50b2d52c6,manual,T,3,3,0
pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,manual,Q,6,6,0
pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,manual,T,6,6,0
pRbA3pwrgk9_0dad4bd3fa7e4349a5325596c10d6fdf,manual,Q,1,1,0
pRbA3pwrgk9_0dad4bd3fa7e4349a5325596c10d6fdf,manual,T,1,1,0
pRbA3pwrgk9_16beb21e65a84850a509972190038d0e,manual,Q,2,2,0
pRbA3pwrgk9_16beb21e65a84850a509972190038d0e,manual,T,2,2,0
pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,manual,Q,3,3,0
pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,manual,T,3,3,0
pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,manual,Q,5,5,0
pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,manual,T,5,5,0
pRbA3pwrgk9_4fe4474e9bf9429ea92d202bdea4dce5,manual,Q,2,2,0
pRbA3pwrgk9_4fe4474e9bf9429ea92d202bdea4dce5,manual,T,2,2,0
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,manual,Q,20,20,0
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,manual,T,20,20,0
pRbA3pwrgk9_8caa90fc5528451f9e9f45634676499b,manual,Q,2,2,0
pRbA3pwrgk9_8caa90fc5528451f9e9f45634676499b,manual,T,2,2,0
pRbA3pwrgk9_9c9bed9bf7d94ac0bcea18e3bf521930,manual,Q,2,2,0
pRbA3pwrgk9_9c9bed9bf7d94ac0bcea18e3bf521930,manual,T,2,2,0
pRbA3pwrgk9_bc9ae89832854c19a69741f97291efad,manual,Q,2,2,0
pRbA3pwrgk9_bc9ae89832854c19a69741f97291efad,manual,T,2,2,0
pa4otMbVnkk_270f6920ec0f48c391bca974b356bc3b,manual,Q,2,2,0
pa4otMbVnkk_270f6920ec0f48c391bca974b356bc3b,manual,T,2,2,0
pa4otMbVnkk_3ad5d0784b1442b6a728bb7dec3d50e0,manual,Q,1,1,0
pa4otMbVnkk_3ad5d0784b1442b6a728bb7dec3d50e0,manual,T,1,1,0
pa4otMbVnkk_447755d931aa401097d8c0952a22b17e,manual,Q,2,2,0
pa4otMbVnkk_447755d931aa401097d8c0952a22b17e,manual,T,2,2,0
pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657,manual,Q,3,3,0
pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657,manual,T,3,3,0
pa4otMbVnkk_4fbdfc08c934474ea9a04977f9081d0e,manual,Q,1,1,0
pa4otMbVnkk_4fbdfc08c934474ea9a04977f9081d0e,manual,T,1,1,0
pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,manual,Q,6,6,0
pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,manual,T,6,6,0
pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,manual,Q,3,3,0
pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,manual,T,3,3,0
pa4otMbVnkk_64ba4f267872432abdcb00af002649d5,manual,Q,1,1,0
pa4otMbVnkk_64ba4f267872432abdcb00af002649d5,manual,T,1,1,0
pa4otMbVnkk_eac7bdc24b24474ba38b8b0b5acd62f6,manual,Q,1,1,0
pa4otMbVnkk_eac7bdc24b24474ba38b8b0b5acd62f6,manual,T,1,1,0
pa4otMbVnkk_f6005da79d2c43ba820db8124a4287d1,manual,Q,1,1,0
pa4otMbVnkk_f6005da79d2c43ba820db8124a4287d1,manual,T,1,1,0
pa4otMbVnkk_fc4ee7e59f32491d9817b3a9a5b5e9b1,manual,Q,1,1,0
pa4otMbVnkk_fc4ee7e59f32491d9817b3a9a5b5e9b1,manual,T,1,1,0
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,manual,Q,5,5,0
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,manual,T,5,5,0
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,semi,Q,4,4,0
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,semi,T,4,4,0
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,manual,Q,24,24,0
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,manual,T,24,23,1
q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,manual,Q,5,5,0
q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,manual,T,5,5,0
q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,manual,Q,5,5,0
q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,manual,T,5,5,0
q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,manual,Q,5,5,0
q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,manual,T,5,5,0
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,manual,Q,6,6,0
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,manual,T,6,5,1
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,semi,Q,4,4,0
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,semi,T,4,4,0
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,Q,24,24,0
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,T,24,23,1
q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103,semi,Q,24,24,0
q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103,semi,T,24,23,1
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,manual,Q,5,5,0
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,manual,T,5,5,0
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,semi,Q,5,5,0
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,semi,T,5,4,1
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,manual,Q,24,24,0
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,manual,T,24,23,1
q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,manual,Q,6,6,0
q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,manual,T,6,5,1
q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,manual,Q,5,5,0
q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,manual,T,5,5,0
q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,manual,Q,5,5,0
q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,manual,T,5,5,0
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,manual,Q,24,24,0
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,manual,T,24,23,1
q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,manual,Q,5,5,0
q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,manual,T,5,5,0
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,Q,23,23,0
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,manual,T,23,22,1
rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,manual,Q,5,5,0
rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,manual,T,5,5,0
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,manual,Q,24,24,0
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,manual,T,24,23,1
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,manual,Q,24,24,0
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,manual,T,24,23,1
rPc6DW4iMge_4350d36797324601adba7351d09602d2,manual,Q,5,5,0
rPc6DW4iMge_4350d36797324601adba7351d09602d2,manual,T,5,5,0
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,manual,Q,23,23,0
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,manual,T,23,22,1
rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,manual,Q,6,6,0
rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,manual,T,6,5,1
rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,semi,Q,24,24,0
rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,semi,T,24,23,1
rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,manual,Q,24,24,0
rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,manual,T,24,23,1
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,Q,24,24,0
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,T,24,23,1
uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,manual,Q,24,24,0
uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,manual,T,24,23,1
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,Q,23,23,0
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,T,23,22,1
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,manual,Q,24,24,0
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,manual,T,24,23,1
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,manual,Q,23,23,0
