base_task_id,building_id,cluster_count,cluster_worker_memberships_json,condition,cutoff,fixed_support_annotation_ids_json,partition_status,pointwise_correspondence_required,second_cluster_support,stage,strict_support,structure_status
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,2,"[[""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""2"", ""27"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37"", ""6"", ""8""], [""28""]]",manual,0.95,"[""0359bc11d268822d94fd"", ""0a6c2ab575a7b36f82bd"", ""0ab97a7e7082f598e237"", ""200f0c572426f1ad5f6c"", ""35a9f318fa8bb9909db0"", ""423d83b62a6b1fee7af4"", ""46a22bc8081a9f80e282"", ""6b145ff560adec834931"", ""7d1b82da44ed8dd8ef72"", ""a4015419d4289160ce21"", ""a8282b826c2b83f1c177"", ""b7e7d86f528066fab226"", ""bed357bd88baf4c32786"", ""cb5e672973105a2a1c43"", ""cc9c520b1f8781f19e31"", ""d14d3e95941e544b31c6"", ""d82cf0aab412ea6e207e"", ""e141cec3bd166425f47c"", ""e4ccffc7a8756b7b0be4"", ""e53257d9b7428d4da0f5"", ""e714d76c74a373febbee"", ""e7b36064adef9c88eb38"", ""f579b073015ccb5f87b1""]",unique,True,1,C1,23,dominant_with_dissent
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,2,"[[""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""2"", ""27"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37"", ""6"", ""8""], [""28""]]",manual,0.97,"[""0359bc11d268822d94fd"", ""0a6c2ab575a7b36f82bd"", ""0ab97a7e7082f598e237"", ""200f0c572426f1ad5f6c"", ""35a9f318fa8bb9909db0"", ""423d83b62a6b1fee7af4"", ""46a22bc8081a9f80e282"", ""6b145ff560adec834931"", ""7d1b82da44ed8dd8ef72"", ""a4015419d4289160ce21"", ""a8282b826c2b83f1c177"", ""b7e7d86f528066fab226"", ""bed357bd88baf4c32786"", ""cb5e672973105a2a1c43"", ""cc9c520b1f8781f19e31"", ""d14d3e95941e544b31c6"", ""d82cf0aab412ea6e207e"", ""e141cec3bd166425f47c"", ""e4ccffc7a8756b7b0be4"", ""e53257d9b7428d4da0f5"", ""e714d76c74a373febbee"", ""e7b36064adef9c88eb38"", ""f579b073015ccb5f87b1""]",unique,True,1,C1,23,dominant_with_dissent
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY,8,"[[""12"", ""15"", ""17"", ""18"", ""2"", ""28"", ""36"", ""8""], [""11"", ""14"", ""27"", ""29"", ""32"", ""37"", ""6""], [""10"", ""30"", ""31""], [""34""], [""33""], [""13""], [""1""], [""35""]]",manual,0.93,"[""082f62d60b17746b01fc"", ""100cc9a45d0a0f994238"", ""1b06bf8a8b92fca18545"", ""2976993fc059101f9e6a"", ""2f1944702583d6eb6860"", ""60a0c3a0dcba1739fb67"", ""6807fe796de6aacaa1d3"", ""6c9ac9d78b385a762253"", ""7316a2901ae455c12625"", ""8e8f77a48f3ad4c6096c"", ""91f5a2eb0fcd82cebcf4"", ""98f815cef49de82c7449"", ""a2dd65d0b594bb9212ac"", ""aadcebbd5deed880c6fe"", ""b93da0bbe5ffb848a0c6"", ""be51f8a15243df569129"", ""e367c19601f2d8e7823e"", ""e66d78ee7fefb50ef63b"", ""eb7401f8c6a2d74124c0"", ""f048b9e4877b4a6cc5d6"", ""f2769cc6b8e8d4026727"", ""fc858eb54d55668285a1"", ""ffd589e4f6a13787a5d6""]",unique,True,7,C1,23,supported_multimodal
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY,,[],manual,0.95,"[""082f62d60b17746b01fc"", ""100cc9a45d0a0f994238"", ""1b06bf8a8b92fca18545"", ""2976993fc059101f9e6a"", ""2f1944702583d6eb6860"", ""60a0c3a0dcba1739fb67"", ""6807fe796de6aacaa1d3"", ""6c9ac9d78b385a762253"", ""7316a2901ae455c12625"", ""8e8f77a48f3ad4c6096c"", ""91f5a2eb0fcd82cebcf4"", ""98f815cef49de82c7449"", ""a2dd65d0b594bb9212ac"", ""aadcebbd5deed880c6fe"", ""b93da0bbe5ffb848a0c6"", ""be51f8a15243df569129"", ""e367c19601f2d8e7823e"", ""e66d78ee7fefb50ef63b"", ""eb7401f8c6a2d74124c0"", ""f048b9e4877b4a6cc5d6"", ""f2769cc6b8e8d4026727"", ""fc858eb54d55668285a1"", ""ffd589e4f6a13787a5d6""]",not_evaluable,True,0,C1,23,not_evaluable
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY,15,"[[""15"", ""17"", ""18"", ""2"", ""8""], [""11"", ""14"", ""32""], [""28"", ""36""], [""37"", ""6""], [""31""], [""34""], [""33""], [""30""], [""13""], [""10""], [""12""], [""29""], [""1""], [""35""], [""27""]]",manual,0.97,"[""082f62d60b17746b01fc"", ""100cc9a45d0a0f994238"", ""1b06bf8a8b92fca18545"", ""2976993fc059101f9e6a"", ""2f1944702583d6eb6860"", ""60a0c3a0dcba1739fb67"", ""6807fe796de6aacaa1d3"", ""6c9ac9d78b385a762253"", ""7316a2901ae455c12625"", ""8e8f77a48f3ad4c6096c"", ""91f5a2eb0fcd82cebcf4"", ""98f815cef49de82c7449"", ""a2dd65d0b594bb9212ac"", ""aadcebbd5deed880c6fe"", ""b93da0bbe5ffb848a0c6"", ""be51f8a15243df569129"", ""e367c19601f2d8e7823e"", ""e66d78ee7fefb50ef63b"", ""eb7401f8c6a2d74124c0"", ""f048b9e4877b4a6cc5d6"", ""f2769cc6b8e8d4026727"", ""fc858eb54d55668285a1"", ""ffd589e4f6a13787a5d6""]",unique,True,3,C1,23,supported_multimodal
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,4,"[[""10"", ""11"", ""14"", ""15"", ""28"", ""29"", ""30"", ""32"", ""33"", ""34"", ""35"", ""8""], [""12"", ""13"", ""17"", ""18"", ""2"", ""27"", ""36"", ""6""], [""31"", ""37""], [""1""]]",manual,0.93,"[""006d495cbff76f46e992"", ""0e09f3e9552514dbad74"", ""1230dd95959a683bf7aa"", ""19253e4ab328902a4d12"", ""2de8896d2c2ea564fd37"", ""42264e54a01908d81bbe"", ""432c6ebaa6bb7a54b3a9"", ""45865dabe049ebace6d2"", ""48e0e1e7a86beb1ce565"", ""561446db19099c48c68e"", ""81234a56777545e31b9c"", ""88b2b69f04caf44309bc"", ""8b9ce3b553725840ef9d"", ""8d7a436f7ee75b72d1ba"", ""8f8f293766eeffd6470a"", ""93cf3ac259facb9e83dc"", ""acb3d20a4fb6e211d3b1"", ""b7393a16aa19bd7f1989"", ""bb287f23eb43955e7502"", ""c53730832245059ca129"", ""d6f4c71d3816fc9fef4a"", ""d9c1add75dab8315cd34"", ""fca31418ca45c43fa616""]",unique,True,8,C1,23,supported_multimodal
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,4,"[[""10"", ""11"", ""14"", ""15"", ""28"", ""29"", ""30"", ""32"", ""33"", ""34"", ""35"", ""8""], [""12"", ""13"", ""17"", ""18"", ""2"", ""27"", ""36"", ""6""], [""31"", ""37""], [""1""]]",manual,0.95,"[""006d495cbff76f46e992"", ""0e09f3e9552514dbad74"", ""1230dd95959a683bf7aa"", ""19253e4ab328902a4d12"", ""2de8896d2c2ea564fd37"", ""42264e54a01908d81bbe"", ""432c6ebaa6bb7a54b3a9"", ""45865dabe049ebace6d2"", ""48e0e1e7a86beb1ce565"", ""561446db19099c48c68e"", ""81234a56777545e31b9c"", ""88b2b69f04caf44309bc"", ""8b9ce3b553725840ef9d"", ""8d7a436f7ee75b72d1ba"", ""8f8f293766eeffd6470a"", ""93cf3ac259facb9e83dc"", ""acb3d20a4fb6e211d3b1"", ""b7393a16aa19bd7f1989"", ""bb287f23eb43955e7502"", ""c53730832245059ca129"", ""d6f4c71d3816fc9fef4a"", ""d9c1add75dab8315cd34"", ""fca31418ca45c43fa616""]",unique,True,8,C1,23,supported_multimodal
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,4,"[[""10"", ""11"", ""14"", ""15"", ""28"", ""29"", ""30"", ""32"", ""33"", ""34"", ""35"", ""8""], [""12"", ""13"", ""17"", ""18"", ""2"", ""27"", ""36"", ""6""], [""31"", ""37""], [""1""]]",manual,0.97,"[""006d495cbff76f46e992"", ""0e09f3e9552514dbad74"", ""1230dd95959a683bf7aa"", ""19253e4ab328902a4d12"", ""2de8896d2c2ea564fd37"", ""42264e54a01908d81bbe"", ""432c6ebaa6bb7a54b3a9"", ""45865dabe049ebace6d2"", ""48e0e1e7a86beb1ce565"", ""561446db19099c48c68e"", ""81234a56777545e31b9c"", ""88b2b69f04caf44309bc"", ""8b9ce3b553725840ef9d"", ""8d7a436f7ee75b72d1ba"", ""8f8f293766eeffd6470a"", ""93cf3ac259facb9e83dc"", ""acb3d20a4fb6e211d3b1"", ""b7393a16aa19bd7f1989"", ""bb287f23eb43955e7502"", ""c53730832245059ca129"", ""d6f4c71d3816fc9fef4a"", ""d9c1add75dab8315cd34"", ""fca31418ca45c43fa616""]",unique,True,8,C1,23,supported_multimodal
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY,7,"[[""11"", ""14"", ""28"", ""32"", ""35""], [""15"", ""17"", ""18"", ""2"", ""8""], [""10"", ""13"", ""29"", ""6""], [""30"", ""33"", ""36"", ""37""], [""1"", ""12"", ""27""], [""31""], [""34""]]",manual,0.93,"[""00df94cb0e7cc21280ba"", ""063a5ec4d91eccc8b4c3"", ""1892d2228413184cfbd6"", ""1d1473ea45cef547d01e"", ""2e29af366c8b907df0ba"", ""4203b3767e3303cffd5c"", ""4aa250b1a35849403e62"", ""511d41c2a1ae8135d56a"", ""6e92af5ad7667f224740"", ""70f54069db5f45b1c3a9"", ""74ec5ab0599eaeaf4719"", ""8b3873aaa11c92de279f"", ""90b1682c716df1046edd"", ""a9ffc64727b849e97700"", ""b341f546633829a990db"", ""b73663d4e6304415c7df"", ""d568da825a0925474c30"", ""dc3b60d3ab46195c79f2"", ""dcc9b22c32e44a2b6aed"", ""e21b795c3082b91b04f7"", ""efabbdc5b8f3c34605b1"", ""f0749422e452eec8ab7d"", ""f155c5b328bfdbe59187""]",unique,True,5,C1,23,supported_multimodal
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY,7,"[[""11"", ""14"", ""28"", ""32"", ""35""], [""15"", ""17"", ""18"", ""2"", ""8""], [""10"", ""13"", ""29"", ""6""], [""30"", ""33"", ""36"", ""37""], [""1"", ""12"", ""27""], [""31""], [""34""]]",manual,0.95,"[""00df94cb0e7cc21280ba"", ""063a5ec4d91eccc8b4c3"", ""1892d2228413184cfbd6"", ""1d1473ea45cef547d01e"", ""2e29af366c8b907df0ba"", ""4203b3767e3303cffd5c"", ""4aa250b1a35849403e62"", ""511d41c2a1ae8135d56a"", ""6e92af5ad7667f224740"", ""70f54069db5f45b1c3a9"", ""74ec5ab0599eaeaf4719"", ""8b3873aaa11c92de279f"", ""90b1682c716df1046edd"", ""a9ffc64727b849e97700"", ""b341f546633829a990db"", ""b73663d4e6304415c7df"", ""d568da825a0925474c30"", ""dc3b60d3ab46195c79f2"", ""dcc9b22c32e44a2b6aed"", ""e21b795c3082b91b04f7"", ""efabbdc5b8f3c34605b1"", ""f0749422e452eec8ab7d"", ""f155c5b328bfdbe59187""]",unique,True,5,C1,23,supported_multimodal
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY,9,"[[""15"", ""17"", ""18"", ""2"", ""8""], [""11"", ""14"", ""28"", ""32""], [""10"", ""13"", ""29"", ""6""], [""1"", ""12"", ""27""], [""30"", ""33"", ""37""], [""35""], [""36""], [""31""], [""34""]]",manual,0.97,"[""00df94cb0e7cc21280ba"", ""063a5ec4d91eccc8b4c3"", ""1892d2228413184cfbd6"", ""1d1473ea45cef547d01e"", ""2e29af366c8b907df0ba"", ""4203b3767e3303cffd5c"", ""4aa250b1a35849403e62"", ""511d41c2a1ae8135d56a"", ""6e92af5ad7667f224740"", ""70f54069db5f45b1c3a9"", ""74ec5ab0599eaeaf4719"", ""8b3873aaa11c92de279f"", ""90b1682c716df1046edd"", ""a9ffc64727b849e97700"", ""b341f546633829a990db"", ""b73663d4e6304415c7df"", ""d568da825a0925474c30"", ""dc3b60d3ab46195c79f2"", ""dcc9b22c32e44a2b6aed"", ""e21b795c3082b91b04f7"", ""efabbdc5b8f3c34605b1"", ""f0749422e452eec8ab7d"", ""f155c5b328bfdbe59187""]",unique,True,4,C1,23,supported_multimodal
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,uNb9QFRL6hY,6,"[[""1"", ""11"", ""12"", ""14"", ""27"", ""32""], [""13"", ""33"", ""35"", ""37"", ""6""], [""15"", ""17"", ""18"", ""2"", ""8""], [""29"", ""30"", ""31""], [""10"", ""34"", ""36""], [""28""]]",manual,0.93,"[""02946d1a59a1cfe17aef"", ""0306cba337eb984110ee"", ""1849bc7fd397907c0fdc"", ""266064e3bd9d27c4efda"", ""354632cf039452bb7976"", ""3a99de3022bf33efda0d"", ""597362d2aa07f7db8a02"", ""81cd8395dbe20dc23478"", ""8f2f8f8bfdaec3360646"", ""8f59ffff972415042eba"", ""95008ded416834561a81"", ""aa07e998c7330ad3d3eb"", ""aaa2559a6db59dcb28a0"", ""b2371fd8992b71f8f26a"", ""c52bd6458bd9b8699533"", ""c5c73b69124bd4813ab3"", ""c72ac2a665cd5a8025ca"", ""c7aeb60e2d3b55c2a7dc"", ""cd7adf8eb45b561bc952"", ""d17d0b2e584b2292c1f1"", ""f26a8da3bc451c32cde9"", ""f74c671037152e7b23be"", ""f765bc60ba41307a048f""]",unique,True,5,C1,23,supported_multimodal
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,uNb9QFRL6hY,,[],manual,0.95,"[""02946d1a59a1cfe17aef"", ""0306cba337eb984110ee"", ""1849bc7fd397907c0fdc"", ""266064e3bd9d27c4efda"", ""354632cf039452bb7976"", ""3a99de3022bf33efda0d"", ""597362d2aa07f7db8a02"", ""81cd8395dbe20dc23478"", ""8f2f8f8bfdaec3360646"", ""8f59ffff972415042eba"", ""95008ded416834561a81"", ""aa07e998c7330ad3d3eb"", ""aaa2559a6db59dcb28a0"", ""b2371fd8992b71f8f26a"", ""c52bd6458bd9b8699533"", ""c5c73b69124bd4813ab3"", ""c72ac2a665cd5a8025ca"", ""c7aeb60e2d3b55c2a7dc"", ""cd7adf8eb45b561bc952"", ""d17d0b2e584b2292c1f1"", ""f26a8da3bc451c32cde9"", ""f74c671037152e7b23be"", ""f765bc60ba41307a048f""]",not_evaluable,True,0,C1,23,not_evaluable
