panorama_identity,array_index,building_scene_id,split,path,size_bytes,sha256_actual,sha256_listing,sha_match,original_width,original_height,spatial_feature_version
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,20,b8cTxDM8gDG,development,data/mp3d_layout/img_v/b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4.jpg,62970,0de5df15e321b8ab7539dd8ea7e052151cfad64b5e8857cd819842a66c5a20a8,0de5df15e321b8ab7539dd8ea7e052151cfad64b5e8857cd819842a66c5a20a8,True,1024,512,spatial_image_evidence_pil_wrap_v2
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,21,b8cTxDM8gDG,development,data/mp3d_layout/img_v/b8cTxDM8gDG_f3748786c3704532abb2358581488f3f.jpg,58289,6f9e55ec63000cc28e780d30d907e026340009d5d52fb79c37004ee5c5deb348,6f9e55ec63000cc28e780d30d907e026340009d5d52fb79c37004ee5c5deb348,True,1024,512,spatial_image_evidence_pil_wrap_v2
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,22,e9zR4mvMWw7,internal_holdout,data/mp3d_layout/img_v/e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945.jpg,53018,0385a6a1ee60bba390f6488540824a7d74b969291f64e53d098bc31e5d534952,0385a6a1ee60bba390f6488540824a7d74b969291f64e53d098bc31e5d534952,True,1024,512,spatial_image_evidence_pil_wrap_v2
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,23,e9zR4mvMWw7,internal_holdout,data/mp3d_layout/img_v/e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8.jpg,54909,849f5348aa9f1d5dfd92bd11dc02dffec204e6d7f72d26335833a3825ff64d17,849f5348aa9f1d5dfd92bd11dc02dffec204e6d7f72d26335833a3825ff64d17,True,1024,512,spatial_image_evidence_pil_wrap_v2
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,24,e9zR4mvMWw7,internal_holdout,data/mp3d_layout/img_v/e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47.jpg,70230,9010bb199f6345c4d1df352f389dcd01350e863be25e9ad02a08d6ad818f1b99,9010bb199f6345c4d1df352f389dcd01350e863be25e9ad02a08d6ad818f1b99,True,1024,512,spatial_image_evidence_pil_wrap_v2
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,25,q9vSo1VnCiC,internal_holdout,data/mp3d_layout/img_v/q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d.jpg,87609,626d3e972cba94a851e9ba4390bd4fea8a299a92d03c0ffc9bf03d3f7621746d,626d3e972cba94a851e9ba4390bd4fea8a299a92d03c0ffc9bf03d3f7621746d,True,1024,512,spatial_image_evidence_pil_wrap_v2
q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,26,q9vSo1VnCiC,internal_holdout,data/mp3d_layout/img_v/q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9.jpg,82982,71d1d52c5a1324d2926592c3e4d9a692baa2405e6e7a7202e42a04cafd176840,71d1d52c5a1324d2926592c3e4d9a692baa2405e6e7a7202e42a04cafd176840,True,1024,512,spatial_image_evidence_pil_wrap_v2
q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,27,q9vSo1VnCiC,internal_holdout,data/mp3d_layout/img_v/q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20.jpg,64896,bc99662e1783e26da07c52d97424d7f7e35817004e4a7f5397406dbfbc2327a7,bc99662e1783e26da07c52d97424d7f7e35817004e4a7f5397406dbfbc2327a7,True,1024,512,spatial_image_evidence_pil_wrap_v2
q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,28,q9vSo1VnCiC,internal_holdout,data/mp3d_layout/img_v/q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd.jpg,75666,7cff7facb93694db8eae7004be2eda7423012a21d8549f33d8b764506ce4866c,7cff7facb93694db8eae7004be2eda7423012a21d8549f33d8b764506ce4866c,True,1024,512,spatial_image_evidence_pil_wrap_v2
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,29,q9vSo1VnCiC,internal_holdout,data/mp3d_layout/img_v/q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5.jpg,90482,af89808ef52ae6e5c899dac1f08e118596882bd1ff3c07590408b737975d575e,af89808ef52ae6e5c899dac1f08e118596882bd1ff3c07590408b737975d575e,True,1024,512,spatial_image_evidence_pil_wrap_v2
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,30,q9vSo1VnCiC,internal_holdout,data/mp3d_layout/img_v/q9vSo1VnCiC_a424533651804a38a55b1252daccc81e.jpg,86034,c9b26a86b05b66e95eeccb00ebed83fc91af4ab81df08c5f1a49c680c1ff5465,c9b26a86b05b66e95eeccb00ebed83fc91af4ab81df08c5f1a49c680c1ff5465,True,1024,512,spatial_image_evidence_pil_wrap_v2
q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,31,q9vSo1VnCiC,internal_holdout,data/mp3d_layout/img_v/q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345.jpg,53764,01a0f18756bca69d73443fc4f9e269fbb419b2d7d38e2c6fbd75069bb45bb66c,01a0f18756bca69d73443fc4f9e269fbb419b2d7d38e2c6fbd75069bb45bb66c,True,1024,512,spatial_image_evidence_pil_wrap_v2
q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,32,q9vSo1VnCiC,internal_holdout,data/mp3d_layout/img_v/q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2.jpg,58597,c1fbd0bb28164154f39d632c760010292e7f6959a4c838fdcd0f9279db2bbfe5,c1fbd0bb28164154f39d632c760010292e7f6959a4c838fdcd0f9279db2bbfe5,True,1024,512,spatial_image_evidence_pil_wrap_v2
q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,33,q9vSo1VnCiC,internal_holdout,data/mp3d_layout/img_v/q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146.jpg,59634,004abcd716f09cb1d3a8148ab5f678cda241c17c3500702d497d9977ddde03d7,004abcd716f09cb1d3a8148ab5f678cda241c17c3500702d497d9977ddde03d7,True,1024,512,spatial_image_evidence_pil_wrap_v2
q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,34,q9vSo1VnCiC,internal_holdout,data/mp3d_layout/img_v/q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0.jpg,79970,8391b9956bd4d87628d00ca7e926975f668619f5190b42d25fea6456f0ae0ee5,8391b9956bd4d87628d00ca7e926975f668619f5190b42d25fea6456f0ae0ee5,True,1024,512,spatial_image_evidence_pil_wrap_v2
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,35,rPc6DW4iMge,development,data/mp3d_layout/img_v/rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3.jpg,49039,18d887f2a95ce2f99fe2561e49ea5894e52085d89dfb53a48d26e552a3f3e2d4,18d887f2a95ce2f99fe2561e49ea5894e52085d89dfb53a48d26e552a3f3e2d4,True,1024,512,spatial_image_evidence_pil_wrap_v2
rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,36,rPc6DW4iMge,development,data/mp3d_layout/img_v/rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff.jpg,67938,d6f950a8d217a11a5117922ded433150750c45484a1574e84527634454261ee5,d6f950a8d217a11a5117922ded433150750c45484a1574e84527634454261ee5,True,1024,512,spatial_image_evidence_pil_wrap_v2
rPc6DW4iMge_4350d36797324601adba7351d09602d2,37,rPc6DW4iMge,development,data/mp3d_layout/img_v/rPc6DW4iMge_4350d36797324601adba7351d09602d2.jpg,55368,98634d851a2d00cc5569c4c6d8ecabfe71cf1a440527de7e169f17021fa0def3,98634d851a2d00cc5569c4c6d8ecabfe71cf1a440527de7e169f17021fa0def3,True,1024,512,spatial_image_evidence_pil_wrap_v2
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,38,rPc6DW4iMge,development,data/mp3d_layout/img_v/rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd.jpg,60370,1443a15fd2a935d6a07f076e9c217f39cdd516158c688448ec8d36b38810fc96,1443a15fd2a935d6a07f076e9c217f39cdd516158c688448ec8d36b38810fc96,True,1024,512,spatial_image_evidence_pil_wrap_v2
rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,39,rPc6DW4iMge,development,data/mp3d_layout/img_v/rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2.jpg,70122,a905166d2eedeaf2f42279f74604658c55f73cdc068172a06c5662b73112cc6f,a905166d2eedeaf2f42279f74604658c55f73cdc068172a06c5662b73112cc6f,True,1024,512,spatial_image_evidence_pil_wrap_v2
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,40,uNb9QFRL6hY,development,data/mp3d_layout/img_v/uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e.jpg,47475,1ecdfab59dbdf679a1aae2d9699a8425c501f6bff109bfc8880081d495527f4c,1ecdfab59dbdf679a1aae2d9699a8425c501f6bff109bfc8880081d495527f4c,True,1024,512,spatial_image_evidence_pil_wrap_v2
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,41,uNb9QFRL6hY,development,data/mp3d_layout/img_v/uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622.jpg,60730,54677e06ee672014c59812a08c06df9050e7b58eb877f1302079ab9045c3f813,54677e06ee672014c59812a08c06df9050e7b58eb877f1302079ab9045c3f813,True,1024,512,spatial_image_evidence_pil_wrap_v2
uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,42,uNb9QFRL6hY,development,data/mp3d_layout/img_v/uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab.jpg,56785,f9667feed1a6b32d15c98cefb465c21dcc77650e9e8652473e9a4a8e5ea528d1,f9667feed1a6b32d15c98cefb465c21dcc77650e9e8652473e9a4a8e5ea528d1,True,1024,512,spatial_image_evidence_pil_wrap_v2
uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,43,uNb9QFRL6hY,development,data/mp3d_layout/img_v/uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd.jpg,40679,8abf84ff39d52a0acc17b96cdab95a720c13a88a79ef001b2ce3710785ecf814,8abf84ff39d52a0acc17b96cdab95a720c13a88a79ef001b2ce3710785ecf814,True,1024,512,spatial_image_evidence_pil_wrap_v2
uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,44,uNb9QFRL6hY,development,data/mp3d_layout/img_v/uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe.jpg,54657,3f7e34dad32f51616cc69b200f7e9268038f5d31cf78f1813393f2c2b45012b2,3f7e34dad32f51616cc69b200f7e9268038f5d31cf78f1813393f2c2b45012b2,True,1024,512,spatial_image_evidence_pil_wrap_v2
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,45,uNb9QFRL6hY,development,data/mp3d_layout/img_v/uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62.jpg,83534,74a2a85d2b3859acb8661d98b12b82a55b1b1254374fc5e6c954eeba0642adce,74a2a85d2b3859acb8661d98b12b82a55b1b1254374fc5e6c954eeba0642adce,True,1024,512,spatial_image_evidence_pil_wrap_v2
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,46,uNb9QFRL6hY,development,data/mp3d_layout/img_v/uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13.jpg,56985,f44498b45927f422ca5d0a6e94b06c0b5d6736306430c484f0e2166d5f9009cd,f44498b45927f422ca5d0a6e94b06c0b5d6736306430c484f0e2166d5f9009cd,True,1024,512,spatial_image_evidence_pil_wrap_v2
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,47,uNb9QFRL6hY,development,data/mp3d_layout/img_v/uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97.jpg,81804,9745297eed30c473db1cf642d9cac9c5804e6cc8fa38771cfb6ba9ceec4289b4,9745297eed30c473db1cf642d9cac9c5804e6cc8fa38771cfb6ba9ceec4289b4,True,1024,512,spatial_image_evidence_pil_wrap_v2
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,48,uNb9QFRL6hY,development,data/mp3d_layout/img_v/uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8.jpg,51971,0a4cecaa6e0d4fb6dc7fe3845276f5de27e32b9c54a63eb54add5d7044142329,0a4cecaa6e0d4fb6dc7fe3845276f5de27e32b9c54a63eb54add5d7044142329,True,1024,512,spatial_image_evidence_pil_wrap_v2
uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,49,uNb9QFRL6hY,development,data/mp3d_layout/img_v/uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad.jpg,107621,00e86dda9af8524e27011ff8e07cf4a2acae8713b26766d08aeda4cbd4554e8d,00e86dda9af8524e27011ff8e07cf4a2acae8713b26766d08aeda4cbd4554e8d,True,1024,512,spatial_image_evidence_pil_wrap_v2
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,50,uNb9QFRL6hY,development,data/mp3d_layout/img_v/uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3.jpg,48648,f731952376797d163ca8486f15c32b873cba35fe81028f6a363ad34ece677033,f731952376797d163ca8486f15c32b873cba35fe81028f6a363ad34ece677033,True,1024,512,spatial_image_evidence_pil_wrap_v2
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,51,uNb9QFRL6hY,development,data/mp3d_layout/img_v/uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d.jpg,61509,3b6a0c0ee2efe0fffab4058da6492c950efad9d92cf873fe128baf40715444ea,3b6a0c0ee2efe0fffab4058da6492c950efad9d92cf873fe128baf40715444ea,True,1024,512,spatial_image_evidence_pil_wrap_v2
uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,52,uNb9QFRL6hY,development,data/mp3d_layout/img_v/uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449.jpg,55041,c9a6f6739331b6695ba8a317b62e06d5ce76ad8630ca91d19d8703ba842b0dd0,c9a6f6739331b6695ba8a317b62e06d5ce76ad8630ca91d19d8703ba842b0dd0,True,1024,512,spatial_image_evidence_pil_wrap_v2
uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,53,uNb9QFRL6hY,development,data/mp3d_layout/img_v/uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b.jpg,49092,a65c71faa009946ab82461cec59053b5a59c1099d3dab16a7ff4ac3f8c695d3c,a65c71faa009946ab82461cec59053b5a59c1099d3dab16a7ff4ac3f8c695d3c,True,1024,512,spatial_image_evidence_pil_wrap_v2
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,54,uNb9QFRL6hY,development,data/mp3d_layout/img_v/uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d.jpg,53307,e2e74cf21c7ea24ccdca2019818344315afb87b2a843f0f40f990161473e1437,e2e74cf21c7ea24ccdca2019818344315afb87b2a843f0f40f990161473e1437,True,1024,512,spatial_image_evidence_pil_wrap_v2
uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,55,uNb9QFRL6hY,development,data/mp3d_layout/img_v/uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f.jpg,32513,c5ebeb24b2768feb6b421f9b8c040516cdfb44169376b12cd1b761ed351ecf33,c5ebeb24b2768feb6b421f9b8c040516cdfb44169376b12cd1b761ed351ecf33,True,1024,512,spatial_image_evidence_pil_wrap_v2
uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,56,uNb9QFRL6hY,development,data/mp3d_layout/img_v/uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14.jpg,59965,3fb1ad00c9e279b7f7fb37dd7421113aef724ddc3d7dfbf748cb4873925ce8ac,3fb1ad00c9e279b7f7fb37dd7421113aef724ddc3d7dfbf748cb4873925ce8ac,True,1024,512,spatial_image_evidence_pil_wrap_v2
uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,57,uNb9QFRL6hY,development,data/mp3d_layout/img_v/uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14.jpg,51488,3c1a1d472b095621c63376dfd694e631542423f0818f3f77a72d200742cd29ea,3c1a1d472b095621c63376dfd694e631542423f0818f3f77a72d200742cd29ea,True,1024,512,spatial_image_evidence_pil_wrap_v2
wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,58,wc2JMjhGNzB,development,data/mp3d_layout/img_v/wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee.jpg,60061,33f69544b1598e73b2faefe6b739532f2daa20ac56f8246b8696aa0b83d61df1,33f69544b1598e73b2faefe6b739532f2daa20ac56f8246b8696aa0b83d61df1,True,1024,512,spatial_image_evidence_pil_wrap_v2
wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,59,wc2JMjhGNzB,development,data/mp3d_layout/img_v/wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c.jpg,70708,90c5d2bd68628a37c2c1659663fa9efaabb2b36841ac2dccfd96f6d4e57d238e,90c5d2bd68628a37c2c1659663fa9efaabb2b36841ac2dccfd96f6d4e57d238e,True,1024,512,spatial_image_evidence_pil_wrap_v2
wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,60,wc2JMjhGNzB,development,data/mp3d_layout/img_v/wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd.jpg,75715,c74493c94f532866c4c3d64c37c7a8a90df2f097dc58b2bc3a9b5693b6527cdf,c74493c94f532866c4c3d64c37c7a8a90df2f097dc58b2bc3a9b5693b6527cdf,True,1024,512,spatial_image_evidence_pil_wrap_v2
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,61,wc2JMjhGNzB,development,data/mp3d_layout/img_v/wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d.jpg,81104,883166c73806c2a2f1f3ee059f52ad19b5238af876161ef5b9b04c9db8df9f6b,883166c73806c2a2f1f3ee059f52ad19b5238af876161ef5b9b04c9db8df9f6b,True,1024,512,spatial_image_evidence_pil_wrap_v2
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,62,wc2JMjhGNzB,development,data/mp3d_layout/img_v/wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7.jpg,37315,221d8572c459c4b179f731e50b7be3092144468c8265bd95fee7987f52d9e55a,221d8572c459c4b179f731e50b7be3092144468c8265bd95fee7987f52d9e55a,True,1024,512,spatial_image_evidence_pil_wrap_v2
